bobble,مزركشة
sarojini,ساروجيني
sarojinikkapde,sarojinikkapde
sn,sn
sarojinimarket,Sarojinimarket
200memiltahai,200 ملم
gharwale,أصحاب المنازل
kharcha,التكلفة
pocketmoney,مال الجيب
allowance,مخصص
freekisharaab,freekisharaab
freekadaru,فظيع
peeunanga,اللوحة
jebkhali,جبخل
khaali,ببساطة
pocketkhaali,Pocketkhaali
bahubali,بحبالي
laut,بصوت عال
lautaya,عاد
resurrection,القيامة
maharanidevsena,ماهارانيديفاسينا
maharani,مهراني
captive,أسيرا
bachega,سيبقى
wontlive,متعود
die,ال
perish,يهلك
ruin,خراب
panchi,لكمة
panchibole,كتاب لكمة
panchhi,طيور
avanthika,Avantikā
vachan,الوعد
meravachan,خطابي
aagya,إذن
vachanhiagyahai,وعد لا
shivagami,شيفاجامي
vijai,فيجاي
vijay,فيجاي
iamthevictor,iamthevictor
victor,المنتصر
bhallaldev,Bhallaldev
bhallal,البلال
nidar,nidar
mainnidarhoon,أنا نائم
baahubali,بحبالي
prabhas,براداس
mahendrabahubali,Mahendrabahubali
mahendra,ماهيندرا
jeena,للعيش
jeenahoga,Jinhoga
survivor,الناجي
survive,ينجو
kla,يشكو
cloos,cloos
mahishmati,Mahishmati
bow arrow,سهم القوس
gulam,أنا غلام
kimat,السعر
kimatnahi,لا على الإطلاق
priceless,لا يقدر بثمن
valuable,ذو قيمة
katappa,هابا
sathyaraj,برلماني
meresath,معي
comewithme,تعال معي
balwan,قوي
aurbalwan,الرجل القوي
rajguru,راجورو
adatya,اديتيا
madeforeachother,قدمت لبعضهم البعض
made,مصنوع
eachother,بعضهم البعض
parrot,ببغاء
sendinglove,إرسال الحب
sending,إرسال
messenger,رسول
kabutar,الحمامة
lookatthat,لوكاتات
beauty,جمال
admire,معجب
admiration,الإعجاب
elephantride,الفيلة
haathi,haathi
letme,وLED
pickyouup,أقلك
pickup,امسك
buy,يشترى
garden,حديقة
buyyouagarden,buyyouagarden
blush,احمر خدود
blushing,إحمرار الوجه خجلا
iamblushing,أنا خجل
eye,عين
eying,العين
eyecontact,اتصال العين
lookingatme,تنظر إلي
damnboy,الولد اللعين
youarehandsome,أنت وسيم
deer,الغزال
titanic,تيتانيك
titanicasan,تيتانيكان
aasan,سهل
swagaasan,سواغا
loose,واسع
loosemotion,حركة فضفاضة
stomachupset,اضطراب المعدة
roko,ذراع
yogasehoga,سوف تفعل
peeche,العودة
bum,متشرد
bums,متشرد
buttocks,ردفان
culo,الحمار
bumsinteair,المشكله
putyourbumsintheair,putyourbumsintheair
saans,في المساء
breathe,نفس
breathing,عمليه التنفس
andar,يمشي
inhale,يستنشق
exhale,زفر
ulta,العكس
pulta,جهاز تحكم عن بعد
ultapulta,ultapulta
upsidedown,رأسا على عقب
topseyturvy,أفضل المواسم
phas,المرحلة
phasgaya,المرحلة
tangled,متشابكة
fasgaya,التلاشي
fas,فاس
bete,شغل
tugaya,توجايا
abtugaya,abtugaya
talak,تالك
divorce,الطلاق
banchoo,بانشو
bhaikatalaak,هفوة
grandfather,جد
fuddi,حلوى
hootiye,صاح
hutiye,ابتعد
hootiya,الحوتية
hutiya,Hatia
maakichu,حسنا تشو
Papa Maakichu,بابا ماكيشو
bhola,بهولا
innocent,البريء
bhenka,دبوس
nainai,جدتي
nainainainai,الجدة الجدة
ohyeah,آه أجل
yeahhh,نعم
ohyeahh,أوهيا
ohyes,نعم بالتأكيد
pareshan,قلقة
troubled,مضطرب
pareshaanhu,حزين
surprisebanchoo,مفاجأة
cheez,الجبن
badi,الكبير
tucheezbadihaimastmast,Tuchizbadihaimastamast
rightswipe,مسح الحقوق
right swipe,التمرير الأيمن
tinder,صوفان
rightswipeaterial,حقوق الحقوق
cause,سبب
majama,في المرح
pajama,بيجامة
majamainmypajama,Mazmenipajama
pjs,pjs
scooty,سكوتي
chetak,chetak
gf,gf
banja,سبا
gfbanjameri,gfbanjameri
garammasala,عيب
hothawt,حظوة
gabbarbasanti,جابرباسانتي
tujhse,منك
basabhogaya,متسلط
abeh,ابه
abbey,دير
abbe,آبي
banjamerabae,البنجميرابي
aye,ايي
ae,أ
ayechikne,في Eichiken
chikna,على نحو سلس
chikne,على نحو سلس
zara,زارا
nach,بعد
nackkdikhao,سحب النقود
taarif,الحمد
tarif,التعرفة
shukiriya,Seed Kiritani
shukria,شكرا لك
dogandhooman,Dogandhooman
shiro,أبيض
disturb,إزعاج
matkato,matkato
donotdisturb,لا تقاطع
don'tdisturb,لا تزعج
mote,موضة
vali,حدد
motepet,عاهرة
bodyshaming,تشويه الجسم
criticising,ينتقد
itnavkhasnahi,غير ملزم
khas,خاص
notspecial,غير خاص
heyy,مرحبًا
heybaby,طفل
churane,سرقة
budiya,السيدة العجوز
bachhe,الأطفال
bacchechuranevali,طبخ الطفل
beam,الحزم
actionbeam,شعاع العمل
smellyfeet,قدم كريهة
smelly,كريه الرائحة
pair,زوج
paer,أكثر
badboo,badboo
badsmell,badsmell
pairsebadbooatihai,خطى
tumsab,تمبس
mereghar,mereghar
aaoege,الدافع
invite,يدعو
invitation,رسالة دعوة
comeover,تعال إلى هنا
Nazz,ناز
Jonny 2*4,جوني 2 * 4
kyunahibolteho,Qinhembolteho
kamane,كمان
paisekamane,صنع المال
needtoearn,بحاجة للتعلم
bhuk,بهوك
ideas,الأفكار
merepass,merepass
merepaas,استرخ
ideahai,كأس الفكرة
chhorunga,سيغادر
nahichhorunga,nahichhorunga
nahichodunga,nahichodunga
Kevin,كيفن
mainv,الرجال
mainbhi,أنا أيضًا
ata,هم
aata,عطا
aatahu,أتاه
aatahuyaar,عمتي
Jimmy,جيمي
isthisyours,هل هذا ملكك
chaddi,لباس ضيق
Marie,ماري
humareghar,Humareghar
murgi,مورجي
bhaagobhaago,اهرب
escape,هرب
undid,undid
undo,الغاء التحميل
mydo,mydo
whatisit,ما هذا
we'reateam,نحن نبتسم
weareaateam,بلى
teamspirit,روح الفريق
mean,تعني
leanmean,العجاف
vindaloo,vindaloo
ami,التي
amiugly,أأنا قبيح
thatugly,هذا قبيح
excellent,ممتاز
youknow,أنت تعلم
uknow,uknow
you know,أنت تعلم
wateva,واتيفا
your point,وجهة نظرك
objective,موضوعي
being,يجرى
ehatisyourobjective,هدفك
atleast,على الأقل
at least,على الأقل
youtried,أنت
tried,حاول
woohoo,woohoo
woah,واااه
argh,أرغ
arrgghh,arrgghh
giveme,أعطني
givemeahand,ساعدني
nonhuman,غير بشري
human,بشري
willsmith,ويل سميث
youhavemyheart,youhavemyhart
workforbrains,القوى العاملة
placard,لافتة
kanyewest,كانيويست
kanye,كاني
waitforme,الانتظار لي
useyourbrain,استخدم عقلك
upfordinner,upfordinner
openthedoor,افتح الباب
door,باب
donotsleep,لا تنام
don'tsleep,لا تنام
bhaut,كثير
zorr,بالكاد
zor,صعب
zorseaayi,zorseaayi
teribhabihaiwo,teribhabihaiwo
yele,بالكاد
yehle,انزل
haath'hath,يد
hathkachumma,مكبل اليدين
thappar,صفعة
tumhare,الخاص بك
tumhareghar,منزلك
parivar,العائلة
baapbhai,باب بهاي
baapbhainahihaikya,Bapbhai لا
chalbhai,الجلجثة
pehlekabhi,الأول على الإطلاق
ladkanahidekha,فتاة بنت
mereko,لي
khani,القصة
ocecream,بوظة
icecreamkhanihai,هذا الكريم
bandi,إعلانات
bhaikibandi,التآخي
bhaikibandihai,الإخوان
pilao,التعب
aurpilao,Orpilas
bc,قبل الميلاد
chaddinahipehnta,الصخب
nochaddi,عُري
per,لكل
pedh,الشجرة
tree,شجرة
mpney,مال
nahiugte,nahiugte
hotel,الفندق
gharkohotel,gharkohotel
samajh,الفهم
paroskbete,يومض
parosi,التقديم
padhos,للموت
sharmajikbete,sharmajikbete
neighbour,الجار
neighbor,الجار
sanskar,سانسكار
sanskaar,سر
sanskari,مثقف
learn,تعلم
seekhe,تعلم
seekha,تعلمت
tumne,أنت
merabeta,مرابيطة
nahiraha,nahiraha
disown,تبرأ من
chhari,ارحل
nakkatwayega,سيجعل
katwaega,سوف تحصل على قطع
barehoke,الغش
future,مستقبل
bare,عارية
bechega,ستبيع
aloobechega,aloobechega
na ho payega,لن يحدث
payega,سوف تحصل
nalayak,لا يستحق
kyahoga,ماذا ستفعل
samajhkerakkha,فهم
don'tstop,لا تتوقف
donotstop,لا تتوقف
epic,الملحم
doepicshit,doepicshit
epicshit,epicshit
befree,كن حرا
greatmemories,ذكريات عظيمة
golive,جو لايف
nottoday,ليس اليوم
satan,الشيطان
notnow,ليس الان
then,ثم
nowisthetime,الان هو الوقت
settles,تسويات
settle,تسوية
stationery,ادوات مكتبيه
notme,ليس انا
bethechange,كن التغيير
aspire,أطمح
aspiration,طموح
whatsupp,ال WhatsApp
what'sup,ال WhatsApp
wassup,wassup
ohyay,أوه نعم
looser,خاسر
youloser,أنت فاشل
rock,صخرة
musicplayer,مشغل الموسيقى
let'srock,لنمرح
letsrock,لنمرح
kickit,كيكين
kickitoff,ركلة تشغيله
gotcha,مسكتك
gotchya,جوتشيا
gotya,جوتيا
gotyou,فهمتك
got you,فهمتك
c'mon baby,هيا حبيبي
c'mon,هيا
come on baby,تعال حبيبي
iamdone,iamdone
iam,انا
ahan,ليس كذلك
aha,آها
ahaa,كان
aaha,اه
limits,حدود
withoutlimits,من غير قيود
limitless,لا حدود لها
cestlavie,cestlavie
cest,جست
la,ال
vie,الحياة
each,كل
timeisprecious,الوقت ثمين
fighttolive,محارب
frequent,متكرر
frequently,في كثير من الأحيان
edityourlife,edityourlife
outdream,قديم
yourself,نفسك
adcenture,مغامرة
workhard,اعمل بجد
goodthimhs,Gudamtimhs
taketime,الوقت
gaddar,متجهم
gaddaron,خونة
chodenge,سيغادر
chhorenge,سيغادر
treachers,غادر
traitors,خونة
dinraat,بين عشية وضحاها
aapki,الخاص بك
seva,له
sewa,إيجار
khursi,خورسي
position,موضع
jayega,سوف اذهب
poori,كله
puri,بوري
fulfil,تحقيق
maange,الجرب
soch,شعر
desh,البلد
badlo,التغيير
sochbadlo,فكر
deshbadlo,التغيير
saaf,نظيف
deshkosaaf,Deshkosaf
humaapkesathhai,نحن معكم
bana na,غلى لي
deshkobananahai,Deshkobanana
youget,لقد حصلت
amity,الصداقة
dhokha,الغش
pina,بينا
attendance,الحضور
botanical,نباتي
metrostation,محطة مترو الانفاق
dropkarde,دروب كارد
marshal,مارشال
bachke,صهريج
bachkerehna,باكارانا
jaat,جات
jaatboys,jaatboys
aintnotoys,aintnotoys
toys,ألعاب الأطفال
toyboys,توي بويز
id,هوية شخصية
IDcard,بطاقة التعريف
IDcarddikhao,أغلق الخط
identitycard,البطاقة الشخصية
checkout,الدفع
checkhimout,تفحصه
humansofamity,الإنسان البشري
balli,الرقصات
ballikichai,ballikichai
peenechaltehai,peenechaltehai
peene,الشرب
studydate,تاريخ الدراسة
heygirl,اهلا يا فتاة
audi,أودي
wannaride,في هذا اليوم
ma'am,سيدتي
latearrival,الوصول المتأخر
mahamaya,المحمية
whateva,واتيفا
textme,textme
messege,الرساله
bang,انفجار
bangbang,مساعدة
encounter,يواجه .. ينجز
wowies,wowies
it'snice,جميل
softdrink,مشروب غازي
fizzydrink,fizzydrink
youknowthat,هل تعلم أن
talkin',نتحدث
talkingtome,يتكلم معي
yeahbaby,نعم عزيزي
youcannpt,youcannpt
oops,وجه الفتاة
oopsie,عفوا
imsoretro,imsoretro
iamretro,كرسي بذراعين
notlike,ليس مثل
unlike,على عكس
other,آخر
notlikeothergirls,ليس مثل الفتيات
phaansi,معلق
deathpenalty,عقوبة الاعدام
deathbyhanging,الموت الموت
hanging,معلقة
phaansihogi,Phansihogi
ACP,ACP
Pradyuman,نضح
lagao,اسحب عاليا
patalagao,يحضر
info,معلومات
information,معلومات
kuchtoh,كوتشتو
matlab,ماتلاب
meaning,المعنى
matlabsamjhe,يعني لي
duty,مهمة
dutypehle,دوتبل
sentiments,المشاعر
baadmen,لاحقًا
dutyfirst,أولا واجب
Inspector,مفتش
Abhijeet,أبهيجيت
laaash,ركلة
corpse,جثة
deadbody,جثة
clue,دليل
Daya,القوة
laash,جثة
ekaur,آخر
banggg,بانج
bangopen,bangopen
darwaza,الباب
darwazatoddo,افتح الباب
sach,كتاب
sachbahar,Sachbahar
episodeend,الحلقة
humnevkiya,Humanevakiya
humne,لقد فعلنا
cannotsucceed,cannotsucceed
halfofus,نصف الحفرة
progressive,تدريجي
regressive,رجعي
heldback,يكتمه
equal,مساو
equality,المساواة
equalrights,حقوق متساوية
rights,حقوق
notaskingforit,لا يسال عن ذلك
askingforit,يسألون
shortclothes,ملابس قصيرة
nomeansno,nomeansno
skirt,تنورة
chhotekapde,ملابس صغيرة
chhoti,القليل
sochchhoti,المرونة
wearwhatyoulike,ملابس جميلة
monster,مسخ
mirror,مرآة
notamonster,notamonster
gentleman,انسان محترم
realman,ريلمان
liberate,حرر
menforfeminism,menforfeminism
supportwomen,دعم المرأة
quality,جودة
goodmen,رجال صالحين
genderequality,المساواة بين الجنسين
equalityofthesexes,المساواة بين الجنسين
realmen,حقا
gentlemen,السادة الأفاضل
respectful,محترم
indianwoman,امرأة هندية
indianwomen,هنديات
dontteachwomen,لا تطلع
whattowear,ماذا ارتدي
teachboystobehave,تعليم الصبي
behavior,سلوك
bringingup,جلب
cyclechor,حلزوني
mannu,مانو
manoj,مانوج
manojounjabi,يوم قلعة مانو
tumahre,لك
haathon,حاثون
jaadu,جادو
haathonmeinjaadu,حر اليدين
aadesh,الأمر
aadeshdetahun,أن تأمر
mainaadeshdetahun,Maineadeshdatehoo
rohan,روهان
rohanmehra,روهانماهرا
tatti,الاتصالات
tattimai,tattimai
tallihui,Tallui
jalebihaitu,Jalebihetu
rahuldev,مرض
abto,الآن
abtoh,abtoh
hadd,اسمحوا لي
haddhogai,ifhogai
manveer,المناور
manveergujjar,Manveergujjar
khatrahai,خاطره
mujhetumsekhatrahai,انا احبك كثيرا
om,حول
swamiom,زوج
omswamiji,بلا مأوى
devi,ديفي
devibhakt,متدين
bhakt,متعب
devibhakti,الإخلاص
om swami,ام زوج
swami om,زوج أم
om swami ji,أم سوامي
sweetsweet,حلو حلو
mujhesabsweetkehtehai,احب الجميع
monalisa,موناليزا
jitna,بقدر
jit,جيت
desperate,يائسة
jitnekliyekuchhbhi,ما يصل الى
kuchbhi,أي شئ
kuchbhikarsaktihu,شيء ما
priyankajagga,بريانكاغاغا
jagga,جاجا
overact,مثل بصورة مبالغ فيها
overactingkidukaan,overactingkidukaan
dukaan,المحل
nitibhakaul,الأخلاق
gotit,جوتي
lopamudra,Lopamudra
fyn,فين
nevermind,لا يهم
chille,البرد
bani j,تمتص ي
gurbani judge,قاضي جورباني
vjbani,فجباني
thisyear,هذا العام
SantaClause,بابا نويل
Christmastree,عيد الميلاد
sledy,آثار أقدام
clause,بند
jinglebells,اجراس الميلاد
holly,هولي
happyholidays,هابي هوليدايز
sorahahu,sorahahu
notinterested,غير مهتم
dunno,لا أدري
dontknow,لا أعرف
bahutkam,قليل جدا
lotofwork,الكثير من العمل
batterydead,بطارية
notpossible,غير ممكن
nahihopayega,لن تدفع
halatkharab,محراث
whichone,أي واحدة
Bulbasaur,بلباسور
Squirtle,سكويرتل
Charmander,شارمندر
wewill,سنقوم
saveallpokemons,saveallpokemons
savepokemons,savepokemons
teamrocket,فريق الروكت
pikachu,بيكاتشو
Pokemon,بوكيمون
Pokemonlove,بوكيمونلوف
Pokemons,البوكيمون
KingofPokeworld,KingofPokeworld
Pokeworld,Pokeworld
youcannotesacpe,أنت لا يمكن
Ichooseyou,اخترتك
Pokeball,Pokeball
IchooseyouPikachu,IchooseyouPikachu
catchemall,المنظار
catchthemall,الماسك
bestofluck,أحسن حظ
allthebestbuddy,allthebestbuddy
Ihaveballs,Ihaveballs
doyou,هل
everywhere,في كل مكان
Slowpoke,Slowpoke
dontbeaaslowpoke,dontbeaaslowpoke
dontbeslow,dontbeslow
getpokemon,getpokemon
somepokemon,somepokemon
Pokemontrainer,مدرب البوكيمون
besttrainer,أفضل عامل تدريب
Mew,ميو
chooseyou,اختارك
chu's,تشو
Ialwayschooseyou,Ialwayschooseyou
iwillfind,iwillfind
iwillcatch,سوف امسك
findyou,وجدتك
catchyou,أمسكتك
Pokebattle,بوكيت
battle,معركة
getready,إستعد
gottacatchemall,علي الامساك بهم جميعا
donttry,donttry
neverchange,لا تتغير أبدا
differentthings,أشياء مختلفة
flyingbroom,غرفة الطيران
iamsorry,أنا أسف
iamafraid,السخرية
youareretarded,أنت معاق
retarded,متخلفا
dontuse,لا تستخدم
use,استعمال
reallyneedit,حقا
i'msorry,أنا آسف
donotwanttolive,donotwanttolive
takethingseasy,خذ الأمور ببساطة
iwillmakeyouhappy,سأجعلك سعيدا
foreverandever,إلى أبد الآبدين
knowledge,المعرفه
importance,أهمية
scoreisnotasimportant,النتيجة ليست مهمة
knowledgeisimportant,المعرفة المهمة
dontcry,dontcry
thosethings,هذه الأشياء
hojaye,يرجى الانضمام
workput,اكتشف - حل
iloveypu,احبك
iloveyubaby,iloveyubaby
tryout,جرب أو حاول
letstalk,فتنة
aboutme,aboutme
narcissist,نرجسي
selfobsessed,هاجس الذات
16kadola,16 كادولا
bicep,العضلة ذات الرأسين
kaisiho,kaisiho
kaisihobaby,Kasiobabi
kahanchali,كاهانتشالي
hottie,هوتي
whereareyougoing,إلى أين تذهب
candlelight,ضوء الشموع
candlelightdinner,عشاء على ضوء الشموع
tuxedo,سهرة
ridepe,ridepe
ridepechalega,متسابق
gottenaway,رحيل
gottenawaywithit,حسنًا
myglasses,نظارتي
eherearemyglasses,نظارة العين
Velma,فيلما
zoinks,zoinks
Shaggy,أشعث
whereareyou,أين أنت
whatwedobest,Whatwedobest
sammich,sammich
sandwich,ساندويتش
rockthem,صخرة
sockthem,sockthem
scoobyandscrappy,scoobyandscrappy
scooby,سكوبي
scrappy,متخبط
Scooby-Doo,سكوبي دو
ScoobyDooDoo,ScoobyDooDoo
Fred,فريد
splitup,splitup
splitupthegang,splitupthegang
mystery,الغموض
solve,حل
let'ssolvethismystery,دعنا نحل الذوبان
let'ssolve,دعونا نحل
scoobysnack,سكوبي وجبة خفيفة
whatwillyoudo,ماذا ستفعل
Daphne,دافني
badass,صلب، قوي
Raphael,رافائيل
whattheshell,شئ ما
eth,eth
whatthehell,بحق الجحيم
turlepower,سلطة قشرة
combat,قتال
Leonardo,ليوناردو
trustyourinstincts,ثق بغرائزك
instinct,غريزه
insctincts,الغرائز
gutfeeling,الشعور الغريزي
Solinter,Solinter
ninja,النينجا
ninjatime,نينجيمات
Gnarly,نرلي
cowabunga,Cowabunga
Michelangelo,مايكل أنجلو
leadtheway,الطريق الرئيسي
toots,بوق
illdoitmyself,سأفعل ذلك بنفسي
doitmyself,أفعل ذلك بنفسي
victoryshallbemine,انتصار شلبيمين
Stewie,ستوي
giggity,الضحكة
giggitygiggitygiggity,قهقه قهقه
Glenn,جلين
GlennQuagmire,جلينكواجمير
headexploding,تضخم الرأس
marvelousidea,رائعة
PeterGriffin,بيترجريفين
Peter,نفذ
mylifeisruined,mylifeisruined
Meg,و
MegGriffin,ميج جريفين
heusedme,heusedme
comedyu,كوميديا
comic,رسوم متحركة
fussy,صعب
fuss,ضجة
stopfussing,التوقف
Lois,لويس
LoisGriffin,لويس جريفين
STFU,STFU
evilmonkey,الشر
TheEvilMonkey,Tivilmonkey
nasty,مقرف
thatisnasty,تلك سيئة
that'snasty,هذا مقرف
Cleveland,كليفلاند
ClevelandBrown,كليفلاند براون
didit,فعلت
blame,لوم
Chris,كريس
ChrisGriffin,كريسغريفين
forgiveyou,سامحني
iwontforgiveypu,متعود
theone,الواحد
youaretheone,أنت الوحيد
keeinmind,لا مانع
dropdead,اسقط ميتا
thanksabunch,اشكرك كثيرا
whatdoyouthink,ماذا تعتقد
aneyeforaneye,aneefeoranee
revenge,انتقام
avenge,انتقام
fashionsaviour,أزياء
savetheworld,انقذ العالم
boringfashion,أزياء مملة
leavemealone,اتركني وحدي
leaveme,أتركني
foreal?,أتقبل؟
real,حقيقة
reality,واقع
truth,حقيقة
chillkaisemaru,Chika Isemaru
uff,ومضات
itnigarmi,itnigarmi
coolcool,رائع رائع
thandathanda,بارد بارد
dillikigarmi,حرارة دلهي
delhikigarmi,دلهي
pyaartera,Pyartera
noAC,noAC
nodate,نقطة الميدان
AC,AC
airconditioner,مكيف هواء
ACkikasam,أكيكاسام
swaeonmyAC,swaeonmyAC
tan,تان
tanning,دباغة الجلود
antitan,مضاد
chhatri,طالب
nahichahiye,لا تنم
hotseat,مقعد ساخن
chubti,شوبتي
jalti,حرق
prickly,شائك
sweat4,عرق 4
kutti,جرو الثعلب
kuttigarmi,الاسقربوط
]hot,]الحار
heated,يسخن
dog\,الكلب\
fuckyourself,اللعنة
gofuckyourself,gofucky
wolverine,ولفيرين
storm,عاصفة
stormcoming,عاصفة
approachingstorm,اقتراب العاصفة
approach,مقاربة
poof,لوطي
iamgone,iamgone
kittypryde,kittypryde
imhere,imhere
iamheretohelp,iamheretohelp
ProfessorX,أستاذ X
freak,شخص غريب المنظر
circus,سيرك
notacircusfreak,notacircusfreak
circusfreak,كسر السيرك
Mystique,الغموض
dontbelieve,لا تؤمن
sight,مشهد
everythingyousee,كل شيء
toomuch,كثير جدا
toomuchiron,ونظرية السوط
Magneto,ماغنيتو
cardtricks,خدع البطاقات
iheard,سمعت
hear,سمع
heard,سمعت
openmyeyes,أفتح عيني
eyes,عيون
dontmakeme,dontmakeme
cyclops,العملاق
tricks,الخدع
anymoretricks,أي خداع
mastermind,العقل المدبر
iamfabulous,iamfabulous
heyeveryone,مرحبا جميعا
witchplease,الساحرة
hulkhungry,هولخونغري
needahand,محتاج
whareyoulookingat,whareyoulookingat
lookingat,انظر الى
sharp,حاد
sharply,بشكل حاد
dressedsharply,يرتدي بحدة
allsizes,يتأرجح
knowledgeispower,المعرفة قوة
hermione,الهرميون
thechosenone,ثيكوسينون
chosen,اختيار
harry,هاري
AlbusDumbledore,ألبوس دمبلدور
Dumbledore,دمبلدور
fatherwillhaeraboutthis,الأب
aboutthis,عن هذا
dobby,دوبي
freeelf,freeelf
elf,قزم
sock,جورب
letmekissyou,وLetMeKissYou
comeout,يظهر
avada,مفتوح
kedavra,كيدافرا
avadakedavra,أفادافادافارا
mustnotlie,لا يجب
youmusttellies,youmusttellies
Weasley,ويزلي
Ron,رون
RonWeasley,رون ويزلي
ronweasleyisourking,ronweasleyisourking
badiya,جيد
bahutbadiya,جيد جدا
thumbsdown,استهجن
epicfail,فشل ملحمي
muhpechamat,موهبتشات
muhpe,الفم
chamat,البريق
facepalm,facepalm
yohoney,yohoney
susu,حليب
littlefinger,Littlefinger
abhiaya,أبهاي
callofnature,callofnature
loo,مرحاض
chub,الشوب
chubbey,الشوبي
shh,صه
shhh,shhh
shantipeace,صانع السلام
peaceout,السلام
sabchaltahai,إطلاقا
sabchalta,الشفافية
allok,كل شيء جيد
nahidekha,لم أر
dekha,يجتمع
aankhenbandh,عنخاندبانده
eyesclosed,عيون مغلقة
ohhemmgee,ohmhemgee
kyaomg,كيونغ
wicketpewicket,ويكيت بيكيت
orangearmy,أورانجيرمي
army,جيش
baigan,برنجال
miladete,ملاديت
riseaboveall,riseaboveall
above,في الاعلى
riseabove,يعلو
nofikar,nofikar
fikar,تناول القهوة
worry,قلق
noworry,نوريس
wehaveShikhar,شيخار
Shikhar,الذروة
nawab,نواب
nawabi,النوابي
nehra,نهرا
NawabiNehra,NawabiNehra
kiraak,صدع
kirak,كيرك
kiraakshot,Kirahsot
panga,البنك
nakkolagao,nakkantenao
panganakkolagao,اخرج
donotchallenge,التحدي
Charminaar,شارمينار
Charminaarkepatthe,Charminaarkepatthe
patthe,على الطريق
biryani,برياني
biriyani,برياني
wonthetoss,عجيب
optedtowin,اختار
kohli,الكولي
playhard,اللعب الصعب
harder,أصعب
partyharder,الحفلة
playbold,لعب كرة القدم
ChrisGayle,كريسجيل
Pitchbakwastha,Pitchbakwastha
oolalalaleeoo,oolalalaleeoo
LaaLaaLaa,انا ذاهب الى
deVilliers,deVilliers
oneteam,oneteam
rulethemall,مسطرة
GoRCB,GoRCB
chasemacha,يضيع
Gayle,غايل
Gaylestorm,غالاستروم
hurricane,اعصار
herecomes,هنا يأتي
sabseuparRCB,sabseuparRCB
MC,MC
RCBthebest,RCBthebest
Mr360,مرعط٠
360degrees,360 درجة
ABdeVilliers,ABdeVilliers
Punjabis,البنجاب
dontkeepcalm,لا تهدأ
maxwell,ماكسويل
Yaaraan,القليل
WriddhimanSaha,WrddhimanSaha
livepunjabi,البنجابية
playpunjabi,playpunjabi
KillerMiller,القاتل
DavidMiller,ديفيد ميلر
ChakDePhatte,تشاك دي فاتي
Kamaal,مذهل
Lassidakamaal,في لاسيداكاما
dhaba,ضباء
givethatman,givethatman
sada,الان
Patiala,باتيالا
PunjabiPower,السلطة البنجابية
zinta,الزنتا
Steyn,ستين
DavidSteyn,DavidSteyn
firefoot,فايرفوت
DwayneBravo,دواين برافو
GujjuChampion,Gujjuchampiyan
champion,بطل
champions,ابطال
Raina,رينا
SureshRaina,سوريش
Beholsthelions,Beholsthelions
lions,أسود
pakoflions,باكوفليون
BrendonMcCullum,BrendonMcCullum
McCullum,مكولوم
gamemaarichee,gamemaarichee
shikar,الضحية
prowl,جوس
shernikleshikaarpe,shernikleshikaarpe
paisawasool,paisawasool
paisavasool,المال
vasool,مجموعات
DwayneSmith,دواين سميث
Trustjaadu,Trstajadu
RavindraJadeja,Ravindrajadeja
Jadeja,Jadeja
havee,مرحبًا
haveeapni,NowApp
vaariche,بواسطة
garvi,ليغلي
garvigujarat,عاصفة رعدية
dhokle,دوكل
shokla,shokla
dhoklekadum,Dhoklekadam
Zippy,رشيق
LegCutter,LegCutter
ZaheerKhan,ظهير خان
fastbowler,الرامى سريع
issbar,شريط
isbaar,هذه المرة
jeetapni,فوز
devilssound,devilssound
RishabhPant,Rishabhpant
toli,بعيد
Tashankitoli,Ta Yamaguchi ITO
khelo,العب
frontfoot,الجبهة
front,أمامي
foot,قدم
odd,غريب
even,حتى في
harayenge,سوف تغلب
dillikelaunde,دلهي كيلوندي
launde,البولنديين
dilliboyz,ديليبويز
dilseloud,dilseloud
dilseproud,ديلسبرود
datewiththedevils,معطياتالشرور
risewiththegiants,نهض العمالقة
giants,عمالقة
Plessis,بليسيس
Misalpav,غير كفؤ
Paver,رصف
IrfanPathan,عرفان باثان
KP,KP
kamal,كمال
Pieterson,بيترسون
MSD,MSD
Dhoni,دوني
expert,خبير
IshantSharma,IshantSharma
fiery,ناري
punery,العقاب
lavani,لافاني
nayarang,نايارانغ
captaincool,كابتن كول
MahindraSinghDhoni,ماهيندراسينغهاداني
aalire,aalire
baariaali,baariaali
ajinkya,أجينكيا
Rahane,المعيشة
drinksonme,المشروبات على لي
mytreat,mytreat
birthdaybump,عيد ميلاد
justanumber,رقم حسابي
timefortreat,timefortreat
goodies,الأشياء الجيدة
snacker,سناك
pieceofcake,قطعة من الكعك
birthdaycake,كعكة عيد الميلاد
box,صندوق
smell,رائحة
fragrance,العطر
itsmybirthdayt,يوم ميلاده
mybirthday,يوم ميلادي
stillsexy,لا يزال مثيرًا
yearolder,السنه
sexyasever,مثير
prsent,الحالي
giftbox,صندوق الهدايا
awaits,ينتظر
giftawaits,هدايا
bachao,حفظ
rescue,إنقاذ
babajikagyaan,باباجي
gyaan,جيان
fuk,فوك
fukfuk,رقيق رقيق
fukfukfuk,رقيق رقيق رقيق
swirl,دوامة
thero,هناك
therothero,Therothero
shaktimaan,shaktimaan
sorryshaktimaan,sorryshaktimaan
Gangadhar,جانجادهار
shaktimaanhai,Shaktimaan
Pahh-Waar,Pahh-Where
Pahwar,Pahwar
