bobble,बकबक
aashiqui,माया
2,२
ashiqui,माया
bass,बास
pasand,मनपर्‍यो
guitarist,गितारवादक
gitar,गितार
drum,ड्रम
drummer,ड्रमर
drumist,ड्रम
concert,कन्सर्ट
jamming,जाम
todh,ब्रेक
breaking,ब्रेकि
performer,प्रदर्शनकर्ता
fans,प्रशंसकहरू
blowing,उड्ने
blow,फुक्नु
chumma,चुम्मा
pappi,पुजारी
puchchi,पुच्ची
coochie,कूची
coo,coo
babes,बच्चाहरु
majnu,मजनु
intezaar,intezaar
minute,मिनेट
paanch,पाँच
intimate,घनिष्ठ
mood,मुड
romancing,रोमान्सिंग
weather,मौसम
place,स्थान
shona,शोना
babu,बाबु
honesy,मह
hon,त्यो
pillow,तकिया
hug,अंगालो
arms,हतियार
hugz,hugz
hugzz,hugzz
rush,हतार
rushing,हतार गर्दै
already,पहिले नै
bhaag,सेयर गर्नुहोस्
bhaago,भागहरू
bhago,भाग्नु
traffic,ट्राफिक
delhi,दिल्ली
getting,भइरहेको छ
deay,deay
smoke,धुवाँ
smokes,धुम्रपान
smkoing,धुम्रपान
fag,फाग
cigarette,सिगरेट
companies,कम्पनीहरू
pi,pi
phook,Fook
burned,जलेको
itna,धेरै
load,लोड
workload,वर्कलोड
kitna,Kitna
saara,saara
desk,डेस्क
workstation,वर्कस्टेशन
alarm,अलार्म
clock,घडी
brushed,ब्रश
brush,ब्रश
teeth,दाँत
tooth,दाँत
toothbrush,टूथब्रश
toothpaste,टुथपेस्ट
paste,टाँस्नुहोस्
baathroom,बाथरूम
cuppa,cuppa
mode,मोड
peetey,peetey
chalna,हिड्दै
chair,कुर्सी
workdesk,workdesk
table,तालिका
jam,जाम
giril,प्रविष्ट
Zinedine Zidane,Zinedine Zidane
foor,नराम्रो
kick,लात
everybody,सबैलाई
footballer,फुटबलर
Zizou,Zizou
Real Madrid,रियल म्याड्रिड
ground,जमीन
wayne rooney,वेन रुनी
rooney,रुनी
taal,भाषा
ronaldo,रोनाल्डो
devils,शैतान
goalkeeper,गोलकीपर
david,डेभिड
gea,gea
david de gea,डेभिड डे गे
dive,गोता
messi,मेसी
around,वरपर
lionel,सिंहेल
fc barcelona,fc बार्सिलोना
barcelona,बार्सिलोना
Argentine,अर्जेन्टिन
argentina,अर्जेन्टिना
england,ईland्गल्यान्ड
grond,जमीन
fifa,फिफा
world cup,विश्वकप
pele,छाला
maradona,माराडोना
reds,रातो
cheerings,जयजयकार
glory,महिमा
wayne,वेन
manu,मनु
man utd,man utd
united,एकजुट
manchester,म्यानचेस्टर
david beckham,डेभिड बेकहम
beckham,बेकहम
alone,एक्लो
Mesut ozil,मेसुट ओजिल
mexut,mexut
ozil,ओजिल
vc,तपाईं
udaoo,फ्लायर
notes,नोटहरू
ceo,CEO
apna,हाम्रो
karna hai,गर्नुपर्ने छ
computer,कम्प्युटर
ishtart,isttart
pulling,तान्दै
trigger,ट्रिगर
pushing,धक्का
push,धक्का
pull,पुल
liver,कलेजो
chashma,चश्मा
chashmish,चश्मा
bol,यो थियो
locker,लकर
safe,सुरक्षित
interns,इंटर्नहरू
lao,TB
internship,इंटर्नशिप
internships,इंटर्नशिप
assisting,सहयोग गर्दै
assist,सहायता गर्नुहोस्
chaiye,वास्तविक
wanting,चाहनु
coder,कोडर
error,त्रुटि
geek,geek
nerd,मूर्ख
bijness,व्यापार
binnes,भित्र
laptop,ल्यापटप
business idea,व्यापार विचार
asli,प्रामाणिक
onterpronor,onterpronor
owner,मालिक
calls,कलहरू
multi,बहु
tasking,Tasking
multi tasker,बहु झोला
pen,कलम
cups,कप
game of thrones,सिंहासनको खेल
throne,सिंहासन
scarf,स्कार्फ
shawl,शाल
comfortable,सहज
special,विशेष
coffee beans,कफी बीन्स
beans,सिमी
lovers,प्रेमीहरु
season,मौसम
khana,खाना
weddings,विवाह
tub,टब
long,लामो
bath bath,नुहाउनु
nahana,सोच्नुहोस्
Jacuzzi,जाकुजी
peanuts,बदाम
popcorns,पपकर्नहरू
heaven,स्वर्ग
sweaters,स्वेटर
jackets,ज्याकेट
warmers,तताउने
wamr,उनले आदेश दिए
clothing,लुगा
cuddle,कुकुर
dolls,पुतली
winter shopping,जाडो किनमेल
packet,पैकेट
blanket,कम्बल
blanks,खाली ठाउँ
bedtime,सुत्ने समय
peecha,पीछा
following,निम्न
world,संसार
duniya,संसार
ladh,भनिएको थियो
jaaunga,जानेछ
obssessive,जुनूनी
possessive,अधिकार
laila,लैला
chillaunga,Chilling जवान
faad,फाल्ने
tearing,च्यात्नु
manboy,manboy
raveena,रवीना
tandon,जलाशय
haaye,जडान गर्नुहोस्
karant,वर्तमान
current,वर्तमान
marti,मार्टी
on the floor,भुइँमा
fall,खस्नु
fell,खसे
ladaye,झगडा
mujhse,मबाट
fraanship,फ्रेन्शिप
karge,कुरकुरा
propose,प्रस्ताव
proposing,प्रस्ताव गर्दै
palat,दरबार
idhar,यहाँ
varun dhawan,वरुण धवन
deewana,पागल
gaana,गीत
bajadu,बजाडू
gaaana,जाऊ
chalogi,के तपाईं हिंड्नुहुन्छ?
chalegi,चल्नेछ
date,मिति
date night,मिति रात
tumko,तपाईलाई
naa,होईन
bhool,गलत
payenge,प्राप्त हुनेछ
sword,तरवार
samurai,समुराई
lunga,लामो
gangs of wasseypur,wasseypur को गिरोह
height kam,उचाई काम
jyada,अधिक
balwant,बलवंत
rai,राय
defense,रक्षा
mujhe,म
dila,dila
lagta'hai,देखिन्छ
tujhe,तपाईलाई
value,मान
ct,सीटी
attacking,आक्रमण गर्दै
aati,आउनुहोस्
khandala,खण्डला
smiling,हाँसो
propoing,प्रपोज गर्दै
offer,प्रस्ताव
offering,प्रसाद
humse,हामीबाट
dushmani,दुश्मन
khatra,खतरा
enemy,शत्रु
enemies,दुश्मन
danger,खतरा
warning,चेतावनी
dangerous,खतरनाक
warn,चेतावनी
atta,अटा
maajhi,माझी
satakli,शटल
ajay,ajay
devgan,देवगन
singham,सिंघम
ghuma,घुमाउनु
ne,हैन
garba,गरबा
gujju,गुज्जू
gujarati,गुजराती
chaapli,चापलुसी
chaniya,चानिया
choli,आउनुहोस्
lehenga,लेहेन्गा
dod,dod
dayi,ताजा
gujarat,गुजरात
bes,मात्र
beth,बेथ
shut up,चुप लाग्नु
now,अब
guju,पूर्व निवास
shri,श्री
gujurati,गुजराती
dancer,नर्तक
baka,हुनसक्छ
I love you,म तिमीलाई माया गर्छु
hu,उहाँ हुनुहुन्छ
tane,अन्न
karu,हल्का
chu,चू
giving,दिने
aavjo,आउनुहोस्
ok bye,हस्त नमस्कार
thi,परीक्षा
woh,ओहो
issues,मुद्दाहरू
nakhre,Tantrums
insecure,असुरक्षित
moti,विचलित
girlfrend,गर्लफ्रेंडहरू
tha,हुनेछ
doubt,शंका
unavailable,अनुपलब्ध
reachable,पहुँचयोग्य
diet,खाना
apple,स्याऊ
dieting,डाइटिंग
thin,पातलो
slim,पातलो
workig out,बाहिर काम गर्दै
dresses,लुगा
dresss,लुगा
pehnu,pehnu
suggest,सुझाव दिनुहोस्
sunglasses,चश्मा
heartache,दुखाई
heartbreak,मुटु
toota,उत्पादन गर्न
tears,आँसु
aasu,सासु
space,ठाउँ
crossed feet,क्रस खुट्टा
Naam,नाम
Jalebi,जलेबी
sweetshop,मिठाई पसल
gol,लक्ष्य
seedhi,भर्या
icecream,आइसक्रिम
strawberry,स्ट्रबेरी
flavours,स्वादहरू
sundae,sunde
choco,चोको
chocolate,चकलेट
butterscotch,butterscotch
mango,आम
softy,नरम
garam,नुन
pyaali,कप
pyali,कप
tapri,टप्री
stall,स्टाल
salman,सलमान
kadak,kadak
bhunta,भुटेको
corns,कर्नस
corn,मकै
cob,भाँडा
bhutta,भुट्टा
baarsh,Barsh
item,वस्तु
wala,केहि छैन
seller,विक्रेता
selling,बेच्दै
sell,बेच्नुहोस्
vada,हेर्न
paz,paz
relish,स्वाद
kind,दयालु
triangle,त्रिकोण
samosa,समोसा
evening,साँझ
chutney,चटनी
sauce,चटनी
plate,प्लेट
paranthas,परांठे
aloo,आलु
gobhi,बन्दकोबी
paneer,Paneer
mix,मिश्रण
mooli,moles
potato,आलु
cauliflower,फूलगोभी
cheeze,चीज
achaar,आचरण
pickle,अचार
server,सर्भर
hiaya,लागत
gappe,च्याटरबक्स
spicy,मसलादार
yummy,स्वादिष्ट
yum,यम
chaat,कुराकानी
chaat wala,च्याट र छैन
ek plate,एक प्लेट
dosa,पाप
masala,मसला
psicy,psicy
sambhar,भण्डारण
coconut,नरिवल
madras,मद्रास
cafe,क्याफे
folk,लोक
spoon,चम्चा
lassi,लस्सी
jaisi,जस्तो
apun,अपुन
ishtyle,ishtyle
gangster,गुंड
fashion,फेसन
manner,तरिका
thakela,थकित
thakele,थकित
loser,हरुवा
uninteresting,चिन्ता नलिने
lousy,कम
macho,माचो
tapori,टपोरी
broad,फराकिलो
aja,मात्र
abhi,अब
slap,थप्पड
chamaat,मोल्स
du,बाट
showing,देखाउँदै
to slap,थप्पड लाग्नु
thappad,थप्पड
try,प्रयास गर्नुहोस्
shanpatti,चम्पाचे
shaanpatti,सर्पबाइट
jarela,jarela
shahrukh,शाहरुख
khopche,गोली
lu,रोड
knife,चक्कु
loafer,लोफर
mumbaiker,मुम्बई
mumbai,mumbai
corner,कुना
locha,लोचा
gadbad,गडबडी
waat,के
hoyla,आज
rehen,रहनुहोस्
destined,नियत
lawn,ल्यान
mate,साथी
destiny,भाग्य
ending,अन्त्य
winking,आँखा झिम्काउनु
cry,रुनु
together,सँगै
lonely,एक्लो
having,भएको
ever,कहिले पनि
stomach,पेट
rofl,rofl
delicious,स्वादिष्ट
meal,खाना
spent,खर्च
same,उही
passion,जोश
common,साधारण
sold,बेचियो
fix,ठिक
amchi,म हिंड्छु
torch,मशाल
mashaal,माशाल
jeetesh sharma,जीतेश शर्मा
swing,स्विing
bumrahaang,bumrahaang
jaspreet bumrah,जसप्रीत बुमराह
bumrah,बुमराह
paltan,पल्टन
lendl simmons,लेन्डल सिमन्स
lendl,उधारो
simmons,सिमन्स
group hug,समूह अंगालो
nitish rana,नीतीश राणा
rana,राना
hitman,हिटम्यान
rohit,रोहित
gods,देवताहरु
own,आफ्नै
bhajji,भज्जी
firki,स्पिन
spinner,स्पिनर
aicha,आइशा
gho,D
vaat,प्रतिज्ञा
lagli,लग्ली
lag gayi,संलग्न भएको छ
bolt,बोल्ट
wicket,विकेट
tim southee,टिम सोउबाट
mall,मल
chopping,काट्नु
bought,किन्नुभयो
bakwas,फोहोर
rubbish,फोहोर
electricity,बिजुली
andhera,गाढा
shanti,शान्ती
shaanti,शान्ति
matka,आमा
won,जित्नुभयो
jeet,विजय
gaye,गयो
batao,मलाई भन
banda,ब्यान्ड
mast,मस्त
dungi,धर्काहरू
shoot,शुट
shooting,शुटि
pistol,पिस्तल
sudhrega,सुधार हुनेछ
indian man,भारतीय मान्छे
naari,बिज्जू
aurat,जननेंद्रिय
sev,सेभ
parmal,parmal
muh,मुह
bhiya,मार्फत
pani puri,पानी पुरी
ram,भेडा
bachche,बच्चाहरू
bache,बाँया
padegi,खस्नेछ
jootey,जुत्ता
padenge,हुनेछ
beating,पिट्नु
slippers,चप्पल
jhoota,झूटा
lie,झुटो
cha,होईन
awesome,अति उत्तम
were,थिए
babaji,बाबाजी
thullu,थल्लू
mandir,मन्डिर
danda,बोल्ड
khayega,खानेछ
ayega,आउनेछ
majaa,MAJA
chill pill,चिल गोली
rakh,राख्नुहोस्
muffler,मफलर
khilo,खिल
canteen,क्यान्टीन
bore,बोर
banaya,बनेको
kajal,काजल
faila,फाईल
smudge,धुलो
conscious,सचेत
looks,देखिन्छ
marungi,मारुंगी
studies,अध्ययन
loads,भार
assignment,असाइनमेन्ट
papers,कागजात
maah,महिना
rules,नियमहरु
binoculars,दूरबीन
checking out,जाँच गर्दै
pehna,लगाएको
achchi,बच्चा
achi,राम्रो
doll,पुतली
harley quinn,हार्ले क्विन
suicide squad,आत्महत्या टोली
hammer,हतौडा
dollface,डल्फ्फेस
skeletor,कंकाल
Power Sword,पावर तरवार
he man,उहाँले मानिस
Him,उसलाई
mercy,दया
catwoman,catwoman
suicide,आत्महत्या
squad,टोली
coyote,कोयोटे
roadrunner,रोडरोनर
wolf,ब्वाँसो
Gangreen Gang,ग्यांग्रीन ग्या
villains,खलनायक
hehehe,hehehe
pease,पिस
afford,किन्न
frowning,frowning
bunk,बंक
lecture,व्याख्यान
skip,छोड्नुहोस्
easy,सजिलो
school bag,स्कूल झोला
drop,छोड्नुहोस्
class test,वर्ग परीक्षण
disappointed,निराश
nap,निप
jana,jana
assignments,असाइनमेन्टहरू
chopra,चोप्रा
mona,मोना
sona,समाप्त
mona darling,मोना प्रिय
ajit,अजित
robert,रबर्ट
briefcase,ब्रीफकेस
khulla,खोल्नुहोस्
bulla,बुल्ला
Danny Denzongpa,ड्यानी डेन्जोंगपा
danny,ड्यानी
maut,मृत्यु
death,मृत्यु
threat,खतरा
shakti,शाक्ति
kapoor,कपूर
bachayega,बचत हुनेछ
teja,टाइल
andaaz,अनुमान
mark,चिन्ह
kidhar,कहाँ
gulshan grover,गुलशन ग्रोभर
amjad khan,खानको महिमा
dar,तर
samjho,यसलाई बुझ्नुहोस्
mar,मार्च
mogambo,मोगाम्बो
mr,श्री
mister,मिस्टर
amrish puri,अमरीश पुरी
dhak,त्यो
gogo,gogo
go go,जाऊ
andaz,andaz
crime,अपराध
baarish,बेरीश
raindance,raindance
biker,बाइकर
2017,२०१
new year,नयाँ वर्ष
no plans,कुनै योजना छैन
to do,गर्नु पर्ने
year,बर्ष
ahead,अगाडि
nye,नयाँ
new,नयाँ
nye wishes,अन्य इच्छा
new year wishes,नयाँ वर्षको शुभकामना
happy new year,नयाँ बर्षको शुभकामना
resolution,संकल्प
resolutions,रिजोलुसनहरू
welcoming,स्वागत छ
bitching,बिचिंग
whinning,whinning
burai,दुष्ट
organise,संगठित गर्नुहोस्
organize,संगठित गर्नुहोस्
wardrobe,वार्डरोब
room,कोठा
join,join
next,अर्को
pose,पोज
asan,सजिलो
asana,आसन
yoga pants,योग प्यान्ट
patli,पातलो
hongi,हुनेछ
become,बन्नु
weighing,तौल
scale,स्केल
wazan,wazan
wajan,फ्राइंग प्यान
vajan,मलाई चाहिन्छ
credit,क्रेडिट
chuka,चीनियाँ
hanger,ह्यान्गर
wakeup,उठ्नुहोस्
early,प्रारम्भिक
suraj,सूरज
uthunga,उठ्नेछ
walon,ती
walo,वाह
parent,अभिभावक
calling,कल गर्दै
mota,कहिले
fatso,फ्यात्सो
motapa,मोटाई
ghata,माइनस
chod,चल्दै
chodd,छोड्नुहोस्
khaunga,खानेछ
choices,छनौट
vegies,सब्जी
vegetables,तरकारी
burger,बर्गर
weighing scale,तराजु
machine,मेशीन
watch,हेर्नु
ghataunga,कम हुनेछ
karunga,हुनेछ
haanikarak,हानिकारक
workingout,बाहिर काम गर्दै
sweating,पसिना
coach,कोच
slapping,थप्पड मार
chaar,चार
dangal hoga,दंगा हुनेछ
pehalwani,पहलवानी
revolt,विद्रोह
punching,मुक्का
misaale,उदाहरण को लागी
example,उदाहरण
motivate,उत्प्रेरित
chora,रुनु
chori,चियोरो
aamir,आमिर
khan,खान
too,पनि
khus,खुस
khuss,खुस
zyada,अधिक
choriyon,चोरहरू
charm,आकर्षण
shabaash,कोर्रा
saabaas,चिन्ता
sabaas,सामान्य
sabas,साबस
praising,प्रशंसा गर्दै
choriyaa,चोरिया
choron,चोरहरू
sakshi tanwar,साक्षी तंवर
wrestling,कुस्ती
dhaakad,क्रोध
geeta phogat,गीता फोगाट
hilary clinton,हिलारी क्लिंटन
whiskey bottle,व्हिस्की बोतल
miss call,मिस कल
missed call,छुटेको कल
bouquet,गुलदस्ता
mobile,मोबाइल
love letter,प्रेम पत्र
single,एकल
chala,सजिलो
hawa,हावा
eudaya,युडाया
marathi,माराठी
aii,aii
gahh,gahh
payjama,पजामा
mandali,घेरा
gilr,gilr
mi,मेरो
maratha,मराठा
lai,लाई
bhari,पूर्ण
kasa,मामला
aahes,aahes
mitra,मित्रा
maharashtra,महराष्ट्र
pareshaan,आवश्यकता प्रशिक्षण
mana,कहाँ
permission,अनुमति
bey,bey
lot,धेरै
loaded,लोड भयो
battery,ब्याट्री
halat,माछा
tabiyat,स्वास्थ्य
musaddi,ग्रुबी
musaddi lal,मुसद्दी लाल
compaining,compaining
complain,गुनासो
illegal,अवैध
legal,कानूनी
kardo,तरवार
file,फाईल
rocket,रकेट
missle,मिसाइल
top,माथि
toop,toop
shukla,शुक्ला
shukla ji,श्री शुक्ला
akhri,पढ्नु
form,फारम
office office,कार्यालय कार्यालय
filling,भर्न
yahi toh,यो छ
knitting,बुनाई
sewing,सिलाई
wool,ऊन
mehengai,मुद्रा स्फीति
baatein,कुरा
clerk,क्लर्क
upar,माथि
order,अर्डर
sabko,सबैलाई
blackmail,ब्ल्याकमेल
teach,सिकाउनु
sikha,सिकेका
jaanti,थाहा छ
kahenge,भन्दछ
dimaag,दिमाग
bech,bech
booy,बूइ
dhyaan,ध्यान दिनुहोस्
zoned,जोन गरिएको
shutup,बन्द
bolne,बिरामी
laga,बुझ्नुहोस्
zubaan,जुबान
something,केहि
naach,नृत्य
aangan,आँगन
teda,त्यसैले
eent,एक
jawab,उत्तर
patthar,ढु The्गा
jiski,कसको
laathi,लाठी
uski,उसको
bhains,भैंस
buffalo,भैंसी
bael,बाउल
kauva,क्रो
dorry,डेरि
saying,भन्दै
kaise,कसरी गर्ने
samjahu,समूह
broken,भाँचिएको
love you,तिमीलाई माया गर्छु
huva,हुड
wada,वाडा
pill,गोली
skeleton,कंकाल
kaale,समयमा
kurte,कुर्ते
waali,पागल
eve teasing,संध्या छेड्ने
bra,ब्रा
left,बाँया
f you,f तपाईं
fuck you,तिमीलाई चुदाऊ
smoking,धुम्रपान
twenty,बीस
somethings,थोरै
chiling,आदेश
drying,सुख्खा
nails,न nails
vanity,घमण्ड
adult,वयस्क
grownup,प्रौढ
bajate,टिकट गर्दै
raho,रहनुहोस्
toofani,आँधीबेहरी
dew,शीत
mountain dew,पहाडी शीत
jhingalala,जिing्गालाला
tata sky,टाटा आकाश
karlo,यस्तो देखिन्थ्यो
mutthi,मुट्ठी
globe,ग्लोब
maggi,मैगी
ketchup,केचअप
tomato,टमाटर
confusion,भ्रम
cookie,कुकी
jee,jee
lalchay,प्रलोभन
Alpenliebe,अल्पाइन प्रेम
daag,दाग
achche,अवश्य
acche,राम्रो
dirt,फोहोर
dust,धुलो
toing,toing
thumbs up,थम्ब्स अप
taste the thunder,गर्जनको स्वाद लिनुहोस्
boondon,बूँदाहरू
ujala,उजाला
ritesh deshmukh,रितेश देशमुख
killer,हत्यारा
murder,हत्या
psycho,साइको
once,एक पटक
sultan,सुल्तान
mirza,मिर्जा
accha,राम्रो
patekar,पाटेकर
salmaan,साल्मन
maine pyaar kiya,मलाई मन पर्यो
thankyou,धन्यवाद
mr india,श्रीमती भारत
akshay,akshay
kumar,कुमार
king,राजा
sardar,सरदार
tension,तनाव
lene,तिनीहरू भन्छन्
munna,अघि
munna bhai,मुन्ना भाई
mbbs,Mbbs
wanted,चाहन्थ्यो
commitment,प्रतिबद्धता
srk,SRK
dilwale,dilwale
dulhaniya,दुलही
jaaenge,जाँजे
ddlj,DDLJ
dc comics,dc comics
Superman,सुपरम्यान
batman,ब्याटमैन
wonder woman,अचम्म महिला
bleed,रगत
iron man,लौह पुरुष
ironman,लौह पुरुष
shawarma,शावरमा
suit up,सूट
amercia,अमर्शिया
black widow,काली विधुवा
puchha,सोधे
whoaskedyou,तिमीलाई कसले सोध्यो?
dumb,गूंगा
brains,दिमाग
lackofbrains,अभाव
disapproval,अस्वीकृत
whatdoyouwanttosay,whatsdoyouwanttosay
explain,बुझाउनुहोस्
explainyourself,व्याख्या गर्नुहोस्
kehnakyachahteho,Kehnakyachtehteho
getlost,getlost
bhag,भाग
buzzoff,buzzoff
classbunk,क्लासबन्क
dayoff,dayoff
don'tbuttin,dobuttin
interrupt,अवरोध
bichmeinmatbol,bichmeinmatbol
growup,ग्रोप
youarestillakid,youarestillakid
talktomyhand,टाल्क्टोमाइन्ड
homescience,होम साइन्स
housekeeping,हाउसकीपिंग
kapilsharma,Kapilaksarama
getreadyquick,getreadyquick
maggigetsreadyquicker,म्याग्गेट्सडिरेक्वीकर
maang,माग
marriage,विवाह
demands,माग
shoppingcart,किनमेल कार्ट
beforeandaftermarriage,विवाह अघि र पछिको
jaanmatjao,जन्म लिनुहोस्
jaanmatkhao,मार्नु
idiots,बेवकूफ
kingofidiots,kingofidiots
normal,सामान्य
psychohusband,साइकोहुसब्यान्ड
happywomanisamyth,happywomanisamyth
adrak,अदुवा
tanuwedsmanu2,tanuwedsmanu2
unevengrowth,अनवेनग्रोथ
growth,वृद्धि
wifi,वाइफाइ
wifilove,wifilove
lovewithoutlimits,lovewithoutlimits
limitlesslove,असीमित
c'estlavie,itlavie
it'slife,यो जीवन हो
adversesituation,प्रतिकूलता
everymomentmatters,Everymomentmatters
eachmoment,Everymoment
yolo,योलो
fightolive,फाइटोलिभ
live,जीवित
outdreamyourself,आफैलाई चकित पार्नुहोस्
dream,सपना
dreambig,सपना बिग
ambition,महत्वाकांक्षा
ambitious,महत्वाकांक्षी
sayyes,Sayyes
sayyestonewadventures,sayyestonewadorses
newadventures,newadventures
adventures,साहसिक
adventure,साहस
wordhard,वर्डहार्ड
workhardinsilence,workhardinsilence
hardwork,कडा मिहिनेत
goodthings,Gudamtings
patience,धैर्य
bebold,bebold
beyou,beyou
beboldbeyou,beboldbeyou
selflove,आत्म प्रेम
confidentinyourskin,आत्मविश्वास
edit,सम्पादन गर्नुहोस्
editlifefrequently,editLivefre માર
editlife,edit जीव
dynamic,गतिशील
baapkosikhayega,बापकोसिखेगा
ranveer,रनभेर
ranveersingh,रनवीर सिंह
don'tteachme,notteachme
preach,प्रचार गर्नु
goodshitbruh,goodshitbruh
nicework,राम्रो काम
keepitup,यसलाई जारी राख्नुहोस्
overconfidence,अति आत्मविश्वास
whatdoyouthinkofyourself,whatdoyouthinkofyourself
preity,प्राथमिकता
preityzinta,प्रीतिजिन्टा
overestimation,ओभरस्टीमेसन
don'toverestimateyourself,dooverestimateyourself
don'tirritateme,मलाई रिस नउठाऊ
dimagkadahi,dimagkadahi
agitate,आक्रोश
beta,बेटा
pitega,हराउनेछ
pita,pita
betatupitega,बेटाटु बेटेगा
rebuke,हप्काउनु
chide,खानुहोस्
nanapatekar,Nanapatekar
baapkonhai,बापकोन
beti,सँधै
tujantahai,टुजान्टाहा
tujantanahinmerabaapkonhai,तिमी मेरो छोरा होइनौ
deepika,गहिरो
deepikapadukone,दीपिकापाडुकोण
salmankhan,Calmantn
bhagwan,भगवान
bhagwanmujheuthalo,भगवान् मलाई उठाउनुहुन्छ
mela,mela
mele,मेरो
PDA,पीडीए
melebabaunekhanakhaya,मलाई मर्न दिनुहोस्
chalbetakatle,चालबेटकास्टलमा
arjun,अर्जुन
arjunkapoor,अर्जुनपुर
tevar,फ्रोभ
mahlyfmahrulezz,mahlyfmahrulezz
mah,mah
lyf,लागूपदार्थ
alia,आलिया
aliabhatt,अलिभट्ट
shaandar,शानदार
zabardast,zabardast
superb,शानदार
yejawanihaideewani,yeantheseason
mujhetumsepyarhojayegaphirse,म तपाईं बाट
loveagain,loveagain
hopelesslove,निराश प्रेम
bollywoodmother,बलिउडमेर
deewar,भित्ता
shashikapoor,शशिया गरीब
merepaasmaahai,आराम गर्नुहोस्
ego,अहंकार
egohurt,egohurt
prakashraj,प्रकाशशरण
egonahihurtkarneka,यहाँ बस
don'thurtmyego,don'thurtmyego
karanarjun,कर्णार्जुन
merekaranarjunayenge,एक चमत्कार हो
rakhee,राखी
himmat,साहस
himmatbatayinahidikhayijatihai,साहस
ajaydevgn,Ajadevagan
onceuponatimeinmumbai,Seuponachi मुख्य मुम्बई मा
courage,साहस
confidence,निर्धक्क
filter,फिल्टर
abhaydeol,Abhaydeol
afilterisnecessary,afilteris अनावश्यक
bhaiofbollywood,bhaiofbollywood
chaltihaikya9se12,C सी १२ सार्दै
nausebara,नौसाबरा
judwaa,जुडवा
let'sgo,letgo
achahai,कि
achahaibahutachahai,अच्यभुताचाहा
dates,मिति
tareekh,मिति
tareekpetareekh,मिति
lawyer,वकिल
kanoon,कानून
damini,दामिनी
courtroom,अदालत
Frankenstein,फ्रान्कस्टेन
dimaagmeinchemicalocha,दिमाग दिमागमा
chemicallocha,रसायनलोचा
doomsday,प्रलयको दिन
grimreaper,grimreaper
grave,चिहान
ajterimautaayihai,Ajaterimoutayi
khoon,रगत
khoonkyapyasa,कुनै समस्या छैन
bloodthirst,रक्तपात
thirstyforblood,प्यासी
screw,पेच
screwdheela,पेचकस
dimwitted,डिमविटेड
terascrewdheelahai,terascrewdheelahai
youaredumb,तिमि लाटो छौ
dilchuraneayihu,चाखलाग्दो
churail,बोक्सी
pirate,समुद्री डाकू
bacho,मुक्ति पाउन
dekhobachhomummyaagayi,dekhobachhomummyaagayi
egypt,इजिप्ट
mummified,mummified
kaddu,पम्पकिन
pumpkin,कद्दू
merakaddukhale,Meerkadukhale
junglee,जंगली
wild,जंगली
iamwild,iamwild
mainjungleehoon,mainjungleehoon
yahoo,याहू
blackmagic,कालोमैजिक
kalajadu,kalajadu
merakalajaduchalgaya,मेरकलाजादुचल्गाया
mxagic,mxagic
impressedyou,प्रभावित
bhejafry,गाईको मासु
zobie,लाश
ilovebhejafry,lovebird
brainfry,brainfry
bheja,पठाइयो
dimagchat,दिमाग
teradimagchatlunga,teradimagchatlunga
iwillirritateyou,iwillirritateyou
cholikepeeche,cholikepeeche
madhuri,माधुरी
khalnayak,खलनायक
trymeout,trymeout
muscleman,मांसपेशी
wannatrymeout,wannatrymeout
askingout,सोधपुछ
tryme,मलाइ प्रयास गर्नुहाेस
let'stalkaboutme,let'stalkaboutme
narcissism,मादक पदार्थ
selfobsession,selfobsession
shameonyou,धिक्कार छ तिमीलाई
bachelor,अविवाहित पुरुष
shameonyougirlsiamstillabachelor,ਸ਼ਰਮोनीउगर्लियाअमस्टिलाब्याचलर
bechelor,बेचेलर
bachelordude,स्नातक
iampretty,म राम्री छु
beingacrime,beingacrime
arrestme,गिरफ्तार
ifbeingsexyisacrime,ifbeingsexyisacrime
iloveyou,म तिमीलाई माया गर्छु
iloveyoubaby,iloveyoubaby
let'shitthegymtogether,lethitthegymtogether
hitthegym,hitthegym
gymtogether,जिमको साथ
eatme,खाने
youcaneatme,youcaneatme
youcaneatmefordinner,youcaneatmefordinner
devour,भस्म गर्नु
wannagoonaride,वानानागुनाराइड
wannago,जना चाहन्छु
biking,बाइक
bikeride,Bikeride
cominglate,कमलेट
imightbelatebuti'mlookinggood,imightbelatebuti'mlookinggood
lookinggood,lookgood
barsoramdhasakese,बारसोरामधासकेसे
barso,वर्षा वर्षा
puddle,पोखर
tiptip,टिपटाइप
tiptipbarse,टिप्टी बार
tiptipbarsa,tiptipbarsa
drizzle,रिमझिम
danceintherain,डान्सिन्थेरेन
let'sdanceintherain,letdanceintherain
itwentfloating,itwentfloating
floating,फ्लोटिंग
paperboat,कागज बोट
flaoting,फ्लोटिंग
underthecloudysky,अण्डरक्लोडिस्की
cloudy,बादल
bench,बेन्च
iloverain,इलोवेरेन
rains,वर्षा
dumdum,डमडम
dumumdigadiga,महिला
rainbow,इन्द्रेणी
chhata,छाता
chata,घरेलु
chatabhulgaya,खुसी
chatalanabhoolgaya,चतलाng्गलय
rainyday,वर्षाको दिन
rainy,वर्षा
rainydayandtea,raydaydayandtea
indoor,भित्री
indoors,घर भित्र
ayasawan,ayasawan
ayasawanjhoomke,सजिलो
splash,छप्पर
