bobble,ബോബിൾ
holi party,ഹോളി പാർട്ടി
khelte,കളിക്കാൻ
chalo,വരൂ
rangon,റാങ്ക്
ab,മുതൽ
toh,ടോ
balloon,ബലൂണ്
ke,ന്റെ
lad,ബാലൻ
gande,വരണ്ട
kapde,വസ്ത്രങ്ങൾ
dressed,വസ്ത്രം ധരിച്ചു
coloured,നിറമുള്ള
colored,നിറമുള്ള
chun,ടു
rangoongi,രന്ഗൊഒന്ഗി
raising,ഉയർത്തുന്നു
raise,ഉയർത്തുക
glasses,കണ്ണട
toast,ടോസ്റ്റ്
kab,കാബ്
gabbar,ഗബ്ബാർ
gubbar,പുരുഷന്മാർ
sholay,ഷോലെ
keh,അതെ
maarunga,കൊല്ലും
hoga,ആയിരിക്കും
re,വീണ്ടും
kaaliya,കാലിയ
kaliya,വെറുതെ
holi colours,ഹോളി നിറങ്ങൾ
barse,ബാർസ്
bheegey,നനഞ്ഞ
chunar,ചുനാർ
may,മെയ്
irish,ഐറിഷ്
st patricks day,സെന്റ് പാട്രിക്സ് ദിവസം
st,സെന്റ്
patricks,പാട്രിക്സ്
lucky,ഭാഗ്യം
goodluck,നല്ലതുവരട്ടെ
upon,ന്
greets,അഭിവാദ്യങ്ങൾ
patty,പാറ്റി
feast,ഉത്സവം
pattys,പട്ടീസ്
celebrations,ആഘോഷങ്ങൾ
feasts,വിരുന്നുകൾ
elebrate,ആഘോഷിക്കൂ
ireland,അയർലാൻഡ്
wman,wman
troubles,കഷ്ടതകൾ
less,കുറവ്
im,im
believer,വിശ്വാസി
sitting,ഇരിക്കുന്നു
everyone,എല്ലാവരും
everyones,എല്ലാവരും
few,കുറച്ച്
beers,ബിയറുകൾ
beer glass,ബിയർ ഗ്ലാസ്
drining,കുടിക്കൽ
bar,ബാർ
coins,നാണയങ്ങൾ
gold,സ്വർണം
wealth,സമ്പത്ത്
treasure,നിധി
rise,ഉയരുക
chap,അധ്യാ
until,വരുവോളം
taking,എടുക്കൽ
adios,ബൈ
beerglass,ബിയർഗ്ലാസ്
partying,പാർട്ടി
ramzan,റാംസാൻ
mobarak,വാഴ്ത്തപ്പെട്ടവൻ
mosque,മുസ്ലിം പള്ളി
look,നോക്കൂ
chand,ചന്ദ്
terrace,ടെറസ്
dekho,നോക്കൂ
keep,സൂക്ഷിക്കുക
calm,ശാന്തം
and,ഒപ്പം
iftar,ഇഫ്താർ
iftaar,iftar
dinner,അത്താഴം
eid,eid
fitr,fitr
fitar,പുറത്ത്
many,പലരും
gang,സംഘം
milna,മിൽന
milne,മിൽനെ
ramadan,റമദാൻ
kareen,കരീൻ
ramadaan,റമദാൻ
allah,ദൈവം
bhaijaan,സഹോദരൻ
insha,ഇൻഷ
inshaa,സൃഷ്ടിക്കുക
beard,താടി
praying,പ്രാർത്ഥിക്കുന്നു
pray,പ്രാർത്ഥിക്കുക
masjid,പള്ളി
namaz,പ്രാർത്ഥന
namaaz,namaaz
padhna,വായന
subhan,മഹത്വം
ka,അല്ലെങ്കിൽ
mullah,മുല്ല
beat,അടിക്കുക
gamer,ഗെയിമർ
gamechanger,ഗെയിംചേഞ്ചർ
gamechange,ഗെയിംചേഞ്ച്
basketball,ബാസ്കറ്റ്ബോൾ
football,ഫുട്ബോൾ
rio,റിയോ
in rio,റിയോയിൽ
give,കൊടുക്കുക
hoolahhoop,foohail
hoolah hoop,ഹൂഫോ ഹൂപ്പ്
gymnast,ജിംനാസ്റ്റ്
just,വെറുതെ
cycle,ചക്രം
riding,സവാരി
racing,റേസിംഗ്
racer,റേസർ
gear,ഗിയര്
brazil,ബ്രസീൽ
olympic,ഒളിമ്പിക്
olympics,ഒളിമ്പിക്സ്
indian olympics,ഇന്ത്യൻ ഒളിമ്പിക്സ്
india olympics,ഇന്ത്യ ഒളിമ്പിക്സ്
mascot,ചിഹ്നം
big,വലുത്
game,ഗെയിം
changer,മാറ്റുന്നയാൾ
sportsman,കായികതാരം
sportsmen,കായികതാരങ്ങൾ
ready,തയ്യാറാണ്
olympian,ഒളിമ്പിയൻ
sportsmn,കായികതാരം
baseball,ബേസ്ബോൾ
hockey,ഹോക്കി
training,പരിശീലനം
practice,പരിശീലനം
practise,പരിശീലനം
practising,പരിശീലിക്കുന്നു
workout,വർക്കൗട്ട്
working out,പ്രവർത്തിക്കുന്നു
aim,ലക്ഷ്യം
work out,വർക്കൗട്ട്
weight,ഭാരം
gym,ജിം
basanti,ബസന്തി
rang de basanti,മൂന്ന് മൃതദേഹങ്ങൾ അനുവദിക്കുക
citizen,പൗരൻ
indian citizen,ഇന്ത്യൻ പൗരൻ
shirtless,നിസ്സംഗത
an,ഒരു
is great,കൊള്ളാം
saffron,കുങ്കുമം
lal quila,ലാൽ ക്വില
bharat,ഭാരത്
mahan,മഹാൻ
mahaan,കൊള്ളാം
tajmahal,താജ്മഹൽ
taj,താജ്
jhanda,പതാക
uncha,ഉയർന്നത്
rahe,താമസിക്കുക
humara,ഹുമര
flag,ഫ്ലാഗ്
national flag,ദേശീയ പതാക
saare jahan se acha,എല്ലായിടത്തുനിന്നും നല്ലത്
tiranga,ത്രിവർണ്ണ
independence,സ്വാതന്ത്ര്യം
inquilaab,ഇൻക്വിലാബ്
zindabad,സിന്ദാബാദ്
struggle,സമരം
namaskar,ഹലോ
jai,ജയ്
cheering,ആഹ്ലാദിക്കുന്നു
vande,വാൻഡെ
matram,ദി
mataram,മാതം
wearng,ധരിക്കുന്നു
deva,ദേവ
shree,ശ്രീ
ganesha,ഗണേശ
agle,അടുത്തത്
baras,ബാർ
jaldi,നേരത്തെ
aana,കൊണ്ടുവരിക
statues,പ്രതിമകൾ
ganapati,ഗണപതി
laddu,ലഡ്ഡൂ
laddoo,ബ്രൗണീസ്
gaj,തോപ്പ്
gaja,തോപ്പ്
undir,The
rat,എലി
ganesh,ഗണേഷ്
prayer,പ്രാർത്ഥന
puja,പൂജ
chaturthi,ചതുർത്ഥി
ganpati,ഗണപതി
bappa,ഡാഡി
morya,കടൽ
modak,മൊഡാക്ക്
ganapti,ഗണപതി
tasha,തഷ
bajao,Blow തി
pointing,ചൂണ്ടിക്കാണിക്കുന്നു
finger,വിരല്
school dress,സ്കൂൾ വസ്ത്രധാരണം
school uniform,സ്കൂൾ യൂണിഫോം
female,പെൺ
inspiration,പ്രചോദനം
most,മിക്കതും
inspiring,പ്രചോദനം
teacher,അധ്യാപകൻ
mam,എനിക്കുണ്ട്
copy,പകർത്തുക
slate,സ്ലേറ്റ്
board,ബോർഡ്
favourite,പ്രിയപ്പെട്ടവ
favorite,പ്രിയപ്പെട്ടവ
nicker,നിക്കർ
nickers,നിക്കറുകൾ
shoes,ഷൂസ്
maim,ഞാൻ
madam,മാഡം
spectacles,കണ്ണട
bespectacled,വ്യക്തമാണ്
hindi teacher,ഹിന്ദി ടീച്ചർ
forget,മറക്കരുത്
school boy,സ്കൂൾ കുട്ടി
chart,ചാർട്ട്
remember,ഓർമ്മിക്കുക
school kid,സ്കൂൾ കുട്ടി
male,ആൺ
medal,മെഡൽ
competition,മത്സരം
belt,ബെൽറ്റ്
teachers,അധ്യാപകർ
rose,റോസ്
boutique,ബോട്ടിക്
flowers,പൂക്കൾ
roses,റോസാപ്പൂക്കൾ
inspire,പ്രചോദിപ്പിക്കുക
inspirational,പ്രചോദനാത്മകമാണ്
pot,കലം
matki,അമ്മ
janamshatami,ജനംസതമൈ
janmashtami,ജന്മഷ്ടമി
butter milk,മട്ടൻ
janamshatami janmashtami,ജന്മംകൊണ്ട് ജന്മഷ്ടമി
butter,വെണ്ണ
buttermilk,മട്ടൻ
makkhan,വെണ്ണ
malai,മൗണ്ടൻ
pots,കലങ്ങൾ
baal,baal
bal,പന്ത്
gopal,ഗോപാൽ
gopala,ഗോപാല
matkii,മെട്രിക്
chor,ചോർ
maakhan,മഖാൻ
makhan,വെണ്ണ
steal,മോഷ്ടിക്കുക
stealing,മോഷ്ടിക്കുന്നു
cream,ക്രീം
kanhaiya,കൻഹയ്യ
lala,ലാല
laal,ചുവപ്പ്
krishna,കൃഷ്ണ
baansuri,പുല്ലാങ്കുഴൽ
flute,ഓടക്കുഴല്
peacock,മയിൽ
joy,സന്തോഷം
brithday,ജന്മദിനം
janamashtmi,ജന്മഷ്ടമി
go go govinda,go govinda
govinda,ഗോവിന്ദൻ
matki phod,അമ്മമാരുടെ ഫോൺ
chal,നടക്കുക
phodte,പൊട്ടുന്നു
janamashtami,ജന്മഷ്ടമി
yashoda,യശോദ
yashodah,യശോദ
yashodha,യശോദ
nandlala,പട്ടിണി
govind,govind
suck,നുകരുക
blood,രക്തം
undead,മരണമില്ലാത്തത്
vampire,വാമ്പയർ
alien,അന്യഗ്രഹ
bhoot,പ്രേതം
stick,വടി
take,എടുക്കുക
castle,കോട്ട
werewolf,ചെന്നായ
half,പകുതി
tiger,കടുവ
crush,ക്രഷ്
bones,അസ്ഥികൾ
fangs,fangs
flinstones,ഫ്ലിന്റ്സ്റ്റോൺസ്
pikaa,വളരെ വേഗം
returns,വരുമാനം
guy',guy'
nose,മൂക്ക്
halloween,ഹാലോവീൻ
craving,ആസക്തി
bats,വവ്വാലുകൾ
dracula,ഡ്രാക്കുള
thirsty,ദാഹിക്കുന്നു
creepy,വിചിത്രമായ
creature,സൃഷ്ടി
creatues,സൃഷ്ടികൾ
et,ഒപ്പം
twister,ട്വിസ്റ്റർ
thristy,ട്രിസ്റ്റി
Hppy,സന്തോഷം
national,ദേശീയ
olding,പഴയത്
parade,പരേഡ്
swatantrata,സ്വാതന്ത്ര്യം
diwas,ദിവാസ്
divas,ദിവസ്
attire,വസ്ത്രധാരണം
kurta,കുർത്ത
pyjama,പൈജാമ
saffrn,സഫ്ഫ്ര്ന്
standing,സ്റ്റാന്റിംഗ്
pride,അഹംഭാവം
nation,രാഷ്ട്രം
tradition,പാരമ്പര്യം
walk,നടക്കുക
patriotic,ദേശസ്നേഹി
patriotism,ദേശസ്‌നേഹം
republic,ജനാധിപത്യഭരണം
gandhi,ഗാന്ധി
bharat mata,ഭാരത് മാതാ
worship,ആരാധന
sacrifice,ത്യാഗം
patriot,രാജ്യസ്നേഹി
azad,ആസാദ്
azaad,സ .ജന്യം
azadi,സ്വാതന്ത്ര്യം
swachch,സ്വിച്ച്
abhiyaan,കാമ്പെയ്‌ൻ
abhiyan,കാമ്പെയ്ൻ
clenaing,വൃത്തിയാക്കൽ
brooming,ബ്രൂമിംഗ്
modi,മോഡി
clam,ക്ലാം
jawan,ചെറുപ്പക്കാരൻ
kisaan,ഓട്ടം
jawaan,പൊടിപടലങ്ങൾ
farmer,കർഷകൻ
farm,ഫാം
farming,കൃഷി
field,ഫീൽഡ്
fields,ഫീൽഡുകൾ
crops,വിളകൾ
grow,വളരുക
inquilab,ഇൻക്വിലാബ്
incredible,അവിശ്വസനീയമായ
kathak,കഥക്
gandhigiri,ഗാന്ധിഗിരി
gandhi ji,ഗാന്ധി
bapu,ബാപ്പു
protest,പ്രതിഷേധം
non-violence,അഹിംസ
policy,നയം
zindabaad,ന്യൂസാഡ്
shouting,അലറുന്നു
gandhiji,ഗാന്ധിജി
hindustani,ഹിന്ദുസ്ഥാനി
joined,ചേർന്നു
hind,ഹിന്ദ്
desi,ദേശി
dwag,പതാക
lota,ചീട്ടു
village,ഗ്രാമം
swag,കൊള്ളമുതല്
hoist,ഉയർത്തുക
hoisting,ഉയർത്തുന്നു
celebring,ആഘോഷിക്കുന്നു
pholjhadi,സ്പാർക്ക്‌ലർ
festivals,ഉത്സവങ്ങൾ
joyous,സന്തോഷം
lights,ലൈറ്റുകൾ
ladi,എനിക്ക് ഉണ്ട്
ladoo,ലഡൂ
ikka,ഇപ്പോഴും
ace,ace
cards party,കാർഡുകൾ പാർട്ടി
teen,കൗമാരക്കാരൻ
patti,പട്ടി
phooljhadi,ഫ്ലോറിസ്റ്റ്
fireworks,വെടിക്കെട്ട്
diyas,ഡയാസ്
lighting,ലൈറ്റിംഗ്
light,പ്രകാശം
celerating,ആഘോഷിക്കുന്നു
decorate,അലങ്കരിക്കുക
decorating,അലങ്കരിക്കുന്നു
lunch,ഉച്ചഭക്ഷണം
happy diwali,സന്തോഷകരമായ ദീപാവലി ആശംസകൾ
yeh,അതെ
runout,പൂർത്തിയാവുക
popcorn,പോപ്പ്കോൺ
watching,കാണുന്നു
hua,പൂക്കൾ
innings,ഇന്നിംഗ്സ്
test,പരിശോധന
its,അതിന്റെ
over,കഴിഞ്ഞു
till,ഇതിനായി
last,അവസാനത്തെ
runs,റൺസ്
needed,ആവശ്യമുണ്ട്
enthusiasm,ആവേശം
enthusiastic,ഉത്സാഹമുള്ള
sentiment,വികാരം
100,100
bet,പന്തയം
lagi,വീണ്ടും
sharat,ശരത്
betting,വാതുവയ്പ്പ്
bous,കാളകൾ
bhi,കൂടാതെ
sakta,സൂക്ഷ്മമായ
indian cricket fan,ഇന്ത്യൻ ക്രിക്കറ്റ് ആരാധകൻ
ipl,ipl
koi,ഏതെങ്കിലും
isko,ഇത്
cursing,ശപിക്കുന്നു
cussing,cussing
jae,jae
fixed,നിശ്ചിത
commentator,കമന്റേറ്റർ
curse,ശാപം
b,b
age,വയസ്സ്
number,നമ്പർ
return,മടങ്ങുക
open,തുറക്കുക
gifting,സമ്മാനം
janamdin,ജന്മദിനം
budday,പൊടി
cheerful,സന്തോഷവതി
saal,ഹാൾ
kam,വന്നു
bash,ബാഷ്
cake,കേക്ക്
cutting,മുറിക്കൽ
birthday cake,പിറന്നാൾ കേക്ക്
surpirse,ആശ്ചര്യം
surprise gift,സർപ്രൈസ് സമ്മാനം
chahiye,ആഗ്രഹിക്കുന്നു
pila,ചിത
part,ഭാഗം
bump,ബം‌പ്
find,കണ്ടെത്തുക
shaadi,കല്യാണം
pressure,മർദ്ദം
punjabi,പഞ്ചാബി
punjab,പഞ്ചാബ്
questioning,ചോദ്യം ചെയ്യുന്നു
kitchen,അടുക്കള
stupped,മുരടിച്ചു
chaa,തയ്യാറാണ്
ea,അത്
moms,അമ്മമാർ
bloody,രക്തരൂക്ഷിതമായ
punjagbi,punjagbi
teri,ടെറി
naukar,ദാസൻ
nokar,നോക്കർ
lagdi,ചുമത്തി
lagti,തോന്നുന്നു
aa,aa
mombs be like,അമ്മമാർ ഇങ്ങനെയായിരിക്കും
dominating,ആധിപത്യം പുലർത്തുന്നു
address,വിലാസം
introduce,പരിചയപ്പെടുത്തുക
introduction,ആമുഖം
munda,മുണ്ട
know me,എന്നെ അറിയാമോ
stranger,അപരിചിതൻ
know,അറിയുക
babies,കുഞ്ഞുങ്ങൾ
kids,കുട്ടികൾ
trying,ശ്രമിക്കുന്നു
husband,ഭർത്താവ്
chak le,ഓരോ തവണയും
le,ദി
chak,ഓരോന്നും
pegs,കുറ്റി
shots,ഷോട്ടുകൾ
sharaab,പാനീയം
facebook,ഫേസ്ബുക്ക്
high,ഉയർന്ന
cholestrol,കൊളസ്ട്രോൾ
unhealthy,അനാരോഗ്യകരമായ
healthy,ആരോഗ്യമുള്ള
social,സാമൂഹിക
media,മീഡിയ
sites,സൈറ്റുകൾ
silly,നിസാരമായ
reasons,കാരണങ്ങൾ
reason,കാരണം
slay,കൊല്ലുക
okay,ശരി
kay,കേ
stylish,സ്റ്റൈലിഷ്
lily singh,ലില്ലി സിംഗ്
famous,പ്രസിദ്ധം
popular,ജനപ്രിയമാണ്
swagger,സ്വർണം
wo,എവിടെ
kahi,എവിടെയോ
heroin,ഹെറോയിൻ
about,കുറിച്ച്
chappal,സ്ലിപ്പറുകൾ
liked,ഇഷ്‌ടപ്പെട്ടു
sala,ഹാൾ
saala,മാനേജ്മെന്റ് വായ്പകൾ
naak,മൂക്ക്
kat,കാറ്റ്
kaat,മുറിക്കുക
gayi,പോയി
yara,മുറിവ്
sabash,goodies
shabash,ബ്രാവോ
kudos,പ്രശസ്തി
kudo,എല്ലായിടത്തും
well done,നന്നായി
congrats,അഭിനന്ദനങ്ങൾ
congratulations,അഭിനന്ദനങ്ങൾ
two,രണ്ട്
paglat,പാകം
paglet,പഗ്ലെത്
pagal,അനുസരിച്ച്
crazy,ഭ്രാന്തൻ
humko hum,ഞങ്ങൾ
sab,അവയെല്ലാം
pata,പേജ്
everything,എല്ലാം
hide,മറയ്ക്കുക
sher,ഷെർ
samne,മുന്നിൽ
humare,ഞങ്ങളുടെ
mat,പായ
bano,കുളിമുറി
lion,സിംഹം
annoy,ശല്യപ്പെടുത്തുക
baap,അച്ഛൻ
shut,അടച്ചു
gajab,അതിശയകരമായത്
guru,ഗുരു
bahi,പുറത്ത്
zada,വർദ്ധിച്ചു
bhaukal,പുരികം
jhado,ബുഷ്
trouble,കുഴപ്പം
issue,ഇഷ്യൂ
act,പ്രവർത്തിക്കുക
pricey,വിലയേറിയ
create,സൃഷ്ടിക്കാൻ
there,അവിടെ
bolo,അത്
mard,രോഗങ്ങൾ
steel,ഉരുക്ക്
haath,കൈ
muscle,മാംസപേശി
body,ശരീരം
yup,അതെ
still,നിശ്ചലമായ
at,at
puppyface,പപ്പിഫേസ്
whoa,ശ്ശോ
acknowledging,അംഗീകരിക്കുന്നു
respond,പ്രതികരിക്കുക
responding,പ്രതികരിക്കുന്നു
luaghs,വേഗത
lols,lols
lolz,lolz
was,ആയിരുന്നു
lamo,ലാമോ
smile,പുഞ്ചിരി
ciao,സിയാവോ
signing,ഒപ്പിടുന്നു
loud,ഉച്ചത്തിൽ
yay,യായ്
news,വാർത്ത
yaya,കുറച്ച്
sweetheart,പ്രണയിനി
nope,ഇല്ല
nooo,നൊഒഒ
naah,naah
nahi,വേണം
noji,നോജി
no ji,നോജി
nana,നാന
daaru,daaru
burp,ഏമ്പക്കം
ty,ty
thankies,നന്ദി
shukriya,നന്ദി
dhanyawaad,നന്ദി
dhanyawad,നന്ദി
thanka,ഗോൾഡ്
thanku,അവന്റെ
sorry,ക്ഷമിക്കണം
sorryy,ക്ഷമിക്കണം
solly,ഏകാന്തത
apologies,ക്ഷമാപണം
apology,ക്ഷമാപണം
apologise,ക്ഷമയാചിക്കുക
apologize,ക്ഷമയാചിക്കുക
fine,പിഴ
sure,ഉറപ്പാണ്
ilu,സൗന്ദര്യം
luv,luv
love love,സ്നേഹം സ്നേഹിക്കുക
HBD,എച്ച്ബിഡി
bday,ജന്മദിനം
janam,ജനനം
din,നിന്ന്
wake up,ഉണരുക
wake,ഉണരുക
subah,രാവിലെ
jaag,തിരക്കുക
jao,പോകുന്നു
nighty,നൈറ്റി
gnite,ചെംചീയൽ
ho ho ho,ഞാൻ അത് ചെയ്യുന്നു
waiting for santa,സാന്തയ്ക്കായി കാത്തിരിക്കുന്നു
you've been naughty this year,നിങ്ങൾ ഈ വർഷം വികൃതിയാണ്
cheezey,കാര്യങ്ങൾ
cheezy,ചീസി
flirtious,നിഷ്കളങ്കത
choddh,കയറി
jaane,അറിയുക
baat,കാര്യം
nai,അല്ല
sahi,Sahin
kye,കൈ
totally,പൂർണ്ണമായും
worth,വിലമതിക്കുന്നു
thumbs,തംബ്‌സ്
kidding,തമാശ
tell,പറയുക
laters,കത്തുകൾ
fist,മുഷ്ടി
eww,eww
chee,ചീ
grossed,സമാഹരിച്ചു
science,ശാസ്ത്രം
bitch,ബിച്
art,കല
than,എന്നതിനേക്കാൾ
tumblr,tumblr
tumbler,ടംബ്ലർ
vessel,പാത്രം
deal,ഇടപാട്
problem,പ്രശ്നം
khud,സ്വയം
se,ആകുക
dekhle,പിഴ
shudh,ശുദ്ധം
romeo,റോമിയോ
pujari,പുരോഹിതൻ
pyaa,സ്നേഹം
hotness,ചൂട്
patakha,പടക്കം
bomb,ബോംബ്
queen,രാജ്ഞി
kudi,കുടിവെള്ള
namkeen,ഉപ്പ്
lag,കാലതാമസം
rahi,ആയി
close,അടയ്ക്കുക
mere,കേവലം
paas,സമീപം
pass,കടന്നുപോകുക
aao,aao
near,സമീപത്ത്
babe,കുഞ്ഞ്
daalogey,തീർന്നു
dala,നൽകി
flattered,ആഹ്ലാദിച്ചു
goo,goo
hots,ഹോട്ടുകൾ
kisi,ലാറ്റിസ്
disco,ഡിസ്കോ
jaayein,പോകൂ
jayen,പോകൂ
pub,പബ്
likes,ഇഷ്‌ടപ്പെടുന്നു
kaisi,എങ്ങനെ
jaaneman,jaaneman
janeman,പ്രണയിനി
jaanam,പ്രണയിനി
samjha,മനസ്സിലായി
tryna,tryna
try and,ശ്രമിക്കുക, ശ്രമിക്കുക
understanding,മനസ്സിലാക്കൽ
understood,മനസ്സിലായി
khush,സന്തോഷം
karde,കാർഡിൽ
happyman,ഹാപ്പിമാൻ
sultry,വിഷാദം
chalti,നിലവിലുള്ളത്
come on,വരിക
9,9
bara,വെറും
stud,സ്റ്റഡ്
ladayein,യുദ്ധം ചെയ്യുക
chichi,അച്ഛൻ
launda,ല und ണ്ട
aadmi,മനുഷ്യൻ
stuf,ദണ്ഡു
12,12
dara,ഡാര
singh,സിംഗ്
kasam,ഞാൻ സത്യം ചെയ്യുന്നു
swore,സത്യം ചെയ്തു
pledge,പ്രതിജ്ഞ
muscles,പേശികൾ
pehalwan,ഗുസ്തി
bada,അങ്ങനെയാണെങ്കിൽ
bulky,തടിച്ച
nichod,ഞെക്കുക
squease,ചൂഷണം
denge,ബാക്കി
tumhe,നിങ്ങൾക്ക്
wring,ചിറക്
nikaal,നീക്കംചെയ്യുക
juice,ജ്യൂസ്
mukka,കഷണം
tighten,മുറുക്കുക
size,വലുപ്പം
matters,കാര്യങ്ങൾ
hona,ഇവിടെ
flaunt,ചൂഷണം ചെയ്യുക
arm,കൈക്ക്
biceps,കൈകാലുകൾ
triceps,ട്രൈസെപ്സ്
pehalwaan,ഗുസ്തി
pahalwaan,ഗുസ്തി
raha,പണം
cuming,ക്യുമിംഗ്
bas,താഴേക്ക്
aya,എന്തായാലും
aaya,വന്നു
waha,വ്യത്യാസപ്പെടുന്നു
yaha,ഇവിടെ
yahan,ഇവിടെ
yahaan,ഇവിടെ
hang,തീർക്കുക
wang,രാജാവ്
karte,കാർഡ്
upside down,തലകീഴായി
upside,തലകീഴായി
regime,ഭരണം
abdomin,വയറുവേദന
dumbell,ഡംബെൽ
lifting,ലിഫ്റ്റിംഗ്
lift,ഉയർത്തുക
weights,ഭാരം
ways,വഴികൾ
bean,കാപ്പിക്കുരു
protein,പ്രോട്ടീൻ
shake,കുലുക്കുക
flask,ഫ്ലാസ്ക്
fit,ഫിറ്റ്
health,ആരോഗ്യം
exercise,വ്യായാമം
yoga,യോഗ
planks,പലകകൾ
thabad,തബാദ്
tabla,പട്ടിക
artist,ആർട്ടിസ്റ്റ്
baj,പ്രശ്നം
noice,ശ്രദ്ധിക്കുക
shor,ഷോർ
kach,സമീപം
kar,കാർ
ding,കാര്യം
wedding,കല്യാണം
latest,ഏറ്റവും പുതിയ
noise,ശബ്ദം
saxy,സാക്സി
trumpet,കാഹളം
baaja,നായിഡു
baja,ബജ
shehnai,ക്ലാരിനെറ്റ്
benjo,ബെഞ്ചോ
key,കീ
jaa,പോകൂ
problems,പ്രശ്നങ്ങൾ
piss,മൂത്രമൊഴിക്കുക
piano,പിയാനോ
pungi,ബാഗുകൾ
bajegi,റിംഗ് ചെയ്യും
lead,ലീഡ്
follow,പിന്തുടരുക
sunn,ആരോഗ്യകരമായ
singing,പാടുന്നു
performing,പ്രകടനം
aashiqui,സ്നേഹം
2,2
ashiqui,സ്നേഹം
bass,ബാസ്
pasand,ലൈക്കുകൾ
guitarist,ഗിറ്റാറിസ്റ്റ്
gitar,ഗിത്താർ
bajata,അത് റിംഗ് ചെയ്യുന്നു
drum,ഡ്രം
drummer,ഡ്രമ്മർ
drumist,ഡ്രം
concert,കച്ചേരി
jamming,ജാമിംഗ്
todh,ബ്രേക്ക്
breaking,തകർക്കുന്നു
performer,പ്രകടനം
fans,ആരാധകർ
blowing,ing തുന്നു
blow,അടിക്കുക
chumma,chumma
pappi,പുരോഹിതന്
puchchi,പുച്ചി
coochie,കൂച്ചി
coo,സിഒഒ
babes,ശിശുക്കൾ
majnu,മജ്നു
intezaar,ഇന്റീസാർ
minute,മിനിറ്റ്
paanch,അഞ്ച്
intimate,അടുപ്പം
mood,മാനസികാവസ്ഥ
romancing,റൊമാൻസിംഗ്
weather,കാലാവസ്ഥ
place,സ്ഥലം
shona,ഷോന
babu,ബാബു
honesy,തേന്
hon,അവള്
pillow,തലയണ
hug,ആലിംഗനം
arms,ആയുധങ്ങൾ
hugz,ആലിംഗനം
hugzz,ആലിംഗനം
rush,തിരക്കുക
rushing,തിരക്കുകൂട്ടുന്നു
already,ഇതിനകം
bhaag,പങ്കിടുക
bhaago,ഭാഗങ്ങൾ
bhago,ഓടിപ്പോകുക
traffic,ട്രാഫിക്
delhi,ഡെൽഹി
getting,ലഭിക്കുന്നു
deay,ദെഅയ്
smoke,പുക
smokes,പുകവലിക്കുന്നു
smkoing,പുകവലി
fag,ഫാഗ്
cigarette,സിഗരറ്റ്
companies,കമ്പനികൾ
pi,pi
phook,വിഡ് .ിത്തം
burned,കത്തി
itna,വളരെയധികം
load,ലോഡ്
workload,ജോലിഭാരം
kitna,കിറ്റ്ന
saara,സഅര
desk,ഡെസ്ക്ക്
workstation,വർക്ക്സ്റ്റേഷൻ
alarm,അലാറം
clock,ക്ലോക്ക്
brushed,ബ്രഷ് ചെയ്തു
brush,ബ്രഷ്
teeth,പല്ലുകൾ
tooth,പല്ല്
toothbrush,ടൂത്ത് ബ്രഷ്
toothpaste,ടൂത്ത്പേസ്റ്റ്
paste,പേസ്റ്റ്
baathroom,കുളിമുറി
cuppa,കപ്പ
mode,മോഡ്
peetey,peetey
chalna,നടത്തം
chair,കസേര
workdesk,വർക്ക്ഡെസ്ക്
table,മേശ
jam,ജാം
giril,പാഠം
Zinedine Zidane,സിനെഡിൻ സിഡാനെ
foor,ഭക്ഷണം
kick,തൊഴി
everybody,എല്ലാവരും
footballer,ഫുട്ബോൾ
Zizou,സിസ ou
Real Madrid,റയൽ മാഡ്രിഡ്
ground,നിലം
wayne rooney,വെയ്ൻ റൂണി
rooney,റൂണി
taal,ഭാഷ
ronaldo,റൊണാൾഡോ
devils,പിശാചുക്കൾ
goalkeeper,ഗോൾകീപ്പർ
david,ഡേവിഡ്
gea,ജിയ
david de gea,ഡേവിഡ് ഡി ജിയ
dive,മുങ്ങുക
messi,മെസ്സി
around,ചുറ്റും
lionel,ലയണൽ
fc barcelona,fc ബാഴ്‌സലോണ
barcelona,ബാഴ്‌സലോണ
Argentine,അർജന്റീന
argentina,അർജന്റീന
england,ഇംഗ്ലണ്ട്
grond,നിലം
fifa,ഫിഫ
world cup,ലോക കപ്പ്
pele,തൊലി
maradona,മറഡോണ
reds,ചുവപ്പ്
cheerings,ആഹ്ലാദങ്ങൾ
glory,മഹത്വം
wayne,വഴി
manu,മനു
man utd,man utd
united,ഐക്യപ്പെട്ടു
manchester,മാഞ്ചസ്റ്റർ
david beckham,ഡേവിഡ് ബെക്കാം
beckham,ബെക്കാം
alone,മാത്രം
Mesut ozil,മെസുത് ഓസിൽ
mexut,mexut
ozil,ozil
vc,നിങ്ങൾ
udaoo,ഫ്ലയർ
notes,കുറിപ്പുകൾ
ceo,സിഇഒ
apna,ഞങ്ങളുടെ
karna hai,ചെയ്യണം
computer,കമ്പ്യൂട്ടർ
ishtart,ishtart
pulling,വലിക്കുന്നു
trigger,ട്രിഗർ
pushing,തള്ളിവിടുന്നു
push,തള്ളുക
pull,വലിക്കുക
liver,കരൾ
chashma,കണ്ണട
chashmish,കണ്ണട
bol,അത് ആയിരുന്നു
locker,ലോക്കർ
safe,സുരക്ഷിതം
interns,ഇന്റേണുകൾ
lao,ടി.ബി.
internship,ഇന്റേൺഷിപ്പ്
internships,ഇന്റേൺഷിപ്പ്
