bobble,ബോബിൾ
startup,സ്റ്റാർട്ടപ്പ്
invester,നിക്ഷേപകൻ
presentation,അവതരണം
ladki,പെൺകുട്ടി
tum,ടം
kyu,ക്യു
why,എന്തുകൊണ്ട്
boygang,ബൊയ്ഗന്ഗ്
boys,ആൺകുട്ടികൾ
let,അനുവദിക്കുക
going,പോകുന്നു
leaving,വിടവാങ്ങുന്നു
privacy,സ്വകാര്യത
mail,മെയിൽ
myth,കെട്ടുകഥ
owners,ഉടമകൾ
men,പുരുഷന്മാർ
email,ഇമെയിൽ
letter,കത്ത്
smartass,രൂക്ഷപരിഹാസം
smart ass,രൂക്ഷപരിഹാസം
work culture,തൊഴിൽ സംസ്കാരം
workplace,ജോലിസ്ഥലം
pechkas,സ്റ്റ ove
app,അപ്ലിക്കേഷൻ
khoj,തിരയൽ
discover,കണ്ടെത്തുക
idiotic,വിഡ് otic ിത്തം
old man,വയസ്സൻ
tease,കളിയാക്കുക
never,ഒരിക്കലും
quit,ഉപേക്ഷിക്കുക
back down,പിന്നോട്ട്
failure,പരാജയം
motivation,പ്രചോദനം
motivator,മോട്ടിവേറ്റർ
chutiya,പിഞ്ച് ചെയ്യുക
fucker,ഫക്കർ
wearing,ധരിക്കുന്നു
serious,ഗുരുതരമായത്
specs,സവിശേഷതകൾ
papa,അച്ഛൻ
fail,പരാജയപ്പെടുക
toh do,ടോ
mauka,അവസരം
dad,അച്ഛൻ
pissed,മൂത്രമൊഴിച്ചു
annoyed,ശല്യപ്പെടുത്തി
joint,സംയുക്തം
doobie,ഡൂബി
family,കുടുംബം
chitwan,ചിറ്റ്വാൻ
chitvan,ചിറ്റ്വാൻ
chanchal,കളിയായ
logo,ലോഗോ
whatsapp,whatsapp
pregnant,ഗർഭിണിയാണ്
praja,പ്രജ
banata,വാഴപ്പഴം
raat,എലി
tharki,സ്റ്റിംഗ്
horny,കൊമ്പുള്ള
hame,ഫ്ലഫ്
humein,ഞങ്ങളെ
humey,ഞങ്ങളെ
prem,പ്രേം
pranav,പ്രണവ്
mein,എന്റേത്
planner,പ്ലാനർ
bahut,പലരും
chandan,ചന്ദനം
daddy,അച്ഛൻ
baba,ബാബ
compatibility,അനുയോജ്യത
mommy,മമ്മി
momy,മമ്മി
mama,അമ്മ
fuck,ഊമ്പി
irritated,പ്രകോപിതനായി
bye,ബൈ
bye bye,ബൈ ബൈ
tata,ടാറ്റ
driving,ഡ്രൈവിംഗ്
roadtrip,റോഡ് യാത്ര
dj,dj
beautiful,മനോഹരമാണ്
hillary,ഹിലരി
means,അർത്ഥമാക്കുന്നത്
election,തിരഞ്ഞെടുപ്പ്
supported,പിന്തുണയ്‌ക്കുന്നു
vote,വോട്ട് ചെയ്യുക
superwoman,സൂപ്പർ വുമൺ
her,അവളുടെ
again,വീണ്ടും
back,തിരികെ
wizard,മാന്ത്രികൻ
withcraft,മന്ത്രവാദം
winner,വിജയി
winning,വിജയിച്ചു
hillary clinton,ഹിലാരി ക്ലിന്റൺ
clinton,ക്ലിന്റൺ
she,അവൾ
choice,ചോയിസ്
choose,തിരഞ്ഞെടുക്കുക
select,തിരഞ്ഞെടുക്കുക
opt,തിരഞ്ഞെടുക്കുക
speech,സംസാരം
deck,ഡെക്ക്
boxing,ബോക്സിംഗ്
ring,റിംഗ്
gloves,കയ്യുറകൾ
warrior,യോദ്ധാവ്
right,ശരി
five,അഞ്ച്
5,5
!,!
exclamation,ആശ്ചര്യചിഹ്നം
ice cube,ഐസുകട്ട
tv,ടിവി
screen,സ്ക്രീൻ
smart response,മികച്ച പ്രതികരണം
acknowledge,അംഗീകരിക്കുക
filler,ഫില്ലർ
interactions,ഇടപെടലുകൾ
bubble,ബബിൾ
cube,ക്യൂബ്
ice,ഐസ്
thought,ചിന്ത
thought bubble,ചിന്ത ബബിൾ
oh my god,ഓ എന്റെ ദൈവമേ
shit,ഉണ്ണി
damn,കഷ്ടം
fish,മത്സ്യം
hulk,ഹൾക്ക്
avenger,പ്രതികാരം
dumbbell,ഡംബെൽ
fire,തീ
firey,തീപിടുത്തം
devil,പിശാച്
zzz,zzz
good night,ശുഭ രാത്രി
muah,muah
lips,അധരങ്ങൾ
kiss,ചുംബനം
yipii,ഇ.പി.
wohoo,wohoo
yay!,യായ്!
hurrah,തിരക്കുക
great news,വലിയ വാർത്തകൾ
kisses,ചുംബനങ്ങൾ
lovey dovey,മനോഹരമായ ഡോവി
lovely,മനോഹരമാണ്
xoxo,xoxo
love and hugs,സ്നേഹവും ആലിംഗനവും
HUGS,ആലിംഗനം
hugzzz,hugzzz
gone,പോയി
hehe,hehe
too hot,വളരെ ചൂട്
ooo,ooo
so hot,വളരെ ചൂട്
fanning,ആരാധിക്കുന്നു
peace,സമാധാനം
peace out,സമാധാനം
calm down,ശാന്തനാകൂ
angel,മാലാഖ
mug,പായൽ
celebrate,ആഘോഷിക്കാൻ
arghh,arghh
irritate,പ്രകോപിപ്പിക്കുക
pissed off,ദേഷ്യപ്പെടുക
gosh,ഗോഷ്
aaaa,വർഷം
please,ദയവായി
pls,pls
plis,കൂടുതൽ
puppy face,നായ്ക്കുട്ടി മുഖം
puppy,നായ്ക്കുട്ടി
face,മുഖം
please please,ദയവായി
xmas,ക്രിസ്മസ്
xmas tree,ക്രിസ്മസ് ട്രീ
christmas decorations,ക്രിസ്മസ് അലങ്കാരങ്ങൾ
sweater,സ്വെറ്റർ
christmas,ക്രിസ്മസ്
window,ജാലകം
jumper,ജമ്പർ
merry christmas,സന്തോഷകരമായ ക്രിസ്മസ്
rudolf reindeer,റുഡോൾഫ് റെയിൻഡിയർ
ugly,വൃത്തികെട്ട
ugly sweater,വൃത്തികെട്ട സ്വെറ്റർ
festival,ഉത്സവം
snowman,സ്നോമാൻ
snow,മഞ്ഞ്
christmas cap,ക്രിസ്മസ് തൊപ്പി
snowball,സ്നോബോൾ
sing,പാടുക
violin,വയലിൻ
flakes,അടരുകളായി
christmas carol,ക്രിസ്തുമസ് കരോള്
holiday season,അവധിക്കാലം
happy holiday,സന്തോഷകരമായ അവധി
ho,സംരക്ഷണം
santa,സാന്ത
santa claus,സാന്താ ക്ലോസ്
oak tree,ഓക്ക് മരം
snowballs,സ്നോബോൾസ്
snowflakes,സ്നോഫ്ലേക്കുകൾ
presents,സമ്മാനങ്ങൾ
gifts,സമ്മാനങ്ങൾ
christmas presents,ക്രിസ്മസ് സമ്മാനങ്ങൾ
christmas present,ക്രിസ്തുമസ് സമ്മാനം
reindeer,റെയിൻഡിയർ
rudolf,റുഡോൾഫ്
sleigh,സ്ലീ
chimney,ചിമ്മിനി
hallelujah,ഹല്ലേലൂയാ
bow,വില്ലു
decorations,അലങ്കാരങ്ങൾ
green,പച്ച
candle,മെഴുകുതിരി
claus,ക്ലോസ്
ribbon,റിബൺ
jolly,ജോളി
times,തവണ
wreath,റീത്ത്
snow flakes,സ്നോഫ്ലേക്കുകൾ
grinch,പുഞ്ചിരി
xmas present,ക്രിസ്മസ് നിലവിലുണ്ട്
xmas gift,ക്രിസ്മസ് സമ്മാനം
christmas gift,ക്രിസ്മസ് സമ്മാനം
merry,ഉല്ലാസം
christmas cake,ക്രിസ്മസ് കേക്ക്
christmas pudding,ക്രിസ്തുമസ് പായസം
christmas pie,ക്രിസ്മസ് പൈ
socks,സോക്സ്
stockings,സ്റ്റോക്കിംഗ്സ്
fire place,തീ സ്ഥലം
cup,കപ്പ്
coffee,കോഫി
red sweater,ചുവന്ന സ്വെറ്റർ
christmas tree,ക്രിസ്മസ് ട്രീ
christmas socks,ക്രിസ്മസ് സോക്സ്
jingle,ജിംഗിൾ
along,ഒപ്പം
bells,മണിനാദം
jingle bells,ജിംഗിൾ മണി
kahan,എവിടെ
chupaya,മറച്ചു
throw,എറിയുക
throwing,എറിയുന്നു
our,ഞങ്ങളുടെ
pouring,പകരും
meri,ഇഷ്‌ടാനുസൃതം
pichkari,ആറ്റോമൈസർ
pakdo,പിടിക്കുക
colours,നിറങ്ങൾ
rang,അനുവദിക്കുക
holi hai,ഇത് ഹോളി ആണ്
tshirt,tshirt
thoda,ചെറിയ
de,ന്റെ
na,ഓണാണ്
colour,നിറം
colors,നിറങ്ങൾ
color,നിറം
gubbare,ബലൂണുകൾ
balloons,ബലൂണുകൾ
water balloon,വാട്ടർ ബലൂൺ
phod,പൊട്ടുന്നു
burst,പൊട്ടിത്തെറിക്കുക
dunga,dunga
tere,tere
your,നിങ്ങളുടെ
bursting,പൊട്ടുന്നു
balti,വെള്ള
or,അഥവാ
bhaang,ബ്രേക്ക്
bhang,കഞ്ചാവ്
mujpe,ഞാൻ
matt,മാറ്റ്
dalo,ഡാലോ
daalo,തീർന്നു
bheeg,നനഞ്ഞ
geeli,ജെൽ
gai,ദി
drenched,നനഞ്ഞു
drench,നനവ്
pani,കുടുംബിനി
maal,തവണ
puye,puye
sweets,മധുരപലഹാരങ്ങൾ
mithai,മധുരപലഹാരങ്ങൾ
sweet tooth,മധുരമുള്ള പല്ല്
sugar,പഞ്ചസാര
tray,ട്രേ
dhol,ഡ്രംസ്
lets,ചെയ്യാനും അനുവദിക്കുന്നു
play holi,ഹോളി കളിക്കുക
anu malik,തിരിച്ചെത്തി
akshay kumar,അക്ഷയ് കുമാർ
drums,ഡ്രംസ്
celebratory,ആഘോഷം
hollii,ഹൊല്ലിഎര്
holii,ഹോളി
wishing,ആഗ്രഹിക്കുന്നു
wishes,ആശംസകൾ
mubarak,മുബാറക്
happy holi,ഹാപ്പി ഹോളി
buckets,ബക്കറ്റുകൾ
baalti,ബക്കറ്റ്
bura,ബ്രാ
mano,മനോ
maano,എന്നപോലെ
jumping,ചാടുന്നു
bhabhi,ഭാഭി
ko,കോ
baahar,ബഹർ
nikaalo,പുറത്തെടുക്കുക
gun,തോക്ക്
wali,രക്ഷാധികാരി
balam,ബാലം
jo,ഇതിനകം
tune,ട്യൂൺ ചെയ്യുക
mujhe maari,എന്നെ അടിക്കുക
muje,സ്ത്രീ
bade,വലിയ
josh,ജോഷ്
water gun,വാട്ടർ തോക്ക്
held,നടന്നു
hold,പിടിക്കുക
aaj,ഇന്ന്
chhodunga,പോകും
chodunga,പോകും
Ma durga,അദ്ദേഹത്തിന് ദുർഗയുണ്ട്
durga,ദുർഗ
durga pujo,ദുർഗ പൂജ
durga pujan,ദുർഗ പൂജൻ
poojan,ആരാധന
pujo,പൂജോ
bengal,ബംഗാൾ
bengali,ബംഗാളി
trishul,ത്രിശൂൽ
trishool,ത്രിശൂലം
goddess,ദേവി
korchich,കോർ‌ചിച്ച്
navami,നവാമി
dine,നിങ്ങളുടെ
talking,സംസാരിക്കുന്നു
celebrating,ആഘോഷിക്കുന്നു
dussehra,ദസറ
indian,ഇന്ത്യൻ
jama,വഴിയിൽ
kapor,ചതകുപ്പ
kinli,കിൻലി
bong,ബോംഗ്
bongoli,കർത്തൃത്വം
pranaam,പ്രനം
pronam,കുനിഞ്ഞു
touching,സ്പർശിക്കുന്നു
feet,പാദം
father,അച്ഛൻ
elder,മൂപ്പൻ
respect,ബഹുമാനം
gratitude,നന്ദി
greet,അഭിവാദ്യം
pandal,പന്തൽ
pandel,പാണ്ഡൽ
ghurte,തിരിയാൻ
jabi,ജാബി
when,എപ്പോൾ
tent,കൂടാരം
venue,വേദി
event,ഇവന്റ്
pujan,ആരാധന
wink,കണ്ണുചിമ്മുക
naughty,വികൃതി
wear,ധരിക്കുക
lanka,ലങ്ക
naresh,നരേഷ്
ravan,പോലും
raavan,രാവൺ
heads,തല
ten,പത്ത്
ten heads,പത്ത് തലകൾ
ravana,രാവണൻ
hapy,ഹാപ്പി
dushera,ദശേര
greetings,ആശംസകൾ
dandiya,വടി
dandeeya,ദണ്ഡീയ
dandiya raas,ദണ്ഡിയ റാസ്
dandiya sticks,ദണ്ഡിയ വിറകുകൾ
traditionalc,പരമ്പരാഗത സി
handsome,സുന്ദരൻ
fold,മടക്കുക
hands,കൈകൾ
folding,മടക്കൽ
folded,മടക്കിക്കളയുന്നു
saree,സാരി
white,വെള്ള
saare,ദ്വീപ്
sari,സാരി
bengali sari,ബംഗാളി സാരി
bengali saaree,ബംഗാളി നല്ലത്
ye,ആണ്
dosti,മതി
hum,ഹം
hani,ഇലയിൽ
todenge,തകർക്കും
todengey,തകർക്കും
nig,nig
nigga,നിഗ
raised,ഉയർത്തി
langotiya,ഡയപ്പർ
boxer,ബോക്സർ
shorts,ഷോർട്ട്സ്
nude,നഗ്നനായി
soul,ആത്മാവ്
sisters,സഹോദരിമാർ
sister,സഹോദരി
humari,ഞങ്ങളുടെ
yari,അവൻ ആയിരുന്നു
yaari,യാരി
sabse,ഏറ്റവും കൂടുതൽ
pyari,മനോഹരമായ
pyaari,ഡാർലിംഗ്
har,ഉണ്ട്
ik,I.
kamina,അടുപ്പ്
kameena,തെണ്ടി
hota,ഉണ്ടായിരിക്കും
zaroori,അത്യാവശ്യമാണ്
kyunki,കാരണം
bros,ബ്രോസ്
hoes,hoes
befo,befo
kaminey,കാമിനി
kamnia,കാംനിയ
etc,തുടങ്ങിയവ
bestfriend,ആത്മ സുഹൃത്ത്
nice,കൊള്ളാം
ce;ebrating,ആഘോഷിക്കുന്നു
kahaan,പറയുക
sista,കഴിഞ്ഞ
sis,sis
behen,സ്ഥലം
behan,ബെഹാൻ
bahan,ചേരുവകൾ
shubh,ശുഭ
raksha,പരിരക്ഷിക്കുക
bandhan,ബോണ്ട്
hand,കൈ
broda,കപ്പല്
raksha bandhan,രക്ഷാ ബന്ധൻ
raksh,പരിരക്ഷിക്കുക
rakhi,രാഖി
demand,ഡിമാൻഡ്
demanding,ആവശ്യപ്പെടുന്നു
holding,ഹോൾഡിംഗ്
dhaga,ധാഗ
lut,സോൾഡറുകളിൽ
loot,കൊള്ള
gaya,ശൈലി
gya,ഗയ
lutt,ലട്ട്
kangaal,പാവം
thaali,ടാലി
thali,താലി
rakshabandhan,രക്ഷബന്ധൻ
bhaiya,സഹോദരൻ
loving,സ്നേഹമുള്ള
rakhis,രാഖികൾ
sisbling,sisbling
kin,ബന്ധു
cousins,കസിൻസ്
cousin,കസിൻ
rkshabandhan,രക്ഷബന്ധൻ
ethnic,വംശീയ
ndian,ഉരുട്ടാൻ
hazaaron,ആയിരങ്ങൾ
rakhii,സവാരി
prank,തമാശ
officemate,ഓഫീസ് മേറ്റ്
lying,നുണ പറയുന്നു
youre,നിങ്ങൾ
jhoot,നുണ
jhut,നുണ
kauwa,അടിമ
kaate,മുറിക്കുക
found,കണ്ടെത്തി
pakda,പിടിച്ചു
liya,എടുത്തു
foolish,മണ്ടൻ
fool,വിഡ് .ി
budhu,ബുദ്ധ
paagal,paagal
paglait,അനാദരം
fools,വിഡ് s ികൾ
every,എല്ലാം
clown,കോമാളി
joker,ജോക്കർ
halt,നിർത്തുക
ruko,ഷോപ്പ് ഹ .സ്
ruk jao,നിർത്തുക
chup,ചപ്പ്
ullu,ullu
whats,എന്താണ്
scorer,സ്കോറർ
scorecard,സ്കോർകാർഡ്
twice,രണ്ടുതവണ
shame,ലജ്ജ
fingers,വിരലുകൾ
floor,തറ
cnaa,ഗ്രാം
dare,ധൈര്യം
challenge,വെല്ലുവിളി
accepted,സ്വീകരിച്ചു
believe,വിശ്വസിക്കുക
yakeen,അവന്റെ
karo,ആരോ
fooled,വിഡ് led ികൾ
it,അത്
dammit,ഡമ്മിറ്റ്
trust,ആശ്രയം
crossed,കടന്നു
cross,കുരിശ്
makeup,മേക്ക് അപ്പ്
make up,മേക്ക് അപ്പ്
waah,വാ
wahh,കൊള്ളാം
kya,എന്ത്
teasing,കളിയാക്കൽ
rangg,അടിപൊളി
holi party,ഹോളി പാർട്ടി
khelte,കളിക്കാൻ
chalo,വരൂ
rangon,റാങ്ക്
ab,മുതൽ
toh,ടോ
balloon,ബലൂണ്
ke,ന്റെ
lad,ബാലൻ
gande,വരണ്ട
kapde,വസ്ത്രങ്ങൾ
dressed,വസ്ത്രം ധരിച്ചു
coloured,നിറമുള്ള
colored,നിറമുള്ള
chun,ടു
rangoongi,രന്ഗൊഒന്ഗി
raising,ഉയർത്തുന്നു
raise,ഉയർത്തുക
glasses,കണ്ണട
toast,ടോസ്റ്റ്
kab,കാബ്
gabbar,ഗബ്ബാർ
gubbar,പുരുഷന്മാർ
sholay,ഷോലെ
keh,അതെ
maarunga,കൊല്ലും
hoga,ആയിരിക്കും
re,വീണ്ടും
kaaliya,കാലിയ
kaliya,വെറുതെ
holi colours,ഹോളി നിറങ്ങൾ
barse,ബാർസ്
bheegey,നനഞ്ഞ
chunar,ചുനാർ
may,മെയ്
irish,ഐറിഷ്
st patricks day,സെന്റ് പാട്രിക്സ് ദിവസം
st,സെന്റ്
patricks,പാട്രിക്സ്
lucky,ഭാഗ്യം
goodluck,നല്ലതുവരട്ടെ
upon,ന്
greets,അഭിവാദ്യങ്ങൾ
patty,പാറ്റി
feast,ഉത്സവം
pattys,പട്ടീസ്
celebrations,ആഘോഷങ്ങൾ
feasts,വിരുന്നുകൾ
elebrate,ആഘോഷിക്കൂ
ireland,അയർലാൻഡ്
wman,wman
troubles,കഷ്ടതകൾ
less,കുറവ്
im,im
believer,വിശ്വാസി
sitting,ഇരിക്കുന്നു
everyone,എല്ലാവരും
everyones,എല്ലാവരും
few,കുറച്ച്
beers,ബിയറുകൾ
beer glass,ബിയർ ഗ്ലാസ്
drining,കുടിക്കൽ
bar,ബാർ
coins,നാണയങ്ങൾ
gold,സ്വർണം
wealth,സമ്പത്ത്
treasure,നിധി
rise,ഉയരുക
chap,അധ്യാ
until,വരുവോളം
taking,എടുക്കൽ
adios,ബൈ
beerglass,ബിയർഗ്ലാസ്
partying,പാർട്ടി
ramzan,റാംസാൻ
mobarak,വാഴ്ത്തപ്പെട്ടവൻ
mosque,മുസ്ലിം പള്ളി
look,നോക്കൂ
chand,ചന്ദ്
terrace,ടെറസ്
dekho,നോക്കൂ
keep,സൂക്ഷിക്കുക
calm,ശാന്തം
and,ഒപ്പം
iftar,ഇഫ്താർ
iftaar,iftar
dinner,അത്താഴം
eid,eid
fitr,fitr
fitar,പുറത്ത്
many,പലരും
gang,സംഘം
milna,മിൽന
milne,മിൽനെ
ramadan,റമദാൻ
kareen,കരീൻ
ramadaan,റമദാൻ
allah,ദൈവം
bhaijaan,സഹോദരൻ
insha,ഇൻഷ
inshaa,സൃഷ്ടിക്കുക
beard,താടി
praying,പ്രാർത്ഥിക്കുന്നു
pray,പ്രാർത്ഥിക്കുക
masjid,പള്ളി
namaz,പ്രാർത്ഥന
namaaz,namaaz
padhna,വായന
subhan,മഹത്വം
ka,അല്ലെങ്കിൽ
mullah,മുല്ല
beat,അടിക്കുക
gamer,ഗെയിമർ
gamechanger,ഗെയിംചേഞ്ചർ
gamechange,ഗെയിംചേഞ്ച്
basketball,ബാസ്കറ്റ്ബോൾ
football,ഫുട്ബോൾ
rio,റിയോ
in rio,റിയോയിൽ
give,കൊടുക്കുക
hoolahhoop,foohail
hoolah hoop,ഹൂഫോ ഹൂപ്പ്
gymnast,ജിംനാസ്റ്റ്
just,വെറുതെ
cycle,ചക്രം
riding,സവാരി
racing,റേസിംഗ്
racer,റേസർ
gear,ഗിയര്
brazil,ബ്രസീൽ
olympic,ഒളിമ്പിക്
olympics,ഒളിമ്പിക്സ്
indian olympics,ഇന്ത്യൻ ഒളിമ്പിക്സ്
india olympics,ഇന്ത്യ ഒളിമ്പിക്സ്
mascot,ചിഹ്നം
big,വലുത്
game,ഗെയിം
changer,മാറ്റുന്നയാൾ
sportsman,കായികതാരം
sportsmen,കായികതാരങ്ങൾ
ready,തയ്യാറാണ്
olympian,ഒളിമ്പിയൻ
sportsmn,കായികതാരം
baseball,ബേസ്ബോൾ
hockey,ഹോക്കി
training,പരിശീലനം
practice,പരിശീലനം
practise,പരിശീലനം
practising,പരിശീലിക്കുന്നു
workout,വർക്കൗട്ട്
working out,പ്രവർത്തിക്കുന്നു
aim,ലക്ഷ്യം
work out,വർക്കൗട്ട്
weight,ഭാരം
gym,ജിം
basanti,ബസന്തി
rang de basanti,മൂന്ന് മൃതദേഹങ്ങൾ അനുവദിക്കുക
citizen,പൗരൻ
indian citizen,ഇന്ത്യൻ പൗരൻ
shirtless,നിസ്സംഗത
an,ഒരു
is great,കൊള്ളാം
saffron,കുങ്കുമം
lal quila,ലാൽ ക്വില
bharat,ഭാരത്
mahan,മഹാൻ
mahaan,കൊള്ളാം
tajmahal,താജ്മഹൽ
taj,താജ്
jhanda,പതാക
uncha,ഉയർന്നത്
rahe,താമസിക്കുക
humara,ഹുമര
flag,ഫ്ലാഗ്
national flag,ദേശീയ പതാക
saare jahan se acha,എല്ലായിടത്തുനിന്നും നല്ലത്
tiranga,ത്രിവർണ്ണ
independence,സ്വാതന്ത്ര്യം
inquilaab,ഇൻക്വിലാബ്
zindabad,സിന്ദാബാദ്
struggle,സമരം
namaskar,ഹലോ
jai,ജയ്
cheering,ആഹ്ലാദിക്കുന്നു
vande,വാൻഡെ
matram,ദി
mataram,മാതം
wearng,ധരിക്കുന്നു
deva,ദേവ
shree,ശ്രീ
ganesha,ഗണേശ
agle,അടുത്തത്
baras,ബാർ
jaldi,നേരത്തെ
aana,കൊണ്ടുവരിക
statues,പ്രതിമകൾ
ganapati,ഗണപതി
laddu,ലഡ്ഡൂ
laddoo,ബ്രൗണീസ്
gaj,തോപ്പ്
gaja,തോപ്പ്
undir,The
rat,എലി
ganesh,ഗണേഷ്
prayer,പ്രാർത്ഥന
puja,പൂജ
chaturthi,ചതുർത്ഥി
ganpati,ഗണപതി
bappa,ഡാഡി
morya,കടൽ
modak,മൊഡാക്ക്
ganapti,ഗണപതി
tasha,തഷ
bajao,Blow തി
pointing,ചൂണ്ടിക്കാണിക്കുന്നു
finger,വിരല്
school dress,സ്കൂൾ വസ്ത്രധാരണം
school uniform,സ്കൂൾ യൂണിഫോം
female,പെൺ
inspiration,പ്രചോദനം
most,മിക്കതും
inspiring,പ്രചോദനം
teacher,അധ്യാപകൻ
mam,എനിക്കുണ്ട്
copy,പകർത്തുക
slate,സ്ലേറ്റ്
board,ബോർഡ്
favourite,പ്രിയപ്പെട്ടവ
favorite,പ്രിയപ്പെട്ടവ
nicker,നിക്കർ
nickers,നിക്കറുകൾ
shoes,ഷൂസ്
maim,ഞാൻ
madam,മാഡം
spectacles,കണ്ണട
bespectacled,വ്യക്തമാണ്
hindi teacher,ഹിന്ദി ടീച്ചർ
forget,മറക്കരുത്
school boy,സ്കൂൾ കുട്ടി
chart,ചാർട്ട്
remember,ഓർമ്മിക്കുക
school kid,സ്കൂൾ കുട്ടി
male,ആൺ
medal,മെഡൽ
competition,മത്സരം
belt,ബെൽറ്റ്
teachers,അധ്യാപകർ
rose,റോസ്
boutique,ബോട്ടിക്
flowers,പൂക്കൾ
roses,റോസാപ്പൂക്കൾ
inspire,പ്രചോദിപ്പിക്കുക
inspirational,പ്രചോദനാത്മകമാണ്
pot,കലം
matki,അമ്മ
janamshatami,ജനംസതമൈ
janmashtami,ജന്മഷ്ടമി
butter milk,മട്ടൻ
janamshatami janmashtami,ജന്മംകൊണ്ട് ജന്മഷ്ടമി
butter,വെണ്ണ
buttermilk,മട്ടൻ
makkhan,വെണ്ണ
malai,മൗണ്ടൻ
pots,കലങ്ങൾ
baal,baal
bal,പന്ത്
gopal,ഗോപാൽ
gopala,ഗോപാല
matkii,മെട്രിക്
chor,ചോർ
maakhan,മഖാൻ
makhan,വെണ്ണ
steal,മോഷ്ടിക്കുക
stealing,മോഷ്ടിക്കുന്നു
cream,ക്രീം
kanhaiya,കൻഹയ്യ
lala,ലാല
laal,ചുവപ്പ്
krishna,കൃഷ്ണ
baansuri,പുല്ലാങ്കുഴൽ
flute,ഓടക്കുഴല്
peacock,മയിൽ
joy,സന്തോഷം
brithday,ജന്മദിനം
janamashtmi,ജന്മഷ്ടമി
go go govinda,go govinda
govinda,ഗോവിന്ദൻ
matki phod,അമ്മമാരുടെ ഫോൺ
chal,നടക്കുക
phodte,പൊട്ടുന്നു
janamashtami,ജന്മഷ്ടമി
yashoda,യശോദ
yashodah,യശോദ
yashodha,യശോദ
nandlala,പട്ടിണി
govind,govind
suck,നുകരുക
blood,രക്തം
undead,മരണമില്ലാത്തത്
vampire,വാമ്പയർ
alien,അന്യഗ്രഹ
bhoot,പ്രേതം
stick,വടി
take,എടുക്കുക
castle,കോട്ട
werewolf,ചെന്നായ
half,പകുതി
tiger,കടുവ
crush,ക്രഷ്
bones,അസ്ഥികൾ
fangs,fangs
flinstones,ഫ്ലിന്റ്സ്റ്റോൺസ്
pikaa,വളരെ വേഗം
returns,വരുമാനം
guy',guy'
nose,മൂക്ക്
halloween,ഹാലോവീൻ
craving,ആസക്തി
bats,വവ്വാലുകൾ
dracula,ഡ്രാക്കുള
thirsty,ദാഹിക്കുന്നു
creepy,വിചിത്രമായ
creature,സൃഷ്ടി
creatues,സൃഷ്ടികൾ
et,ഒപ്പം
twister,ട്വിസ്റ്റർ
thristy,ട്രിസ്റ്റി
Hppy,സന്തോഷം
national,ദേശീയ
olding,പഴയത്
parade,പരേഡ്
swatantrata,സ്വാതന്ത്ര്യം
diwas,ദിവാസ്
divas,ദിവസ്
attire,വസ്ത്രധാരണം
kurta,കുർത്ത
pyjama,പൈജാമ
saffrn,സഫ്ഫ്ര്ന്
standing,സ്റ്റാന്റിംഗ്
pride,അഹംഭാവം
nation,രാഷ്ട്രം
tradition,പാരമ്പര്യം
walk,നടക്കുക
patriotic,ദേശസ്നേഹി
patriotism,ദേശസ്‌നേഹം
republic,ജനാധിപത്യഭരണം
gandhi,ഗാന്ധി
bharat mata,ഭാരത് മാതാ
worship,ആരാധന
sacrifice,ത്യാഗം
patriot,രാജ്യസ്നേഹി
azad,ആസാദ്
azaad,സ .ജന്യം
azadi,സ്വാതന്ത്ര്യം
swachch,സ്വിച്ച്
abhiyaan,കാമ്പെയ്‌ൻ
abhiyan,കാമ്പെയ്ൻ
clenaing,വൃത്തിയാക്കൽ
brooming,ബ്രൂമിംഗ്
modi,മോഡി
clam,ക്ലാം
jawan,ചെറുപ്പക്കാരൻ
kisaan,ഓട്ടം
jawaan,പൊടിപടലങ്ങൾ
farmer,കർഷകൻ
farm,ഫാം
farming,കൃഷി
field,ഫീൽഡ്
fields,ഫീൽഡുകൾ
crops,വിളകൾ
grow,വളരുക
inquilab,ഇൻക്വിലാബ്
incredible,അവിശ്വസനീയമായ
kathak,കഥക്
gandhigiri,ഗാന്ധിഗിരി
gandhi ji,ഗാന്ധി
bapu,ബാപ്പു
protest,പ്രതിഷേധം
non-violence,അഹിംസ
policy,നയം
zindabaad,ന്യൂസാഡ്
shouting,അലറുന്നു
gandhiji,ഗാന്ധിജി
hindustani,ഹിന്ദുസ്ഥാനി
joined,ചേർന്നു
hind,ഹിന്ദ്
desi,ദേശി
dwag,പതാക
lota,ചീട്ടു
village,ഗ്രാമം
swag,കൊള്ളമുതല്
hoist,ഉയർത്തുക
hoisting,ഉയർത്തുന്നു
celebring,ആഘോഷിക്കുന്നു
pholjhadi,സ്പാർക്ക്‌ലർ
festivals,ഉത്സവങ്ങൾ
joyous,സന്തോഷം
lights,ലൈറ്റുകൾ
ladi,എനിക്ക് ഉണ്ട്
ladoo,ലഡൂ
ikka,ഇപ്പോഴും
ace,ace
cards party,കാർഡുകൾ പാർട്ടി
teen,കൗമാരക്കാരൻ
patti,പട്ടി
phooljhadi,ഫ്ലോറിസ്റ്റ്
fireworks,വെടിക്കെട്ട്
diyas,ഡയാസ്
lighting,ലൈറ്റിംഗ്
light,പ്രകാശം
celerating,ആഘോഷിക്കുന്നു
decorate,അലങ്കരിക്കുക
decorating,അലങ്കരിക്കുന്നു
lunch,ഉച്ചഭക്ഷണം
