Love isn't,സ്നേഹം അല്ല
music is my life,സംഗീതമാണ് എന്റെ ജിവിതം
ha ha ha,ha ha ha
thorns,മുള്ളുകൾ
because,കാരണം
ciggarete,സിഗരറ്റ്
20,20
nailpaint,നെയിൽ പെയിന്റ്
torn,കീറി
give me,തരു
torn clothes,കീറിപ്പറിഞ്ഞ വസ്ത്രങ്ങൾ
appereciate,അഭിനന്ദിക്കുക
zombies,സോമ്പികൾ
leg,കാല്
daredevils,ഡെയർ‌ഡെവിൾസ്
rosses,റോസാപ്പൂക്കൾ
Arvind,അരവിന്ദ്
kejriwal,കെജ്‌രിവാൾ
CM,സെമി
Bacha,ബച്ച
IIT,ഐ.ഐ.ടി.
babysitter,ബേബി സിറ്റർ
uthaye,എടുക്കുക
chetan,ചേതൻ
bhagat,ഭഗത്
leaf,ഇല
novels,നോവലുകൾ
author,രചയിതാവ്
Alumni,പൂർവ്വ വിദ്യാർത്ഥികൾ
maggu,മാഗോട്ട്
carry,ചുമക്കുക
minati,താൽപ്പര്യമുണ്ട്
harpic,ഹാർപിക്
cheap,വിലകുറഞ്ഞ
hathoda,ചുറ്റിക
pebble,പെബിൾ
seed,വിത്ത്
saalo,സഹോദരി
ciggrate,സിഗരട്ട്
fookta,fookta
dosti yaari,ദോസ്തി യാരി
abusive,ദുരുപയോഗം ചെയ്യുന്ന
agree,സമ്മതിക്കുന്നു
RABTA,ലിങ്ക്
RAABTA,റബ്ത
sparrow,കുരുവി
minions,ന്യൂനപക്ഷങ്ങൾ
spidergirl,ചിലന്തി പെൺകുട്ടി
web,വെബ്
spider,ചിലന്തി
gardians,ഗര്ദിഅംസ്
galazy,ഗാലസി
gamara,ഗാമര
galaxy,ഗാലക്സി
nebula,നെബുല
despecableme,എന്നെ കീറിക്കളയുക
Tubelight,ട്യൂബ്‌ലൈറ്റ്
Despecable,നിന്ദ്യമാണ്
gru,കൊക്ക്
amrish,amrish
haveli,ഹവേലി
thug,തഗ്
i need,എനിക്ക് വേണം
national bird,ദേശീയ പക്ഷി
i can,എനിക്ക് കഴിയും
pammi,പമ്മി
i love,ഞാൻ സ്നേഹിക്കുന്നു
gormint,ഗോർമിന്റ്
reporter,ലേഖകന്
chain,ചങ്ങല
SUPERSINGH,സുപെര്സിന്ഘ്
DALJIT,ഡാൽജീത്
actors,അഭിനേതാക്കൾ
actress,നടി
heroine,നായിക
manners,പെരുമാറ്റം
tameez,തമീസ്
helpless,നിസ്സഹായൻ
kiddo,കിഡോ
ye hai,കൂടാതെ
insist,നിർബന്ധിക്കുക
awsome,ഭയങ്കര
yeahh,അതെ
gonna,പോകുന്നു
wwe,wwe
comes,വരുന്നു
DILJIT,ദിൽ‌ജിത്
baar,ബാർ
balla,ബെയ്ൽ
is baar,കഴിവുള്ളതാണ്
yayy,അതെ
cjhair,സംബന്ധിച്ച്
aai,ഞാൻ വന്നു
aam,വർഷം
ba,ഇടുക
karoge,ചെയ്യും
hmara,കഴുത
ku,എവിടെ
aao kabhi,എന്നേക്കും വരൂ
tea cup,ടീ കപ്പ്
kabhi,എന്നേക്കും
aaj blue hai pani,ഇന്ന് നീലവെള്ളമാണ്
mudik,വീട്ടിൽ പോകുന്നു
lebaran,ഈദ്
ied,അതായത്
rindu,മിസ്
kangen,നിങ്ങളെ മിസ് ചെയ്യുന്നു
pantura,പന്തുര
ngantuk,ഉറക്കം
playful,കളിയായ
packing,പാക്കിംഗ്
nariyalpani,നരേൽബെൻ
coconutwater,തേങ്ങാവെള്ളം
ghoomne,കറങ്ങാൻ
travelbags,ട്രാവൽബാഗുകൾ
eiffeltower,eiffeltower
satisfied,സംതൃപ്തനായി
ghoomna,കറങ്ങാൻ
worldtrip,ലോക ട്രിപ്പ്
nostress,നോസ്ട്രസ്
travelbag,യാത്രസഞ്ചി
idul,ഈദ്
fitri,ഫിത്രി
idulfitri,idulfitri
bestdadintheworld,bestdadintheworld
happyfathersday,പിതൃദിനാശംസകൾ
bestdad,ബെസ്റ്റ്ഡാഡ്
appa,പപ്പ ഞങ്ങൾക്ക്
20-20,20-20
happy fathers day,പിതൃദിനാശംസകൾ
Ghareloo,വീട്ടുകാർ
Quirky,തമാശ
Hometalk,ഹോംടോക്ക്
GharelooBaatein,വീട്ടുകാർ
announcement,അറിയിപ്പ്
GettingLate,വൈകുന്നു
buttering,വെണ്ണ
eatoutside,eatoutside
willcomelate,willcomelate
nofood,നോഫുഡ്
indianwife,ഇന്ത്യൻ ഭാര്യ
salwarsuite,സാൽ‌വർ‌സ്യൂട്ട്
fathers day,പിതൃ ദിനം
happy father's day,അച്ഛന്റെ ദിനാശംസകൾ
abba,അബ്ബ
thakna,ക്ഷീണിതനായിരിക്കുക
thakan,തങ്ക്
rajiv,രാജീവ്
chowk,ച ow ക്ക്
kiya,ചെയ്തു
bahana,ബഹാന
safar,യാത്ര
chalau,വരൂ
violet,വയലറ്റ്
bheed,ആൾക്കൂട്ടം
crowd,ആൾക്കൂട്ടം
raji,രാജി
janta,വിളുന്വ്
squeeze,ഞെക്കുക
ketupat,വജ്രം
kue,ഒരു കേക്ക്
helathy,ആരോഗ്യമുള്ള
ypga,ypga
yog,അതെ
ramdev,രാംദേവ്
pitanjali,പതഞ്ജലി
world music day,ലോക സംഗീത ദിനം
international yoga day,അന്താരാഷ്ട്ര യോഗ ദിനം
happy eid,ഹാപ്പി ഈദ്
Eid mubarak,ഈദ് മുബാറക്
eid-ul-fitr,ഡെൽ‌ഫ്രെ
mubaral,ശ്രദ്ധേയമാണ്
jai jagannath,ജയ് ജഗന്നാഥ്
jagan nath,ജഗൻ നാഥ്
rath yartra,രഥ യാത്ര
rath yatra,രഥ യാത്ര
shooter,ഷൂട്ടർ
scooted,സ്കൂട്ടർ
metal,ലോഹം
morning se,രാവിലെ സെ
gussha,ലിംഗം
jugad,ജുഗാദ്
being human,മനുഷ്യനായിരിക്കുക
machau,മച്ചാവു
blankets,പുതപ്പുകൾ
takiya,തലയിണ
sirhana,സിർഹാന
kambal,ഇരട്ട
chadar,ഷീറ്റ്
chaddar,ഷീറ്റ്
palang,ബാർ
Bimaar,രോഗികൾ
rudraksh,രുദ്രാക്ഷൻ
natkhat,വികൃതി
kameez,കമീസ്
chaand,ചന്ദ്രൻ
aasmaan,ആകാശം
taare,വയർ
behosh,അബോധാവസ്ഥയിൽ
guldasta,പൂച്ചെണ്ട്
sweatshirt,വിയർപ്പ് ഷർട്ട്
kush,കുഷ്
Actions,പ്രവർത്തനങ്ങൾ
smoking pipe,പുകവലി പൈപ്പ്
chilam,ആയിരുന്നു
dhua,dua
ghamand,വീമ്പിളക്കുക
party poppers,പാർട്ടി പോപ്പർമാർ
mombatti,ഒരു മെഴുകുതിരി
bankrupt,പാപ്പരായി
jurab,നഗ്നത
baniyan,വെസ്റ്റ്
kachcha,അസംസ്കൃത
udaas,സങ്കടം
alas,അയ്യോ
gulab,റോസ്
chahat,വേണം
jalna shaitan,കത്തുന്ന പിശാച്
patloon,patloon
kapade,മുറിക്കുക
poshak,വസ്ത്രം
thakaan,ക്ഷീണം
bean bag,ബീൻ ബാഗ്
note book,നോട്ടുബുക്ക്
baithak,യോഗം
biscuits,ബിസ്കറ്റ്
biskut,ബിസ്കറ്റ്
baadal,ബാദൽ
aasaman,ആകാശം
microphone,മൈക്രോഫോൺ
bottal,വടി
khidaki,വിൻഡോ
gym freak,ജിം ഫ്രീക്ക്
happpy,സന്തോഷം
balwaan,ബാൽക്കണി
utsukh,ജിജ്ഞാസ:
shaitan,രാക്ഷസൻ
raub,കവർച്ച
cloud,മേഘം
bacchha,ആട്
bhalu,കരടി
khilona,കളിപ്പാട്ടം
pyara,മനോഹരമായ
kushi,പൂർണ്ണ ഉപയോഗം
prasang,സന്ദർഭം
jumpsuit,ജമ്പ്‌സ്യൂട്ട്
bachcha,കുഞ്ഞേ
asman,ആകാശം
asmanjas,ധർമ്മസങ്കടം
red t-shirt,ചുവന്ന ടി-ഷർട്ട്
laal kapde,ചുവന്ന വസ്ത്രങ്ങൾ
powerful guy,ശക്തൻ
jewels,ആഭരണങ്ങൾ
gehne,ആഭരണങ്ങൾ
balshali,ശക്തമാണ്
takatwar,വീരന്മാർ
atmavishwas,ആത്മവിശ്വാസ്
disco lights,ഡിസ്കോ ലൈറ്റുകൾ
paushak,പോഷകഗുണം
indian god,ഇന്ത്യൻ ദൈവം
water fall,വെള്ളച്ചാട്ടം
dedicated,സമർപ്പിത
shiv ling,ശിവലിംഗം
lingam,ലിംഗം
jharna,ഉറവ
pahad,മോശം
numb,മരവിപ്പ്
jutey,ജോഡികളായി
watercolour effect,വാട്ടർ കളർ ഇഫക്റ്റ്
dangree,ചൂടായിരിക്കുക
indian map,ഇന്ത്യൻ മാപ്പ്
waist coat,അരക്കെട്ട്
indian outfit,ഇന്ത്യൻ വേഷം
pumped up,മുകളിലേക്ക് പമ്പ് ചെയ്തു
bharat ka naksha,ഇന്ത്യയുടെ ഭൂപടം
desh prem,ദേശ് പ്രേം
topi,പന്ത്
mobile camera,മൊബൈൽ ക്യാമറ
mini skirt,കൊച്ചുപാവാട
circle,സർക്കിൾ
choti skirt,ഷോർട്ട് പാവാട
night suit,രാത്രി സ്യൂട്ട്
night sky,രാത്രി ആകാശം
tierd,ആഘോഷിച്ചു
raat k kapde,രാത്രി വസ്ത്രങ്ങൾ
raat ka asman,അസമമായ രാത്രി
akash,ആകാശ്
nind,nind
heals,സുഖപ്പെടുത്തുന്നു
sandals,ചെരുപ്പുകൾ
naraaz,ദേഷ്യം
baby suit,ബേബി സ്യൂട്ട്
bachhe k kapde,കുഞ്ഞു വസ്ത്രങ്ങൾ
baloons,ബലൂണുകൾ
colourful clothes,വർണ്ണാഭമായ വസ്ത്രങ്ങൾ
taufe,സ്നാനം
rangeen kapde,വർണ്ണാഭമായ വസ്ത്രങ്ങൾ
ajeeb,വിചിത്രമായത്
sawaliya,ചോദ്യം
hara adami,hara adami
nikkar,ഷോർട്ട്സ്
folded hands,മടക്കിയ കൈകൾ
disappointment,നിരാശ
naraz,ഒരിക്കൽ
nirash,നിരാശരായി
atamavishwas,atamavishwas
Celebrities,സെലിബ്രിറ്റികൾ
sidhu,സിദ്ധു
ghadi,വാച്ച്
tauliya,തൂവാല
hamock,mm ഞ്ഞാൽ
jhula,സ്വിംഗ്
udas,ബോറടിക്കുന്നു
makdiman,മക്ഡിമാൻ
naqab,നഖാബ്
soldiers,സൈനികർ
partiotic,ദേശഭക്തനായ
vardi,വർദി
walking stick,ഊന്നുവടി
deshprem,ദേശസ്നേഹം
children's book,കുട്ടികളുടെ പുസ്തകം
talwar,തൽവാർ
kapda,വസ്ത്രങ്ങൾ
surf board,സർഫ് ബോർഡ്
samundar,കടൽ
samudra,കടൽ
chaata,നിഴൽ
pishach,വാമ്പയർ
dara hua,dara hua
chintit,വിഷമിക്കുന്നു
muscular guy,പേശി പയ്യൻ
ethenic wear,ethenic വസ്ത്രം
frock,തവള
kursi,കസേര
thakavat,ക്ഷീണം
test tube,ടെസ്റ്റ് ട്യൂബ്
lab coat,ലാബ് കോട്ട്
experimenting,പരീക്ഷണം
cautious,ജാഗ്രത
jaagrit,ഉണരുക
baseball bat,ബേസ്ബോൾ ബാറ്റ്
Interests,താൽപ്പര്യങ്ങൾ
yellow pants,മഞ്ഞ പാന്റ്സ്
bricks,ഇഷ്ടികകൾ
brick wall,ഇഷ്ടിക മതിൽ
pili patloon,മഞ്ഞ പാന്റ്സ്
enten,ഒന്നുകിൽ
enton ki diwar,ഇഷ്ടിക മതിൽ
indian wear,ഇന്ത്യൻ വസ്ത്രം
patake,സ്ലാം
phatake,phatake
aatishbazi,വെടിക്കെട്ട്
bumb,ബംബ്
patakhe,വെടിക്കെട്ട്
ullas,സന്തോഷം
mazze,ദണ്ഡുകളുമുണ്ടായിരിക്കും
kamyabi,വിജയിക്കുക
maze,സങ്കീർണ്ണമായ
garland,മാല
hoodie,തലമറ
cosplay,കോസ്‌പ്ലേ
thand ke kapde,തണുത്ത വസ്ത്രങ്ങൾ
daravna,ഭയപ്പെടുത്തുന്നു
pervert,വക്രത
kursi, heels,തീർച്ചയായും, കുതികാൽ
doorbeen,തുട
taare, badal,വയർ, മോശം
wristband,റിസ്റ്റ്ബാൻഡ്
chidna,ലിഡ്ന
stiches,തുന്നലുകൾ
taanke,ഹ്രസ്വമായി
bhooka,ഭൂക
trident,ത്രിശൂലം
seengh,സിംഗ്
hassi,ഹസി
chamkadar,തിളങ്ങുന്ന
atma vishwaas,  fakrr,ആത്മവിശ്വാസം, ഫ്രാക്കർ
jewell,രത്നം
shivaling,shivaling
ghene,ghene
vishwaas,വിശ്വാസ്
bharosa,വിശ്വസിക്കുക
shoe,ഷൂ
shirt or kamij, pant,ഷർട്ട് അല്ലെങ്കിൽ കമിജ്, പാന്റ്
joota,ഷൂസ്
lachaar,നിസ്സഹായൻ
Scaf,സ്കാർഫ്
racquet,റാക്കറ്റ്
sofa' slippers,സോഫയുടെ ചെരിപ്പുകൾ
nikar,നിക്കാർ
joote,ചെരിപ്പുകൾ
police uniform,പോലീസ് യൂണിഫോം
aatmvishvas,ആത്മവിശ്വാസം
handpump,ഹാൻഡ്‌പമ്പ്
pathani salwaar,പത്താനി സൽവാർ
pump: jooti,പമ്പ്: ജൂട്ടി
teer,പക്ഷി
dhanush,ധനുഷ്
talvaar,വാൾ
kawach,പരിച
atma vishvaas,ആത്മവിശ്വാസം
atamvishvaas,ആത്മവിശ്വാസം
fakr,ഫകെര്
khamand,ഖാമന്ദ്
fakrr,ഫക്ര
frustrated,നിരാശനായി
dukhi,പെർഫ്യൂം
dumble,ഡംബിൾ
bhaar,ഭാരം
nikarr,നിക്കരാർ
prerna,പ്രചോദനം
hairan,അത്ഭുതം
fat body,തടിച്ച ശരീരം
ursi,ജന്മം നൽകുക
khat,സ്‌ട്രീക്ക്
revolver,റിവോൾവർ
lamp,വിളക്ക്
achambha,മാർവൽ
zoombie,സോംബി
hara,ഹര
dantna,ശകാരിക്കാൻ
puraskar,പ്രതിഫലം
garv,സൂര്യപ്രകാശമേറ്റ്
exicted,ആവേശത്തിലാണ്
baksa,ബാക്സ
manana,ഉണ്ട്
utsav,ഓണാഘോഷം
toy,കളിപ്പാട്ടം
sadist,സാഡിസ്റ്റ്
downhearted,നിരാശയോടെ
unhappy,അസന്തുഷ്ടി
dejected,നിരസിച്ചു
rejectful,നിരസിക്കുന്നു
kutta,കുട്ട
patta,ദി
mayus,മയൂസ്
gum,ഗം
mayusi,നിരാശ
bachon k kapde,കുട്ടികളുടെ വസ്ത്രങ്ങൾ
safed kameez,വെളുത്ത ഷർട്ട്
bandit,കൊള്ളക്കാരൻ
poshakh,പോഷാഖ്
thakawat,ക്ഷീണം
design,രൂപകൽപ്പന
mohobbat,mohabbat
disco ball,ഡിസ്കോ ബോൾ
rangeen roshni,വർണ്ണാഭമായ വെളിച്ചം
amir khan,അമീർ ഖാൻ
sheild,പരിച
dhaal,ധാൽ
mitti,അരക്കെട്ട്
lipstick marks,ലിപ്സ്റ്റിക്ക് അടയാളങ്ങൾ
video game,വീഡിയോ ഗെയിം
tablet,ടാബ്‌ലെറ്റ്
iPad,ഐപാഡ്
icha,ഇച്ച
utsook,ആകാംക്ഷയുള്ള
captain america,ക്യാപ്റ്റൻ അമേരിക്ക
witch hat,മന്ത്രവാദി തൊപ്പി
kya hai be,എന്താണ് ബേ
main to hero hu,മെയിൻ ടു ഹീറോ ഹു
superhero bol,സൂപ്പർഹീറോ ബോൾ
dekh meri aukat,എന്റെ സ്ഥാനം കാണുക
bas ready hogaya,തയ്യാറാണ്
shoes pehan raha hoo,ഷൂസ് ധരിക്കുന്നു
jhadu,ചൂല്
ant man dress,ഉറുമ്പ് മനുഷ്യൻ വസ്ത്രധാരണം
Gaming,ഗെയിമിംഗ്
ghoda,കുതിര
parda,സ്‌ക്രീൻ
juta,ദശലക്ഷം
footwear,പാദരക്ഷകൾ
paaduka,paaduka
backpack: sneakers,ബാക്ക്പാക്ക്: സ്‌നീക്കറുകൾ
basta,മതി
talvar,വാൾ
yaachna,യച്ന
feather,തൂവൽ
honth,ചുണ്ടുകൾ
chumban,ചുംബനങ്ങൾ
chitthi,കത്ത്
chummi,ചുംബനം
bhawnayen,വികാരങ്ങൾ
bracelet,വള
gown,ഗൗൺ
rasoiya,പാചകക്കാരൻ
bawarchi,bawarchi
vadyyantra,സംഗീതോപകരണങ്ങൾ
hammok,നിങ്ങളുടെ ആശങ്ക
capri,കാപ്രി
moze,അവന് കഴിയും
aanand,ആനന്ദ്
bahadur,ബഹാദൂർ
coat: sofa,കോട്ട്: സോഫ
katta,വലുത്
pistaul,പിസ്റ്റൾ
akad,അവിടെ
ahankar,അഹം
jhaadu,ചൂല്
kudedaan,ഡസ്റ്റ്ബിൻ
jhola,ബാഗ്
sadak,റോഡ്
tohfaa,വിതരണം ചെയ്യുക
tohfa,സമ്മാനം
phul,പൂക്കൾ
shooes,ഷൂസ്
laddo,ലഡ്ഡൂ
shirt, short kurta,ഷർട്ട്, ഷോർട്ട് കുർത്ത
suit, kurta,സ്യൂട്ട്, കുർത്ത
night suit, sun,രാത്രി സ്യൂട്ട്, സൂര്യൻ
night suit, suraj, sooraj,രാത്രി സ്യൂട്ടുകൾ, സൂര്യൻ, സൂര്യൻ
beer, bottle, vest, boxers,ബിയർ, ബോട്ടിൽ, വെസ്റ്റ്, ബോക്സർമാർ
kachcha, botal,,അസംസ്കൃത, കുപ്പി,
beer, bottle, alcohol,ബിയർ, കുപ്പി, മദ്യം
botal, sharaab,ബോട്ടൽ, ജ്യൂസ്
costume, boots,വസ്ത്രധാരണം, ബൂട്ട്
proud, confident,അഭിമാനം, ആത്മവിശ്വാസം
garvit,അഭിമാനിക്കുന്നു
aatmvishwas,ആത്മവിശ്വാസം
vest, sneakers, jeans,വെസ്റ്റ്, സ്‌നീക്കറുകൾ, ജീൻസ്
disagree,വിയോജിക്കുന്നു
shameez,ഷമീസ്
asahmat,വിയോജിക്കുന്നു
sneakers, shoes, skirt, top, t shirt, jeans,സ്‌നീക്കറുകൾ, ഷൂസ്, പാവാട, ടോപ്പ്, ടി ഷർട്ട്, ജീൻസ്
mazakiya,തമാശ
kamiz,ഷർട്ട്
doctor tape,ഡോക്ടർ ടേപ്പ്
bandage,തലപ്പാവു
sarcastc,പരിഹാസ്യമായ
katu,തറ
vayangpurn,ആക്ഷേപഹാസ്യം
joote kamiz,ഷൂസ് ഷർട്ട്
prem yukt,പ്രേം യുക്ത്
gaay,നിലത്ത്
kameez, pant, joote,ഷർട്ട്, പാന്റ്, ഷൂസ്
baby diaper,ബേബി ഡയപ്പർ
nappy,നപ്പി
tea glass,ടീ ഗ്ലാസ്
shovel,കോരിക
fawda,കോരിക
Indian womens suit,ഇന്ത്യൻ വനിതാ സ്യൂട്ട്
salwar suit,സൽവാർ സ്യൂട്ട്
darna,അവനിൽ നിന്ന്
uttejit,ആവേശഭരിതനായി
mugs,മഗ്ഗുകൾ
kup,വാങ്ങുക
roomantic,രൊഒമംതിച്
joote, joota, jootey,ഷൂസ്, ഷൂ, ഷൂസ്
cheeky,ചീക്കി
tolia,ടോലിയ
potatoes,ഉരുളക്കിഴങ്ങ്
onions,ഉള്ളി
musical instrument,സംഗീതോപകരണം
claws,നഖങ്ങൾ
skeletion,അസ്ഥികൂടം
nakhooh,നഖൂ
panje,കൂട്
kankal,കണ്ണുകൾ
weighing machine,തൂക്കമുള്ള യന്ത്രം
tarazu,പോരാ
khana, daaru,ഖാന, ദാരു
Aur bata yaar,കൂടുതൽ സുഹൃത്തിനോട് പറയുക
kya chal raha hai,വാട്ട്സ് അപ്പ്
boss kaun hai,ആരാണ് ബോസ്
aur sunao,എന്നോട് കൂടുതൽ പറയുക
kya hal hai,എന്താണ് പരിഹാരം
tera maa ka bosada,തേര അനങ്ങുന്നില്ല
chup kar,ഷട്ട് അപ്പ്
chutiye,പിഞ്ച് ചെയ്യുക
playsuit,പ്ലേസ്യൂട്ട്
sitara,നക്ഷത്രം
dissaproval,നിരസിക്കൽ
vision,കാഴ്ച
fictional superhero,സാങ്കൽപ്പിക സൂപ്പർഹീറോ
poshaak,വസ്ത്രധാരണം
champagne glass,ഷാംപെയ്ൻ ഗ്ലാസ്
wine glass,വീഞ്ഞു ഗ്ലാസ്
sharaabh,സോക്സ്
arrows,അമ്പുകൾ
gada,ന്റെ
bhalla,ഭല്ല
aatmvshwas,ആത്മവിശ്വാസം
bouquete,പൂച്ചെണ്ട്
baby clothes,കുഞ്ഞ് വസ്ത്രങ്ങൾ
chariot,രഥം
rath,രത്ത്
Indian ethnic suit,ഇന്ത്യൻ വംശീയ സ്യൂട്ട്
salwar kameez,സൽവാർ കമീസ്
office desk,ഓഫീസ് ഡെസ്ക്
office table,ഓഫീസ് ടേബിൾ
notebook,നോട്ടുബുക്ക്
cigarrette,സിഗരറ്റ്
kalam,വാക്കുകൾ
Furtila,ഫുര്തില
bangage,bangage
bandaid,ബാൻഡ് എയ്ഡ്
stethoscope,സ്റ്റെതസ്കോപ്പ്
doctor's coat,ഡോക്ടറുടെ കോട്ട്
chaaku,കത്തി
khanjar,ഡാഗർ
soft toy,മൃദുവായ കളിപ്പാട്ടം
Sad, happy,സങ്കടം, സന്തോഷം
bhaalu,കരടി
khush, dukhi, naraz,സന്തോഷം, സങ്കടം, ദേഷ്യം
diary,ഡയറി
daftar,പട്ടിക
happy, proud,സന്തോഷം, അഭിമാനം
jutti,അനുഭവപ്പെട്ടു
flip flops,ഫ്ലിപ്പ് ഫ്ലോപ്പുകൾ
boxers,ബോക്സർമാർ
baniyaan,വെസ്റ്റ്
shooting gun,വെടിവയ്പ്പ്
loafers,ലോഫറുകൾ
suit loafer,സ്യൂട്ട് ലോഫർ
sinhasan,സിംഹാസനം
bodybuilder,ബോഡി ബിൽഡർ
flipflop,ഫ്ലിപ്പ് ഫ്ലോപ്പ്
ethnic Indian suit,വംശീയ ഇന്ത്യൻ സ്യൂട്ട്
salwar,സൽവാർ
kamweez,ഒരിക്കലും
rally,റാലി
dharna,പിക്കറ്റ്
swami ji,ഭർത്താവ്
costumer,കോസ്റ്റ്യൂമർ
chola,മുന്നോട്ട്
buildings,കെട്ടിടങ്ങൾ
imaarat,സ്നേഹം
alarm clock,അലാറം ക്ലോക്ക്
Indian flag,ഇന്ത്യൻ പതാക
tricolour,ത്രിവർണ്ണ
ashoka chakra,അശോക ചക്രം
anghutha,തള്ളവിരൽ
screwdriver,സ്ക്രൂഡ്രൈവർ
rain coat,മൊബൈൽ കോട്ട്
pechkus,pechkus
darwawana,ദര്വവന
gandhi photo,ഗാന്ധി ഫോട്ടോ
kitaabe,പുസ്തകങ്ങൾ
lakdi,മരം
business suit,ബിസിനസ് സ്യൂട്ട്
burf,മഞ്ഞ്
swim suit,നീന്തൽ സ്യൂട്ട്
swimming costume,നീന്തൽ വസ്ത്രം
jhata,പോകുക
feeding bottle,തീറ്റ കുപ്പി
doodh ki bottle,എന്തൊരു കുപ്പി പാൽ
brief,ചുരുക്കത്തിലുള്ള
square,സമചതുരം Samachathuram
nila,അവ
boond,ബ്ലോബ്
paseena,വിയർപ്പ്
chaunkna,ഞെട്ടിപ്പോകും
water splash,വാട്ടർ സ്പ്ലാഷ്
rangeen pani,നിറമുള്ള വെള്ളം
men's suit,പുരുഷന്മാരുടെ സ്യൂട്ട്
tayar,ടയറുകൾ
gymfreak,ജിംഫ്രീക്ക്
muscular guy, nice body,പേശി പയ്യൻ, നല്ല ശരീരം
naaz,ഇല്ല
indian dress,ഇന്ത്യൻ വസ്ത്രധാരണം
mansion,മാൻഷൻ
gold, bangles,സ്വർണ്ണം, വളകൾ
balak,കവിത
mahal,ചെലവേറിയത്
chudiyan,വളകൾ
jashn,ഓണാഘോഷം
coconut tree,തെങ്ങ്
nariyal ka ped,തെങ്ങ് മരം
hand fan,കൈ പങ്ക
chinese fan,ചൈനീസ് ഫാൻ
pankha,ഫാൻ
chinese pankha,ചൈനീസ് ഉത്തരം
indian clothes,ഇന്ത്യൻ വസ്ത്രങ്ങൾ
overwhelm,കവിഞ്ഞൊഴുകുക
rashtra prem,രാഷ്ട്രത്തെ സ്നേഹിക്കുക
ahimsa,അഹിംസ
dibba,ഡിബ്ബ
kala or safed,കറുപ്പും വെളുപ്പും
ashcharya,ആശ്ചര്യം
disgusted,വെറുപ്പ്
jhadiyan,കുറ്റിക്കാടുകൾ
i-shirt,ഐ-ഷർട്ട്
jute,ചണം
hot girls,ചൂടുള്ള പെൺകുട്ടികൾ
cheapness,വിലകുറഞ്ഞത്
sundar ladkiyan,സുന്ദരികളായ പെൺകുട്ടികൾ
havas,ഉണ്ട്
teachings,പഠിപ്പിക്കലുകൾ
pravachan,പ്രസംഗിക്കുന്നു
seekh,പഠനം
glitters,തിളക്കം
chamkile kapde,തിളക്കമുള്ള വസ്ത്രങ്ങൾ
kushiyan manana,കുഷ്യന് ഉണ്ട്
beer mug,ബിയർ മഗ്
hard drink,ഹാർഡ് ഡ്രിങ്ക്
sharabi,മദ്യം
sharab ka glass,ഗ്ലാസ് വൈൻ
khushiyan manana,ആഘോഷിക്കുന്നു
hot chocolate,ചൂട് ചോക്കളേറ്റ്
woolen cap,കമ്പിളി തൊപ്പി
cozy,സുഖപ്രദമായ
khundak,ഉണങ്ങിയ പൊറോട്ട
india ka jhanda,ഇന്ത്യയുടെ പതാക
ashok chakra,അശോക ചക്രം
appreciating,അഭിനന്ദിക്കുന്നു
tarif karna,കാരണം
hare kapde,പച്ച വസ്ത്രങ്ങൾ
fence,വേലി
wooden partition,മരം വിഭജനം
roadside,റോഡരികിൽ
footpath,ഫുട്പാത്ത്
ghaas,പുല്ല്
ped,പെഡ്
paudhe,സസ്യങ്ങൾ
freaked out,പുള്ളിക്കാരൻ
arogant,അഹങ്കാരം
ghadhi,ഫീഡ്
akadh,കുറച്ച്
rays,കിരണങ്ങൾ
iron suit,ഇരുമ്പ് സ്യൂട്ട്
body suit,ബോഡി സ്യൂട്ട്
lohe ka suit,സ്യൂട്ട് കേട്ടു
lohe ka aadme,അയൺ മാൻ
roshni,പ്രകാശം
tarang,തിരമാല
kiran,കിരൺ
happy tears,സന്തോഷകരമായ കണ്ണുനീർ
khushi k aansu,സന്തോഷത്തിന്റെ കണ്ണുനീർ
khushiyan,ഖുഷിയാൻ
paper plane,കടലാസ് വിമാനം
red chair,ചുവന്ന കസേര
kagaz ka plane,പേപ്പർ തലം
laal kursi,സീറ്റ് ബെൽറ്റുകൾ
chaped,അധ്യാ
lal kapdey,ചുവന്ന വസ്ത്രങ്ങൾ
lal,ലാൽ
surya,സൂര്യ
cauldron,കോൾഡ്രോൺ
dayan,ദയാൻ
jhadhu,ചൂല്
hari chudail,പച്ച മന്ത്രവാദി
bracelete,ബ്രേസ്ലെറ്റ്
nice body,നല്ല ശരീരം
joe,ജോ
batakh,താറാവ്
murgi ka bachha,ചിക്കൻ കുഞ്ഞ്
chuza,ചുസ
overwhelmed,ക്ഷീണിച്ചു
aasman,ആകാശം
unhealthy food,അനാരോഗ്യകരമായ ഭക്ഷണം
fried food,വറുത്ത ഭക്ഷണം
fast food,ഫാസ്റ്റ് ഫുഡ്
dedication,സമർപ്പണം
gajar,കാരറ്റ്
tala hua khana,വറുത്ത ഭക്ഷണം
chaddhi,ചദ്ദി
neon clothes,നിയോൺ വസ്ത്രങ്ങൾ
threatening,ഭീഷണിപ്പെടുത്തുന്നു
churi,മോഷണം
mawali,വിശ്വസ്തൻ
rumaal,മാതളനാരകം
darana,ഭയപ്പെടാൻ
plow,ഉഴുക
cultivator,കൃഷിക്കാരൻ
army uniform,സൈനിക യൂണിഫോം
machine gun,യന്ത്രത്തോക്ക്
AK47,ബൈക്ക് 47
