bobble,குமிழ்
hurrey,அவசரம்
super happy,சூப்பர் மகிழ்ச்சி
top of the world,உலகின் உச்சத்தில்
good mood,நல்ல மனநிலை
contempt,அவமதிப்பு
dont mess,குழப்பம் வேண்டாம்
need to talk,பேச வேண்டும்
keep in touch,தொடர்பில் இருங்கள்
itraana,இற்றான
i am the king,நான் ராஜா
the vip,விஐபி
elephant ride,யானை சவாரி
rajkumar,ராஜ்குமார்
stop it,அதை நிறுத்து
stop that,நிறுத்து
raja,ராஜா
ghamandi,ஹைப்ரோ
maze karo,மகிழுங்கள்
naacho,நடனம்
lets go,போகலாம்
chandlier,அலங்கார விளக்கு
phoebe,ஃபோப்
joey,joey
ross,ரோஸ்
monica,மோனிகா
rachael,rachael
chesse,செஸ்
anxious,ஆர்வத்துடன்
person,நபர்
somebody,யாரோ
humour,நகைச்சுவை
comfort,ஆறுதல்
chhota,சிறியது
bheem,பீம்
chutki,ஒரு பிஞ்ச்
dholakpur,தோலக்பூர்
raju,ராஜு
palace,அரண்மனை
choota,Cuta
chhota bheem,சோட்டா பீம்
dholu,டிரம்
bholu,போலு
chota bheem,சோட்டா பீம்
crown,கிரீடம்
gaon,பாடு
belan,அருமை
ladoos,பக்க
kalia,கலியா
kaalia,முட்டைக்கோஸ்
ladoo ke bhaiya,லடூவின் சகோதரர்
baa,அவர்கள்
pakde,பக்தே
hain,உள்ளன
vibhuti ji,திரு விபூதி
nalle,கரடி பொம்மையை
kanpur,கான்பூர்
ghuinya ke kisaan,ஹாக்கர் விவசாயிகள்
tiwari,திவாரி
tiwariji,திவாரிஜி
anitaji,அனிதாஜி
bhabhiji,அண்ணி
daroga,இன்ஸ்பெக்டர்
nyochavar,தியாகம்
kachu,கத்யு
angoori,அங்கூரி
bhabhi ji,அண்ணி
haye,ஆக
daiyaa,கொடுக்கப்பட்டுள்ளது
gori,எரியும்
fair,நியாயமான
mem,mem
vibhu,விபு
angoori ji,அங்கூரி
tiwari ji,திவாரி ஜி
bittu,விடுங்கள்
gutthi,கின்க்
taiyaar,தயார்
tonty,டோன்டி
thoko,தோக்கோ
taali,டாலி
siddhu,சித்து
gayee,சென்றது
kapil sharma,கபில் ஷர்மா
shagun,ஷாகுன்
bittu ki bua,பிட்டுவின் அத்தை
phool,பூக்கள்
gulshan,குல்ஷன்
aap aaye hain,நீங்கள் வந்துவிட்டீர்கள்
khile,பூக்கும்
palak,மேய்ப்பன்
oooooo,oooooo
babaji ka thullu,பாபாஜி கி துலு
comedy nights,நகைச்சுவை இரவுகள்
ittu,இருந்தது
dadi,பூமி
'sa,'க்கு
fielding,பீல்டிங்
jeeto,வெற்றி
haaro,அவர் இல்லை
banti hai,உங்களிடம் உள்ளது
win or lose,வெற்றி அல்லது தோல்வி
broken televison,உடைந்த தொலைக்காட்சி
andha,அந்த
romanchak,த்ரில்லர்
exciting,உற்சாகமான
this match,இந்த போட்டி
bandh,அணை
wicket fall,விக்கெட் வீழ்ச்சி
girwa,கிர்வா
manhoos,தவறான
iss baar,இந்த முறை
this time,இந்த நேரத்தில்
jeetoge,நீங்கள் வெல்வீர்கள்
we won,நாங்கள் வென்றோம்
jeet gaye,வென்றிருக்கிறார்கள்
mai,மேலும்
curious,ஆர்வமாக
jungle,காட்டில்
mangal,நன்மை
forest,காடு
jungle mangal,ஜங்கிள் மார்ஸ்
sabu,மெத்
chaudhary,ச ud த்ரி
good girl,நல்ல பெண்
acchi,நல்லது
bacchi,பச்சி
no school,பள்ளி இல்லை
bhagta,ஓடுகிறது
pyaara,pyaara
lovely friend,அழகான நண்பர்
badla,பழிவாங்குதல்
apsara hu,அப்சரா i
i am princess,நான் இளவரசி
sab badhiya,எல்லாம் நல்லது
all good,எல்லாம் நல்லது
daro mat,பயப்பட வேண்டாம்
dont fear,பயப்பட வேண்டாம்
i am here,நான் இங்கே இருக்கிறேன்
mauka mauka,வாய்ப்பு வாய்ப்பு
opportunity,வாய்ப்பு
t20,t20
ka badla,பழிவாங்குதல்
wicket se,அவர்களுக்கு விக்கெட்
t 20,t 20
bleed blue,இரத்தம் கசியும்
virat,மகத்தான
virat kohli,விராட் கோலி
world cup T20,உலகக் கோப்பை டி 20
we will win,நாங்கள் வெல்வோம்
jeetaga,ஒரு ஜெட் மூலம்
strom,ஸ்ட்ரோம்
shaant,அமைதியானது
shant,அமைதியான
dobara,பொருட்கள்
mahendra singh dhoni,மகேந்திர சிங் தோனி
MS dhoni,எம்.எஸ் தோனி
ghumake,உருட்டவும்
one two three four,ஒன்று இரண்டு மூன்று நான்கு
char,கரி
villian,வில்லியன்
mukesh rishi,முகேஷ் ரிஷி
mai hoon bhulla,நான் மறந்துவிட்டேன்
maine,மைனே
vitamin,வைட்டமின்
sax,சாக்ஸ்
khaya,சாப்பிட்டேன்
shakti kapoor,சக்தி கபூர்
chupu,காட்டு
viagra,வயக்ரா
calendar,நாட்காட்டி
hote,இருக்க வேண்டும்
pote,நண்பா
khada,நின்று
hatela,அழுத்தவும்
IBU,அம்மா
will you eat,நீங்கள் சாப்பிடுவீர்களா?
chuttiya,விடுமுறை
roll on floor,தரையில் உருட்டவும்
obvious,வெளிப்படையானது
obviously,வெளிப்படையாக
obvio,வெளிப்படையானது
no problem,எந்த பிரச்சினையும் இல்லை
np,உதாரணமாக,
K,கே
theek hai,அது சரி
dont know,தெரியாது
vapas,பின்
BRB,பி.ஆர்.பி.
be right back,திரும்பி வாருங்கள்
ahem,ahem
talk to you later,உங்களுடன் பின்னர் பேசுங்கள்
ttyl,ttyl
only,மட்டும்
what's up,என்ன விஷயம்
hii,இது
guffaw,guffaw
FYI,FYI
kind information,வகையான தகவல்
toh party,தோ கட்சி
shuru,உள்ளீடு
dhamaka,பேங்
disc,வட்டு
jockey,ஜாக்கி
let's go,போகலாம்
supreme,உச்ச
unique,தனித்துவமான
prohibited,தடைசெய்யப்பட்டுள்ளது
pooper,பூப்பர்
bring,கொண்டு வாருங்கள்
ek aur,இன்னொன்று
one more,இன்னும் ஒரு
maro,பழுப்பு
dum maaro,அடடா என்னுடையது
maaro dum,என் சொந்த
dhuan,புகை
dia,நாள்
chhod,விடுங்கள்
impotency,இயலாமை
powa,வழி
complete,முழுமை
entire,முழு
excitement,உற்சாகம்
belly,தொப்பை
belly dancer,தொப்பை நடனக் கலைஞர்
bachpan,குழந்தைப் பருவம்
junkie,ஜங்கி
bacche,பெர்ரி
mann,மான்
truthful,உண்மை
sacchey,sacchey
sacche,பைகளில்
tales,கதைகள்
karli,கர்லி
small,சிறிய
my homework,என் வீட்டுப்பாடம்
little star,சிறிய நட்சத்திரம்
drawing,வரைதல்
painitng,ஓவியம்
keh ke,இல்லையெனில்
le li,லெலி
jhaant hai,விரைவானது
thaant hai,சோர்வாக இருக்கிறது
chutzpah,சட்ஸ்பா
sulphate,சல்பேட்
soo,சூ
i am waiting,நான் காத்திருக்கிறேன்
nobody,யாரும் இல்லை
cares,அக்கறை
concern,அக்கறை
abe,abe
what I did,நான் என்ன செய்தேன்
tu bhai,உங்களிடம் உள்ளது
brotherzoned,அண்ணன்
turn,திரும்பவும்
cannot,முடியாது
hamesha,எப்போதும்
aaja,aaja
maidan,செலுத்துங்கள்
animals,விலங்குகள்
will take bath,குளிக்கும்
nahaunga,nahaunga
no water,தண்ணீர் இல்லை
nahi hai,இல்லை
anything,எதையும்
katti,கட்டி
movie,திரைப்படம்
film,படம்
mr.india,mr.india
sharukh,ஷாரூக்
king khan,ராஜா கான்
gerua,கவ்பாய்
mohe,இயக்கவும்
kajol,காஜோல்
phata,விரிசல்
poster,சுவரொட்டி
aisi,அத்தகைய
khushi,மகிழ்ச்சி
bhula,மறந்துவிட்டேன்
yeh jawani hai deewani,இந்த இளைஞனுக்கு பைத்தியம்
ho jayega,செய்யப்படும்
phir se,மீண்டும்
my love,என் காதல்
mera piya,என் குடித்தார்
zara zara,zara zara
touch me,என்னை தொடு
kuch kuch,ஏதோ
happens,நடக்கிறது
love triangle,காதல் முக்கோணம்
k2h2,கஹா
lul,asshole
pk,pk
jumma,இவ்வளவு
de de,of
na de,இல்
dont give,கொடுக்க வேண்டாம்
chamatkar,அருமை
karenge,செய்வேன்
emotional,உணர்ச்சி
atyachaar,சித்திரவதை
torture,சித்திரவதை
my hero,என் நாயகன்
mera hero,என் ஹீரோ
main tero,பிரதான டெரோ
your hero,உங்கள் ஹீரோ
all is well,எல்லாம் நன்றாக இருக்கிறது
khamosh,அமைதியாக
khamoshi,ம ile னம்
shatrughan,சத்ருகன்
udta,ஃப்ளையர்
jaaye,போ
bad bad,மோசமான கெட்டது
i am bad,நான் கெட்டவன்
fear,பயம்
darr,darr
lagta,தெரிகிறது
yenna,yenna
rascal,ராஸ்கல்
salman bhai,சல்மான் பாய்
mera naam,என் பெயர்
my name is,என் பெயர்
behen ji,சகோதரி
rishtey,உறவுகள்
relation,உறவு
hum tumhare,நாங்கள் உங்கள்
lagte hain,தெரிகிறது
hamara,எங்கள்
robinhood,ராபின் ஹூட்
dabang,தாங்குதல்
chulbul pandey,சுல்பூல் பாண்டே
maji,நீர்
my bae,என் பே
anyone,யாராவது
else,வேறு
galat,பிழை
condition,நிலை
tasveer,படம்
drop dead,இறந்து விடுங்கள்
gorgeous,அழகான
let me,என்னை விடு
allow,அனுமதி
meant,பொருள்
short,குறுகிய
shy,கூச்சமுடைய
dont be,இருக்க வேண்டாம்
dangerously,ஆபத்தான
for you,உனக்காக
girna,விழ
butterflies,பட்டாம்பூச்சிகள்
breath,மூச்சு
breath away,மூச்சை விடு
narak,நரகம்
get lost,தொலைந்து போ
ever repeat,எப்போதும் மீண்டும்
no idea,தெரியாது
dear,அன்பே
business,வணிக
move on,தொடரவும்
awww,awww
itta,தோல்வி
confession,ஒப்புதல் வாக்குமூலம்
my life,என் வாழ்க்கை
my heart,என் இதயம்
mera dil,என் இதயம்
lots of love,நிறைய காதல்
war,போர்
possesive,possesive
tumsa,இருள்
nahi dekha,பார்க்கவில்லை
u r special,u r சிறப்பு
hasi,தொடங்கவும்
phasee,தொங்குகிறது
feelings,உணர்வுகள்
anytime,எப்போது வேண்டுமானாலும்
available,கிடைக்கிறது
hoon na,ஹ்ம்ம் எண்
major missing,பெரிய காணவில்லை
heart break,இதய முறிவு
ladke,சிறுவர்கள்
chichoore,மேலோட்டமான
totta,உண்மை
no time,நேரம் இல்லை
do note,குறிப்பு செய்யுங்கள்
maaro,என்னுடையது
its okay,அது பரவாயில்லை
pakka,தொகுப்பு
too much,அதிகமாக
bahot,பல
booti,துவக்க
hawww,hawww
not possible,சாத்தியம் இல்லை
ho payega,முடியும்
bhavnao,உணர்வுகள்
my fortune,என் அதிர்ஷ்டம்
kismat,அதிர்ஷ்டம்
chahte,வேண்டும்
nachoon,nachoon
dont mind,கவலைப்பட வேண்டாம்
keep trying,தொடர்ந்து முயற்சி செய்யுங்கள்
kyun,ஏன்
but why,ஆனால் ஏன்
kisliye,எதற்காக
fed up,சோர்வாக
gazab,அருமை
leave me alone,என்னை விட்டுவிடு
battery low,குறைந்த பேட்டரி
discharge,வெளியேற்றம்
zzzzzz,zzzzzz
dizzy,மயக்கம்
wopping,வாப்பிங்
market,சந்தை
spend,செலவு
baad mein,பின்னர்
badhiya,நல்லது
phati,கிழிந்தது
padi,அரிசி
chalein,போகலாம்
jhakass,ஹன்ச்
bindass,பிந்தாஸ்
maarte,கலை
how r u,எப்படி இருக்கிறாய்
idk,idk
courtesy,மரியாதை
no thanks,நன்றி இல்லை
haal,நிபந்தனை
heya,அவள்
think of,பற்றி யோசி
khudko,அவரே
i hate you,நான் வெறுக்கிறேன்
dikha,காண்பிக்கிறது
improve,மேம்படுத்த
tu nahi,tu nahi
sudhar,மேம்படுத்தவும்
sudhregi,மேம்படும்
absolutely nothing,முற்றிலும் எதுவும் இல்லை
dekh bhai,பார் தம்பி
zyada mat,அதிகமாக வாக்களிக்க வேண்டாம்
mat bol,அவர் இறந்தார்
dont speak,பேச வேண்டாம்
right now,இப்போதே
this,இது
chittar,சித்தர்
don't angry,கோபப்பட வேண்டாம்
bhaad,வீண்
jaaa,jaaa
not invited,அழைக்கப்படவில்லை
aukat,இடம்
reh,மான்
tel,தொலைபேசி
leva,எடுக்கும்
karan,கரண்
lagra,கடை
hao,நல்லது
ayi,ஏதேனும்
shapat,சத்தியம்
happened,நடந்தது
ka ho,இல்
siya ram,அவர் ராம்
sita,பறிமுதல் செய்யப்பட்டது
chal na,எந்த நடவடிக்கையும் இல்லை
bhava,பாவா
uplift,உயர்வு
jaylalitha,ஜெயலலிதா
punjbai,நூற்றுக்கணக்கான தண்டித்தல்
steady,நிலையான
po,வழங்கியவர்
aiyoo,ஐயோ
tamil,தமிழ்
gujrat,குஜராத்
business man,வணிக மனிதன்
kai,மற்றும்
zhala,zhala
bongs,bongs
tomake,உங்களுக்கு
bhalabasi,ஒரு போர்வை
appolum,appolum
paranjille,பரஞ்சில்
thaat,அது
gidda,கிட்டன்ஸ்
paao,பெறுங்கள்
vanakkam,vanakkam
homage,மரியாதை
culture,கலாச்சாரம்
sat,அமர்ந்தார்
sri,ஸ்ரீ
sat sri akal,அது அர்த்தமுள்ளதாக இருக்கிறது
hindu,இந்து
lord,ஆண்டவர்
cheer up,உற்சாகப்படுத்துங்கள்
chakk de,கே இல்
phatte,phatte
losing,இழக்கிறது
head,தலை
programmed,திட்டமிடப்பட்டது
bot,போட்
hot-o-bot,சூடான-ஓ-போட்
download,பதிவிறக்க Tamil
nuts,கொட்டைகள்
robotics,ரோபாட்டிக்ஸ்
sign in,உள்நுழைக
log in,உள்நுழைய
my place,என் இடம்
spark,தீப்பொறி
electric,மின்சார
between,இடையில்
wire,கம்பி
ugta,உயர்கிறது
kharch,செலவுகள்
aaga,ஆகா
aagyi,உமிழும்
password,கடவுச்சொல்
login,உள்நுழைய
aage,முன்
in future,எதிர்காலத்தில்
karna,ஏனெனில்
ghus,ஏறும்
pc,பிசி
ghoonsa,முஷ்டி
ghus ja,உள்ளே செல்லுங்கள்
aalsi,சோம்பேறி
aish,கீஸ்
tafri,தஃபாரி
udalo,வெற்றி
atm,atm
zamane,சகாப்தம்
our times,எங்கள் காலம்
sangat,மிகவும்
asar,வாருங்கள்
bigadna,மோசமடைகிறது
dekhi,பார்ப்போம்
grey,சாம்பல்
friday,வெள்ளி
chutti,விடுமுறை
mondays,திங்கள்
weekdays,வார நாட்கள்
vegeta,தாவர
saiyans,சயான்கள்
dragon ball z,டிராகன் பந்து z
I'm the prince of all saiyans,நான் எல்லா சயான்களின் இளவரசன்
huh,ஹூ
trunks,டிரங்க்குகள்
the future is here,எதிர்காலம் இங்கே
I'll cut you into little pieces,நான் உன்னை சிறிய துண்டுகளாக வெட்டுவேன்
super saiyan,சூப்பர் சயான்
goku,goku
its over 9000,அதன் 9000 க்கு மேல்
krillin,krillin
no one cares about me,யாரும் என்னைப் பற்றி கவலைப்படுவதில்லை
saiyan,சயான்
kame haame ha,kame haame ha
spirit bomb,ஆவி குண்டு
saiyan god,சயான் கடவுள்
kame hame ha,ஆம் வேலையில்
double trouble,இரட்டை சிக்கல்
frieza,குளிர்
you little monkey,நீங்கள் சிறிய குரங்கு
school test,பள்ளி சோதனை
nahiii,நஹி
daant,பல்
aaj toh,aaj toh
interval,இடைவெளி
fod,இருங்கள்
come here,இங்கே வா
how's,எப்படி
been,இருந்தது
kaisa,கைசா
journey,பயணம்
afternoon,பிற்பகல்
congratulate,வாழ்த்து
congo,காங்கோ
pranam,வாழ்த்துக்கள்
kaisi hai,எப்படி உள்ளது
aur batao,மேலும் சொல்லுங்கள்
how are you doing,நீங்கள் எப்படி இருக்கிறீர்கள்
have a,ஒரு
have a good day,இந்த நாள் இனிய நாளாகட்டும்
badahiya,மூத்தவர்
shubh ratri,shubh ratri
gd mrng,காலை வணக்கம்
gm,gm
buttercup,பட்டர்கப்
theory,கோட்பாடு
big bang theory,பிக் பேங் கோட்பாடு
tv series,தொலைக்காட்சி தொடர்
binge,அதிக அளவு
binge watch,அதிக கண்காணிப்பு
addiction,போதை
had,இருந்தது
nice to,நல்லது
humble,தாழ்மையான
supernatural,இயற்கைக்கு அப்பாற்பட்டது
chick,குஞ்சு
flick,படம்
moments,தருணங்கள்
i did it,நான் செய்தேன்
myslef,நானே
walter,வால்டர்
doesnt,இல்லை
does not,இல்லை
affect,பாதிக்கும்
barney,பார்னி
stinton,ஸ்டின்டன்
legend,புராண
dary,பரிசுகள்
wait for it,அதற்காக காத்திரு
how I met your mother,நான் உங்கள் தாயை எப்படி சந்தித்தேன்
himym,அவரை
judging,தீர்ப்பு
sherlock,ஷெர்லாக்
holmes,ஹோம்ஸ்
sherlock holmes,ஷெர்லாக் ஹோம்ஸ்
charlie,சார்லி
and a half,மேலும் ஒரு பாதி
do not,வேண்டாம்
tempt,தூண்டுதல்
passenger,பயணிகள்
sestra,சகோதரி
level,நிலை
monica clean,மோனிகா சுத்தமான
racheal,ரேச்சல்
Daenerys Targaryen,டேனெரிஸ் தர்காரியன்
thrones,சிம்மாசனங்கள்
we are,நாங்கள்
series,தொடர்
television,தொலைக்காட்சி
saving,சேமித்தல்
arya,ஆர்யா
stark,அப்பட்டமான
arya stark,ஆர்யா ஸ்டார்க்
yigrette,ygritte
jon,ஜான்
you know nothing,உங்களுக்கு எதுவும் தெரியாது
smelly cat,மணமான பூனை
my mother,என் அம்மா
tested,சோதிக்கப்பட்டது
pop,பாப்
pop talk,பாப் பேச்சு
no one,யாரும் இல்லை
loves me,என்னை விரும்புகிறார்
i am sad,நான் கவலையாக இருக்கிறேன்
feeling bad,மோசமாக உணர்கிறேன்
be back,திரும்பி இருங்கள்
sticky,ஒட்டும்
sticky toons,ஒட்டும் டூன்கள்
who is,யார்
who's your daddy,உங்கள் தந்தை யார்
trail,பாதை
I can be,நான் இருக்க முடியும்
irritating,எரிச்சலூட்டும்
can piss you off,உங்களைத் தூண்டலாம்
breakfast,காலை உணவு
finish,பூச்சு
speaking,பேசும்
I am your,நான் உங்கள்
glorious,மகிமை
dont',dont '
vodafone,வோடபோன்
zoozoo,நல்லது
voda,நீர்
zoo zoo,உயிரியல் பூங்கா
haaalp,haaalp
awestruck,awestruck
listen,கேளுங்கள்
listen up,கேளுங்கள்
loudspeaker,ஒலிபெருக்கி
zoo,உயிரியல் பூங்கா
anime,அனிம்
dnd,dnd
do not disturb,தொந்தரவு செய்யாதீர்
zoooom,zoooom
loves you,உன்னை நேசிக்கிறார்
wake me up,என்னை தூக்கத்திலிருந்து எழுப்பு
coward,கோழை
you're,நீங்கள்
positive,நேர்மறை
fucks,fucks
out of fucks,வெளியே
solution,தீர்வு
deal with it,அதை சமாளிக்கவும்
shit happens,மலம் நடக்கிறது
like a boss,ஒரு முதலாளி போல
i know,எனக்கு தெரியும்
almost,கிட்டத்தட்ட
gave,கொடுத்தது
gave a fuck,ஒரு ஃபக் கொடுத்தார்
F word,எஃப் சொல்
bwahaha,bwahaha
heh heh,ஹே ஹே
impressed,ஈர்க்கப்பட்டார்
told,கூறினார்
did,செய்தது
dafaq,செலவு
such,போன்ற
kolaveri,கோலவேரி
kolaveri di,உள்ளே படத்தொகுப்பு
why this kolaveri di,ஏன் இந்த கொலைவெறி டி
I hunt,நான் வேட்டையாடுகிறேன்
bakes,சுட்டுக்கொள்ள
katnis,கட்னிஸ்
everdeen,எப்போதும்
katnis everdeen,katniss everdeen
hunger games,பசி விளையாட்டு
sharon,ஷரோன்
stone,கல்
basic,அடிப்படை
instincts,உள்ளுணர்வு
hollywood,ஹாலிவுட்
hollywood movies,ஹாலிவுட் திரைப்படங்கள்
be with you,உன்னுடன் இருக்கிறேன்
star wars,நட்சத்திர போர்கள்
talk to the,பேச
claw,நகம்
terminator,டெர்மினேட்டர்
terminator 2,டெர்மினேட்டர் 2
hasta,வரை
vista,விஸ்டா
hasta la vista,உங்களைப் பார்க்கிறேன்
kill bill,கொலை மசோதா
promised,வாக்குறுதியளித்தார்
would,என்று
be nice,நற்பண்பாய் இருத்தல்
davra,சுற்று
aabra ka daabra,aabra ka daabra
hogwards,ஹாக்வார்ட்ஸ்
magical,மந்திர
harry potter,ஹாரி பாட்டர்
you',நீங்கள் '
precious,விலைமதிப்பற்றது
lord of the rings,மோதிரங்களின் அதிபதி
godfather,காட்பாதர்
can not,முடியாது
i will break you,நான் உன்னை உடைப்பேன்
caribbean,கரீபியன்
pirates of caribbean,கரீபியன் கடற்கொள்ளையர்கள்
jahan,எங்கே
goal,இலக்கு
de dana dan,டி நாள் நாள்
de dana dan goal,டி டே டான் கோல்
court,நீதிமன்றம்
sirf,வெறும்
karoonga,செய்வேன்
kitni,எத்தனை
pareshaani,பிரச்சனை
lega,அலாய்
bhagwaaan,கடவுள்
jaane ke liye,செல்ல
lash,பலங்கொண்டு அடி
gujarna,கடந்து செல்ல
aar,aar
paar,ஜோடி
aar ya paar,ஸ்பைக் யா ஜோடி
sab ko,அனைவருக்கும்
ungli,விரல்
par,வழங்கியவர்
nacha,நாச்சா
doonga,தூங்க
ye le,இது இரவு
yellow card,மஞ்சள் அட்டை
seedhe,நேரடியாக
penalty,தண்டம்
baaton,விஷயங்கள்
nahin,இல்லவே இல்லை
maante,maante
aaye,வந்து சேர்ந்தது
dipper,டிப்பர்
truck,டிரக்
buri,யெல்லோடெயில்
wale,வேல்
mooh,வாய்
kaala,கால
balle,புல்லட்
balle balle,பந்து பந்து
karle,நீங்கள் செய்தால்
marry,திருமணம்
awaaz,ஆவாஸ்
sound,ஒலி
all iz well,எல்லாம் நன்றாக இருக்கிறது
after,பிறகு
whisky,விஸ்கி
drunk drive,குடிபோதையில் இயக்கி
hus,வீட்டில்
jaega,போகும்
okayy,சரி
pleaze,pleaze
highly,மிகவும்
inflammable,எரியக்கூடிய
noodles,நூடுல்ஸ்
kung fu,குன் குவா சின்னம்
panda,பாண்டா
animated,அனிமேஷன்
kung fu panda,குங் ஃபூ பாண்டா
now now now,இப்போது இப்போது
didnt,செய்யவில்லை
kung,குங்
fu,வைஸ்
thats it,அவ்வளவுதான்
animation,இயங்குபடம்
lets begin,ஆரம்பித்துவிடுவோம்
skadoosh,skadoosh
kungfu panda,பாண்டா குங் ஃபூ
has,உள்ளது
yikes,ஐயோ
doo,டூ
phineas,பினியாஸ்
ferb,ஃபெர்ப்
incredibly,நம்பமுடியாத
observant,கவனிப்பவர்
impossible,சாத்தியமற்றது
possible,சாத்தியம்
batwoman,பேட்வுமன்
flash,ஃபிளாஷ்
flintstones,பிளின்ட்ஸ்டோன்ஸ்
yaba,யபா
daba,கொடுத்தது
yaba daba doo,எனவே கவனமாக இருங்கள்
popeye,போபியே
spinach,கீரை
i need my spinach,எனக்கு என் கீரை தேவை
sticky toon,ஒட்டும் டூன்
jinkies,ஜிங்கிகள்
scooby doo,ஸ்கூபி டூ
johny,ஜானி
meowww,meowww
cat sound,பூனை ஒலி
kame,எழுந்திரு
toon,டூன்
the mask,முகமூடி
mask,முகமூடி
spiderman,சிலந்தி மனிதன்
bb8,பிபி 8
droid,டிரயோடு
force awakens,சக்தி விழிக்கிறது
rey,ரே
yoda,யோடா
master of the jedi,ஜெடியின் மாஸ்டர்
jedi,ஜெடி
empire,பேரரசு
watto,வாட்
princess liea,இளவரசி பொய்
luke skywalker,லூக் ஸ்கைவால்கர்
master luke,மாஸ்டர் லூக்
darth vader,darth vader
dark side,இருண்ட பக்கம்
han solo,மட்டுமே
finn,finn
trendy,நவநாகரீக
rhythm,தாளம்
mc donalds,mc டொனால்ட்ஸ்
happy meal,மகிழ்ச்சியான உணவு
aloo tikki,ஆலு தையல்
mc burger,mc பர்கர்
veg burger,போராடும் குடிமகன்
i m loving it,நான் அதை விரும்புகிறேன்
i like it,நான் அதை விரும்புகிறேன்
huge,மிகப்பெரியது
one bite,ஒரு கடி
fries,பொரியலாக
french fries,பிரஞ்சு பொரியல்
tomato ketchup,தக்காளி கெட்ச்அப்
complimentary,பாராட்டு
mcdonalds,mcdonalds
mc d,mc d
nom nom nom,பெயர் பெயர் பெயர்
I love food,நான் உணவை விரும்புகிறேன்
eat sleep repeat,தூக்கம் மீண்டும் சாப்பிடுங்கள்
i'm loving it,நான் அதை விரும்புகிறேன்
makes you happy,உங்களுக்கு மகிழ்ச்சி அளிக்கிறது
rejoice,மகிழ்ச்சியுங்கள்
mc aloo tiki,mcaloo டிக்கி
chicken burger,சிக்கன் புர்கேர்
have a burger,ஒரு பர்கர் வேண்டும்
mc aloo tikki,mc ஆலு தையல்
extra cheese,கூடுதல் சீஸ்
burden,சுமை
need a nap,ஒரு தூக்கம் தேவை
drowsy,மயக்கம்
overload,அதிக சுமை
projects,திட்டங்கள்
cant afford,முடியாது
too expensive,மிகவும் விலையுயர்ந்த
exams,தேர்வுகள்
chill out,குளிர்விக்கவும்
mass bunk,வெகுஜன பங்க்
easier studies,எளிதான ஆய்வுகள்
drop out,வெளியேறு
stressed,வலியுறுத்தப்பட்டது
depression,மனச்சோர்வு
tommorow,tommorow
worried,கவலைப்படுகிறார்
not ready,தயாராக இல்லை
no preparations,எந்த ஏற்பாடுகளும் இல்லை
anxiety,பதட்டம்
beak,கொக்கு
duck shoes,வாத்து காலணிகள்
all about me,என்னை பற்றி சகலமும்
self,சுய
convo,convo
daily convos,தினசரி கன்வோஸ்
conersation,உரையாடல்
just me,நான் தான்
duck face,வாத்து முகம்
so boreddd,மிக சலிப்பாக உள்ளது
nothing to do,ஒன்றும் செய்வதற்கில்லை
nothing much,பெரிதாக ஒன்றும் இல்லை
kurti,உருவாக்க
can u hear me,நான் சொல்வதை உன்னால் கேட்க முடிகிறதா
hellloooo,hellloooo
where are you,நீங்கள் எங்கே இருக்கிறீர்கள்
here i am,இங்கே நான் இருக்கிறேன்
mai aa gaya,மே வந்துவிட்டது
black outfit,கருப்பு ஆடை
heroic,வீர
on my way,எனது வழியில்
will reach soon,விரைவில் அடையும்
bicycle,மிதிவண்டி
bicycle ride,சைக்கிள் சவாரி
sneakers,ஸ்னீக்கர்கள்
lady bird,பெண் பறவை
summer outfit,கோடை ஆடை
kya haal hai,நீங்கள் எப்படி இருக்கிறீர்கள்
how you doing,நீங்கள் எப்படி செய்கிறீர்கள்
kya chal raha,என்ன நடக்கிறது
kaise ho,நீங்கள் எப்படி இருக்கிறீர்கள்
relaxed,நிதானமாக
jeans top,ஜீன்ஸ் மேல்
task accomplished,பணி நிறைவேற்றப்பட்டது
work done,வேலை முடிந்தது
work outfit,வேலை ஆடை
working lady,வேலை செய்யும் பெண்
shirts and shirt,சட்டைகள் மற்றும் சட்டை
smartness,புத்திசாலித்தனம்
stilettoes,stilettoes
monday blues,திங்கள் ப்ளூஸ்
weekend awaited,வார இறுதி காத்திருக்கிறது
friday is best,வெள்ளிக்கிழமை சிறந்தது
too much work,அதிக வேலை
too busy,ரொம்ப வேலையாக இருக்கிறேன்
office outfit,அலுவலக ஆடை
jeggings,ஜெகிங்ஸ்
sacchi kahani,உண்மையான கதை
mahatma gandhi,மகாத்மா காந்தி
lazy lad,சோம்பேறி பையன்
in a rush,அவசரத்தில்
red or blue,சிவப்பு அல்லது நீலம்
need help,உதவி தேவை
choose one,ஒன்றை தேர்ந்தெடு
marketing,சந்தைப்படுத்தல்
please come,தயவு செய்து வாருங்கள்
aaiye,வாருங்கள்
guest honour,விருந்தினர் மரியாதை
dressed up,உடையணிந்து
pink dress,இளஞ்சிவப்பு உடை
bahot kha liya,நிறைய சாப்பிட்டேன்
over eating,சாப்பிடுவதற்கு மேல்
pot belly,பானை தொப்பை
zinda hu,நான் உயிருடன் இருக்கிறேன்
i am alive,நான் உயிருடன் இருக்கிறேன்
i have coffee,எனக்கு காபி இருக்கிறது
coffee is the saviour,காபி தான் மீட்பர்
cafe coffee day,கஃபே காபி நாள்
