sunday hai aaj,संडे है आज
billy,बील्ली
mandy,मैंडी
CN,सीएन
scythe,घास काटने का आला
reaper,काटनेवाला
olymics,ओलंपिक
golf,गोल्फ़
august,अगस्त
chauka,सस्ता
mythology,पौराणिक कथा
kingdom,राज्य
feminist,नारीवादी
nari,विल
dhasu,धसू
nautanki,नौटंकी
netaji,नेताजी
corruption,भ्रष्टाचार
quarter,त्रिमास
baapu,बापू
terabaap,तेराबाप
abbu,पिता
kunwara,कुंवारा
chokra,धन्यवाद
glamor,ठाठ बाट
pepe,पेपे
goalhai,goalhay
nobhita,Nobita
gadgets,गैजेट
futuristic,भविष्य
shizuka,शांत
hungama,हंगामा
ramdan,ramdan
habibi,मेरा प्यार
apocalypse,कयामत
walkingdead,वॉकिंग डेड
zodiac,राशि
rashifal,rashifal
capricon,Capricon
kundli,कुंडली
frank,खुलकर
springfield,स्प्रिंगफील्ड
dysfunctional,बेकार
cartoonnetwork,cartoonnetwork
glue,गोंद
shin,पिंडली
chan,चान
japanese,जापानी
crayon,चित्रांकनी
mitsi,Mitsi
turtles,कछुए
teenage,किशोर का
amell,Amell
tmnt,वह कामना करती है
familyguy,परिवार का लड़का
griffin,दौड़ के लिये कभी भी न उतारा गया घोड़ा
students,छात्रों
rokda,कैश
chichore,छिछोरे
velle,को
vella,बूढ़ी औरत
harami,हरामी
sadakchap,सड़कछाप
bb,bb
vines,लताओं
bbkivines,bbkivines
bancho,Bancho
sameer,समीर
youtube,यूट्यूब
hola,नमस्ते
bhuvan,भुवन
bham,भम
youtuber,YouTuber
perk,उबाल आना
howudoing,क्या हाल है
saheli,सहेली
brosbeforehoes,brosbeforehoes
Pranayam,प्राणायाम
yogapants,योग पैंट
meditation,ध्यान
awakening,जगाना
onepiece,एक टुकड़ा
onepunchman,onepunchman
deathnote,डेथ नोट
manga,मंगा
animegirl,प्रफुल्लित लड़की
naruto,Naruto
blackbutler,काला चोर
alchemist,रसायन बनानेवाला
bleach,ब्लीच
sakura,Sakura
ads,विज्ञापन
branding,ब्रांडिंग
brand,ब्रांड
advertisment,विज्ञापन
shahi,शाही
loveme,मुझे प्यार करो
mylove,मेरा प्यार
shikanji,शिकंजी
mutants,उत्परिवर्ती
xavier,जेवियर
chakdefatte,chakdefatte
pind,सतह
kattappa,Kattappa
thebeginning,शुरुवात
blockbuster,फिल्म
theconclusion,निष्कर्ष
bahubali2,बहुबली2
disneyland,डिज्नीलैंड
channel,चैनल
disneyxd,डिज्नी एक्स डी
waltdisney,वाल्ट डिज्नी
khaalijeb,khaalijeb
captainamerica,अमेरिकी कप्तान
civilwar,गृह युद्ध
blackpanther,blackpanther
tonystark,टोनी स्टार्क
steverogers,steverogers
hawkeye,हॉकआई
bhaklol,भकलोल
sasura,ससुरा
hamaar,हमार
tuhaar,तुहार
lagawelu,लगावेलू
wonderwoman,अद्भुत महिला
khayegakela,खयेगाकेला
potter,कुम्हार
harrypotter,हैरी पॉटर
cursedchild,बच्चे को शाप दिया
hagrid,हैग्रिड
horcrux,हॉरक्रक्स
rowling,राउलिंग
hogwarts,हॉगवर्ट्स
tadka,तड़का
desistickers,desistickers
desitalk,तोकु तकारी
desilog,desilog
iskool,स्कूल
unittests,unittests
halfyearly,अर्धवार्षिक
annual,वार्षिक
cbse,सीबीएसई
cce,सीसीई
yippee,जय-जय
hm,एचएम
plz,plz
booble,Booble
emoticons,इमोटिकॉन
emojiz,उमोजी जी
frustration,निराशा
naukari,नौकरी
mnc,MNC
barbaad,बर्बाद
bigbang,महा विस्फोट
bigbangtheory,बिग बैंग थ्योरी
cooper,कूपर
koothrappali,koothrappali
bernadette,बर्नाडेट
physicist,भौतिक विज्ञानी
caltech,कैलटेक
geeky,geeky
geeks,गीक्स
astrophysicist,खगोल
astro,एस्ट्रो
superwomen,सुपर महिला
fml,एफएमएल
chota,छोटा
pogo,पोगो
bachpann,बचपन
ladduu,प्ले बटन
gaggu,गग्गू
kichak,चक
tuntun,नई
daaku,डाकु
mangalsingh,मंगलसिंह
wct20,wct20
bcci,बक्सी
dhavan,धवन
djbravo,djbravo
myname,मेरा नाम
mynameiskhan,mynameiskhan
omshantiom,शांति
raees,रईस
dbz,dbz
dragonball,ड्रैगन बॉल
dragonballz,ड्रैगन बॉल जी
dragonballgt,dragonballgt
gohan,गोहान
kuririn,Kuririn
goten,गटर
gotenks,Gotenks
vegito,vegito
gogita,Gogita
supersaiyan,supersaiyan
dragonballsuper,dragonballsuper
makemoney,पैसा बनाएं
businessman,व्यवसायी
businessmen,बिजनेस मेन
raupaiya,रुपैया
aprilfools,aprilfools
aprilfoolday,अप्रैल मूर्ख दिन
aprilfoolsday,aprilfoolsday
pranks,धृष्टतायाँ
mazzak,mazzak
guddi,बोर्ड
aaa,aaa
jaanwar,जानवर
jaanvar,जानवर
macharr,Macar
puttar,पट
khaanaa,खाना
appetite,भूख
swadisht,स्वादिष्ट
bhojan,भोजन
kutton,कुत्तों
oldmovies,पुरानी फिल्मों
oldmovie,oldmovie
invincible,अजेय
superpower,महाशक्ति
sciencefiction,कल्पित विज्ञान
feelingdesi,feelingdesi
ganpatibappa,गणपतिबप्पा
jaishriram,जयश्रीराम
maan,
indianhero,indianhero
indiansuperhero,indiansuperhero
desihero,desihero
desisuperhero,desisuperhero
sorryshaktiman,sorryshaktiman
ddnational,डी डी नेशनल
doordarshan,दूरदर्शन
mukesh,मुकेश
khanna,खन्ना
vidyadhar,विद्याधर
omkaar,ओमकार
naath,नाथ
officeoffice,कार्यालय का कार्यालय
iambusy,iambusy
lanister,lanister
winteriscomming,सर्दी आ रही है
martin,मार्टिन
grrm,grrm
songoficeandfire,songoficeandfire
khaleesi,khaleesi
targaryen,Targaryen
valhar,valhar
morghulis,morghulis
dohaeris,dohaeris
cersie,Cersei
cersei,Cersei
nedstark,nedstark
windsofwinter,जाड़े की हवा
loveria,Loveria
loveu,तुम्हें प्यार करता हूं
lotsoflove,बहुत सारा प्यार
couples,जोड़ों
witty,परिहास युक्त
shitty,shitty
replies,उत्तर
brba,brba
notbad,बुरा नहीं
motherofgod,देवता की माँ
ewww,ewww
continued,निरंतर
worthit,इसके लायक
dealwithit,हालत से समझौता करो
holika,होलिका
gulaal,गुलाल
bheege,भीगे
chunarwali,चुनरवाली
bhalle,bhalle
campus,कैंपस
blues,ब्लूज़
delhiuniversity,दिल्ली विश्वविद्यालय
ipu,आईपीयू
ggsipu,GGSIPU
lecute,lecute
faculty,संकाय
sessionals,sessionals
viva,सलाम
external,बाहरी
internal,अंदर का
alldabest,alldabest
wid,wid
dealwidit,dealwidit
seriously,गंभीरता से
kolaveridi,कोलावेरी डि
shithappens,shithappens
witchmode,witchmode
likeaboss,बॉस की तरह
coolstory,शांत कहानी
rage,क्रोध
ragecomics,ragecomics
desimeme,desimeme
merc,merc
antihero,एंटी हीरो
landing,अवतरण
wade,उतारा
wilson,विल्सन
wadewilson,wadewilson
reynolds,रेनॉल्ड्स
rollin,रोलिंग
legpull,legpull
legpulling,legpulling
dawn,भोर
dawnofjustice,न्याय की सुबह
luthor,लूथर
lex,लेक्रस
darkside,अंधेरा पहलू
clark,क्लार्क
kent,केंट
bruce,ब्रूस
wayen,वेन
chotabacha,छोटाबाचा
sachhe,सच्चे
sachhey,सच्चे
sachey,सच्चे
bachey,बचे
bachapan,बचपन
aamchi,Aamchi
boletoh,boletoh
boleto,फौजों को घर देना
shaanpati,Sanapati
local,स्थानीय
mumbailocal,mumbailocal
localtrain,स्थानीय रेल
marine,समुद्री
marinedrive,मैरीन ड्राइव, मुंबई
tikes,tikes
iampossible,मैं संभव हूँ
batgirl,चमगादड़ लड़की
scoobydoo,स्कूबी डू
dooby,Dooby
telivision,टेलीविसिओं
tvshow,टीवी शो
incredibles,Incredibles
chutiyam,छुटियम
chutyam,चुत्यम
jhaant,झांट
thaant,थांट
jhand,झंड
jindagi,जिंदगी
leli,पाता
yaariyan,यारियां
bagpacker,bagpacker
wanderer,रमता जोगी
wanderers,वांडरर्स
tourist,पर्यटक
chuttiyan,छुट्टियां
keeda,फोड़ा
bachchan,बच्चन
balatkar,बलात्कार
allizwell,सब कुछ ठीक है
shai,शि
chaisutta,चल रहा है
pakodas,पकोदास
greentea,हरी चाय
bulk,थोक
cardio,कार्डियो
treadmil,ट्रेडमिल
akhada,अखाडा
aerobic,एरोबिक
belts,बेल्ट
driveslow,धीमी गति से गाड़ी चालाना
akadd,akadd
akkad,Akkad
baju,कपड़ा
baaju,पक्ष
hayela,कॉल
oii,जहां से
galtise,galtise
mutabik,मुताबिक
aakhein,आखें
lovemaking,प्यार में रत होना
chowdary,चौधरी
chowdhury,चौधरी
apsara,अप्सरा
chachaji,चाचाजी
region,क्षेत्र
aayi,आई
shappath,Shappath
siya,वह
chava,लड़की
ayyo,Ayyo
aiyo,प्यार
annapodi,annapodi
podi,बर्तन
auratt,auratt
okk,OKK
waale,बालों में
muu,अन्य
izz,izz
bahaar,बहार
lele,कैटफ़िश
pichkar,pichkar
lorry,लॉरी
ghosla,घोसला
andi,andi
mandi,स्नान करो
shandi,पहाड़
takkey,takkey
jagganath,जग्गनाथ
memes,memes
brace,ब्रेस
urself,urself
spartaa,स्पार्टा
daily,रोज
gup,झूठी अफ़वाह
shup,shup
sorrie,खेद
roz,गुलाबी
callme,callme
welcum,welcum
okie,Okie
desitalks,वह मर गया, लेकिन
chillpill,आराम से
hopaayega,होपायेगा
bhavnaao,भावनाएँ
chahate,चाहते
booty,लूट का माल
mohmaya,mohmaya
naachoon,नाचूँ
naachu,काई
tedhi,टेढ़ी
dular,Dular
dulaar,दुलार
bhen,भें
dii,देवताओं
momdad,momdad
brosis,brosis
brothersister,भाई बहन
masters,स्वामी
masterji,मास्टरजी
benchers,benchers
goto,के लिए जाओ
heisenberg,हाइजेनबर्ग
sheen,चमक
management,प्रबंध
charliesheen,चार्ली शीन
bhadmei,भाड़मेई
aukaat,औकात
byob,BYOB
pardy,Pardy
happie,happie
bumps,धक्कों
birthdaybumps,birthdaybumps
dramebaz,ड्रामेबाज़
merdil,बौना
foreveralone,हमेशा अकेला
luvme,luvme
chokri,chokri
wrestle,कुश्ती
wrestlemania,रेसलमेनिया
raw,कच्चा
smack,एक प्रकार का जहाज़
smackdown,स्मैक डाउन
bigshow,बड़ा कार्यक्रम
johncena,JohnCena
cena,कीमत
brock,बिज्जू
kushti,घरों
hulkhogan,हुलखोगें
hogan,होगन
uttar,उत्तर
pradesh,प्रदेश
baawdi,baawdi
baavdi,Bavadi
pooch,कुत्ता
kungfupanda,kungfupanda
kungfu,कुंगफू
shetro,क्षेत्रों
retroshetro,retroshetro
vintage,विंटेज
classic,क्लासिक
oldisgold,पुराना सबसे बेहतर
antique,एंटीक
insta,आग्रह
instagram,instagram
hashtags,हैशटैग
nailart,कील कला
instagirls,instagirls
girlsofinstagram,girlsofinstagram
sharma,शर्मा
nights,रातों
comedynights,comedynights
juiceme,juiceme
colorstv,colorstv
hitnrun,hitnrun
espn,ईएसपीएन
vibhuti,विभूति
anita,अनीता
andtv,andtv
baji,बाजी
baaji,तुरुप
bazi,आधार
baazi,बाज़ी
maanja,जोड़ों
aaibo,ाइबो
swatantra,स्वतंत्र
wars,युद्ध
starwars,स्टार वार्स
awakens,जागता
forceawakens,बल जागता है
Episode,प्रकरण
chewbacca,Chewbacca
battlefront,युद्ध-भूमि
gunde,ग्राम में
gundey,गुंडे
minthunda,minthunda
gangs,गिरोह
wasseypur,गैंग्स
kaheke,kaheke
loonga,लूँगा
nawazuddin,नवाज़ुद्दीन
siddiqui,सिद्दीकी
bajpayee,बाजपेयी
investigation,जाँच पड़ताल
department,विभाग
baiscally,मूल रूप से
grahakk,ग्राहकक
trai,क्लैम
neutrality,तटस्थता
basics,मूल बातें
government,सरकार
netneutrality,सिर्फ तटस्थता
chaltikya,चलटिक्या
fraandship,fraandship
namastey,नमस्ते
satsriakal,सत्सृअकाल
afternood,afternood
whazzap,whazzap
noprob,कोई परेशानी नहीं
prob,समस्या
lolwa,तेज़ करने
xmax,xmax
hoho,गाल
sardiya,सर्दिया
woolen,ऊनी
milestone,मील का पत्थर
fundings,फंडिंग
partners,भागीदारों
programmer,प्रोग्रामर
investors,निवेशकों
silicon,सिलिकॉन
valley,घाटी
robotic,रोबोट
hotbot,HotBot
barat,पश्चिम
barati,बाराती
zikzik,zikzik
chords,chords
sitaar,सीता
tuneup,tuneup
tuning,ट्यूनिंग
ishqbaazi,इश्कबाज़ी
ishaqbaazi,ब्रांड qbaazi
ladkibaazi,ladkibaazi
jaanemann,जानेमानन
packs,पैक
sixpack,sixpack
sixpacks,छह पैक
bhaijan,भाई
powder,पाउडर
shody,अनुपालन
bodyshody,bodyshody
mastiki,गोंद
pirates,समुद्री लुटेरे
suicidesqad,आत्मघाती दस्ते
sqad,Sqad
startrek,स्टार ट्रेक
ghostbusters,भूत दर्द
mebefore,मुझसे पहले
inferno,नरक
strange,अजीब
beasts,जानवरों
taane,स्वयं
daat,गप्पी
vaccation,छुट्टी
promotion,पदोन्नति
bugsbunny,बग्स बनी
mojojojo,प्ले बटन
swatcats,स्वात कात
hotty,hotty
moveon,आगे बढ़ो
gaend,gaend
howzat,howzat
paa,पर
thode,थोड़े
loony,दीवाना
walt,वाल्ट
assalam,असलम
alaykum,आप पर
lillysingh,lillysingh
lilly,लिली
manjeet,मनजीत
videos,वीडियो
bakwaas,बकवास
sikhayega,सिखाएगा
rulez,rulez
slangs,slangs
thatman,वह आदमी
rangde,रंगदे
committed,प्रतिबद्ध
des,की
rajasthani,राजस्थानी
calcutta,कलकत्ता
premier,प्रधान
winners,विजेताओं
sunriser,sunriser
nakko,nakko
laagao,ऊँ ऊँ
biryanipower,biryanipower
bangalore,बैंगलोर
blore,Blore
bengaluru,बेंगलुरु
mcbc,mcbc
oolala,Pornhub
maacha,maacha
chase,पीछा
eleven,ग्यारह
xi,जैसा
yuvi,युवी
yuvraj,युवराज
miller,चक्कीवाला
fatte,किया
fafda,पास्ता
faafda,विस्तार
thepla,thepla
jaddu,जड्डू
daredevil,साहसी
harbajan,हरभजन
rising,उभरता हुआ
pune,पुणे
poona,पूना
giant,विशाल
supergiants,अति विशाल तारे
supergiant,महादानव
misal,उदाहरण
notout,नॉटआउट
superkings,सुपरकिंग्स
padukone,पादुकोण
deewani,दीवानी
naya,नया
byebye,byebye
mubaraka,मुबारक
bits,बिट्स
pilani,पिलानी
cig,cig
marlboro,Marlboro
gate,द्वार
gre,यह चल रहा है
gmat,GMAT
lingo,लिंगौ भाषा
univ,Univ
byd,दुनिया
gtb,GTB
patelchest,patelchest
patel,पटेल
vishwavidyalaya,विश्वविद्यालय
vishwa,दुनिया
hudsonlane,hudsonlane
lane,गली
abvp,ाब्वप
lsr,LSR
srcc,एसआरसीसी
khalsa,खालसा
ballichai,ballichai
audo,audo
udaao,उड़ाओ
udao,udao
rehena,जब
jorse,बल में
zorse,जोरसे
dhadak,धड़क
misunderstand,गलत
nandgopal,nandgopal
serial,धारावाहिक
advertisement,विज्ञापन
literature,साहित्य
commercial,व्यावसायिक
display,प्रदर्शन
religion,धर्म
roommate,रहनेवाला
bakchod,बकचोद
U.S.,अमेरिका
poll,मतदान
U.S.A.,अमेरीका।
cult,पंथ
ghostly,प्रेत का
careless,लापरवाह
filthy,गंदा
stained,दाग
campaigning,चुनाव प्रचार
nibble,कुतरना
chew,चबाने
hog,सूअर
plump,मोटा
greedy,लालची
too lazy,बहुत आलसी
rest day,विश्राम का दिन
day off,छुट्टी का दिन
mornings,सुबह
recline,झुकना
sit back,आराम से बैठें
unproductive,अनुर्वर
lethargic,सुस्त
Shivaji Rao Gaekwad,शिवाजी राव गायकवाड़
kabali,Kabali
dialogs,संवाद
coolest,सबसे अच्छे
Balla Bol,बल्ला दर्द
test match,टेस्ट मैच
sport,खेल
third umpire,तीसरा अंपायर
trial,परीक्षण
ninties,नौवां दशक
90s,90 के दशक
longing,लालसा
the days,दिनों
puberty,यौवन
schooldays,स्कूल के दिन
teens,किशोर
teen age,किशोर उम्र
adorable,प्यारी
looney,लूनी
beloved,जानम
alvin and the chipmunk,एल्विन और चिपमंक
sarabhai family,साराभाई परिवार
mummas boy,मम्मा लड़का
humor,हास्य
satire,हास्य व्यंग्य
funniness,मसख़रापन
humorous,रस लेनेवाला
amusing,मनोरंजक
laughable,हास्यास्पद
Indravadan Sarabhai,इंद्रवदन साराभाई
Saahil Sarabhai,साहिल साराभाई
pyaari maa,प्यार में
Madhusudan,मधुसूदन
Middleclass,मध्यम वर्ग
poems,कविताओं
ridicule,उपहास
irony,व्यंग्य
bitterness,अप्रसन्नता
poet,कवि
writer,लेखक
script,लिपि
Chindi Dost,चिड़ी दोस्त
playmate,बचपन का दोस्त
best friend forever,सबसे अच्छा दोस्त हमेशा के लिए
kunjoos,kunjoos
ridiculous,हास्यास्पद
nudge,खिसकाने
pick on,चुनना
taunt,उपहास
pocketbook,pocketbook
poke,प्रहार
wage,वेतन
bucks,रुपये
moolah,पैसे
borrrow,उधार
taxi fare,टैक्सी करते हैं
auto bill,ऑटो का बिल
auto ride,ऑटो वाले हंस पड़े
justification,औचित्य
last-minute,आखरी मिनट
deadline,समयसीमा
tasks,कार्य
office mein late,कार्यालय में देर से
thanda matlab,ठंडा मतलब
boy drinking,पीने वाला लड़का
water shortage,पानी की कमी
bathrobe,बाथरोब
freshen up,ताजा होना
gandi,Gandi
mini mouse,मिनि माउस
bollywood style,बॉलीवुड शैली
indian festivals,भारतीय त्योहार
deep,गहरा
diwali holidays,दिवाली की छुट्टियां
diwala,diwala
diwali celebration,दीपावली का उत्सव
moods,मूड
singlehood,singlehood
old days,पुराने दिन
childhood days,बचपन के दिन
80s,80 के दशक
ha ha,हा हा
against,विरुद्ध
thrill,रोमांच
thrilling,रोमांचकारी
saviour,रक्षक
stan lee,स्टेन ली
Raju Rai,राजू राय
supervillains,महाखलनायकों
battles,लड़ाई
Toonami,तूनामी
adventurous,साहसी
venture,उद्यम
start up idea,विचार शुरू करें
jitu,सही बता रहा हूँ
investers,इन्वेस्टर्स
investment,निवेश
funds,धन
jitender maheshwari,जितेन्दर महेश्वरी
Jitendra maheshwari,जीतेन्द्र माहेश्वरी
tech support,तकनीकी सहायता
marketing research,विपणन अनुसंधान
graphs,रेखांकन
bad boss,बुरा मालिक
induction,अधिष्ठापन
client,ग्राहक
tvf tripling,tvf ट्रिपलिंग
the viral fever,वायरल बुखार
tripling,तीन गुना
jodhpur,जोधपुर
comey,Comey
sumeet vyas,शिखर का व्यास
road trip,सड़क यात्रा
supporters,समर्थकों
voting,मतदान
express,एक्सप्रेस
coard,coard
santaclaus,सांता क्लॉज़
christmas wishes,क्रिसमस की शुभकामनाएं
christmas selfie,क्रिसमस सेल्फी
christmas greetings,क्रिसमस की शुभकामनायें
christmasgreetings,क्रिसमस की शुभकामनायें
ugly christmas sweater,बदसूरत क्रिसमस स्वेटर
xmas party,क्रिसमस पार्टी
christmas 2016,क्रिसमस 2016
carols,कैरोल
nom nom,नाम का नाम
om nom nom nom,om नाम का नाम
deck the halls,हॉलों को सजाओ
festival of colours,रंगों का त्योहार
festival of colors,रंगों का त्योहार
banno,का संस्करण
gunjiya,गुंजिया
favour,एहसान
favor,एहसान
holi song,होली गीत
dashmi,दशमी
vijaya dashmi,विजया दशमी
vijaya dushmi,विजया दशमी
dushmi,दशमी
rama,राम
raam,खिड़की
hanumaan,हनुमान
lakshman,लक्ष्मण
seeta,सीता
sita ji,सीता जी
festivals of india,भारत के त्योहार
naumi,Naumi
navmi,नवमी
raas,रास
hoe,कैसे
friendship songs,दोस्ती के गाने
londe,लोंडे
laundey,laundey
soul sister,आत्मीय बहन
soul brother,एक जैसे भाई
soul mate,जान से प्यारा
happiness is,खुशी है
bahen,घाव का निशान
protect,रक्षा करना
rakhi gift,राखी उपहार में
hazaron,हज़ारों
raakhis,राखिस
banaaya,बनाया गया
mazaa,Majat
ayaa,
april fools day,अप्रैल मूर्ख दिवस
fools day,मूर्ख - दिवस
office pranks,कार्यालय शरारत
office prank,कार्यालय शरारत
office mate,कार्यालय का साथी
colleague,साथ काम करने वाला
mockery,मज़ाक
gubbarey,gubbarey
paani ke gubbare,पानी के गुब्बारे
khele,नाटकों
khelein,खेलें
holi funny,होली मज़ेदार
holi funny stickers,होली मज़ेदार स्टिकर
patrick,पैट्रिक
pattys day,पैटी का दिन
patricks day,पैट्रिक का दिन
st atricks day,सेंट पैट्रिक दिवस
st pattys day,सेंट पैटी का दिन
festivals of the world,दुनिया के त्योहार
Feast of Saint Patrick,संत पैट्रिक का पर्व
17 March,17 मार्च
religious,धार्मिक
cutural,सांस्कृतिक
cuture,cuture
christian,ईसाई
church,चर्च
christianity,ईसाई धर्म
shamrocks,shamrocks
Irish whiskey,आयरिश व्हिस्की
cider,साइडर
drowning the shamrock,डूबना
wetting the shamrock,शेमरॉक को गीला करना
toasts,टोस्ट
alla,एक
alah,ne
ramjan,रमजान
ali,या
eidi,जाति
gerrtings,gerrtings
eid fitr,ईद अल-फितर
bhai jaan,भाई जान
subhaan,सुभान
kuraan,कुरान
quran,कुरान
quraan,वादन
silver,चांदी
indian hockey team,भारतीय हॉकी टीम
basketball team,बास्केटबाॅल टीम
cyclist,साइकिल-सवार
challenger,दावेदार
festivals of indian,भारतीय त्योहार
flag hoisting,ध्वज आरोहण
pardes,परदेस
freedom fighters,स्वतंत्रता सेनानी
slogans,नारे
visarjan,विसर्जन
teachers day,शिक्षक दिवस
maam,maam
geography,भूगोल
hare,खरगोश
prasad,प्रसाद
prashad,प्रसाद
butter cream,मक्खन मलाई
baansuriya,बाँसुरिया
nand,नंद
brij,पुल
draculla,ड्रेकुला
weretiger,weretiger
spook,भूत
mn,से
eater,भक्षक
azaadi,आज़ादी
lit,ज्योतिर्मय
fooljhadi,fooljhadi
chakri,नौकरी
indian batsman,भारतीय बल्लेबाज
screening,स्क्रीनिंग
bdya,bdya
biy,biy
birthday boy,वह बालक, जिसका जन्मदिन है
birthday girl,जन्मदिन वाली लड़की
cake cutting,केक काटना
birthday song,जन्मदिन का गीत
birthday wishes,जन्मदिन कि शुभ कामनाएं
return gift,उपहार लौटाओ
birthday bash,जन्म - दिन का उत्सव
lily,लिली
uttar pradesh,उत्तर प्रदेश
UP ke bhaiya,ूप के भैया
bhaukali,भौकाली
states,राज्यों
community,समुदाय
citizens,नागरिकों
masses,जनता
diversity,विविधता
diverseness,diverseness
Christmastide,Christmastide
festivity,उत्सव
bastard,घटिया इंसान
hither,इधर
girlfriends,गर्लफ्रेंड
boyfriends,प्रेमी
ishqbazi,इश्कबाज़ी
ishaqbazi,शावर
ishstyle,ishstyle
herione,नायिका
darasingh,दरसिंघ
pehlwan,Pehlwan
flexing,flexing
mania,उन्माद
puns,मजाक
gyming,gyming
crunch,संकट
crunches,crunches
bachelorette,कुंवारी
bachelourette,कुंवारी
bachelours,bachelours
bachelors,स्नातक
bachelour,bachelour
katega,कटेगा
artists,कलाकार की
musicians,संगीतकारों
dholak,ढोलक
dholki,ढोलकी
djing,DJing
playe,प्लेट
band member,बैंड का सदस्य
babydoll,बेबी डॉल
juliet,जूलियट
karne,करने
week,सप्ताह
weekly,साप्ताहिक
cantwake,cantwake
emplyee,कर्मचारी
man u,यार यू
utd,यूना
football shoes,फुटबॉल वाले जूते
goal keeper,गोल कीपर
zidane,जिदाने
glory glory,यश यश
Attacker,हमलावर
foul,बेईमानी से
free kick,फ्री किक
man to man marking,मैन टू मैन मार्किंग
marking,अंकन
midfielder,मिडफील्डर
sir alex,सर एलेक्स
tackle,पकड़ना
christiano ronaldo,क्रिस्टियानो रोनाल्डो
christiano,ईसाई
liverpool,लिवरपूल
Jose Mourinho,जोस मोरिन्हो
de gea,बर्फ का
lionel messi,शेरनी मेसी
arsenal,शस्त्रागार
Premier League,प्रीमियर लीग
legendary,प्रसिद्ध
shootball,shootball
Venture capital,उद्यम पूंजी
fund,निधि
cabin,केबिन
binness,binness
nerdy,nerdy
iitian,iitian
intern,प्रशिक्षु
coding,कोडिंग
code,कोड
cuddling,cuddling
snuggle,ठहरना
winter wear,सर्दियों की पोशाक
winter is coming,सर्दिया आ रही है
flirtitious,चुलबुला
promiscuous,अनेक
pyaas,प्यास
videsi,प्रवासी
balawant,balawant
arty,आर्टि
snacs,snacs
gujarati food,अखाड़ा खाना
dancers,नर्तकियों
chapli,Chapli
insecurity,असुरक्षा
possessiveness,अधिकार की भावना
street food,सड़क का खाना
road side shop,सड़क किनारे की दुकान
tuck shop,मिठाई की दुकान
desserts,डेसर्ट
indian food,भारतीय व्यंजन
lipsmacking,चटकारे लेना
southindian,Southindian
idli,आलस्य में
bhaaji,Bhamji
loafering,loafering
gunday,गुंडे
khaneka,ठंड लगना
sweetie,प्रेमी
cutie,प्यारी
pie,पाई
goodtime,अच्छा समय
scifi,scifi
isc,जाने
skul,स्कुल
studentlife,विद्यार्थी जीवन
school girl,स्कूल की लड़की
bollywood dialogues,बॉलीवुड संवाद
rainy days,बरसात के दिनों में
saavan,प्राप्त
thrilled,रोमांचित
new year card,नया साल कार्ड
new years resolutions,नए साल के संकल्प
indian wrestlers,भारतीय पहलवान
wrestling champions,कुश्ती चैंपियन
wrestling coach,कुश्ती कोच
motivational,प्रेरक
dangal dangal,दंगल दंगल
babita phogat,बबीता फोगाट
fatima shaikh,फातिमा शेख
babita kumari,बबिता कुमारी
phogat sisters,फोगट बहनें
Vinesh Phogat,विनेश फोगाट
mahavir singh phogat,महावीर सिंह फोगट
VJ Bani,वीजे बानी
bigg boss,बिग बॉस
bigg boss10,bigg बॉस 10
om ji,ओम जी।
mannu punjabi,पंजाबी मनु
lokesh kumari,लोकेश कुमारी
priyanka jugga,प्रियंका जुग्गा
Lopamudra Raut,लोपमुद्रा राउत
lopa,गाय
Antara Biswas,दिल पर विश्वास करो
Gaurav Chopra,गौरव चोपड़ा
Karan Ajay Mehra,कारन अजय महरा
rahul dev,राहुल देव
rohan mehra,रोहन महरा
Nitibha Kaul,नीतिभा कॉल
love relationship,प्रेम सम्बन्ध
pakori,पकोड़ी
pakodi,पकोड़ी
talla,आकार
gochi,Gochi
Mussadi Lal,मुस्सदि लाल
pankaj kapoor,पंकज कपूर
Ushaji,ग्लेज़िंग
Pandeyji,पाण्डेय जी
bhatia,भाटिया
tina,टीना
taunts,ताने
provoke,भड़काने
sacastic,कटु
blackmailing,ब्लैकमेल
idiocy,मूर्खता
muhavre,मुहावरे
idioms,मुहावरों
phrases,वाक्यांशों
popular idioms,लोकप्रिय मुहावरे
fm,एफएम
reliance,भरोसा
lois lane,lois लेन
Heroes of Marvel,मार्वल के नायक
marvel hero,अद्भुत नायक
swaggers,swaggers
swaggerboy,अकड़ लड़का
honeysingh,हनी सिंह
desiswag,desiswag
yoyohoneysingh,यो यो हनी सिंह
sumanachakravarti,सुमनचक्रावर्ती
thekapilsharmashow,thekapilsharmashow
womenempowerment,महिला सशक्तिकरण
empowerment,सशक्तिकरण
sisterhood,महिला संघ
indigenous,स्वदेशी
bombaytalkies,बॉम्बे टॉकीज
hindimovies,हिंडिमोवीएस
celluloid,सिलोलाइड
bhooth,भूत
ghastly,भयंकर
johnybravo,johnybravo
machoman,machoman
johnnybravo,johnnybravo
notasbeautifulasyou,आपके जितना खुबसुरत नही
vanpartible,vanpartible
diljitdosanjh,दिलजीत दोसांझ
gabru,Gabru
pugg,pugg
puggwala,puggwala
puggwalamunda,Puggwalam गार्डन
terenaam,terenaam
ramgarh,रामगढ़
indianlingo,indianlingo
urbandictionary,शहरी शब्दकोश
celebs,हस्तियां
celeb,हस्ती
bollywoodceleb,bollywoodceleb
desilingo,desilingo
desilanguage,desilanguage
desidialect,desidialect
womenpower,नारी शक्ति
womanpower,womanpower
yourstory,yourstory
