bobble,Bobble
worship,ఆరాధన
sacrifice,త్యాగం
patriot,దేశభక్తుడు
azad,ఆజాద్
azaad,ఉచిత
azadi,ఫ్రీడమ్
swachch,swachch
abhiyaan,ప్రచారం
abhiyan,ప్రచారం
clenaing,శుభ్రపరచడం
brooming,brooming
modi,మోడీ
clam,కామ్
jawan,యువ
kisaan,రేసు
jawaan,సంచులు
farmer,రైతు
farm,వ్యవసాయ
farming,వ్యవసాయ
field,ఫీల్డ్
fields,ఖాళీలను
crops,పంటలు
grow,పెరుగు
inquilab,ఇంక్విలాబ్
incredible,నమ్మశక్యం
kathak,కథక్
gandhigiri,Gandhigiri
gandhi ji,గాంధీజీ
bapu,దాదా
protest,నిరసన
non-violence,అహింస
policy,విధానం
zindabaad,zindabaad
shouting,అరవటం
gandhiji,గాంధీజీ
hindustani,హిందుస్తానీ
joined,చేరారు
hind,హింద్
desi,దేశీ
dwag,జెండా
lota,చాలా
village,గ్రామం
swag,అక్రమార్జన
hoist,పైకెత్తు
hoisting,hoisting
celebring,celebring
pholjhadi,sparklers
festivals,పండుగలు
joyous,సంతోషకరమైన
lights,లైట్లు
ladi,నాకు ఉంది
ladoo,ladoo
ikka,ఇప్పటికీ
ace,ఏస్
cards party,కార్డులు పార్టీ
teen,టీన్
patti,పట్టి
phooljhadi,Fuljdi
fireworks,బాణాసంచా
diyas,diyas
lighting,లైటింగ్
light,కాంతి
celerating,సంబరాలు
decorate,అలంకరించండి
decorating,అలంకరణ
lunch,భోజనం
happy diwali,దీపావళి శుభాకాంక్షలు
yeh,యే
runout,runout
popcorn,పాప్ కార్న్
watching,చూడటం
hua,ఫ్లవర్
innings,ఇన్నింగ్స్
test,పరీక్ష
its,దాని
over,పైగా
till,కు
last,గత
runs,పరుగులు
needed,అవసరమైన
enthusiasm,అత్యుత్సాహం
enthusiastic,ఉత్సాహభరితంగా
sentiment,సెంటిమెంట్
100,100
bet,పందెం
lagi,మరింత
sharat,శరత్
betting,బెట్టింగ్
bous,ఎద్దుల
bhi,అలాగే
sakta,కచ్చితమైన
indian cricket fan,భారత క్రికెట్ అభిమాని
ipl,ఐపియల్
koi,ఒక
isko,ఇది
cursing,cursing
cussing,cussing
jae,జే
fixed,స్థిర
commentator,వ్యాఖ్యాత
curse,తిట్టు
b,బి
age,వయస్సు
number,సంఖ్య
return,తిరిగి
open,ఓపెన్
gifting,నేడు
janamdin,పుట్టినరోజు
budday,budday
cheerful,ఆనందకరమైన
saal,హాల్
kam,వచ్చింది
bash,బాష్
cake,కేక్
cutting,కట్టింగ్
birthday cake,పుట్టినరోజు కేకు
surpirse,ఆశ్చర్యం
surprise gift,ఆశ్చర్యకరమైన బహుమతి
chahiye,కావాలి
pila,బ్యాటరీ
part,భాగం
bump,bump
find,కనుగొనేందుకు
shaadi,పెళ్లి
pressure,ఒత్తిడి
punjabi,పంజాబీ
punjab,పంజాబ్
questioning,ప్రశ్నించిన
kitchen,వంటగది
stupped,stupped
chaa,విల్
ea,ఇది
moms,తల్లులు
bloody,బ్లడీ
punjagbi,punjagbi
teri,తేరీ
naukar,సేవకుడు
nokar,nokar
lagdi,Lgdi
lagti,తెలుస్తోంది
aa,aa
mombs be like,తల్లులు ఇలా ఉంటారు
dominating,ఆధిపత్యం
address,చిరునామా
introduce,పరిచయం
introduction,పరిచయం
munda,ముండా
know me,నన్ను తెలుసు
stranger,వాడిగా
know,తెలుసు
babies,పిల్లలు
kids,పిల్లలు
trying,ప్రయత్నించడం
husband,భర్త
chak le,ప్రతిసారీ
le,ది
chak,ప్రతి
pegs,కొయ్యమేకులను
shots,షాట్లు
sharaab,రసం
facebook,ఫేస్బుక్
high,అధిక
cholestrol,కొలెస్ట్రాల్
unhealthy,అనారోగ్య
healthy,ఆరోగ్యకరమైన
social,సామాజిక
media,మీడియా
sites,సైట్లు
silly,వెర్రి
reasons,కారణాలు
reason,కారణం
slay,చంపు
okay,సరే
kay,కే
stylish,స్టైలిష్
lily singh,లిల్లీ సింగ్
famous,ప్రసిద్ధ
popular,ప్రముఖ
swagger,ఆత్మ విశ్వాసం
wo,పేరు
kahi,సెడ్
heroin,హెరాయిన్
about,గురించి
chappal,శాండల్
liked,ఇష్టపడ్డారు
sala,హాల్
saala,నిర్వహణ రుణాలు
naak,ముక్కు
kat,కాట్
kaat,కాటు
gayi,చేర్చబడింది
yara,గాయం
sabash,గూడీస్
shabash,అభినందనలు
kudos,వైభవము
kudo,ప్రతిచోటా
well done,బాగా చేసారు
congrats,అభినందనలు
congratulations,అభినందనలు
two,రెండు
paglat,నురగలు
paglet,paglet
pagal,ప్రకారం
crazy,వెర్రి
humko hum,మేము మాకు
sab,అవన్నీ
pata,పేజీ
everything,ప్రతిదీ
hide,దాచు
sher,షేర్
samne,ముందు
humare,మా
mat,మత్
bano,బాత్రూమ్
lion,సింహం
annoy,బాధించు
baap,తండ్రి
shut,షట్
gajab,దగిన
guru,గురు
bahi,నిష్క్రమించు
zada,పెరుగుదల
bhaukal,Bukal
jhado,చెట్లు
trouble,ఇబ్బంది
issue,సమస్య
act,పని
pricey,pricey
create,సృష్టించడానికి
there,అక్కడ
bolo,ఇది
mard,వ్యాధి
steel,స్టీల్
haath,హ్యాండ్
muscle,కండరాల
body,శరీర
yup,అయ్యో
still,ఇప్పటికీ
at,వద్ద
puppyface,కుక్కపిల్ల ముఖం
whoa,అయ్యో
acknowledging,అభినందిస్తూ
respond,ఎడాపెడా
responding,స్పందించిన
luaghs,luaghs
lols,LOL లు
lolz,LOLZ
was,ఉంది
lamo,Lamo
smile,చిరునవ్వు
ciao,Ciao
signing,సంతకం
loud,బిగ్గరగా
yay,అవును
news,వార్తలు
yaya,అయితే
sweetheart,స్వీట్హార్ట్
nope,వద్దు
nooo,nooo
naah,Naah
nahi,కు
noji,యొక్క ఫ్లిప్
no ji,యొక్క ఫ్లిప్
nana,నన
daaru,daaru
burp,burp
ty,కంపెనీలు
thankies,thankies
shukriya,ధన్యవాదాలు
dhanyawaad,ధన్యవాదాలు
dhanyawad,ధన్యవాదాలు
thanka,గోల్డ్
thanku,అతని
sorry,క్షమించండి
sorryy,sorryy
solly,solly
apologies,క్షమాపణలు
apology,క్షమాపణ
apologise,క్షమాపణ
apologize,క్షమాపణ
fine,జరిమానా
sure,ఖచ్చితంగా
ilu,అందం
luv,luv
love love,ప్రేమ ప్రేమ
HBD,HBD
bday,పుట్టినరోజు
janam,బర్త్
din,నుండి
wake up,మెల్కొనుట
wake,నేపథ్యంలో
subah,మార్నింగ్
jaag,చేజ్
jao,ది
nighty,nighty
gnite,gnite
ho ho ho,నేను చేస్తాను
waiting for santa,శాంటా కోసం వేచి ఉంది
you've been naughty this year,మీరు ఈ సంవత్సరం కొంటెగా ఉన్నారు
cheezey,థింగ్స్
cheezy,cheezy
flirtious,సరసమైన
choddh,అప్
jaane,టు
baat,విషయం
nai,లేదు
sahi,Sahin
kye,kye
totally,పూర్తిగా
worth,విలువ
thumbs,బ్రొటనవేళ్లు
kidding,తమాషా
tell,చెప్పండి
laters,లెటర్స్
fist,ముష్టి
eww,eww
chee,చీ
grossed,వసూలుచేసింది
science,సైన్స్
bitch,బిచ్
art,ఆర్ట్
than,కంటే
tumblr,Tumblr
tumbler,దొమ్మరివాడు
vessel,నౌకను
deal,ఒప్పందం
problem,సమస్య
khud,తనను
se,ఉంది
dekhle,dekhle
shudh,క్లీన్
romeo,రోమియో
pujari,పూజారులను
pyaa,Pya
hotness,వేడిమి
patakha,క్రాకర్
bomb,బాంబు
queen,రాణి
kudi,మద్యపానం
namkeen,ఉప్పగా ఉండే
lag,లాగ్
rahi,ఉంది
close,దగ్గరగా
mere,కేవలం
paas,Close
pass,పాస్
aao,ఆవో
near,సమీపంలో
babe,పసికందు
daalogey,daalogey
dala,ఇవ్వాలని
flattered,ఉబ్బిపోతుంది
goo,గూ
hots,హాట్స్
kisi,అసహ్యకరమైన
disco,డిస్కో
jaayein,సందర్శించండి
jayen,సందర్శించండి
pub,పబ్
likes,ఇష్టాలు
kaisi,ఎలా ఉంది
jaaneman,జానేమన్
janeman,స్వీట్హార్ట్
jaanam,జ్ఞానార్జన
samjha,అర్థం
tryna,tryna
try and,ప్రయత్నించండి మరియు
understanding,అవగాహన
understood,అర్థం
khush,హ్యాపీ
karde,కార్డులో
happyman,happyman
sultry,కామాతురుడైన
chalti,ప్రస్తుత
come on,రండి
9,9
bara,కేవలం
stud,స్టడ్
ladayein,Ldhayen
chichi,తండ్రి
launda,launda
aadmi,మనిషి
stuf,వెదురు
12,12
dara,దారా
singh,సింగ్
kasam,నేను ప్రమాణం చేస్తున్నాను
swore,తిట్టుకొని
pledge,ప్రతిజ్ఞ
muscles,కండరాలు
pehalwan,మల్లయోధుడు
bada,అలా అయితే
bulky,స్థూలమైన
nichod,స్క్వీజ్
squease,squease
denge,సంతులనం
tumhe,మీకు
wring,పిండుట, మెలిపెట్టుట
nikaal,ఫైర్డ్
juice,రసం
mukka,ముక్క
tighten,బిగించి
size,పరిమాణం
matters,విషయాలను
hona,ఇక్కడ
flaunt,కులుకు
arm,సాయుధం
biceps,కండలు
triceps,బాహు
pehalwaan,మల్లయోధుడు
pahalwaan,మల్లయోధుడు
raha,డబ్బు
cuming,క్యుమింగ్
bas,తక్కువ
aya,ఏది
aaya,కేం
waha,విభిన్నంగా ఉండుట
yaha,ఇక్కడ
yahan,ఇక్కడ
yahaan,ఇక్కడ
hang,హ్యాంగ్
wang,కింగ్
karte,మ్యాప్
upside down,తలక్రిందులుగా
upside,పైకి
regime,పాలన
abdomin,కడుపునొప్పి
dumbell,dumbbell
lifting,ట్రైనింగ్
lift,లిఫ్ట్
weights,బరువులు
ways,మార్గాలు
bean,బీన్
protein,ప్రోటీన్
shake,షేక్
flask,జాడీలో
fit,ఆరోగ్యంగా
health,ఆరోగ్య
exercise,వ్యాయామం
yoga,యోగా
planks,పలకలతో
thabad,thabad
tabla,పట్టిక
artist,కళాకారుడు
baj,ఇబ్బంది
noice,noice
shor,Shor
kach,ద్వారా
kar,ఏమి
ding,విషయం
wedding,పెండ్లి
latest,తాజా
noise,శబ్దం
saxy,saxy
trumpet,బాకా
baaja,నాయుడు
baja,BAJA
shehnai,క్లారినెట్
benjo,Benjo
key,కీ
jaa,గోయింగ్
problems,సమస్యలు
piss,విసర్జన
piano,పియానో
pungi,సంచులు
bajegi,రింగ్ అవుతుంది
lead,ప్రధాన
follow,అనుసరించండి
sunn,ఆరోగ్యకరమైన
singing,గానం
performing,ప్రదర్శన
aashiqui,ఆషికి
2,2
ashiqui,ఆషికి
bass,బాస్
pasand,ఇష్టాలు
guitarist,గిటారిస్ట్
gitar,గిటార్
bajata,ఇది మోగుతుంది
drum,డ్రమ్
drummer,డ్రమ్మర్
drumist,drumist
concert,కచేరీ
jamming,జామింగ్
todh,బ్రేక్
breaking,బ్రేకింగ్
performer,నటిగా
fans,అభిమానులు
blowing,వీచే
blow,దెబ్బ
chumma,chumma
pappi,పూజారి
puchchi,puchchi
coochie,coochie
coo,COO
babes,బేబ్స్
majnu,మజ్ను
intezaar,Intezaar
minute,నిమిషం
paanch,ఐదు
intimate,సన్నిహిత
mood,మూడ్
romancing,శృంగారం
weather,వాతావరణ
place,స్థానం
shona,shona
babu,బాబు
honesy,తేనె
hon,ఆమె
pillow,దిండు
hug,కౌగిలింత
arms,చేతులు
hugz,hugz
hugzz,hugzz
rush,రద్దీ
rushing,పరుగెత్తటం
already,ఇప్పటికే
bhaag,Share
bhaago,భాగాలు
bhago,పారిపో
traffic,ట్రాఫిక్
delhi,ఢిల్లీ
getting,పెరిగిపోతుంది
deay,deay
smoke,పొగ
smokes,ధూమముల
smkoing,ధూమపానం
fag,నవుకరు
cigarette,సిగరెట్
companies,కంపెనీలు
pi,pi
phook,సప్లిమెంటరీ
burned,బూడిద
itna,చాలా
load,లోడ్
workload,శ్రమను
kitna,కిత్నా
saara,saara
desk,డెస్క్
workstation,వర్క్స్టేషన్
alarm,అలారం
clock,గడియారం
brushed,పిలిచాడు
brush,బ్రష్
teeth,పళ్ళు
tooth,పంటి
toothbrush,టూత్ బ్రష్
toothpaste,టూత్ పేస్టు
paste,పేస్ట్
baathroom,బాత్రూమ్
cuppa,cuppa
mode,మోడ్
peetey,peetey
chalna,వల్క్
chair,కుర్చీ
workdesk,workdesk
table,పట్టిక
jam,జామ్
giril,ఎంటర్
Zinedine Zidane,జినిడైన్ జిదానే
foor,ఆహార
kick,కిక్
everybody,అందరూ
footballer,ఫుట్బాల్
Zizou,జిజౌ
Real Madrid,రియల్ మాడ్రిడ్
ground,గ్రౌండ్
wayne rooney,వేన్న్ రూనీ
rooney,రూనీ
taal,భాష
ronaldo,రోనాల్డో
devils,డెవిల్స్
goalkeeper,గోల్కీపర్
david,డేవిడ్
gea,Gea
david de gea,డేవిడ్ డి జియా
dive,డైవ్
messi,మెస్సీ
around,చుట్టూ
lionel,లియోనెల్
fc barcelona,fc బార్సిలోనా
barcelona,బార్సిలోనా
Argentine,అర్జెంటీనా
argentina,అర్జెంటీనా
england,ఇంగ్లాండ్
grond,గ్రౌండ్
fifa,FIFA
world cup,ప్రపంచ కప్
pele,చర్మం
maradona,మారడోనా
reds,రెడ్స్
cheerings,cheerings
glory,గ్లోరీ
wayne,వేన్
manu,మను
man utd,మనిషి utd
united,సమైక్య
manchester,మాంచెస్టర్
david beckham,డేవిడ్ బెక్హాం
beckham,బెక్హాం
alone,ఒంటరిగా
Mesut ozil,మెసట్ ఓజిల్
mexut,mexut
ozil,Ozil
vc,VC
udaoo,తప్పిపోయిన
notes,గమనికలు
ceo,సియిఒ
apna,నా
karna hai,చేయాలి
computer,కంప్యూటర్
ishtart,ishtart
pulling,లాగడం
trigger,ట్రిగ్గర్
pushing,మోపడం
push,పుష్
pull,పుల్
liver,కాలేయం
chashma,అద్దాలు
chashmish,స్పెటాక్లెడ్
bol,ఇది
locker,లాకర్
safe,సురక్షితంగా
interns,ఇంటర్న్స్
lao,లావో
internship,ఇంటర్న్
internships,ఇంటర్న్షిప్పులు
assisting,సాయపడాలనే
assist,సహాయం
chaiye,ప్రత్యేక
wanting,కోరుకుంది
coder,coder
error,లోపం
geek,గీక్
nerd,తానే చెప్పుకున్నట్టూ
bijness,వ్యాపారం
binnes,Binnes
laptop,ల్యాప్టాప్
business idea,వ్యాపార ఆలోచన
asli,అసలు
onterpronor,onterpronor
owner,యజమాని
calls,కాల్స్
multi,బహుళ
tasking,టాస్కింగ్
multi tasker,బహుళ సంచులు
pen,పెన్
cups,కప్పులు
game of thrones,సింహాసనాల ఆట
throne,సింహాసనం
scarf,స్కార్ఫ్
shawl,శాలువా
comfortable,సౌకర్యవంతమైన
special,ప్రత్యేక
coffee beans,కాఫీ బీన్స్
beans,బీన్స్
lovers,ప్రేమికులకు
season,బుతువు
khana,ఆహారం
weddings,వివాహాలు
tub,టబ్
long,దీర్ఘ
bath bath,స్నాన స్నానం
nahana,అనుకుంటున్నాను
Jacuzzi,జాకుజీ
peanuts,వేరుశెనగ
popcorns,పాప్కార్న్లు
heaven,స్వర్గం
sweaters,sweaters
jackets,జాకెట్లు
warmers,వామర్లు
wamr,అతను ఆదేశించాడు
clothing,దుస్తులు
cuddle,గట్టిగా కౌగిలించుకొనుట
dolls,బొమ్మలు
winter shopping,శీతాకాలపు షాపింగ్
packet,ప్యాకెట్
blanks,డమ్మీ
bedtime,నిద్రవేళ
peecha,చేజ్
following,క్రింది
world,ప్రపంచ
duniya,ప్రపంచం
ladh,చెప్పబడింది
jaaunga,వెళ్తుంది
obssessive,అబ్సెసివ్
possessive,స్వాధీనతా
laila,లైలా
chillaunga,chilling యువ
faad,టియర్
tearing,చిరిగిపోవడానికి
manboy,manboy
raveena,రవీనా
tandon,నిబంధన
haaye,పరికరం
karant,ప్రస్తుత
current,ప్రస్తుత
marti,Marti
on the floor,నేలపై
fall,వస్తాయి
fell,పడిపోయింది
ladaye,పోరాటం
mujhse,నా నుండి
fraanship,fraanship
karge,కరకరలాడుతూ
propose,ప్రతిపాదించారు
proposing,ప్రతిపాదిస్తూ
palat,ప్యాలెస్
idhar,ఇక్కడ
varun dhawan,వరుణ్ ధావన్
deewana,Loopy
gaana,పాట
bajadu,Bjadu
gaaana,gaaana
chalogi,మీరు నడుస్తారా
chalegi,నడుస్తుంది
date,తేదీ
date night,తేదీ రాత్రి
tumko,మీకు
naa,కుడి
bhool,తప్పు
payenge,పొందుతారు
sword,కత్తి
samurai,సమురాయ్
lunga,దీర్ఘ
gangs of wasseypur,వాస్సేపూర్ ముఠాలు
height kam,ఎత్తు కామ్
jyada,మరింత
balwant,బల్వంత్
rai,రాయ్
defense,రక్షణ
mujhe,నాకు
dila,dila
lagta'hai,Lgta'ha
tujhe,మీకు
value,విలువ
ct,CT
attacking,దాడి
aati,రాక
khandala,ఖండాలా
smiling,నవ్వుతూ
propoing,propoing
offer,ఆఫర్
offering,సమర్పణ
humse,మా నుండి
dushmani,శత్రువు
khatra,ప్రమాదం
enemy,శత్రువు
enemies,శత్రువులను
danger,ప్రమాదం
warning,హెచ్చరిక
dangerous,ప్రమాదకరమైన
warn,హెచ్చరిస్తుంది
atta,అట్టా
maajhi,మాఝి
satakli,Stkli
ajay,అజయ్
devgan,దేవగన్
singham,సింగం
ghuma,ట్విస్టింగ్
ne,కాదు
garba,గార్బా
gujju,Gujju
gujarati,gujarati
chaapli,Chapli
chaniya,చనీయా
choli,రండి
lehenga,lehenga
dod,DOD
dayi,ఫ్రెష్
gujarat,గుజరాత్
bes,Bs
beth,బెత్
shut up,నోరుముయ్యి
now,ఇప్పుడు
guju,మాజీ నివాసం
shri,శ్రీ
gujurati,gujarati
dancer,నర్తకి
baka,ఆవు
I love you,నేను నిన్ను ప్రేమిస్తున్నాను
hu,అతను
tane,ధాన్యం
karu,కొడవలితో
chu,చక్రం
giving,ఇవ్వడం
aavjo,రండి
ok bye,సరే ఇక ఉంటా
thi,పరీక్షలో
woh,వోహ్
issues,సమస్యలు
nakhre,తనదైన తీరును మరియు కుయుక్తులను
insecure,అసురక్షిత
moti,ఇబ్బంది
girlfrend,స్నేహితులు
tha,రెడీ
doubt,సందేహం
unavailable,అందుబాటులో
reachable,అందుబాటులో
diet,ఆహారం
apple,ఆపిల్
dieting,ఆహార నియంత్రణ
thin,సన్నని
slim,slim
workig out,పని చేస్తోంది
dresses,దుస్తులు
dresss,దుస్తులు
pehnu,pehnu
suggest,సూచిస్తున్నాయి
sunglasses,సన్ గ్లాసెస్
heartache,heartache
heartbreak,హార్ట్బ్రేక్
toota,ఉత్పత్తి చేయడానికి
tears,కన్నీళ్లు
aasu,Asu
space,స్థలం
crossed feet,దాటిన అడుగులు
Naam,పేరు
Jalebi,Jalebi.Restrict
sweetshop,మిఠాయి దుకాణం
gol,లక్ష్యం
seedhi,నిచ్చెన
icecream,ఐస్ క్రీం
strawberry,స్ట్రాబెర్రీ
flavours,రుచులు
sundae,సండే
choco,Choco
chocolate,చాక్లెట్
butterscotch,butterscotch
mango,మామిడి
softy,softy
garam,ఉప్పు
pyaali,టీ కప్
pyali,టీ కప్
tapri,tapri
stall,దుకాణము
salman,సల్మాన్
kadak,kadak
bhunta,Bhunta
corns,corns
corn,మొక్కజొన్న
cob,cob
bhutta,భుట్ట
baarsh,బార్స్
item,అంశం
wala,ఏమీ
seller,విక్రేత
selling,అమ్ముడైన
sell,అమ్మకపు
vada,చూడండి
paz,paz
relish,రుచితో
kind,రకం
triangle,త్రిభుజం
samosa,సమోసా
evening,సాయంత్రం
chutney,పచ్చడి
sauce,సాస్
plate,ప్లేట్
paranthas,Prnths
aloo,ఆలు
gobhi,క్యాబేజీని
paneer,పనీర్
mix,మిక్స్
mooli,మోల్స్
potato,బంగాళాదుంప
cauliflower,కాలీఫ్లవర్
cheeze,cheeze
achaar,deportment
pickle,ఊరగాయ
server,సర్వర్
hiaya,ధర
gappe,ముచ్చట
spicy,కారంగా
yummy,పరిమళం
yum,yum
chaat,ఛాట్
chaat wala,చాట్ మరియు కాదు
ek plate,ఒక ప్లేట్
dosa,పాపం
masala,మసాలా
psicy,psicy
sambhar,కలెక్షన్
coconut,కొబ్బరి
madras,మద్రాస్
cafe,కేఫ్
folk,జానపద
spoon,చెంచా
lassi,లస్సీ
jaisi,ఇలా
apun,Dolled
ishtyle,ishtyle
gangster,గ్యాంగ్స్టర్
fashion,ఫ్యాషన్
manner,పద్ధతిలో
thakela,విసిగిపోయారా
thakele,Thkele
loser,ఓటమి
uninteresting,రసహీనమైన
lousy,lousy
macho,పురుషాహంకృత
tapori,tapori
broad,విస్తృత
aja,Aja
abhi,ఇంకా
slap,చరుపు
chamaat,మోల్స్
du,ఆఫ్
showing,చూపుతుంది
to slap,చెంపదెబ్బ కొట్టడానికి
thappad,స్లాప్
try,ప్రయత్నించండి
shanpatti,షాన్ పాచ్
shaanpatti,Sanptti
jarela,jarela
shahrukh,షారుఖ్
khopche,hopche
lu,రోడ్
knife,కత్తి
loafer,సోమరి
mumbaiker,ముంబైను
mumbai,ముంబై
corner,మూలలో
locha,locha
gadbad,గందరగోళం
waat,ఏమి
hoyla,Höylä
rehen,స్టే
destined,గమ్యస్థానం
lawn,పచ్చిక
mate,సహచరుడు
destiny,గమ్యం
ending,ముగిసిన
winking,సైగ చేయు
cry,క్రై
together,కలిసి
lonely,ఒంటరి
having,కలిగి
ever,ఎప్పుడైనా
stomach,కడుపు
rofl,ROFL
delicious,రుచికరమైన
meal,భోజనం
spent,ఖర్చు
same,అదే
passion,అభిరుచి
common,సాధారణ
sold,అమ్మిన
fix,పరిష్కారము
amchi,నేను నడుస్తాను
torch,మంట
mashaal,మషాల్
jeetesh sharma,జీతేష్ శర్మ
swing,స్వింగ్
bumrahaang,bumrahaang
jaspreet bumrah,జస్‌ప్రీత్ బుమ్రా
bumrah,Bumrah
paltan,Paltan
lendl simmons,lendl సిమన్స్
lendl,లెండిల్
simmons,సిమన్స్
group hug,సమూహ కౌగిలింత
nitish rana,నితీష్ రానా
rana,rana
hitman,హంతకుడి
rohit,రోహిత్
gods,దేవతలు
own,సొంత
bhajji,హర్భజన్
firki,చక్రము
spinner,స్పిన్నర్
aicha,ఆయేషా
gho,D
vaat,వాగ్దానాలు
lagli,lagli
lag gayi,నిశ్చితార్థం జరిగింది
bolt,బోల్ట్
wicket,వికెట్
tim southee,టిమ్ సౌ నుండి
mall,మాల్
chopping,వేరుచేయడానికి
bought,కొనుగోలు
bakwas,నాన్సెన్స్
rubbish,చెత్త
electricity,విద్యుత్
andhera,డార్క్
shanti,శాంతి
shaanti,శాంతి
matka,తల్లి
won,గెలిచింది
jeet,విజయం
gaye,ది
batao,చెప్పు
banda,బ్యాండ్
mast,మాస్ట్
dungi,చారలు
shoot,షూట్
shooting,షూటింగ్
pistol,పిస్టల్
sudhrega,మెరుగుపడుతుంది
indian man,భారతీయ మనిషి
naari,బ్రాక్
aurat,జననేంద్రియాలు
sev,మీరే
parmal,parmal
muh,MUH
bhiya,విల్లా
pani puri,నీటి పూరి
ram,రామ్
bachche,పిల్లలు
bache,సర్వైవర్స్
padegi,పడిపోతుంది
jootey,బూట్లు
padenge,ఉంటుంది
beating,బీటింగ్
slippers,చెప్పులు
jhoota,అబద్దకుడు
lie,అబద్ధం
cha,ది
awesome,అద్భుతంగా
were,ఉన్నాయి
babaji,బాబాజీ
thullu,Tullu
mandir,మందిర్
danda,బోల్డ్
khayega,తింటాను
ayega,వస్తాయి
majaa,మజా
chill pill,చిల్ పిల్
rakh,ఉంచండి
muffler,muffler
khilo,అంధనాళపు
canteen,క్యాంటీన్లో
bore,బోర్
banaya,రూపొందించబడింది
kajal,కాజల్
faila,ఫైలు
smudge,మచ్చ
conscious,చేతన
looks,లుక్స్
marungi,వార్తలు
studies,అధ్యయనాలు
loads,లోడ్లు
assignment,అప్పగించిన
papers,పత్రాలు
maah,నెల
rules,నియమాలు
binoculars,దుర్భిణి
checking out,తనిఖీ
pehna,ధరిస్తారు
achchi,Kcci
achi,గుడ్!
doll,బొమ్మ
harley quinn,హర్లే క్విన్
suicide squad,సూసైడ్ స్క్వాడ్
hammer,సుత్తి
dollface,బొమ్మ ముఖం
skeletor,skeletor
Power Sword,పవర్ స్వోర్డ్
he man,వాడు మనిషి
Him,హిమ్
mercy,క్షమాభిక్ష
catwoman,క్యాట్ వుమన్
suicide,ఆత్మాహుతి
squad,జట్టులో
coyote,తోడేలు
roadrunner,రోడ్ రన్నర్
wolf,తోడేలు
Gangreen Gang,గ్యాంగ్రీన్ గ్యాంగ్
villains,ప్రతినాయకులు
hehehe,hehehe
pease,పీస్
afford,స్థోమత
frowning,కోపంతో
bunk,బంక్
lecture,ఉపన్యాసం
skip,skip
easy,సులభంగా
school bag,బడి సంచి
drop,డ్రాప్
class test,తరగతి పరీక్ష
disappointed,నిరాశ
nap,కునుకు
jana,జేన్
assignments,పనులను
chopra,చోప్రా
mona,మోనా
sona,చివరలను
mona darling,మోనా డార్లింగ్
ajit,అజిత్
robert,రాబర్ట్
briefcase,బ్రీఫ్
khulla,బహిర్గతం
bulla,బుల్లా
Danny Denzongpa,డానీ డెంజోంగ్పా
danny,డానీ
maut,మరణం
death,మరణం
threat,ముప్పు
shakti,శక్తి
kapoor,కపూర్
bachayega,సేవ్ చేస్తుంది
teja,టైల్
andaaz,శైలి
mark,మార్క్
kidhar,ఎక్కడ
gulshan grover,గుల్షన్ గ్రోవర్
amjad khan,ఖాన్ యొక్క కీర్తి
dar,కానీ
samjho,అర్థం చేసుకోండి
mar,mar
mogambo,mogambo
mr,శ్రీ
mister,మిస్టర్
amrish puri,అమ్రిష్ పూరి
dhak,ఆ
gogo,Gogo
go go,వెళ్ళు
andaz,అందాజ్
crime,నేర
baarish,Baarish
raindance,Raindance
biker,బైకర్
2017,2017
new year,కొత్త సంవత్సరం
no plans,ప్రణాళికలు లేవు
to do,చెయ్యవలసిన
year,సంవత్సరం
ahead,ముందుకు
nye,కొత్త
new,కొత్త
nye wishes,ఇతర కోరికలు
new year wishes,కొత్త సంవత్సరం శుభాకాంక్షలు
happy new year,నూతన సంవత్సర శుభాకాంక్షలు
resolution,స్పష్టత
resolutions,తీర్మానాలు
welcoming,స్వాగతించే
bitching,బిట్చింగ్
whinning,whinning
burai,చెడు
organise,నిర్వహించడానికి
organize,నిర్వహించడానికి
wardrobe,వార్డ్రోబ్
room,గది
join,చేరడానికి
next,తరువాత
pose,భంగిమలో
asan,సులభంగా
asana,asana
yoga pants,యోగ ప్యాంటు
patli,సన్నని
hongi,ఉంటుంది
become,మారింది
weighing,బరువు
scale,స్థాయి
wazan,Wazan
wajan,వేయించడానికి పాన్
vajan,నాకు అవసరం
credit,క్రెడిట్
chuka,చైనా
hanger,కరవాలము
wakeup,మెల్కొనుట
early,ప్రారంభ
suraj,సూరజ్
uthunga,పెరుగుతుంది
walon,వాటిని
walo,Walo
parent,పేరెంట్
calling,కాలింగ్
mota,చేసినప్పుడు
fatso,బండవాడు
motapa,కొవ్వు
ghata,క్లౌడ్
chod,కోర్సు
chodd,లీవ్
khaunga,తింటాను
choices,ఎంపికలు
vegies,vegies
vegetables,కూరగాయలు
burger,బర్గర్
weighing scale,బరువు స్కేల్
machine,యంత్రం
watch,వాచ్
ghataunga,తగ్గుతుంది
karunga,చేస్తాను
haanikarak,హానికరమైన
workingout,పని చేస్తోంది
sweating,పట్టుట
coach,రైలు పెట్టె
slapping,తట్టటం
chaar,నాలుగు
dangal hoga,అల్లర్లు అవుతుంది
pehalwani,రెజ్లింగ్
revolt,తిరుగుబాటు
punching,గుద్దటం
misaale,ఉదాహరణకు
example,ఉదాహరణ
motivate,ప్రోత్సహించాలి
chora,క్రై
chori,చోరి
aamir,అమీర్
khan,ఖాన్
too,చాలా
