ribbions,റാബിയോൺസ്
okay janu,ശരി ജാനു
wow janu,വോ ജാനു
shradha kapoor,ശ്രദ്ധ കപൂർ
meri god me aa ja,എന്റെ മടിയിൽ കയറുക
love you honey,നിന്നെ സ്നേഹിക്കുന്നു തേൻ
maal hai yaar,ഗുഡ്സ് ചങ്ങാതി
gajab ki hai wo,അവൾ അത്ഭുതകരമാണ്
sunny leone,സണ്ണി ലിയോൺ
I have two girlfriend,എനിക്ക് രണ്ട് കാമുകി ഉണ്ട്
two sexy girl,രണ്ട് സെക്സി പെൺകുട്ടി
love you janu,ലവ് യു ജാനു
will hug you,നിങ്ങളെ കെട്ടിപ്പിടിക്കും
kaala chashma,കറുത്ത ഗ്ലാസുകൾ
militer,സൈന്യം
nyetir,ഡ്രൈവ് ചെയ്യുക
nangis,കരയുക
silau,മിഴിവുറ്റത്
sunny,തെളിഞ്ഞതായ
decendants,പിൻഗാമികൾ
senjata,ആയുധം
obat,മരുന്ന്
odd-even,ഒറ്റ ഇരട്ട
Shikaar,വേട്ട
shikaar to sab karte hai,എല്ലാവരും വേട്ടയാടുന്നു
par tiger se behtar koi nahi karta,എന്നാൽ കടുവയേക്കാൾ മികച്ചത് മറ്റാരും ചെയ്യുന്നില്ല
tiger zinda hai,കടുവ ജീവിച്ചിരിക്കുന്നു
movie tickets,മൂവി ടിക്കറ്റുകൾ
book movie tickets,മൂവി ടിക്കറ്റുകൾ ബുക്ക് ചെയ്യുക
book my show,എന്റെ ഷോ ബുക്ക് ചെയ്യുക
katrina kaif,കത്രീന എങ്ങനെ
we stand for peace,ഞങ്ങൾ സമാധാനത്തിനായി നിലകൊള്ളുന്നു
salman khan movie,സൽമാൻ ഖാൻ മൂവി
pver,കഴിഞ്ഞു
salman katrina,സൽമാൻ കത്രീന
fighting in waar,സത്യത്തിൽ പോരാടുന്നു
firing,ഫയറിംഗ്
mere paas bandook hai,എനിക്ക് ഷോട്ട്ഗൺ ഉണ്ട്
main ladai karne ja raha hu,ഞാൻ യുദ്ധം ചെയ്യാൻ പോകുന്നു
salman ki new movie,സൽമാൻ കി പുതിയ സിനിമ
dhokhebaaz,വഞ്ചകൻ
fukrey,fukray
fukrey returns,fukrey മടങ്ങുന്നു
fukrey 2,fukrei 2
fukrey kab aa rahi hai,എപ്പോഴാണ് വരുന്നത്
fukrey aa gayi hai yaar,സുഹൃത്ത് ഇവിടെയുണ്ട്
fukrey ki trailer dekhi,ഫുക്കറിലെ ട്രെയിലറുകൾ എന്താണെന്ന് നോക്കാം
abe fukrey 2 aa rahi hai,അബെ ഫ്യൂക്ക് 2 വരുന്നു
fukrey dekhne chaloge kya,നിങ്ങൾ ഫർണിച്ചറുകൾ കാണാൻ പോകുമോ?
fukrey returns aa rahi hai,ഫുക്രേ റിട്ടേൺസ് വരുന്നു
chucha,ചുച്ച
soja,സോയാബീൻ
uth jaa,എഴുന്നേൽക്കുക
aaj ka vichar,aaj ka vichar
samachar,വാർത്ത
suvichar,സന്തോഷ വാർത്ത
shubh pratah,സുപ്രഭാതം
Motor,മോട്ടോർ
Cewek,പെൺകുട്ടി
Cabe,അത് ചെയ്യണം
Jalanan,തെരുവുകൾ
gank,gank
geng,കൂടുതൽ
penjahat,വില്ലൻ
gril,ഗ്രിൽ
balapan,ഓട്ടം
cowok,പയ്യൻ
pembalap,റേസർ
atraksi,ആകർഷണം
gila,ഗില
razia,റെയ്ഡുകൾ
raids,റെയ്ഡുകൾ
polisi,പോലീസ്
spg,spg
firangi,ഫിറംഗി
kapil,കപിൽ
comedy movie,കോമഡി മൂവി
comedy scene,കോമഡി രംഗം
angrej,ഇംഗ്ലീഷ്
angrejo ko bhaga diya,ബ്രിട്ടീഷ് ഡ്രൈവ് ചെയ്തു
boncengan,പില്യൺ
hari ibu,മാതൃദിനം
bunda,കഴുത
DC,ഡിസി
happy new year 2018,പുതുവത്സരാശംസകൾ 2018
naya saal,പുതുവർഷം
nav varsh,nav varsh
mukkabaaz,ബോക്സർമാർ
AAA choo!,AAA ചൂ!
captain amerika,കാ പി ടേം അമേരി
mukka baaz,ഹോക്ക് ഹോക്ക്
zinda,സജീവമാണ്
sabke,എല്ലാത്തിലും
christmas party,ക്രിസ്മസ് പാർട്ടി
snata claus,സാന്താക്ലോസ്
nay saal,പുതുവർഷം
snow man,സ്നോ മാൻ
happy christmas,സന്തോഷകരമായ ക്രിസ്മസ്
new beginning,പുതിയ തുടക്കം
welcome 2018,സ്വാഗതം 2018
party all night,രാത്രി മുഴുവൻ പാർട്ടി
lets have a party,ഒരു പാർട്ടി നടത്താം
new year 2018,പുതുവർഷം 2018
wish you a happy new year,നിങ്ങൾക്ക് പുതുവത്സരാശംസകൾ നേരുന്നു
naya saal mubarak ho,പുതുവത്സരാശംസകൾ
party 2018,പാർട്ടി 2018
anushka,അനുഷ്ക
anushka sharma,അനുഷ്ക ശർമ്മ
new year resolution,പുതുവർഷ തീരുമാനങ്ങൾ
bye bye 2017,ബൈ ബൈ 2017
new year new me,പുതുവർഷം എനിക്ക് പുതിയത്
nana saal,നാന സാൽ
padman,പാഡ്മാൻ
padman dekhne chale,പാഡ്മാൻ കാണാൻ പോയി
padman aa rahi hai,പത്മ വരുന്നു
alshay,അൽഷെ
aa gale lag ja,a gale lag ja
traval,യാത്ര
Portrait,ഛായാചിത്രം
pic,ചിത്രം
aadhaar,അടിസ്ഥാനം
aadhar,അടിസ്ഥാനം
aadhaar card,ആധാർ കാർഡ്
aadhar card,ആധാർ കാർഡ്
aadhhar card,ആധാർ കാർഡ്
link,ലിങ്ക്
chai ho jaye,നമുക്ക് ചായ കുടിക്കാം
saubah ho gai hai,പ്രഭാതമാണ്
cofffee ho  jaye,കോഫി ഹോ
thand lag rahi hai,തണുപ്പ് അനുഭവപ്പെടുന്നു
hath sekh lo,ഹാത്ത് ഷെയ്ഖ് നിയമം
mene aag laga di hai,ഞാൻ തീയിട്ടു
aag lag chuki hai,തീ പിടിച്ചു
fog bahut hai,വളരെയധികം മൂടൽമഞ്ഞ്
fog,മൂടൽമഞ്ഞ്
pinut,നിലക്കടല
mungfali,നിലക്കടല
moongfali,നിലക്കടല
taiyar,തയ്യാറാണ്
shimla,ഷിംല
guru purab,ഗുരു കിഴക്ക്
golden temple,സ്വർണ്ണക്ഷേത്രം
wahe guru,വാഹെ ഗുരു
Amritsar,അമൃത്സർ
golden tepmle,സ്വർണ്ണക്ഷേത്രം
namste,നാംസ്റ്റെ
Lohri,ലോഹ്രി
happy lohri,സന്തോഷകരമായ ലോഹ്രി
punjabi dance,പഞ്ചാബി നൃത്തം
good moring,സുപ്രഭാതം
happy pongal,സന്തോഷകരമായ പൊങ്കൽ
pongal,പൊങ്കൽ
Happy Makar Sankranti,ഹാപ്പി കാപ്രിക്കോൺ വാൾപേപ്പറുകൾ
makar sakranti,മകര സക്രന്തി
makar sankranti,മകരസംക്രാന്തി
sankranti,സോളിറ്റിസ്
sakranti,പ്രവർത്തനം
happy republic day,റിപ്പബ്ലിക് ദിനാശംസകൾ
26 january,26 ജനുവരി
gantantra divas,റിപ്പബ്ലിക് ദിനം
walk free,സ്വതന്ത്രമായി നടക്കുക
safe free,സുരക്ഷിതരഹിതം
foji,മിലിട്ടറി
fojy,fojy
padmavat,പദ്മാവത്
sanjay leela bhansali,സഞ്ജയ് ലീല ബൻസാലി
bhansali,ബൻസാലി
stop corruption,അഴിമതി തടയുക
inda,തെംദ്രില്
hindustaan,ഹിന്ദുസ്ഥാൻ
be a real hero,ഒരു യഥാർത്ഥ നായകനാകുക
bhagat singh,ഭഗത് സിംഗ്
subhash chandra boss,സുഭാഷ് ചന്ദ്ര ബോസ്
chandra shekhar azad,ചന്ദ്ര ശേഖർ ആസാദ്
ambedkar,അംബേദ്കർ
women will walk free,സ്ത്രീകൾ സ്വതന്ത്രമായി നടക്കും
one man army,ഒറ്റയാൾ പട്ടാളം
heights,ഉയരങ്ങൾ
seena,ചൈനീസ്
jhaanki,പട്ടിക
stunt,സ്റ്റണ്ട്
DP,ഡിപി
vasant panchami,വസന്ത് പഞ്ചമി
sarasvti mata,സരസ്വതി അമ്മ
sarasvati,സരസ്വതി
sarasvati mata,സരസ്വതി വോട്ട്
real hero,യഥാർത്ഥ നായകൻ
republic day parade,റിപ്പബ്ലിക് ദിന പരേഡ്
pad man,പാഡ് മാൻ
Valentine week,പ്രണയ ആഴ്ച
Valentine days,പ്രണയ ദിനങ്ങൾ
Valentine Schedule,വാലന്റൈൻ ഷെഡ്യൂൾ
Happy chocolate day,സന്തോഷകരമായ ചോക്ലേറ്റ് ദിവസം
hug day,ആലിംഗനം ദിവസം
valentine day,പ്രണയ ദിനം
kiss day,ചുംബന ദിവസം
promise day,വാഗ്ദാന ദിവസം
be mine,എന്റേത് ആവുക
teddy day,ടെഡി ദിവസം
chocolate day,ചോക്ലേറ്റ് ദിവസം
happy rose Day,സന്തോഷകരമായ റോസ് ദിനം
February,ഫെബ്രുവരി
hookup,ഹുക്ക് അപ്പ്
kavaleri,കുതിരപ്പട
maha shiv ratri,മഹാ ശിവ രാത്രി
bhole,നിഷ്കളങ്കം
bhole shaknar,bhole shaknar
shivling,ശിവലിംഗ്
shiv pooja,ശിവ പൂജ
bhole shankar,ഭോലെ ശങ്കർ
tester,ടെസ്റ്റർ
testtesf,തെസ്ത്തെസ്ഫ്
testest,പരീക്ഷണം
xolours,നിറങ്ങൾ
rang barse,മഴയുടെ നിറം
i hate holi,ഞാൻ ഹോളിയെ വെറുക്കുന്നു
women's,സ്ത്രീകളുടെ
women's  day,വനിതാദിനം
women's day,വനിതാദിനം
happy women's day,വനിതാ ദിനാശംസകൾ
happy navrari,സന്തോഷകരമായ നവരാത്രി
Happy navratri,നവരാത്രി ആശംസകൾ
ring ceremony,റിംഗ് ചടങ്ങ്
save the date,തീയതി സംരക്ഷിക്കുക
wedding card,വിവാഹ കാർഡ്
Engagement,ഇടപഴകൽ
Engaged,ഏർപ്പെട്ടിരിക്കുന്ന
weddign,വിവാഹം
sagai,വിവാഹനിശ്ചയം
haldi rasam,haldi rasam
wedding ring,വിവാഹമോതിരം
wedding date,വിവാഹ തീയതി
shaadi card,വിവാഹ കാർഡ്
bride,മണവാട്ടി
dulhan,മണവാട്ടി
vidai,വിടവാങ്ങൽ
invitation card,ക്ഷണക്കത്ത്
vivah,വിവാഹം
baarat,പക്ഷാഘാതം
dulahan,മണവാട്ടി
engagement ring,വിവാഹ മോതിരം
bobbleweddings,bobbleweddings
rasm,ചിത്രം
haldi rasm,തടഞ്ഞുവച്ചു
ceremony,ചടങ്ങ്
haldi ceremony,ഹാൽഡി ചടങ്ങ്
April,ഏപ്രിൽ
shree ram,ശ്രീ റാം
ram navami,രാം നവാമി
pagalpan,ഭ്രാന്തൻ
shri ram,ശ്രീ റാം
jai shri ram,ജയ് ശ്രീ റാം
bhagawan,ഭഗവാൻ
bhagawaan,ഭഗവാൻ
CSK,ചെന്നൈയ്ക്ക്
chennai super kings,ചെന്നൈ സൂപ്പർ രാജാക്കന്മാർ
vaat lagli,സംസാരിക്കുന്ന വികാരം
mumbai indians,മുംബൈ ഇന്ത്യക്കാർ
amchi mumbai,amchi mumbai
mumbai indian,മുംബൈ ഇന്ത്യൻ
mumbi indians,മുംബൈ ഇന്ത്യക്കാർ
102 Not Out,102 പുറത്തായില്ല
rajasthan roayal,രാജസ്ഥാൻ റോയൽ
rajasthan royal,രാജസ്ഥാൻ രാജകീയ
jayanti,ജൂബിലി
gamaxigo,പൂർത്തിയായി
rishi kapoor,റിഷി കപൂർ
102 notout,102 നോട്ട്
buddha,ബുദ്ധ
Amitabh bacchan,അമിതാഭ് ബച്ചൻ
Sony,സോണി
old age,വാർദ്ധക്യം
old age home,വാർദ്ധക്യകാല വീട്
baap beta,അച്ഛൻ മകൻ
upcoming movie,വരാനിരിക്കുന്ന സിനിമ
IPL 2018,IPL 2018
DD,തീയതി
SRH,SRH
RR,RR
KXIP,റോയല്
RCB,RCB
Indian premier league,ഇന്ത്യൻ പ്രീമിയർ ലീഗ്
vivo IPL,വിവോ ഐപി‌എൽ
Delhi daredevils,ദില്ലി ഡെയർ‌ഡെവിൾസ്
Rajasthan royals,രാജസ്ഥാൻ റോയൽസ്
trending,ട്രെൻഡുചെയ്യുന്നു
thanos,മരണം
Infinity War,അനന്ത യുദ്ധം
heros,വീരന്മാർ
super heros,സൂപ്പർ ഹീറോസ്
mother's day,മാതൃദിനം
mothers day,മാതൃദിനം
darubaaz,ബറോക്ക്
Late night,രാത്രി വൈകി
Afterwork,ജോലിക്ക് ശേഷം
hangover,ഹാംഗ് ഓവർ
theka,കരാർ
bira,ബിറ
amazed,ആശ്ചര്യപ്പെട്ടു
mother day,മാതൃദിനം
ramzaan,റമദാൻ
namaj,പ്രാർത്ഥനകൾ
jhukham,ചതവ്
zukham,സുഖം
maybe,ഒരുപക്ഷേ
bool,bool
emoji,ഇമോജി
jukham,തണുപ്പ്
dance pose,ഡാൻസ് പോസ്
dance style,നൃത്ത ശൈലി
all best,എല്ലാ ആശംസകളും
best of luck,നല്ലതു സംഭവിക്കട്ടെ
?,?
kese ho tum,സുഖമാണോ
kese,ബാഗുകൾ
channai,പാൽ
watson,വാട്സൺ
rajani,രജനി
rajanikant,രജനീകാന്ത്
thaliva,തളിവ
south,തെക്ക്
super star,സൂപ്പർ സ്റ്റാർ
Kaala Trailer,Kaala Trailer
Kaala Songs,സമയ ഗാനങ്ങൾ
Rajinikanth,രജനീകാന്ത്
Kaala song,സമയ ഗാനം
Kala song,കാല ഗാനം
huma,അവർ
qureshi,qureshi
illa,രോഗം
dhaasu,ചീത്ത
tollywood,ടോളിവുഡ്
tamil cinema,തമിഴ് സിനിമ
shivaji,ശിവാജി
savior,രക്ഷകൻ
showtime,പ്രദർശന സമയം
no smoking,പുകവലി പാടില്ല
cigarettes,സിഗരറ്റ്
smok,ഡ്രാഗൺ
world no tobacco day,ലോകത്ത് പുകയില ദിനമില്ല
angedment,കോപം
maaji,മാജി
mwah,mwah
muahh,മെഹ്
huge me,എന്നെ കൂറ്റൻ
hey baby,ഹേ ബേബി
ram ram,റാം റാം
abe yaar,ആബി ഹൂ
flying kiss,പറക്കുന്ന ചുംബനം
race 3,റേസ് 3
SKF,എസ്.കെ.എഫ്
ramjaan,റമദാൻ
ramaza,രമജിനി വരെ
ramajaan,റംസാൻ
father's day,പിതൃ ദിനം
best papa,മികച്ച പപ്പാ
bas kar,ചെയ്യൂ
143,143
jigari,കരൾ
phone karo,ഫോണിൽ ആരോ
ringtone,റിംഗ്‌ടോൺ
wahan,അവിടെ
phone utha,ഫോൺ ഉയർത്തുക
kutte,മുറിക്കുക
good ninght,ശുഭ രാത്രി
so jao,ഉറങ്ങുക
ratri,ratri
aaraam,ആറാമത്തെ
fifa 2018,ഫിഫ 2018
winer,വിജയി
dhanyavad,നന്ദി
chaiy,ആറ്
chaee,പിന്തുടരുക
abhinandaan,ആശംസകൾ
bara ahey,ഹേയ് ഹേയ്
Dhanyavaad,നന്ദി
maala maaf kara,മൃഗങ്ങളെ ക്ഷമിക്കുക
nako,ഞാൻ
Nirop Gheto,നിരോപ് ഗെറ്റോ
Tumhi Namaskaar,തുമി നമസ്‌കർ
thambaa,തമ്പ
tumhala bhetun aanand zhaala,നിങ്ങൾ ഉപേക്ഷിക്കണം
Swaagat,സ്വാഗതം
kasey,കാസി
aahat,aahat
Abhinandan,ആശംസകൾ
Bari ahey,ഏറ്റെടുത്തു
namaskaar,ഹലോ
bhetun,ബെതുൻ
kasey aahat?,kasey aahat?
kesey,kesey
kesa,പോകൂ
nahi be,നഹി ആകുക
badhayi,അഭിനന്ദനങ്ങൾ
Dhanyawa,നന്ദി
haan be,ഹാൻ ആകുക
haa,അതെ
kaa,കാ
congrarulations,അഭിനന്ദനങ്ങൾ
bas karo,അത് ചെയ്യുക
yehh,ഇത്
janmdin,ജന്മദിനം
b'day,b'day
celibreate,ആഘോഷിക്കൂ
baday,പലരും
your name,താങ്കളുടെ പേര്
wrist,കൈത്തണ്ട
you name,നിങ്ങളുടെ പേര്
vichar,ആശയം
france,ഫ്രാൻസ്
qoute,ഉദ്ധരണി
kawad,വയർ
daak,വിളിക്കുക
daak kawad,ഡാക്ക് വയർ
bholenath,ഭോലെനാഥ്
shivji,ശിവ്ജി
Happy Independence Day,സ്വാതന്ത്ര്യദിനാശംസകൾ
swatantrata diwas,സ്വതന്ത്രത ദിവാസ്
15th Aug,15 ഓഗസ്റ്റ്
15 Aug,15 ഓഗസ്റ്റ്
tri color,ത്രി വർണ്ണം
Dash,ഡാഷ്
Swatantrata Divas,സ്വാതന്ത്ര്യദിനം
dry day,വരണ്ട ദിവസം
hindistaan,ഇന്ത്യ ഉണ്ട്
shubh prabhat,സുപ്രഭാതം
hallo,ഹലോ
atal bihari vajpayee,അടൽ ബിഹാരി വാജ്‌പേയി
atal,വിഭാഗം
BJP,ബിജെപി
atal bihari vajpayi,അടൽ ബിഹാരി വാജ്‌പേയി
RIP,ആർഐപി
Eid al-Adha,ഹാനികരമായ വിരുന്നു
bahiya,ബഹിയ
rakhadi,ഗ്രേ
teacher's day,അധ്യാപക ദിനം
pubg,പുബ്ഗ്
ganesh chaturthi,ഗണേഷ് ചതുർത്ഥി
deva shree ganesha,ദേവ ശ്രീ ഗണേശ
gn,gn
PM,പ്രധാനമന്ത്രി
prime minister,പ്രധാന മന്ത്രി
batle,അവനെ അടിക്കുക
good afternoon,ഗുഡ് ആഫ്റ്റർനൂൺ
dopahar,ഉച്ച
good evening,ഗുഡ് ഈവനിംഗ്
shaam,വൈകുന്നേരം
bajarangbali,ബജ്രംഗബാലി
sai,വീണ്ടും
sai baba,സായിബാബ
shirdi,ഷിർഡി
shayari,ഷായാരി
mata pita,ടേപ്പിന്റെ കണ്ണുകൾ
musibat,വിപത്ത്
waqt,ആയിരിക്കുമ്പോൾ
samay,സമയം
qismat,വിധി
mehanat,കഠിനാധ്വാനം
Congress2019,കോൺഗ്രസ് 2019
SayNoToBJP,സയ്നൊതൊബ്ജ്പ്
Election2019,ഇലക്ഷൻ 2019
Congress,കോൺഗ്രസ്
BJPforIndia,BJPforIndia
BJP2019,BJP2019
bappu,ബോപ്പ്
bappuji,ബോപ്പിംഗ് സമയത്ത്
rashtriyapita,ദേശീയ പിതാവ്
2october,2 ഒക്ടോബർ
chhutti,അവധി
mahatmagandhi,മഹാത്മാ ഗാന്ധി
2.0,2.0
rajinikant,രജനീകാന്തിന്റെ
LBSMF,LBSMF
Lal Bahadur Shastri,ലാൽ ബഹാദൂർ ശാസ്ത്രി
LBS,LBS
2 October,ഒക്ടോബർ 2
navaratri,നവരാത്രി
shubhnavratri,ഗുഡ് നൈറ്റ്
jaimatadi,ജയമാതടി
bhakti,ഭക്തി
devimaa,ദേവി
varat,കഴിയും
aashirvaad,അനുഗ്രഹം
ramleela,റാംലീല
jaishreeram,ജയശ്രീറാം
lankeshwar,ലങ്കേശ്വർ
bhott,ഭട്ട്
jaada,jaada
fevar,ഫാവ്രെ
fullmoon,ഫുൾമൂൺ
laxmi,ലക്ഷ്മി
bhaidooj,സഹോദരൻ
dooj,ഡൂജ്
bhai dooj,ഭായ് ഡൂജ്
childrenday,ചൈൽഡ് റെൻഡേ
baal diwas,ബാൽ ദിവാസ്
baaldiewas,bualdiewas
baaldiwas,കഷണ്ട കഴുകൻ
chhathpuja,ചാത്തൂജ
gurunanak,ഗുരുനനക്
gurupurab,ഗുരുപുര ജി
nanak,നാനക്
sardarji,സര്ദര്ജി
2019,2019
nayasaal,നയാസ
january,ജനുവരി
newyearplan,newyearplan
navvarsh,പുതുവർഷം
navarsh,നവര്ശ്
makarsankranti,മകര്സന്ക്രംതി
pared,pared
jaihind,ജയ്ഹിന്ദ്
republicday,റിപ്പബ്ലിക് ദിനം
vandemataram,വന്ദേമാതരം
agra,അഗ്ര
sarkar,തരം
govt.,ഗവ.
26january,26 ജനുവരി
26,26
jaiho,ജൈഹൊ
jai ho,ജി ഹോ
promiseday,വാഗ്ദാനം
proposeday,നിർദ്ദേശിച്ചത്
chocolateday,ചോക്ലേറ്റഡ്
valentineday,വാലന്റൈൻസ് ഡേ
happyvalentineday,happyvalentineday
galelagja,galelagja
kissday,ചുംബനം
galelagjaa,galelagjaa
teste,പരിശോധന
dghjk,dghjk
qwfg,qwfg
wfg,ഫേജ്
shahid,കാണുക
qwef,qwef
wqwefg,wqwefg
qwefgb,qwefgb
gully boy,ഗല്ലി ബോയ്
gullyboy,ഗല്ലിബോയ്
apnatimeayega,അപ്നതിമയേഗ
IAF,വ്യോമസേന
indianairforce,indianairforce
pilot,പൈലറ്റ്
bringhimback,ബ്രിന്ഘിംബച്ക്
pak,തുടർന്ന്
realhero,റിയൽ‌ഹീറോ
shivratri,ശിവരാത്രി
onbad,onbad
women'sday,വനിതാദിനം
mahila,സ്ത്രീ
mahiladiwas,ലേഡീസ് ഡേ
maheela,സ്ത്രീകൾ
devokedev,devokedev
captainmarvel,ക്യാപ്റ്റൻ അത്ഭുതം
holimubarak,ഹോളി മുബാറക്
happyholi,ഹപ്പ്യ്ഹൊലി
holikabhai,ഹോളിക് ഭായ്
holikhele,സൂര്യപ്രകാശമുണ്ട്
chennaisuperkings,chennaisuperkings
msdhoni,sdon
mahi,മാഹി
delhicapitals,ഡെലികാപിറ്റലുകൾ
shreyaslyer,shreyaslyer
sunrisershyderabad,സൺ‌റൈസർ‌ഷൈദരാബാദ്
david warner,ഡേവിഡ് മുന്നറിയിപ്പ്
sunrisers,സൂര്യോദയം
kolkataknightriders,kolkataknightriders
dineshkartik,ദിനേശ് കാർത്തിക്
kingsXIpunjab,kingsXIpunjab
kings,രാജാക്കന്മാർ
ravichandranashwin,രവിചന്ദ്രനാശ്വിൻ
ashwin,അശ്വിൻ
mumbaiindians,mumbaiindians
rohitsharma,രോഹിത്ഷർമ
royalchallengersbangalore,റോയൽ‌ചാലഞ്ചേഴ്‌സ് ബാംഗ്ലൂർ
viratkohli,പോസ്റ്റ്
banalore,ബാംഗ്ലൂർ
rajasthanroyals,രാജസ്ഥാൻ റോയൽസ്
ajinkyarahane,അജിങ്ക്യാരഹാനെ
majaz,മജാസ്
1stapril,1 ഏപ്രിൽ
bewkoof,ഇഡിയറ്റ്
ullukapatha,അസംസ്കൃതമാണ്
maata,നുണ
matdaan,വോട്ടിംഗ്
matdan,വോട്ടിംഗ്
hanumanjayanti,ഹനുമാൻ ജയന്തി
bajarngbali,ബജ്രംഗബാലി
gameofthrones,അധികാരക്കളി
winteriscoming,തണുപ്പുകാലം വരുന്നു
tvseries,TV പരമ്പര
HBO,HBO
masterblaster,മാസ്റ്റർബ്ലാസ്റ്റർ
avengersendgame,അവഞ്ചേഴ്സ് എൻഡ് ഗെയിം
endgame,എൻഡ് ഗെയിം
ticket,ടിക്കറ്റ്
ghanshyamtiwari,ഹെവി ഡ്യൂട്ടി
Samajwadi Party,സമാജ്‌വാദി പാർട്ടി
sp,sp
Samajwadi,സമാജ്‌വാദി
ghanshyam,ഘാൻശ്യം
gt,ജിടി
numbers,അക്കങ്ങൾ
odisha,ഒഡിഷ
CYCLONEFANI,സൈക്ലോൺ ഫാനി
CYCLONE,സൈക്ലോൺ
toofan,കൊടുങ്കാറ്റ്
helpline,ഹെൽപ്പ്ലൈൻ
sammer,സമർ
ramadankareem,റമദാൻ കർമ്മം
kareem,കരീം
sadigarmi,സാഡിഗാർമി
motherday,മാതൃദിനം
delhicaptal,delhicaptal
Shreyas Iyer,ശ്രേയസ് അയ്യർ
ShreyasIyer,ശ്രീസിയർ
Daenerys,ഡൈനറിസ്
breakingnews,ബ്രേക്കിംഗ് ന്യൂസ്
primeminister,പ്രധാനമന്ത്രി
chunav,തിരഞ്ഞെടുപ്പ്
namo,വീട്
'pm,'pm
narendramodi,മോഡി
namoagain,namoagain
modi again,മോഡി വീണ്ടും
sarkaar,സർക്കാർ
firmodi,ഫിര്മൊദി
narendramod,നരേന്ദ്രമോഡ്
newpm,newpm
worldcup,ലോക കപ്പ്
icc,വിൽ
teamindia,ഇന്ത്യ
cricketchat,ക്രിക്കറ്റ്ചാറ്റ്
crticketsatta,crticketsatta
cricketkibaatein,ക്രിക്കറ്റ്കിബാറ്റിൻ
worldcup2019,worldcup2019
father'sday,പിതൃ ദിനം
fatherday,പിതൃ ദിനം
haila,ആർത്തവം
lofer,ലോഫർ
garib,പാവങ്ങൾ
friendshipday,സൗഹൃദദിനം
dostana,ദസ്താന
yaaro,ആരോ
article370,article370
azadiplasticse,അസഡിപ്ലാസ്റ്റിക്സ്
plastic,പ്ലാസ്റ്റിക്
aazadi,സ്വാതന്ത്ര്യം
independenceday,സ്വാതന്ത്യദിനം
15thaugust,15 ടാഗസ്റ്റ്
15august,15 ഓഗസ്റ്റ്
swatantratadiwas,സ്വാതന്ത്ര്യദിനം
nauture,പ്രകൃതി
bakrieid,bakrieid
eidmubarak,നിങ്ങളുടെ കരടി
Swych,അവന്റെ
happyindependenceday,ഹാപ്പി പെൻഡെൻസ് വൈ
happyindependence,പേന ഉപയോഗിച്ച് സന്തോഷം
aazad,ആസാദ്
deshbakti,ദേശസ്നേഹം
shreekrishna,കൃഷ്ണ
makhanchor,മഖാൻ‌ചോർ
krishanajayanti,കൃഷൻ ജയന്തി
suabah,ഇത് ഈർപ്പമുള്ളതാണ്
hie,ഹായ്
hiee,ഹായ്
pakamat,വിട
janamdinmubarak,ജന്മദിനാശംസകൾ
kingkhan,കിങ്‌ഖാൻ
amir,അമീർ
alliswell,എല്ലാം നന്നായി പോകുന്നു
apnatime ayega,വരും
laddakh,ലഡാക്ക്
forevertogether,എന്നേക്കും ഒരുമിച്ച്
bappamorya,ബപ്പറ്റോറിയ
ganpatibappamorya,ഗണപതിബപ്പാമോറിയ
ganeshji,ഗണേഷ്
ganeshchaturthi,ഗണേഷ് ചതുർത്ഥി
adhyapak,പ്രൊഫസർ
adhyapakdiwas,അധ്യാപക ദിനം
teacherday,അധ്യാപക ദിനം
durgapuja,ദുർഗ പൂജ
jaimaatadi,ജയമാതടി
sacredgames,പവിത്ര ഗെയിമുകൾ
netflix,നെറ്റ്ഫ്ലിക്സ്
nawazuddinsiddiqui,നവാസുദ്ദീൻ സിദ്ദിഖി
nawaz,നവാസ്
ganeshgaitonde,ഗണേഷ് ഗെയ്‌തോണ്ടെ
gaitonde,പറക്കുക
25din,രണ്ട് ടേക്ക്
sacred,പവിത്രമാണ്
kukku,കുക്ക്
eww...,eww ...
goodmornong,സുപ്രഭാതം
goodninght,ഗുഡ്നൈറ്റ്
Hiee!,ഹായ്!
okfine,okfine
rukja,കണ്ണേറ്
ruk,കൈകൾ
heybhagwan,ദൈവം
chhichhore,ആഴം
shardha,ശാരദ
kuttedost,കുത്തെദൊസ്ത്
varunsharma,വരുണശർമ്മ
Modiji,മോഡിജി
narendramodiji,നരേന്ദ്രമോദിജി
birthdaymodiji,ജന്മദിന മോഡിജി
ng,ന്റെ
navratrispecial,navratrispecial
navratricollection,navratricollection
navratriwear,navratriwear
durgamaa,ആക്‌സസ്സുചെയ്യാനാകില്ല
happynavratri,happyynavratri
matake charan,കലം ഘട്ടം
vratkakhana,vratkahana
vratkithali,മന്ദത
gandhijayanti,ഗാന്ധിജയന്തി
2oct,2oct
ganshiji,നനഞ്ഞതും വരണ്ടതുമായ സീസൺ
ganshi,ക്ലർക്ക്
happydussehra,സന്തോഷകരമായ ദസറ
ramnavmi,രാം നവാമി
dilwali,ദിൽ‌വാലി
nocrackers,നോക്രാക്കറുകൾ
dilwaali,ഫോർക്ക്
happydiwali,ഹാപ്പിഡിവാലി
aachhoo,തൊട്ടുകൂടാത്തവർ
karwachauth,കാർവാചൗത്ത്
pollution,അശുദ്ധമാക്കല്
