bobble,ବବଲ୍ |
ishk,ପ୍ରେମ
sehet,ସେହେଟ୍ |
sehat,ସୁସ୍ଥ
seahtachha,ସମୁଦ୍ର
sehatkliyeachha,Sehatkliyeachha
pagli,ପାଗଲି |
dekhpagli,ଦେଖପାଗଲି |
aise,ଆରାମଦାୟକ |
nadekh,ଦର୍ଶନ କରନ୍ତୁ |
cupid,କପିଡ୍ |
arrow,ତୀର
aisenadekh,ଏହିପରି ଦୃଶ୍ୟ |
tumse,ତୁମଠାରୁ
tumsenahopayega,ତୁମ୍ସେନ୍ ହୁପାୟେଗା |
wander,ଭ୍ରମଣ କର |
lust,ଲୋଭ
trolleybag,ଟ୍ରଲିବ୍ୟାଗ୍ |
trolley,ଟ୍ରଲି
bon,ଭଲ
voyage,ଯାତ୍ରା
bonvoyage,ସ୍ୱାଗତ
ours,ଆମର
ourworld,ଆମର ୱାର୍ଲ୍ଡ
globetrotter,ଗ୍ଲୋବେଟ୍ରୋଟର୍ |
backpack,ବ୍ୟାକପ୍ୟାକ୍
luggage,ଲଗେଜ୍ |
getaway,ଦୂରେଇଯାଅ
greatesacape,greatesacape
letsgetlost,letgetlost
triptogether,ତ୍ରିପାଠୀ
suitcase,ଆଟାଚି
packyourbags,packyourbags
trave,ଘାସ
travelbuddy,ଭ୍ରମଣ
travelpartner,ଭ୍ରମଣକାରୀ
partner,ସାଥୀ
travellingpartner,ଭ୍ରମଣକାରୀ ପାର୍ଟନର
binocular,ଦ୍ୱିପାକ୍ଷିକ |
pisa,ପିସା
paris,ପ୍ୟାରିସ୍
explore,ଅନୁସନ୍ଧାନ କର |
explorer,ଅନୁସନ୍ଧାନକାରୀ |
worldexplorer,ୱାର୍ଲ୍ଡ ଏକ୍ସପ୍ଲୋରର୍ |
tripping,ଟ୍ରପିଂ
trippin,ତ୍ରିପିନ
happyexploring,ଖୁସି
happytravelling,ଖୁସି
earn,ରୋଜଗାର କର |
winit,winit
earnit,ରୋଜଗାର
trophy,ଟ୍ରଫି
wealthishealth,ଧନୀ
moneyispower,ଟଙ୍କା ଶକ୍ତି
dollar,ଡଲାର
rupee,ଟଙ୍କା
tiffanytwisted,ଟିଫାନି ମୋଡ଼ି ହୋଇଗଲା |
moneymakesmehigh,moneymakesmehigh
dope,ନିଶା
nasha,ଆମର
paisedanasha,paisedanasha
intoxication,ନିଶା
moneybag,ଟଙ୍କା ବ୍ୟାଗ୍
anidea,ଅଜ୍ଞ
makeyourich,ମେକ୍ ଇନ୍ ch
rich,ଧନୀ
save,ସଞ୍ଚୟ କରନ୍ତୁ |
moneywillsaveyou,moneywillsaveyou
moneysaves,ଟଙ୍କା ସଞ୍ଚୟ
savemoney,ଅର୍ଥ ସଞ୍ଚୟ
timeismoney,ସମୟ ହିଁ ପଇସା
growthgraph,ଅଭିବୃଦ୍ଧି ଗ୍ରାଫ୍
aiming,ଲକ୍ଷ୍ୟ କରିବା
bullseye,ଷଣ୍
tough,କଠିନ
bahuttoughhai,ବହୁତ
toughpaper,କଠିନ କାଗଜ
complicated,ଜଟିଳ
samjhade,ବୁ .ନ୍ତୁ |
makemeunderstand,makemeunderstand
kitaab,ଏକ ପୁସ୍ତକ
faree,ପୁନର୍ବାର |
bana,େମାେତ
cheat,ପ୍ରତାରଣା
cheatpaper,cheatpaper
chit,ଚିଟ୍
fareyy,ଫାରୋ
farrey,farrey
bhagwanbharose,ଭଗବାନ ବ୍ରୋସ୍ |
passkarwadena,ଅଫର୍ କରିବାକୁ |
bas5min,ଗତି ସହିତ |
5min,5 ମିନିଟ୍
5minute,5 ମିନିଟ୍
bas5minute,bas5minute
grace,ଅନୁଗ୍ରହ
tutopmarega,tutopmarega
yaartutopmarega,yaartutopmarega
kitab,ପୁସ୍ତକ
highest,ସର୍ବୋଚ୍ଚ
firstaya,firstaya
rank,ମାନ୍ୟତା
marks,ଚିହ୍ନ
result,ଫଳାଫଳ
pucca,pucca
paka,ପାକା |
badresult,badresult
lowmarks,ନିମ୍ନ ଚିହ୍ନ
exam,ପରୀକ୍ଷା
batadiyo,ମୋତେ କୁହ
request,ଅନୁରୋଧ
allthebest,ସମସ୍ତ ସର୍ବୋତ୍ତମ
alldbest,alldbest
adb,adb
atb,atb
goodwishes,ଶୁଭେଚ୍ଛା
scorpio,ବିଛା
dominant,ପ୍ରାଧାନ୍ୟ
scorpion,ବିଛା
vrishchik,ବିଛା
scorpiogirl,ବିଛା
cancer,କର୍କଟ
cancerian,କର୍କଟ ରୋଗ
practical,ବ୍ୟବହାରିକ |
sensitive,ସମ୍ବେଦନଶୀଳ |
karkat,କରକାଟ |
kark,େବକ
crab,କ୍ରାବ୍ |
cancerianwoman,କର୍କଟ ମହିଳା
virgo,କୁମାରୀ
creative,ସୃଜନଶୀଳ |
successful,ସଫଳ
clever,ଚତୁର
kanya,ତାଙ୍କୁ
virgogirl,କୁମାରୀ
taurus,ବୃଷ
stubborn,ଜିଦ୍ଖୋର
sensual,ସମ୍ବେଦନଶୀଳ |
vrishabha,ବୃଷ
bull,ଷଣ୍
taurean,taurean
taureanwoman,taureanwoman
sagittarius,ଧନୁ ରାଶି
energetic,ଶକ୍ତିଶାଳୀ |
traveller,ଭ୍ରମଣକାରୀ
tarveler,ପରିବ୍ରାଜକ
optimistic,ଆଶାବାଦୀ |
dhanu,ଧନୁ ରାଶି;
archer,ତୀରନ୍ଦାଜ
saggi,essays
sagittariangirl,sagittariangirl
kim,କିମ
kardashian,କାର୍ଡାଶିଆନ୍ |
pisces,ମାଛ
artistic,କଳା
intuitive,ଅନ୍ତର୍ନିହିତ
meen,ମେନ୍
pisceanwoman,pisceanwoman
libra,ଲିବ୍ରା |
gentle,ଭଦ୍ର
indecisive,ନିର୍ଣ୍ଣୟ
tula,ତୁଲା
libranwoman,libranwoman
oprah,ଅପ୍ରା
leo,ଲିଓ
faithful,ବିଶ୍ୱସ୍ତ
simha,ସିଂହ
gemini,ମିଥୁନ
expressive,ଭାବପ୍ରବଣ
communicative,ଯୋଗାଯୋଗୀ |
mithun,ମିଥୁନ୍
mithuna,Mituna
geminigirl,ମିଥୁନ
capricorn,ମକର
loyal,ବିଶ୍ୱସ୍ତ
hardworking,ପରିଶ୍ରମୀ
makara,reel
goat,ଛେଳି
capricornwoman,ମକର ରାଶି ମହିଳା |
aries,ଆରିସ୍
impulsive,ପ୍ରେରଣାଦାୟକ |
angelina,ଆଞ୍ଜେଲିନା
jolie,ଜୋଲି
mesh,ଜାଲ
aquarius,କୁମ୍ଭ
innovative,ଅଭିନବ |
eccentric,ବିଚିତ୍ର
admired,ପ୍ରଶଂସିତ
aquarianwoman,ଜଳବାୟୁ
kumbha,କୁମ୍ଭ
geminiguy,ମିଥୁନ
libranman,ଲାଇବ୍ରେମାନ୍
libran,ଲାଇବ୍ରେନ୍ |
virgoguy,virgoguy
taureanguy,taureanguy
scorpioman,ବିଛା ମଣିଷ |
traveler,ଭ୍ରମଣକାରୀ
pisceanguy,pisceanguy
leoguy,leoguy
makar,ଅତିକମରେ
capricornman,ମକର ରାଶିର ବ୍ୟକ୍ତି |
mesha,ମେସା
firstday,ପ୍ରଥମ ଦିନ
firstbench,firstbench
summer,ଗ୍ରୀଷ୍ମ
summerisover,ଗ୍ରୀଷ୍ମ .ତୁ
summerover,ଗ୍ରୀଷ୍ମ over ତୁ
windowsill,ୱିଣ୍ଡୋ ୱିଲ୍ |
hate,ଘୃଣା
earlymorning,ପ୍ରଭାତ
tap,ଟ୍ୟାପ୍ କରନ୍ତୁ |
morningalarm,ପ୍ରଭାତ
masti,ମାସ୍କ
brocode,ବ୍ରୋକୋଡ୍ |
brotherhood,ଭାଇଚାରା |
icecreamcone,ଆଇସକ୍ରିମକୋନ |
homework,ଗୃହ କାର୍ଯ୍ୟ
homeworknahihua,ହୋମୱାର୍କନାହିହୁଆ |
firstcrush,firstcrush
pehlapyar,ପ୍ରଥମ ପ୍ରେମ
excited,ଉତ୍ସାହିତ
excitedforfirstday,ଉତ୍ସାହିତ
pehla,ପ୍ରଥମ
pehladin,ପେହ୍ଲାଡିନ୍ |
nonono,nonono
wapis,ପଛକୁ
wapsi,ପ୍ରତ୍ୟାବର୍ତ୍ତନ
backtoschool,ବ୍ୟାକଟୋସ୍କୁଲ୍ |
boards,ବୋର୍ଡ
boardexam,ବୋର୍ଡଡେକ୍ସମ୍ |
nagad,ସମୟ ପର୍ଯ୍ୟନ୍ତ
nagadwale,nagadwale
udhar,ସେଠାରୁ
udharwale,udharwale
khisko,ହିସ୍କୋ |
nocredit,nocredit
nocreditonlycash,nocreditonlycash
tol,ଟୋଲ୍
bhaav,ମୂଲ୍ୟ
tolbhaav,ଟୋଲ୍
measure,ମାପ
weigh,ଓଜନ
rupaee,ଟଙ୍କା
rupaiya,ରୂପାୟା |
biggest,ସବୁଠୁ ବଡ
sabsebadarupaiya,ସବୁଠାରୁ ପ୍ରିୟ
important,ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ |
pehle,ପ୍ରଥମ
monies,ଟଙ୍କା
phir,ତା’ପରେ
dukan,ଦୁକାନ୍
noreturn,ନୋରଟର୍ନ |
noexvhange,novaexchange
exchange,ବିନିମୟ
lena,ଲେନା
lenahai,ଗାଡ଼ି
lenahaitolo,ଲେନହାଟୋଲୋ |
rehnedo,rehnedo
rehne,rehne
shopkeeper,ଦୋକାନୀ
dukandaar,ଦୋକାନୀ
piece,ଖଣ୍ଡ
imported,ଆମଦାନୀ
importedhai,ଆମଦାନୀ
aap,ତୁମେ
ap,ତୁମେ
aapke,ତୁମର
aapkeliye,ଆପଣଙ୍କ ପାଇଁ
discount,ରିହାତି
magnifying,ବଡ କରିବା
magnifyingglass,ଯବକାଚ
lookingglass,ଲୁକ୍ ଗ୍ଲାସ୍ |
betterdeal,ଉତ୍ତମ
stealdeal,ଚୋରି କାରବାର |
masti ke din,ମଜା ଦିନ |
home work nahi hua,ଗୃହ କାର୍ଯ୍ୟ ହୋଇନାହିଁ |
vacationdays,ଛୁଟି ଦିନ
lovin',lovin '
lovin,lovin
begun,ଆରମ୍ଭ ହେଲା |
summertime,ସମର ସମୟ
sea,ସମୁଦ୍ର
outing,ବାହାଘର
slow,ଧୀର
slowdown,ଧିମେଇ ଜାଅ
sweat,at ାଳ
pasina,କ avail ଣସି ସୁଫଳ ମିଳିଲା ନାହିଁ |
unbearable,ଅସହ୍ୟ
scorching,ଜ୍ୱଳନ୍ତ
heat,ଉତ୍ତାପ
sand,ବାଲି
sandandsun,ବାଲୁକା କଳା
scorch,ଜ୍ୱଳନ୍ତ
atthebeach,ସମୁଦ୍ର କୂଳରେ
dayatthebeach,dayatthebeach
readyforsummer,ପ୍ରସ୍ତୁତ
poolchait,ପୁଲଚାଇଟ୍ |
bythepool,bythepool
sunglass,ଚଷମା
summerchill,ଗ୍ରୀଷ୍ମକାଳୀନ |
keepitcool,keepitcool
extreme,ଅତ୍ୟଧିକ
very,ବହୁତ
hotter,ଗରମ
garmi,ଗ୍ରୀଷ୍ମ
mocktail,ମକଟେଲ୍ |
pickupline,ପିକଅପ୍ ଲାଇନ୍ |
cheesy,ପନିର
inlove,inlove
summerlove,ଖରାଦିନ ପ୍ରେମ
iceicebaby,iceicebaby
frozen,ଫ୍ରିଜ୍
apetitie,କ୍ଷୁଧା
bonapetite,ଭଲ ଭୋକ
let'seat,ଚାଲ ଖାଇବା
letseat,ଚାଲ ଖାଇବା
letus,ଚାଲ
brunch,ବ୍ରଞ୍ଚ୍ |
explosion,ବିସ୍ଫୋରଣ
tasteexplosion,tasteexplosion
nomnom,ନାମ
tasty,ସ୍ୱାଦିଷ୍ଟ |
nom,ନାମ
palatable,ସୁସ୍ୱାଦୁ
cook,ରାନ୍ଧ |
cooking,ରାନ୍ଧିବା |
fork,କଣ୍ଟା
let'sforkandspoon,ଚାଲ ଫର୍କାଣ୍ଡସପନ୍ |
grab,ଧର
bite,କାମୁଡିବା
want,ଇଚ୍ଛା
wannagrababite,wannagrababite
stayhungry,stayhungry
stayfoolish,stayfoolish
cookingismylife,cookismylife
lovecooking,ପ୍ରେମ
ignore,ଅବଜ୍ ignore ା କର |
ignoring,ଅବହେଳା
whyareyouignoringme,କାହିଁକି?
overtlyattached,ଅତ୍ୟଧିକ ସଂଲଗ୍ନ
enough,ଯଥେଷ୍ଟ
baatmatkaro,ବାଟମାଟକାରୋ |
donottalktome,ମୋ ସହ କଥା ହୁଅ ନାହିଁ
enuf,enuf
chipak,ବାଡି
chaep,ଚାପ୍
suspect,ସନ୍ଦିଗ୍ଧ
shak,ସନ୍ଦେହ |
shaq,shaq
otherwoman,ଅନ୍ୟ ମହିଳା
suspicion,ସନ୍ଦେହ
bolte,କହିବାକୁ
kaho,କାହୋ |
boltenahi,boltenahi
ussi,ପୋକ
suspicious,ସନ୍ଦେହଜନକ |
jealousy,ealous ର୍ଷା
envy,vy ର୍ଷା
jellyfish,ଜେଲିଫିସ୍ |
j,j
jaoussisebaatkaro,ଜୋଶିସ୍ କଥାବାର୍ତ୍ତା |
talkin,କଥାବାର୍ତ୍ତା |
talkingto,ସହିତ କଥାବାର୍ତ୍ତା
ex,ଉଦାହରଣ
enquiry,ଅନୁସନ୍ଧାନ
uthaya,ଉଠାଯାଇଛି
tumahara,ତୁମର
phonebusyktyhai,phonebusyktyhai
much,ବହୁତ
reply,ଉତ୍ତର ଦିଅ
whusuchlatereply,whusuchlatereply
doin,doin
doingwhat,ଯାହା କରୁଛି
abhikyakarraheho,ପ୍ରତିକ୍ରିୟାଶୀଳ |
recharge,ରିଚାର୍ଜ
kara,ଠାରୁ
karadu,କରାଡୁ |
talktime,କଥାବାର୍ତ୍ତା ସମୟ |
nazar,ନିଜାର
lage,ଅବସ୍ଥାନ
agarbatti,ଅଗରବତୀ |
kala,ଅଲଗା
kalatika,କଳା ଗ୍ୟାଲେରୀ
tika,ଥିଲା
bhej,ପଠାନ୍ତୁ |
bhejo,ପଠାନ୍ତୁ |
send,ପଠାନ୍ତୁ
message,ବାର୍ତ୍ତା |
msg,msg
text,ପାଠ
lovenot,lovenot
petal,ପୁଷ୍ପ
lovemelovemenot,lovemelovemenot
detective,ଗୁପ୍ତଚର
detect,ଚିହ୍ନଟ କର |
conflict,ବିବାଦ |
clash,ସଂଘର୍ଷ |
fightforyou,ଯୁଦ୍ଧ
kha,ଖା
didueat,didueat
fruits,ଫଳ
khanakhaliya,ଖାନଖଲିଆ |
callmena,callmena
telephone,ଟେଲିଫୋନ୍ |
dial,ଡାଏଲ୍ କରନ୍ତୁ |
ayababy,ayababy
whyareyouignoring,ଆପଣ କାହିଁକି ଅବହେଳା କରୁଛନ୍ତି?
ignoremar,ଅବହେଳା
da,ର
phuck,ଫକ୍
fuq,ଉପରେ
dafuq,dafuq
daphuk,ଦଫାକ୍ |
daphuck,daphuck
phucktard,phucktard
fucktard,fucktard
gali,ହୋଇପାରେ |
gaali,ଅପବ୍ୟବହାର |
midfinger,ମିଡଫିଙ୍ଗର |
middlefinger,ମିଡଫିଙ୍ଗର |
phucking,ଚୋରି
fuckin,ଫୁକିନ୍
fucking,fucking
phucku,ଫୁକୁ
phuckyou,phuckyou
fucku,ଫୁକୁ |
fuckyou,fuckyou
phuckoff,phuckoff
fuckoff,fuckoff
fuqoff,ଅନ୍ ଅଫ୍ |
FO,FO
phuckmylife,phuckmylife
fuckmylife,fuckmylife
phuckit,phuckit
fuckit,fuckit
phuckeverything,phuckeverything
fuckeverything,fuckeverything
wtf,wtf
watdafuq,ତୁମ ପାଇଁ ଅପେକ୍ଷା କର |
whatthefuck,କଣ
whatthephuck,whatthephuck
handsintheair,ହ୍ୟାଣ୍ଡସାଇନ୍
despair,ନିରାଶ
ohh,ଓହ ।।
o,େଯମାେନ
ohphuck,ଓହଫୁକ୍ |
ohfuck,ଓହଫୁକ୍ |
phucks,phucks
given,ଦିଆଯାଇଛି
nophucksgoven,nockcksgoven
nofucksgiven,nofucksgiven
none,କିଛି ନୁହେଁ |
holy,ପବିତ୍ର
holyphuck,ହୋଲିଫକ୍ |
holyfuck,Holyfuck
falling,ପଡିବା
fallinginlove,ପ୍ରେମରେ ପଡିବା
fallingforyou,ପତିତପାବନ
luvu,luvu
loveyou,ତୁମକୁ ଭଲ ପାଏ
luvubaby,luvubaby
loveyoubaby,loveyoubaby
babay,ବାବୁ
luvyou,luvyou
humesha,ସର୍ବଦା |
willloveyouforever,willloveyouforever
always,ସବୁବେଳେ
eternal,ଅନନ୍ତ
true,ସତ
truelove,ସତ ପ୍ରେମ
tumhara,ତୁମର
alwaysyours,ସବୁବେଳେ
i do,ମୁ କରେ
donot,କର ନାହିଁ
idonotwanttoloseyou,idonotwanttoloseyou
alwaysthereforyou,ସର୍ବଦା |
mine,ମୋର
youaremine,ତୁମେ ମୋର
you are,ତୁମେ ଅଟ
urmine,urmine
where's,କେଉଁଠାରେ ଅଛି
melt,ତରଳ
youmeltmyheart,youmeltmyheart
yu,ସହିତ
allyouneedislove,ଆପଣଙ୍କୁ କେବଳ ପ୍ରେମ ଦରକାର
umnrella,ଛତା
sorrybaby,ଦୁ sorry ଖିତ
sowwi,sowwi
stole,ଚୋରି କଲା |
stolemyheart,ଚୋରି
stealmyheart,ଚୋରୀ
xoxoxo,xoxoxo
hugsandkisses,hugsandkisses
iluvyou,iluvyou
iluvu,ହ୍ରାସ
emotion,ଭାବନା
thewoman,ସ୍ତ୍ରୀ
mutitask,ମଲ୍ଟିଟାସ୍କ |
multitasking,ମଲ୍ଟିଟାସ୍କିଂ |
homemaker,ଗୃହ ନିର୍ମାଣକାରୀ
bossifthehouse,bossifthehouse
career,ବୃତ୍ତି
iamateacher,ମୁ ଜଣେ ଶିକ୍ଷକ
blackboard,ବ୍ଲାକବୋର୍ଡ |
i'm,ମୁଁ
sportsstar,ସ୍ପୋର୍ଟସ୍ ଷ୍ଟାର୍ |
sportswoman,କ୍ରୀଡ଼ାବିତ୍
tennis,ଟେନିସ୍ |
racket,ର୍ୟାକେଟ୍
I'mawinner,I'mawinner
diva,ଡିଭା
thediva,ଥିଡିଭା |
iamthediva,iamthediva
Iamaboss,Iamaboss
Iamtheboss,Iamtheboss
girlboss,girlboss
bosslady,ବସ୍ଲାଡି
ladyboss,ଲେଡିବସ୍ |
Iamthemother,Iamthemother
mum,ମା
toddler,ଛୋଟ ପିଲା
Iamanexplorer,Iamanexplorer
adventurer,ସାହସୀ
trek,ଟ୍ରେକ୍
trekker,draws
mountain,ପର୍ବତ
mountains,ପର୍ବତଗୁଡିକ
conquer,ଜୟ କର |
iamasoldier,iamasoldier
soldier,ସ soldier ନିକ
military,ସାମରିକ
force,ବଳ
armedforce,ସଶସ୍ତ୍ର ବାହିନୀ |
rifle,ରାଇଫଲ
Iamyourinspiration,Iamyourinspiration
yogapose,ଯୋଗ ପୋଜ୍
sandel,sandel
sandal,ଚପଲ
ghora,ଘୋଡା
gaddi,ପ୍ୟାଡିଂ |
gari,କାର
sandeldekhihaimeri,ସାଣ୍ଡେଲଡାଇଖାଇମେରୀ |
horse,ଘୋଡା
horsecarriage,ଘୋଡା ଗାଡି
carriage,ଗାଡି
kangana,କଙ୍ଗନା
ranaut,ranaut
worldfamous,ବିଶ୍ୱ ପ୍ରସିଦ୍ଧ |
dabba,Dabba
dabbagul,ଡବାବାଗୁଲ୍ |
gul,ଗୁଲ୍
munnabhai,ମୁନ୍ନାଭାଇ |
tensionnahileneka,tensionnahileneka
gateway,ଗେଟୱେ
shanapatti,ସାପ ବୋର୍ଡ |
varun,varun
dhawan,ଧୱନ
thakelelog,କ୍ଳାନ୍ତ
rapchik,ରାପଚିକ୍ |
rapchikmaal,rapchikmaal
mal,ସମୟ
wah,ୱା
pili,ଦ୍ୱିତୀୟ
phokat,ଫୋକାଲ୍ |
khalipili,ଖାଲି
aweyihi,ଦୁଇଟି
thobda,ଛୋଟ
shakal,ସକାଳେ
thobra,ଭଲ
shaqal,ସ୍ ow ରବର୍ଣ୍ଣ
lookatyourface,lookatyourface
ekdumjhakas,ଏକ ink ଲକ
jhakas,ଜାକାସ୍ |
jhakkas,Jest
faadu,ଫାଦୁ |
amirkhan,Amirakan
kaltti,ମୁଁ kalten
kalti,ଦୋଷୀ
kaltimaarle,kaltimaarle
fut,ଥିଲା
phoot,ବିଭାଜନ
phutle,ଫୁଟଲି |
katle,କଟା ଉପରେ |
ja,ଏବଂ
chuna,ବାଛନ୍ତୁ
chunamatlaga,ଚୁନାମାଟଲାଗା |
shana,ଶାନା
bahutshanahairetu,ବହୁତ ସୁନ୍ଦର
bohot,ବହୁତ
chunt,କାଉଣ୍ଟର
youareclever,youareclever
dada,ଛାତି
dadagiri,ଦାଦାଗିରି |
apunksamnedadagirinahi,ଆପୁନୁସାମାଦାଦାଗିରିନାହି |
apunkadilbahutbadahai,ଅନାବଶ୍ୟକ |
dilbada,ଖାଲ |
large,ବଡ
largehearted,ବଡ ହୃଦୟ
don't,କରନ୍ତୁ ନାହିଁ |
dontangryme,dontangryme
anger,କ୍ରୋଧ
koffee,କଫି
java,ଜାଭା
baggage,ବ୍ୟାଗେଜ୍
goodbye,ବିଦାୟ
farewell,ବିଦାୟ
waitingforyou,ତୁମକୁ ଅପେକ୍ଷା କରିଛି
silent,ଚୁପ୍
mute,ମୂକ
silentmodeon,ନୀରବ
khaoge,ଖାଇବ |
kyakhaoge,ତୁମେ କଣ ଖାଇବ?
khaana,ଖାନ
khanaa,ବାକ୍ସଗୁଡ଼ିକ
menu,ମେନୁ
whatwillyoueat,whatwillyoueat
justchill,ଜଷ୍ଟିଲ୍
it'smystyle,ଏହା ismystyle
iloveshopping,iloveshopping
shoppingbags,ସପିଂ ବ୍ୟାଗ୍ |
i'mtired,ମୁଁ ଥକୀ ଯାଇଛି
iamtired,ମୁଁ କ୍ଲାନ୍ତ ଅଟେ
weary,କ୍ଳାନ୍ତ
i'msad,ମୁଁ ଦୁଃଖିତ
iamsad,iamsad
upset,ବିରକ୍ତ
depressed,ଉଦାସ
sorrow,ଦୁ orrow ଖ
sadness,ଦୁ ness ଖ
chaye,ଶି
masalachai,ମସାଲାଚାଇ |
masalatea,massatea
masalachaye,masalachaye
spice,ମସଲା |
spicedtea,ମସଲାଯୁକ୍ତ ଚା
khoke,ଖୋକେ |
khokekichai,thelove
kadakchai,କ୍ରାକଲ୍ |
kadakchaye,କ୍ରାକଲ୍ |
teaparty,ଚାମଚ
teaandcakes,ଚା ’
cuttingchai,କଟକ
cuttingchaye,କାଟିବା
chronicles,ଇତିହାସ
chaisuttachronicles,ଚା ସୂତା ଇତିହାସ
pakora,ପାକୋରା |
chairainpakora,ଚେୟାରକୁ
pakoda,ପାକୋରା |
pakoras,ପାକୋରାସ୍ |
chaikichuski,ସାଗର
chuski,ଚୁସ୍କି |
whenarewemeeting,ଯେତେବେଳେ
illcookforyou,illcookforyou
kitcen,ରୋଷେଇ ଘର
chef,ରୋଷେୟା
masterchef,masterchef
roseday,ଗୋଲାପ
happyroseday,ଖୁସି
bemyvalentine,ବେମିଭାଲେଣ୍ଟାଇନ୍ |
askout,askout
valentine,ଭାଲେଣ୍ଟାଇନ୍
dateme,ତାରିଖ
pinky,ଗୋଲାପୀ |
pinkypromise,ଗୋଲାପୀ ପ୍ରତିଜ୍ଞା
notsingle,ନୋଟିସ୍
notsinglethisyear,notsinglethisyear
vday,vday
s,s
youlookpretty,ତୁମେ ସୁନ୍ଦର ଦେଖାଯାଉଛ |
lots,ବହୁତ
lotsofkisses,lotofkisses
kissie,kissie
wuv,wuv
iloveyoutoo,iloveyoutoo
luvu2,le2
loveyoutoo,ମୁଁ ବି ତୁମକୁ ଭଲ ପାଏ
luvyoutoo,luvyoutoo
luvutoo,luvutoo
givemeahug,givemeahug
embrace,ଆଲିଙ୍ଗନ କର
happychocolateday,ଖୁସି
chocolates,ଚକୋଲେଟ୍
imcomingbaby,ଆସୁଥିବା
arriving,ପହଞ୍ଚିବା
reaching,ପହଞ୍ଚିବା |
whereismygift,ଯେଉଁଠାରେ
wheresmygift,wheresmygift
happyvalentines,ଖୁସି ଭାଲେଣ୍ଟାଇନ୍ସ |
HappyValentine'sDay,ହ୍ୟାପି ଭାଲେଣ୍ଟାଇନସ୍ ଡେ
Valentine's,ଭାଲେଣ୍ଟାଇନ୍ସ
ValentinesDay,ଭାଲେଣ୍ଟାଇନ ଦିବସ
happyvalentnes,ଖୁସି ଭାଲେଣ୍ଟାଇନ୍ସ |
togetherforever,ଆଜୀବନ ସାଥିରେ
teddy,ଟେଡି
teddyforyou,teddyforyou
teddybear,ଖେଲନା ଭାଲୁ
stuffedtoy,ଷ୍ଟଫ୍ ଖେଳନା |
teddyday,teddyday
happyteddyday,ଶୁଭେଚ୍ଛା
whos,whos
whosupforpizza,whosupforpizza
topping,ଟପିଙ୍ଗ୍
base,ଆଧାର
italian,ଇଟାଲୀୟ
whot,whot
whattoeat,whattoeat
eatwhat,ଖାଇବା
cell,କକ୍ଷ
phoneisonlowbattery,ଫୋନିସନ୍ଲୋବାଟେରୀ |
lowbattery,ନିମ୍ନମାନର
batterydrained,ବ୍ୟାଟେରୀ
you'resuchasweetheart,ତୁମେ ଏପରି ପ୍ରିୟତମ
let'sketchup,ଚାଲ
catchup,ଧରି ନେବା
letuscatchup,letuscatchup |
let'sgoout,ଚାଲ ବାହାରକୁ ଯିବା |
eatout,ଖାଇବା
imcookingtonight,imcookingtonight
tonite,ଟନାଇଟ୍ |
supper,ରାତ୍ରୀ ଭୋଜନ
jk,jk
loljoking,loljoking
loljk,loljk
ilikethingshot,ilkshotshot
hawt,ବାଘ
liking,ପସନ୍ଦ
taco,ଟାକୋ |
canwetalk,ଆମେ କଥା ହୋଇପାରିବା କି
mexican,ମେକ୍ସିକାନ୍
midnight,ମଧ୍ୟରାତ୍ରି |
midnyt,midnyt
midnite,ମିଡନାଇଟ୍ |
midnightsnack,ମଧ୍ୟରାତ୍ରି
midnightsnacktime,ମଧ୍ୟରାତ୍ରି
aj,ଏବଂ
ajto,କବାଟ
aajtoh,ମାଜିଷ୍ଟ୍ରେଟ୍
bajaa,ବାଜା
ajtobajaadungi,ଅଜଟୋବାଜାଡୁଙ୍ଗୀ |
radio,ରେଡିଓ
udaa,ଯଥା
udaadiyapatang,ଫ୍ଲିପାଣ୍ଟ |
udadiyapatang,ଏହା ଠିକ ଅଛି |
lapet,ଲାପେଟ୍
lapetliya,ଲା ପେଟ୍ରିଆ |
kaipoche,କାଇପୋଚେ |
dheel,ନୃତ୍ୟ
dheeldedheel,ସନ୍ତୁଳନ
humdildechukesanam,humdildechukesanam
phat,phat
phatgayi,ବିସ୍ଫୋରଣ
varundhawan,varundhawan
pench,ପେଞ୍ଚ
twist,ମୋଡ଼
ajapenchlada,ajapenchlada
atak,ଆକ୍ରମଣ
atakgayi,ଏକ ସେବାରେ
kanni,କେନସ୍
kannide,କାନାଇଡ୍ |
manjha,ମଞ୍ଜା
kachamanjha,କଞ୍ଚାମାଲ |
manjhakachhahai,ଏକ ମଞ୍ଚ ଅଟେ |
string,ଷ୍ଟ୍ରିଙ୍ଗ୍
kaata,କାଟି ଦିଅ |
kata,ଶବ୍ଦ
merakyukata,ଖୁସି ହୁଅ
patangkat,ମାନ୍ୟତା
bhaaag,ଅଂଶ
seahorse,ସମୁଦ୍ର
kalkikoechlin,kalki koechlin
cheese,ପନିର
cheesebadihaimastmast,cheesebadihaimastmast
mastmast,ମାଷ୍ଟମାଷ୍ଟ
raveenatandon,ରାବଣ
runninglate,ଚାଲୁଥିବା
elephant,ହାତୀ
wakrup,ୱାକ୍ରୁପ୍ |
timetowakeup,timetowakeup
chicken,ଚିକେନ୍
ohmygod,ହେ ଭଗବାନ
ohemmgee,ohemmgee
khoonpijaunga,ରକ୍ତସ୍ରାବ ହେବ |
