bobble,ધક્કો મારવો
blanks,બ્લેન્ક્સ
bedtime,સૂવાનો સમય
peecha,પીછો
following,નીચેના
world,દુનિયા
duniya,વિશ્વ
ladh,કહ્યું હતું
jaaunga,જશે
obssessive,બાધ્યતા
possessive,હસ્તક
laila,લૈલા
chillaunga,લાગણીહીન યુવાન
faad,ફાડવું
tearing,ફાડવું
manboy,manboy
raveena,રવિના
tandon,જળાશય
haaye,જોડો
karant,વર્તમાન
current,વર્તમાન
marti,marti
on the floor,ફ્લોર પર
fall,પતન
fell,પડી
ladaye,લડાઈ
mujhse,મારી પાસેથી
fraanship,ફ્રેનશિપ
karge,ચપળ
propose,દરખાસ્ત
proposing,દરખાસ્ત
palat,મહેલ
idhar,અહીં
varun dhawan,વરુણ ધવન
deewana,ક્રેઝી
gaana,ગીત
bajadu,બજાડુ
gaaana,જાઓ
chalogi,તમે ચાલશો?
chalegi,દોડશે
date,તારીખ
date night,તારીખ રાત
tumko,તમને
naa,ના
bhool,ભૂલ
payenge,મળશે
sword,તલવાર
samurai,સમુરાઇ
lunga,લાંબા
gangs of wasseypur,વાસીપુરની ગેંગ્સ
height kam,heightંચાઈ કામ
jyada,વધુ
balwant,બળવંત
rai,રાય
defense,સંરક્ષણ
mujhe,હું
dila,દિલા
lagta'hai,લાગે છે
tujhe,તમને
value,કિંમત
ct,સીટી
attacking,હુમલો
aati,આવો
khandala,ખંડાલા
smiling,હસતા
propoing,દરખાસ્ત
offer,ઓફર
offering,તક
humse,અમારા તરફથી
dushmani,દુશ્મન
khatra,ભય
enemy,દુશ્મન
enemies,દુશ્મનો
danger,ભય
warning,ચેતવણી
dangerous,ખતરનાક
warn,ચેતવણી
atta,એટા
maajhi,માજી
satakli,શટલ
ajay,અજય
devgan,દેવગણ
singham,સિંઘમ
ghuma,વળી જતું
ne,નથી
garba,ગરબા
gujju,ગુજ્જુ
gujarati,ગુજરાતી
chaapli,ખુશામત
chaniya,ચણીયા
choli,ચાલો
lehenga,લેહેંગા
dod,ડોડ
dayi,ફ્રેશમેન
gujarat,ગુજરત
bes,જસ્ટ
beth,બેથ
shut up,ચુપ થાઓ
now,હવે
guju,ભૂતપૂર્વ નિવાસસ્થાન
shri,શ્રી
gujurati,ગુજરાતી
dancer,નૃત્યાંગના
baka,કદાચ
I love you,હું તને પ્રેમ કરું છુ
hu,તે છે
tane,અનાજ
karu,પ્રકાશ
chu,ચૂ
giving,આપવું
aavjo,આવજો
ok bye,ઢીક છે આવજો
thi,પરીક્ષા
woh,વહુ
issues,મુદ્દાઓ
nakhre,તાંત્રણા
insecure,અસુરક્ષિત
moti,વિચલિત
girlfrend,ગર્લફ્રેન્ડ્સ
tha,કરશે
doubt,શંકા
unavailable,અનુપલબ્ધ
reachable,પહોંચી શકાય તેવું
diet,આહાર
apple,સફરજન
dieting,પરેજી પાળવી
thin,પાતળા
slim,નાજુક
workig out,બહાર કામ
dresses,કપડાં પહેરે
dresss,કપડાં પહેરે
pehnu,pehnu
suggest,સૂચન
sunglasses,સનગ્લાસ
heartache,હૃદય પીડા
heartbreak,હાર્ટબ્રેક
toota,પેદા કરવા માટે
tears,આંસુ
aasu,સાસુ
space,જગ્યા
crossed feet,ક્રોસ ફીટ
Naam,નામ
Jalebi,જલેબી
sweetshop,મીઠાઈની દુકાન
gol,ધ્યેય
seedhi,સીડી
icecream,આઈસ્ક્રીમ
strawberry,સ્ટ્રોબેરી
flavours,સ્વાદો
sundae,sunde
choco,ચોકો
chocolate,ચોકલેટ
butterscotch,બટરસ્કોચ
mango,કેરી
softy,નરમ
garam,મીઠું
pyaali,કપ
pyali,કપ
tapri,ટપરી
stall,સ્ટોલ
salman,સલમાન
kadak,કડક
bhunta,શેકેલી
corns,મકાઈ
corn,મકાઈ
cob,કobબ
bhutta,ભુતા
baarsh,બાર્શ
item,વસ્તુ
wala,કાંઈ નહીં
seller,વિક્રેતા
selling,વેચાણ
sell,વેચો
vada,જુઓ
paz,પાઝ
relish,સ્વાદ
kind,દયાળુ
triangle,ત્રિકોણ
samosa,સમોસા
evening,સાંજ
chutney,ચટણી
sauce,ચટણી
plate,પ્લેટ
paranthas,પરંથાઓ
aloo,આલૂ
gobhi,કોબી
paneer,પનીર
mix,મિશ્રણ
mooli,મોલ્સ
potato,બટાકાની
cauliflower,ફૂલકોબી
cheeze,ચીઝ
achaar,આચાર
pickle,અથાણું
server,સર્વર
hiaya,કિંમત
gappe,ચેટરબોક્સ
spicy,મસાલેદાર
yummy,સ્વાદિષ્ટ
yum,યમ
chaat,ચાટ
chaat wala,ચેટ કરો અને નહીં
ek plate,એક પ્લેટ
dosa,પાપ
masala,મસાલા
psicy,psicy
sambhar,સંગ્રહ
coconut,નાળિયેર
madras,મદ્રાસ
cafe,કેફે
folk,લોક
spoon,ચમચી
lassi,લસ્સી
jaisi,જેમ
apun,અપૂન
ishtyle,ઇશટાયલ
gangster,ગેંગસ્ટર
fashion,ફેશન
manner,રીત
thakela,થાકેલા
thakele,કંટાળી ગયો
loser,હારેલો
uninteresting,અનિશ્ચિત
lousy,કર્કશ
macho,માચો
tapori,ટેપોરી
broad,વ્યાપક
aja,માત્ર
abhi,હવે
slap,થપ્પડ
chamaat,મોલ્સ
du,માંથી
showing,દર્શાવે
to slap,થપ્પડ મારવી
thappad,થપ્પડ
try,પ્રયાસ કરો
shanpatti,ચંપાચે
shaanpatti,સાપ કરડવાથી
jarela,જરેલા
shahrukh,શાહરુખ
khopche,ગોળી
lu,રસ્તો
knife,છરી
loafer,રખડુ
mumbaiker,મુંબઈ
mumbai,mumbai
corner,ખૂણા
locha,લોચા
gadbad,ગડબડ
waat,શું
hoyla,આજે
rehen,રહો
destined,નિયત
lawn,લnન
mate,સાથી
destiny,નિયતિ
ending,અંત
winking,આંખ મારવી
cry,રુદન
together,સાથે
lonely,એકલવાયા
having,કર્યા
ever,ક્યારેય
stomach,પેટ
rofl,rofl
delicious,સ્વાદિષ્ટ
meal,ભોજન
spent,ખર્ચ કર્યો
same,સમાન
passion,ઉત્કટ
common,સામાન્ય
sold,વેચ્યો
fix,ઠીક કરો
amchi,હું ચાલું છું
torch,મશાલ
mashaal,મશાલ
jeetesh sharma,જીતેશ શર્મા
swing,સ્વિંગ
bumrahaang,bumrahaang
jaspreet bumrah,જસપ્રીત બુમરાહ
bumrah,બુમરાહ
paltan,પલટન
lendl simmons,lendl સિમોન્સ
lendl,ઉધાર
simmons,સિમન્સ
group hug,જૂથ આલિંગન
nitish rana,નીતીશ રાણા
rana,રાણા
hitman,હિટમેન
rohit,રોહિત
gods,દેવતાઓ
own,પોતાના
bhajji,ભજ્જી
firki,સ્પિન
spinner,સ્પિનર
aicha,આઈશા
gho,ડી
vaat,વચનો
lagli,લગલી
lag gayi,સગાઈ થઈ ગઈ
bolt,બોલ્ટ
wicket,વિકેટ
tim southee,ટિમ સોઉથી
mall,મોલ
chopping,અદલાબદલી
bought,ખરીદી
bakwas,કચરો
rubbish,કચરો
electricity,વીજળી
andhera,શ્યામ
shanti,શાંતિ
shaanti,શાંતિ
matka,માતા
won,જીત્યો
jeet,વિજય
gaye,ગયો
batao,મને કહો
banda,બેન્ડ
mast,માસ્ટ
dungi,પટ્ટાઓ
shoot,શૂટ
shooting,શૂટિંગ
pistol,પિસ્તોલ
sudhrega,સુધરશે
indian man,ભારતીય માણસ
naari,બ્રોક
aurat,જનનાંગો
sev,સેવ
parmal,parmal
muh,મુહ
bhiya,વાયા
pani puri,પાણીની પુરી
ram,રામ
bachche,બાળકો
bache,ડાબે
padegi,પડી જશે
jootey,પગરખાં
padenge,હશે
beating,ધબકારા
slippers,ચપ્પલ
jhoota,જૂઠું
lie,જૂઠું બોલો
cha,ના
awesome,અદ્ભુત
were,હતા
babaji,બાબાજી
thullu,થ્લુ
mandir,મંદિર
danda,બોલ્ડ
khayega,ખાશે
ayega,આવશે
majaa,માજા
chill pill,ચિલ ગોળી
rakh,રાખો
muffler,મફલર
khilo,મોર
canteen,કેન્ટીન
bore,બોર
banaya,બનાવેલ છે
kajal,કાજલ
faila,ફાઇલ
smudge,ધસારો
conscious,સભાન
looks,દેખાય છે
marungi,મરૂંગી
studies,અભ્યાસ
loads,લોડ
assignment,સોંપણી
papers,કાગળો
maah,મહિનો
rules,નિયમો
binoculars,દૂરબીન
checking out,તપાસી રહ્યું છે
pehna,પહેર્યું
achchi,ક્ચ્ચી
achi,સારું
doll,dolીંગલી
harley quinn,હાર્લી ક્વિન
suicide squad,આપઘાત ટુકડી
hammer,હથોડી
dollface,ડોલ્ફેસ
skeletor,હાડપિંજર
Power Sword,પાવર તલવાર
he man,તે માણસ
Him,તેને
mercy,દયા
catwoman,કેટવુમન
suicide,આત્મહત્યા
squad,ટુકડી
coyote,કોયોટે
roadrunner,Roadrunner
wolf,વરુ
Gangreen Gang,ગેંગરીન ગેંગ
villains,વિલન
hehehe,hehehe
pease,પીસ
afford,પરવડી
frowning,frowning
bunk,બંક
lecture,વ્યાખ્યાન
skip,અવગણો
easy,સરળ
school bag,દફતર
drop,છોડો
class test,વર્ગ પરીક્ષણ
disappointed,નિરાશ
nap,નિદ્રા
jana,જાન
assignments,સોંપણીઓ
chopra,ચોપડા
mona,મોના
sona,અંત
mona darling,મોના ડાર્લિંગ
ajit,અજિત
robert,રોબર્ટ
briefcase,બ્રીફકેસ
khulla,ખુલ્લા
bulla,બુલા
Danny Denzongpa,ડેની ડેન્ઝોંગ્પા
danny,ડેની
maut,મૃત્યુ
death,મૃત્યુ
threat,ધમકી
shakti,શક્તિ
kapoor,કપૂર
bachayega,બચાવશે
teja,ટાઇલ
andaaz,અંદાજ
mark,ચિહ્ન
kidhar,જ્યાં
gulshan grover,ગુલશન ગ્રોવર
amjad khan,ખાનનો મહિમા
dar,પરંતુ
samjho,તે સમજો
mar,માર્
mogambo,મોગમ્બો
mr,શ્રીમાન
mister,મિસ્ટર
amrish puri,અમરીશ પુરી
dhak,તે
gogo,ગોગો
go go,જાઓ જાઓ
andaz,andaz
crime,ગુનો
baarish,બારીશ
raindance,raindance
biker,બાઇકર
2017,2017
new year,નવું વર્ષ
no plans,કોઈ યોજના નથી
to do,શું કરવું
year,વર્ષ
ahead,આગળ
nye,નવી
new,નવું
nye wishes,અન્ય શુભેચ્છાઓ
new year wishes,નવા વર્ષની શુભેચ્છાઓ
happy new year,સાલ મુબારક
resolution,ઠરાવ
resolutions,ઠરાવો
welcoming,સ્વાગત
bitching,બિચિંગ
whinning,whinning
burai,દુષ્ટ
organise,ગોઠવો
organize,ગોઠવો
wardrobe,કપડા
room,ઓરડો
join,જોડાઓ
next,આગળ
pose,દંભ
asan,સરળ
asana,આસન
yoga pants,યોગ પેન્ટ
patli,પાતળા
hongi,હશે
become,banavu
weighing,વજન
scale,સ્કેલ
wazan,વાઝન
wajan,ફ્રાઈંગ પાન
vajan,મને જરૂર છે
credit,જમા
chuka,ચાઇનીઝ
hanger,લટકનાર
wakeup,ઉઠો
early,વહેલી
suraj,સૂરજ
uthunga,વધશે
walon,રાશિઓ
walo,વાહ
parent,માતાપિતા
calling,ક callingલિંગ
mota,જ્યારે
fatso,fatso
motapa,જાડાપણું
ghata,માઇનસ
chod,ચાલી રહેલ
chodd,રજા
khaunga,ખાશે
choices,પસંદગીઓ
vegies,શાકાહારી
vegetables,શાકભાજી
burger,એક વાનગી
weighing scale,વજન ધોરણ
machine,મશીન
watch,જુઓ
ghataunga,ઘટશે
karunga,કરશે
haanikarak,હાનિકારક
workingout,બહાર કામ
sweating,પરસેવો
coach,કોચ
slapping,થપ્પડ મારી
chaar,ચાર
dangal hoga,હંગામો થશે
pehalwani,પહેલવાની
revolt,બળવો
punching,પંચીંગ
misaale,ઉદાહરણ તરીકે
example,ઉદાહરણ
motivate,પ્રેરણા
chora,રુદન
chori,ચિઓરો
aamir,આમિર
khan,ખાન
too,પણ
khus,ખુસ
khuss,ખુસ
zyada,વધુ
choriyon,ચોર
charm,વશીકરણ
shabaash,ચાબુક
saabaas,પીંજવું
sabaas,સામાન્ય
sabas,સબાસ
praising,વખાણ
choriyaa,ચોરીયા
choron,ચોર
sakshi tanwar,સાક્ષી તન્વર
wrestling,કુસ્તી
dhaakad,ગુસ્સો
geeta phogat,ગીતા ફોગાટ
hilary clinton,હિલેરી ક્લિન્ટન
whiskey bottle,વ્હિસ્કી બોટલ
miss call,ચૂકી કોલ
missed call,ચૂકી ગયેલો કોલ
bouquet,કલગી
mobile,મોબાઇલ
love letter,પ્રેમ પત્ર
single,એકલુ
chala,સરળ
hawa,હવા
eudaya,યુડાયા
marathi,મરાઠી
aii,aii
gahh,gahh
payjama,પજમા
mandali,વર્તુળ
gilr,ગિલર
mi,મારા
maratha,મરાઠા
lai,લાઇ
bhari,પૂર્ણ
kasa,કેસ
aahes,aahes
mitra,મિત્રા
maharashtra,મહારાષ્ટ્ર
pareshaan,જરૂરિયાતો તાલીમ
mana,જ્યાં
permission,પરવાનગી
bey,બેય
lot,ઘણું
loaded,લોડ
battery,બેટરી
halat,માછલી
tabiyat,આરોગ્ય
musaddi,ગ્રુબી
musaddi lal,મુસદ્દી લાલ
compaining,compaining
complain,ફરિયાદ
illegal,ગેરકાયદેસર
legal,કાયદેસર
kardo,તલવાર
file,ફાઇલ
rocket,રોકેટ
missle,મિસાઇલ
top,ટોચ
toop,ટોપ
shukla,શુક્લ
shukla ji,શ્રી શુક્લા
akhri,વાંચો
form,ફોર્મ
office office,ઓફિસ કચેરી
filling,ભરવું
yahi toh,આ તે છે
knitting,વણાટ
sewing,સીવણ
wool,.ન
mehengai,મોંઘવારી
baatein,વસ્તુઓ
clerk,કારકુન
upar,ઉપર
order,ઓર્ડર
sabko,બધાને
blackmail,બ્લેકમેલ
teach,શીખવો
sikha,શીખ્યા
jaanti,જાણો
kahenge,કહેશે
dimaag,દિમાગ
bech,Bech
booy,બૂય
dhyaan,ધ્યાન
zoned,ઝોન
shutup,શટઅપ
bolne,બીમાર
laga,તે મેળવો
zubaan,જુબન
something,કંઈક
naach,ડાન્સ
aangan,કોર્ટયાર્ડ
teda,તેથી
eent,એક
jawab,જવાબ
patthar,પથ્થર
jiski,જેની
laathi,લાકડીઓ
uski,તેના
bhains,ભેંસ
buffalo,ભેંસ
bael,બાઉલ
kauva,કાગડો
dorry,ડorryરી
saying,કહેતા
kaise,કેવી રીતે
samjahu,જૂથ
broken,તૂટી
love you,તમે પ્રેમ
huva,હૂડ
wada,વાડા
pill,ગોળી
skeleton,હાડપિંજર
kaale,સમય માં
kurte,કુર્તે
waali,પાગલ
eve teasing,પૂર્વસંધ્યા ચિંતા
bra,બ્રા
left,ડાબી
f you,એફ તમે
fuck you,તમે વાહિયાત
smoking,ધૂમ્રપાન
twenty,વીસ
somethings,સમથિંગ્સ
chiling,હુકમ
drying,સૂકવણી
nails,નખ
vanity,મિથ્યાભિમાન
adult,પુખ્ત
grownup,પુખ્ત
bajate,ટિકીંગ
raho,રહો
toofani,તોફાની
dew,ઝાકળ
mountain dew,પર્વત ઝાકળ
jhingalala,જીંગલાલા
tata sky,ટાટા આકાશ
karlo,એવું લાગ્યું
mutthi,મુઠ્ઠી
globe,ગ્લોબ
maggi,મેગી
ketchup,કેચઅપ
tomato,ટમેટા
confusion,મૂંઝવણ
cookie,કૂકી
jee,જી
lalchay,લાલચ
Alpenliebe,આલ્પાઇન પ્રેમ
daag,ડાઘ
achche,અલબત્ત
acche,સારું
dirt,ગંદકી
dust,ધૂળ
toing,toing
thumbs up,ઉત્તમ, શ્રેષ્ઠ
taste the thunder,મેઘગર્જના સ્વાદનો સ્વાદ
boondon,ટીપાં
ujala,ઉજાલા
ritesh deshmukh,રિતેશ દેશમુખ
killer,ખૂની
murder,હત્યા
psycho,મનો
once,એકવાર
sultan,સુલતાન
mirza,મિર્ઝા
accha,સારું
patekar,પાટેકર
salmaan,સ salલ્મોન
maine pyaar kiya,મને ગમ્યું
thankyou,આભાર
mr india,શ્રી ભારત
akshay,અક્ષય
kumar,કુમાર
king,રાજા
sardar,સરદાર
tension,તણાવ
lene,તેઓ કહે છે
munna,પહેલાં
munna bhai,મુન્ના ભાઈ
mbbs,એમ.બી.બી.એસ.
wanted,ઇચ્છતા
commitment,પ્રતિબદ્ધતા
srk,એસઆરકે
dilwale,dilwale
dulhaniya,નવવધૂ
jaaenge,જાએંગે
ddlj,DDLJ
dc comics,ડીસી કોમિક્સ
Superman,સુપરમેન
batman,બેટમેન
wonder woman,અજાયબી મહિલા
bleed,લોહી વહેવું
iron man,લોહપુરૂષ
ironman,લોહપુરૂષ
shawarma,shawarma
suit up,અનુકૂળ
amercia,અમર્સીયા
black widow,કાળી વિધવા
puchha,પૂછ્યું
whoaskedyou,જેણે તમને પૂછ્યું
dumb,મૂંગું
brains,મગજ
lackofbrains,અભાવ
disapproval,અસ્વીકાર
whatdoyouwanttosay,શું છે
explain,સમજાવો
explainyourself,સમજૂતી
kehnakyachahteho,કેહનાક્યશ્તેહો
getlost,ચાલ્યો જા
bhag,ભાગ
buzzoff,buzzoff
classbunk,વર્ગબંક
dayoff,ડેઓફ
don'tbuttin,ડોટબટ્ટિન
interrupt,વિક્ષેપ
bichmeinmatbol,bichmeinmatbol
growup,વૃદ્ધિ
youarestillakid,youarestillakid
talktomyhand,તાલક્ટોમિંડ
homescience,હોમસાયન્સ
housekeeping,ઘરકામ
kapilsharma,Kapilaksarama
getreadyquick,getreadyquick
maggigetsreadyquicker,મેગિગેટ્સડ્રીક્વીકર
maang,માંગ
marriage,લગ્ન
demands,માંગ
shoppingcart,શોપિંગકાર્ટ
beforeandaftermarriage,લગ્ન પહેલાં અને પછી
jaanmatjao,જન્મ લેવો
jaanmatkhao,કીલ
idiots,મૂર્ખ લોકો
kingofidiots,કિંગોફિડિઓટ્સ
normal,સામાન્ય
psychohusband,સાયકોહુસબન્ડ
happywomanisamyth,સુખી સ્ત્રી
adrak,આદુ
tanuwedsmanu2,tanuwedsmanu2
unevengrowth,અનવેન્ગ્રોથ
growth,વૃદ્ધિ
wifi,વાઇફાઇ
wifilove,wifilove
lovewithoutlimits,lovewithoutlimits
limitlesslove,અમર્યાદિત
c'estlavie,ઇટલાવી
it'slife,તે જીવન છે
adversesituation,પ્રતિકૂળતા
everymomentmatters,Everymomentmatters
eachmoment,Everymoment
yolo,યોલો
fightolive,લડાયક
live,જીવંત
outdreamyourself,તમારી જાતને બહાર કાreamો
dream,સ્વપ્ન
dreambig,ડ્રીમબીગ
ambition,મહત્વાકાંક્ષા
ambitious,મહત્વાકાંક્ષી
sayyes,સાયીઝ
sayyestonewadventures,કહે છે
newadventures,newad સાહસો
adventures,સાહસો
adventure,સાહસ
wordhard,વર્ડહાર્ડ
workhardinsilence,વર્કહાર્ડિન્સિલન્સ
hardwork,મહેનત
goodthings,Gudamtings
patience,ધૈર્ય
bebold,bebold
beyou,બેયો
beboldbeyou,beboldbeyou
selflove,સ્વ પ્રેમ
confidentinyourskin,આત્મવિશ્વાસ
edit,ફેરફાર કરો
editlifefrequently,ફેરફાર કરો
editlife,ફેરફાર કરો જીવન
dynamic,ગતિશીલ
baapkosikhayega,બાપકોસિખેગા
ranveer,રણવીર
ranveersingh,રણવીર સિંઘ
don'tteachme,notteachme
preach,ઉપદેશ
goodshitbruh,ગુડશિટબૃહ
nicework,સરસ કાર્ય
keepitup,ચાલુ રાખો
overconfidence,વધારે વિશ્વાસ
whatdoyouthinkofyourself,શું છે
preity,પ્રાધાન્ય
preityzinta,પ્રીતિઝિન્ટા
overestimation,અતિશયોક્તિ
don'toverestimateyourself,notoverestimateyourself
don'tirritateme,મને ખીજવશો નહીં
dimagkadahi,dimagkadahi
agitate,ઉશ્કેરવું
beta,બીટા
pitega,હરાવશે
pita,પિટા
betatupitega,બીટાતુ બેટેગા
rebuke,ઠપકો
chide,ખાય છે
nanapatekar,નાનપટેકર
baapkonhai,બાપકોન
beti,હંમેશા
tujantahai,તુજન્તાહા
tujantanahinmerabaapkonhai,તું મારો દીકરો નથી
deepika,ડીપિકા
deepikapadukone,દીપિકાપદુકોણ
salmankhan,Calmantn
bhagwan,ભગવાન
bhagwanmujheuthalo,ભગવાન મને ઉછેરે છે
mela,મેઘા
mele,મારા
PDA,પીડીએ
melebabaunekhanakhaya,મને મરી જવું
chalbetakatle,ચલબેટકાસલ ખાતે
arjun,અર્જુન
arjunkapoor,અર્જુનકપૂર
tevar,ભ્રમિત
mahlyfmahrulezz,mahlyfmahrulezz
mah,માહ
lyf,દવાઓ
alia,આલિયા
aliabhatt,અલીઅભટ્ટ
shaandar,શાનદાર
zabardast,ઝબર્ડાસ્ટ
superb,શાનદાર
yejawanihaideewani,યેન્થેસિઝન
mujhetumsepyarhojayegaphirse,હું તમારી પાસેથી
loveagain,ફરીથી પ્રેમ
hopelesslove,નિરાશ પ્રેમ
bollywoodmother,બોલીવુડ માતા
deewar,દિવાલ
shashikapoor,શશીયા ગરીબ
merepaasmaahai,આરામ કરો
ego,અહંકાર
egohurt,egohurt
prakashraj,પ્રકાશ
egonahihurtkarneka,અહીં રહો
don'thurtmyego,don'thurtmyego
karanarjun,કર્ણાર્જુન
merekaranarjunayenge,એક ચમત્કાર છે
rakhee,રાખી
himmat,હિંમત
himmatbatayinahidikhayijatihai,હિંમત
ajaydevgn,અજાદેવગન
onceuponatimeinmumbai,સ્યુપોનાચી મુખ્ય મુંબઇ પર
courage,હિંમત
confidence,આત્મવિશ્વાસ
filter,ફિલ્ટર
abhaydeol,અભયોડોલ
afilterisnecessary,અસ્પષ્ટ
bhaiofbollywood,bhaiofbollywood
chaltihaikya9se12,9 સી 12 ખસેડવું
nausebara,નૌસબારા
judwaa,જુડવા
let'sgo,ચાલો જઇએ
achahai,ભલે
achahaibahutachahai,અચ્યભૂતાચહા
dates,તારીખ
tareekh,તારીખ
tareekpetareekh,તારીકપિતારીખ
lawyer,વકીલ
kanoon,કાયદો
damini,દામિની
courtroom,કોર્ટરૂમ
Frankenstein,ફ્રેન્કેસ્ટાઇન
dimaagmeinchemicalocha,મગજમાં મગજ
chemicallocha,કેમિકલોચા
doomsday,કયામતનો દિવસ
grimreaper,ભયાવહ
grave,કબર
ajterimautaayihai,અજતેરિમૌતાયે
khoon,લોહી
khoonkyapyasa,ખૂંક્યપ્યાસ
bloodthirst,લોહીવાળું
thirstyforblood,તરસ્યા
screw,સ્ક્રૂ
screwdheela,સ્ક્રુધિલા
dimwitted,ડીમવિટ્ડ્ડ
terascrewdheelahai,terascrewdheelahai
youaredumb,youaredumb
dilchuraneayihu,રસપ્રદ
churail,ચૂડેલ
pirate,ચાંચિયો
bacho,બચાવી શકાય
dekhobachhomummyaagayi,દેખોબાચ્છોમમ્યાગાયિ
egypt,ઇજિપ્ત
mummified,મમ્મીફાઇડ
kaddu,કોળુ
pumpkin,કોળું
merakaddukhale,મીરકદુખાલે
junglee,જંગલી
wild,જંગલી
iamwild,iamwild
mainjungleehoon,મેનુજુગલીહોન
yahoo,યાહુ
blackmagic,કાળો જાદુ
kalajadu,kalajadu
merakalajaduchalgaya,મેરકલાજદુચલગાયા
mxagic,mxagic
impressedyou,પ્રભાવિત
bhejafry,માંસ
zobie,ઝોમ્બિઓ
ilovebhejafry,લવબર્ડ
brainfry,brainfry
bheja,મોકલેલો
dimagchat,મન
teradimagchatlunga,teradimagchatlunga
iwillirritateyou,iwillirritateyou
cholikepeeche,cholikepeeche
madhuri,માધુરી
khalnayak,ખલનાયક
trymeout,ટ્રાયઆઉટ
muscleman,સ્નાયુબદ્ધ
wannatrymeout,wannatrymeout
askingout,પૂછવું
tryme,ટ્રાઇમ
let'stalkaboutme,ચાલો
narcissism,માદક દ્રવ્ય
selfobsession,આત્મવિલોપન
shameonyou,તમને શરમ આવી જોઈએ
bachelor,સ્નાતક
shameonyougirlsiamstillabachelor,શરમનાઉગર્લિયમ્સિસ્ટિલાબેચેલર
bechelor,બેચલર
bachelordude,સ્નાતક
iampretty,હું સુંદર છું
beingacrime,બિંગક્રાઇમ
arrestme,ધરપકડ
ifbeingsexyisacrime,ifbeingsexyisacrime
iloveyou,હું તને પ્રેમ કરું છુ
iloveyoubaby,iloveyoubaby
let'shitthegymtogether,ચાલો
hitthegym,hitthegym
gymtogether,વ્યાયામ
eatme,મને ખાય
youcaneatme,youcaneatme
youcaneatmefordinner,youcaneatmefordinner
devour,ખાઈ લેવું
wannagoonaride,વાનાનાગુનારીડે
wannago,વાન્નાગો
biking,બાઇકિંગ
bikeride,Bikeride
cominglate,કમલેટ
imightbelatebuti'mlookinggood,imightbelatebuti'mlookinggood
lookinggood,સારા લાગો છો
barsoramdhasakese,બારસોરામધકસે
barso,વરસાદ પડ્યો
puddle,ખાબોચિયું
tiptip,ટાઈપ ટાઇપ
tiptipbarse,ટિપ્ટી બાર
tiptipbarsa,tiptipbarsa
drizzle,ઝરમર વરસાદ
danceintherain,ડાન્સિથેરિન
let'sdanceintherain,ચાલો
itwentfloating,itwentfloating
floating,તરતા
paperboat,કાગળની બોટ
flaoting,તરતા
underthecloudysky,અન્ડરહેક્લોડિસ્કી
cloudy,વાદળછાયું
bench,બેંચ
iloverain,ઇલોવેરેન
rains,વરસાદ
dumdum,ડમડમ
dumumdigadiga,સ્ત્રી
rainbow,સપ્તરંગી
chhata,છત્ર
chata,ઝૂંપડી
chatabhulgaya,આનંદિત
chatalanabhoolgaya,ચતલંગલય
rainyday,વરસાદી દિવસ
rainy,વરસાદની
rainydayandtea,વરસાદી
indoor,ઇન્ડોર
indoors,ઘરની અંદર
ayasawan,ayasawan
ayasawanjhoomke,સરળ
splash,સ્પ્લેશ
aajfootballmatchhoga,જાજફૂટબલામ રવાના થશે
footballmatch,ફૂટબોલ મેચ
rainfootball,રેનફૂટબ .લ
outdoors,બહાર
yaarandatashan,તે કોણ છે?
yaara,જેની
tashan,તાશન
swaadaagya,સ્વાયતતા
tastesgood,સારા સ્વાદ
thumbsup,ઉત્તમ, શ્રેષ્ઠ
punjabirocks,પંજાબીરોક્સ
attitude,વલણ
patialapeg,પેટીલાપેગ
ekekhojaye,માટે શોધ
ekekpatialapeghojaye,ekkpatialapeghojaye
peg,ખીલી
aajapartyshartykartekariye,કૃપા કરી કોઈ પાર્ટી કરો
let'sparty,ચાલો
partysharty,partysharty
horkihaal,ઉપસર્ગ
howareyou,તમે કેમ છો
hru,રમત
kaiseho,કેવી છે
haalchaal,આનયન સ્કેલ
chettiekjhappipa,Cettiekjakappippa
jhappi,આલિંગન
hugme,hugme
hugmequick,hugmequick
ajabullettegedimariye,ajabulletgedimariye
roamaround,રોમારાઉન્ડ
let'sgoaround,ચાલો
ridearound,આસપાસ સવારી
beersheer,બીઅરશેર
bhabikitthehai,ભાવિ
sisterinlaw,બહેનિનલો
kahahaibhabi,તમે ક્યાં છો
balleballe,બેટ
shaadikarle,શાદીકારલે
gogetmarried,gogetmarried
getmarried,લગ્ન કરી લે
bhabi,ભાભી
bhabiji,ભાબીજી
mainhusultan,mainhusultan
iamsultan,આઈમસુલ્તાન
shades,શેડ્સ
babykobasspasandhai,બાયબોકોસ્પાસંધાય
speaker,સ્પીકર
swagatnahikarogehumara,સ્વાગત છે
swagat,સ્વાગત છે
dabangg,દબંગ
cop,કોપ
police,પોલીસ
won'tyouwelcomeme,notyouwelcomeme
jeenekehai4din,jeenekehai4din
shortlife,શોર્ટલાઇફ
4days,4 દિવસ
mujhseshaadikaroge,મારી સાથે લગ્ન કરો
toweldance,ટ towવેલન્સ
imemyself,imemyself
narcissim,આત્મરતિ
selfconfidence,આત્મ વિશ્વાસ
suited,યોગ્ય
humaapkehaikaun,અમે તમારી હાકડી
bearded,દા .ીવાળું
suspenders,સસ્પેન્ડર્સ
bodyguard,બોડીગાર્ડ
mujhparkoiehsaannakarna,મને સ્મિત આપો
