bobble,ڪوبہ
char,چار
villian,وِيلو
mukesh rishi,مڪيش رشي
mai hoon bhulla,مان وسري ويو آهيان
maine,مون کي
vitamin,وٽامن
sax,sax
khaya,ائي
shakti kapoor,شڪپور
chupu,نظر
viagra,ويگرا
calendar,ڪئلينڊر
hote,هئڻ
pote,دوست
khada,بيهڻ
hatela,دٻايو
IBU,ماءُ
will you eat,ڇا تون کائيندين
chuttiya,موڪلون
roll on floor,فرش تي رول
obvious,پڌرو
obviously,ظاهر آهي
obvio,پڌرو
no problem,ڪو مسئلو ناهي
np,مثال طور،
K,هڪ
theek hai,اھا صحيح آھي
dont know,نه knowاڻان
vapas,پوئتي
BRB,بي آر بي
be right back,جلدي واپس اڇڻ
ahem,احم
talk to you later,توسان بعد ۾ ڳالهائيندس
ttyl,ٽيٽي
only,صرف
what's up,ڇا ٿي رهيو آ
hii,هي
guffaw,گفا
FYI,فائي
kind information,مهربان معلومات
toh party,toh پارٽي
shuru,انپٽ
dhamaka,بينگ
disc,ڊسڪ
jockey,جوڪي
let's go,اچو ته هلون
supreme,وڏو
unique,منفرد
prohibited,منع ٿيل آهي
pooper,بيڪار
bring,آڻڻ
ek aur,هڪ ٻيو
one more,هڪ وڌيڪ
maro,ناسي
dum maaro,ڊيمن مين
maaro dum,منهنجو پنهنجو
dhuan,دونھون
dia,ڏينهن
chhod,ڇڏي ڏيو
impotency,بيڪار
powa,رستو
complete,مڪمل ڪيو
entire,سمورو
excitement,جوش ڪرڻ
belly,پيٽَ
belly dancer,بيلي رقاصه
bachpan,ننڍپڻ
junkie,جنکي
bacche,ٻير
mann,مان
truthful,سچو
sacchey,sacchey
sacche,pockets
tales,ڪهاڻيون
karli,ڪرلي
small,نن smallو
my homework,منهنجو هوم ورڪ
little star,نن starو تارو
drawing,ڊرائنگ
painitng,نقاشي
keh ke,ٻي صورت ۾
le li,ليلي
jhaant hai,تڪڙو آهي
thaant hai,تکي آهي
chutzpah,چوٽپا
sulphate,سلفيٽ
soo,تمام
i am waiting,مان انتظار ڪري رهيو آهيان
nobody,ڪوبه نه
cares,پرواه ڪري ٿو
concern,ڳڻتي
abe,اي
what I did,مون ڇا ڪيو
tu bhai,توهان کي آهي
brotherzoned,ڀائرن ڪيو
turn,موڙيو
cannot,نه ٿو ڪري سگهي
hamesha,هميشه
aaja,آجا
maidan,ادا
animals,جانور
will take bath,تڙ ڪندس
nahaunga,nahaunga
no water,پاڻي ناهي
nahi hai,نه آهي
anything,ڪجھ به
katti,گلم
movie,فلم
film,فلم
mr.india,مسٽر انڊيا
sharukh,وڏيرو
king khan,بادشاهه خان
gerua,چرواڪ
mohe,ڊوڙ ۾
kajol,ڪجول
phata,شگاف ٿي ويو
poster,پوسٽر
aisi,اهڙو
khushi,خوش ٿيو
bhula,وساريو ويو
yeh jawani hai deewani,هن نوجوانن کي چريو آهي
ho jayega,ڪرندي ويندي
phir se,ٻيهر
my love,منهنجو پيار
mera piya,منهنجي پيئي
zara zara,زارا زارا
touch me,مونکي ڇهو
kuch kuch,ڪجھ
happens,ٿيندو آهي
love triangle,محبت جو ٽڪنڊو
k2h2,کاڌا
lul,گدا
pk,پي
jumma,تمام گهڻو
de de,جو
na de,۾
dont give,نه ڏيو
chamatkar,تمام سٺو
karenge,ڪندا
emotional,جذباتي
atyachaar,تشدد
torture,تشدد
my hero,منهنجو هيرو
mera hero,ھيرو
main tero,مين ٽيرو
your hero,توهان جو هيرو
all is well,سڀ ٺيڪ آهي
khamosh,خاموش
khamoshi,خاموشي
shatrughan,شتروگھن
udta,erهلندڙ
jaaye,وڃ
bad bad,خراب خراب
i am bad,مان خراب آهيان
fear,خوف
darr,ڊار
lagta,لڳي ٿو
yenna,Yenna
rascal,بدمعاش
salman bhai,سلمان ڀائي
mera naam,منهنجو نالو
my name is,منهنجو نالو آهي
behen ji,ڀيچي
rishtey,لاڳاپا
relation,رشتي
hum tumhare,اسان توهان جو
lagte hain,سمجهو
hamara,اسان جو
robinhood,رابني
dabang,غلبي وارو
chulbul pandey,چولبل پانڊي
maji,پاڻي
my bae,مان
anyone,ڪو
else,ٻيو
galat,نقص
condition,حالت
tasveer,تصوير
drop dead,مئل ڇڏيو
gorgeous,خوبصورت
let me,مونکي ڇڏيو
allow,اجازت ڏيو
meant,مطلب آهي
short,مختصر
shy,شرمسار
dont be,نه ٿيو
dangerously,خطرناڪ طور تي
for you,توهان لاء
girna,پيرسن ٿيڻ
butterflies,پوپٽ
breath,ساه
breath away,ساه کڻڻ
narak,دوزخ
get lost,دفع ٿي وڃ
ever repeat,ڪڏهن ورجايو
no idea,خبر ناهي
dear,پيارا
business,ڪاروبار
move on,اگتي وڌو
awww,www
itta,شڪست
confession,اعتراف
my life,منهنجي زندگي
my heart,منهنجي دل
mera dil,منهنجي دل
lots of love,تمام گھڻو پيار
war,جنگ
possesive,possesive
tumsa,اونداهي
nahi dekha,ڏٺو نه
u r special,توهان خاص آهيو
hasi,شروع ڪر
phasee,ھڻڻ
feelings,احساسات
anytime,ڪنهن به وقت
available,موجود آهي
hoon na,هون نه
major missing,وڏي غائب آهي
heart break,دل جو ڌڙڪڻ
ladke,ڇوڪرا
chichoore,هلنگ
totta,سچ
no time,وقت ناهي
do note,نوٽ وٺو
maaro,مائن
its okay,اهو ٺيڪ آهي
pakka,بنڊل
too much,تمام گھڻو
bahot,گهڻن
booti,بوٽ
hawww,hww
not possible,ناممڪن
ho payega,قابل ٿيندو
bhavnao,جذبات
my fortune,منهنجي قسمت
kismat,شاه
chahte,چاهيو
nachoon,پيچون
dont mind,ذهن نه رک
keep trying,ڪوشش جاري رکو
kyun,ڇو
but why,پر ڇو
kisliye,ڇا لاءِ
fed up,تنگ اچڻ
gazab,بي انتها
leave me alone,مون کي اڪيلو ڇڏيو
battery low,بيٽري گھٽ آهي
discharge,نيڪال
zzzzzz,zzzzzz
dizzy,چکر آ
wopping,مارڻ
market,مارڪيٽ
spend,خرچ ڪريو
baad mein,بعد ۾
badhiya,فائيو.نائين
phati,ٽٽي ويو
padi,چانور
chalein,گڏيندا وڃون
jhakass,هونچ
bindass,بنداس
maarte,آرٽسٽڪ
khaega,کائيندو
how r u,توهان ڪيئن آهيو
idk,بُڪ
courtesy,درٻار
no thanks,نه مهرباني
haal,حالت
heya,هوءَ آهي
think of,جو سوچڻ
khudko,پاڻ
i hate you,مونکي توهان سان نفرت آهي
dikha,ڏيکاريندي
improve,بهتر ڪرڻ
tu nahi,تو نههي
sudhar,بهتر ڪرڻ
sudhregi,بهتر ڪندو
absolutely nothing,بلڪل ڪجھ نه
dekh bhai,ڀاءُ ڏسو
zyada mat,تمام گھڻو ووٽ نه ڏيو
mat bol,هو فوت ٿي ويو
dont speak,نه ڳالهايو
right now,صفا هاڻي
this,هي
chittar,چيتار
don't angry,ڪاوڙ نه ڪر
bhaad,اڻ وسنديءَ ۾
jaaa,jaaa
not invited,دعوت ڏنل ناهي
aukat,هنڌ
reh,هرڻ
tel,ٽيلي
leva,وٺندو آهي
karan,ڪاران
lagra,اسٽور
hao,سٺو
ayi,ڪوبه
shapat,اوٿ
happened,ائين ٿيو
ka ho,اندر
siya ram,هو رام
sita,ضبط ڪيو ويو
chal na,ڪابه حرڪت ناهي
bhava,باوا
uplift,مٿي وڃڻ
jaylalitha,جياليتا
punjbai,ڏنڊ ڏيڻ جي سزا
steady,مستحڪم
po,پاران
aiyoo,افسوس!
tamil,تاملي
gujrat,گجرات
business man,ڪاروباري ماڻهو
kai,۽
zhala,زالا
bongs,بينجون
tomake,توهان ڏانهن
bhalabasi,هڪ ڪمبل
appolum,اپيل
paranjille,پرانجيل
thaat,چي
gidda,Giddens
paao,حاصل ڪريو
vanakkam,وانڪڪام
homage,ڀليڪار
culture,ثقافت
sat,ويٺو آهي
sri,سري
sat sri akal,اھو سمجھ ۾ اچي ٿو
hindu,ھندو
lord,رب
cheer up,خوش رهو
chakk de,ڪي ۾
phatte,فٽ
losing,وڃائڻ
head,مٿو
programmed,پروگرام ٿيل
bot,ٻوٽو
hot-o-bot,گرم-اٽو
download,ڊائون لوڊ ڪريو
nuts,ميون
robotics,روبوٽڪس
sign in,سائن ان ڪريو
log in,اندر داخل ٿيو
my place,منهنجي جاءِ
spark,چمڪ
electric,بجلي
between,وچ ۾
circuit,سرڪٽ
wire,تار
ugta,اُٿي
kharch,خرچَ
aaga,آغا
aagyi,ٻرندڙ
password,پاسورڊ
login,لاگ ان
aage,اڳي
in future,مستقبل ۾
karna,ڇاڪاڻ ته
ghus,چڙهڻ
pc,سي
ghoonsa,ويدن
ghus ja,اندر وڃ
aalsi,لاسي
aish,گزي
tafri,طفاري
udalo,ڪامياب
atm,ايٽمي
zamane,ايرا
our times,اسان جو وقت
sangat,تمام گهڻو
asar,لالو ھليو آيو
bigadna,وضاحتي
dekhi,اچو ته ڏسو
grey,ڀورو
friday,جمع
chutti,موڪلون
mondays,سومر
weekdays,هفتيوار ڏينهن
vegeta,سبزي
saiyans,سئيان
dragon ball z,ڊريگن بال ز
I'm the prince of all saiyans,مان سڀني سيڻن جو شهزادي آهيان
huh,ها
trunks,ٽرڪنز
the future is here,مستقبل هتي آهي
I'll cut you into little pieces,مان توهان کي نن littleن ٽڪرن ۾ ڪٽيندس
super saiyan,سپر ساين
goku,گوڪو
its over 9000,ان جي 9000 کان وڌيڪ
krillin,ڪرنل
no one cares about me,ڪنهن کي به منهنجي پرواهه ناهي
saiyan,سيانان
kame haame ha,ڪام ها هي
spirit bomb,روح بم
saiyan god,سائیں خدا
kame hame ha,ها ڪم تي
double trouble,ٻٽي مصيبت
frieza,ٿڌ
you little monkey,تون نن monkeyڙو بندر
school test,اسڪول جو امتحان
nahiii,نهي
daant,ڏند
aaj toh,هڪ ٽو
interval,وقفو
fod,ٿيءُ
come here,هيڏان اچو
how's,ڪيئن آهي
been,ٿي چڪو آهي
kaisa,kaisa
journey,سفر
afternoon,منجهند
congratulate,مبارڪباد
congo,ڪانگو
pranam,لالچي
kaisi hai,ڪئين آهي
aur batao,وڌيڪ ٻڌايو
how are you doing,توهان ڪيئن آهيو
have a,Aahe moonkhe
have a good day,ڀلو ڏينهن ماڻيو
badahiya,وڏو
shubh ratri,شوب ريٽي
gd mrng,صبح جو سلام
gm,جي ايم
buttercup,ٿنڀي
theory,نظريو
big bang theory,بگ بينگ جو نظريو
tv series,ٽي وي سيريز
binge,بنگلو
binge watch,بينچي جا واچ
addiction,لت
had,ڪيو
nice to,کي سٺو
humble,عاجز
supernatural,مافوق الفطرت
chick,چاڪ
flick,چڪر ڪر
moments,لمحا
i did it,مون ان کي ڪيو
myslef,مان پاڻ
walter,والٽر
doesnt,نه آهي
does not,نه ڀو ڪري
affect,اثر انداز ڪيو
barney,بارني
stinton,اسٽيٽنٽ
legend,ڏند ڪٿا
dary,تحفا
wait for it,انتظار ڪر
how I met your mother,مان تنهنجي ماءُ سان ڪيئن مليو آهيان
himym,هنيم
judging,فيصلو ڪندي
sherlock,شرلاڪ
holmes,سوراخ
sherlock holmes,شرلاڪ ہومز
charlie,چارلي
and a half,۽ اڌ
do not,نه
tempt,لالچ
passenger,مسافر
sestra,ڀيڻ
level,سطح
monica clean,مونيڪا صاف
racheal,رچيل
Daenerys Targaryen,ڊينيرس ٽارگارين
thrones,تختيون
we are,اسان آهيون
series,سيريز
television,ٽيليويزن
saving,بچائڻ
arya,آريا
stark,ڪارو
arya stark,آريا اسٽارڪ
yigrette,يگريٽ
jon,جون
you know nothing,تون ڪجھ به نٿو اڻين
smelly cat,بدبودار ٻلي
my mother,منهنجي ماءُ
tested,آزمائشي
pop,پاپ
pop talk,پاپ ڳالهايو
no one,ڪو به نه
loves me,مون سان پيار ڪري ٿو
i am sad,مان اداس آهيان
feeling bad,برو محسوس ڪرڻ
be back,واپس اچو
sticky,چپچپا
sticky toons,چپڙي ٽيون
who is,ڪير آهي
who's your daddy,توهان جو ابو ڪير آهي
trail,پيچرو
I can be,مان ٿي سگهان ٿو
irritating,ڪاوڙائڻ
can piss you off,توهان کي ڪاوڙائي سگھي ٿو
breakfast,ناشتو
finish,ختم ڪر
speaking,ڳالهائڻ
I am your,مان توهان جو آهيان
glorious,شاندار
dont',نه ڪيو
vodafone,ووڊافون
zoozoo,سٺو
voda,پاڻي
zoo zoo,جانورن جو زو
haaalp,هارپ
awestruck,خوش ٿيو
listen,ٻڌو
listen up,ٻڌو
loudspeaker,لائوڊ اسپيڪر
zoo,جانورن جو گھر
anime,اينيميم
dnd,ڊي
do not disturb,تنگ نه ڪر
zoooom,جانورن جو گھر
loves you,توسان پيار آهي
wake me up,مونکي جاڳايو
coward,گهرن
you're,تون آهين
positive,ھاڪاري
fucks,چرپر
out of fucks,fucks کان ٻاهر
solution,حل
deal with it,ان سان سودو ڪر
shit happens,گندگي ٿئي ٿي
like a boss,صاحب وانگر
i know,مان ڄاڻان ٿو
almost,تقريبن
gave,ڏنو
gave a fuck,چمي ڏني
F word,ف لفظ
bwahaha,باواهہ
heh heh,هن جي
impressed,متاثر ٿيو
told,ٻڌايو
did,ڪيو
dafaq,قيمت
such,اهڙيون
kolaveri,ڪولاوري
kolaveri di,۾ شامل ٿيڻ
why this kolaveri di,هي ڪولاواري ڊي
I hunt,آئون شڪار ٿو ڪريان
bakes,ٺاهي ٿو
katnis,ڪٽنيس
everdeen,هميشه
katnis everdeen,ڪيٿس ابديين
hunger games,بکايل راند
sharon,شارون
stone,پٿر
basic,بنيادي
instincts,تڪڙ
hollywood,هولي ووڊ
hollywood movies,هولي ووڊ فلمون
be with you,تو سان گڏ
star wars,تارن جي جنگ
talk to the,سان ڳالهايو
claw,پنڌ
terminator,ٽرمينيٽر
terminator 2,ٽرمينٽر 2
hasta,تائين
vista,ويسٽا
hasta la vista,توکي ڏسندس
kill bill,بل کي مارڻ
promised,واعدو ڪيو
would,ڪندو
be nice,سٺا ٿيو
davra,گول
aabra ka daabra,ايبرا ڪو دابرا
hogwards,هاگگارٽس
magical,جادوڪ
harry potter,هاري پوٽر
you',توهان'
precious,قيمتي
lord of the rings,ر theن جا سردار
godfather,گاڊ فادر
can not,نه ڪري سگهي
i will break you,مان توکي ٽوڙيندس
caribbean,ڪيريبين
pirates of caribbean,ڪيريبين جي قزاقن
jahan,ڪي
goal,مقصد
de dana dan,ڏينهن جو ڏينهن
de dana dan goal,ڏينهن جو ڏينهن ۽ مقصد
court,ڪورٽ
sirf,بس
karoonga,ڪندا
kitni,ڪيترا
pareshaani,مسئلو
lega,مصر
bhagwaaan,ديوتا
jaane ke liye,وڃڻ
lash,ڍڪڻ
gujarna,لنگهڻ
aar,اَر
paar,جوڙو
aar ya paar,ٻين سان پيار ڪريو
sab ko,سڀني ڏانهن
ungli,• آ Fر
par,پاران
nacha,نچا
doonga,ننڊ
ye le,رات ٿي وئي آهي
yellow card,پيلو ڪارڊ
seedhe,سڌو
penalty,ڏنڊ
baaton,شين جي
nahin,بالڪل نه
maante,مسٽر
aaye,پهتو
dipper,ڊپر
truck,ٽرڪ
buri,پيلو ٽيل
wale,ويل
mooh,وات
kaala,مدت
balle,گولي
balle balle,بال بال
karle,جيڪڏهن توهان ڪريو ٿا
marry,شادي
awaaz,انتظار ڪيو
sound,آواز
all iz well,سڀ ٺيڪ آهيان
after,کانپوءِ
whisky,ويسڪي
drunk drive,نشي جي ڊرائيو
hus,گھر
jaega,وڃي ويندو
okayy,ٺيڪ آ
pleaze,pleaze
highly,انتهائي
inflammable,ٻرندڙ
noodles,نوڊلس
kung fu,ڪن گوا سمبل
panda,پانڊا
animated,متحرڪ
kung fu panda,ڪنگ فو پانڊا
now now now,ھاڻي ھاڻي ھاڻي
didnt,نه ڪيو
kung,ڪنگ
fu,نائب
thats it,بس اهو آهي
animation,متحرڪ
lets begin,شروع ڪرڻ ڏيو
skadoosh,اسڪواڊوش
kungfu panda,پانڊا ڪنگ فو
has,آهي
yikes,يار
doo,ٻه
phineas,فينواس
ferb,فائرب
incredibly,غير يقيني طور تي
observant,مبصر
impossible,ناممڪن
possible,ممڪن آهي
batwoman,ڇوٽڪاري
flash,فليش
flintstones,فل اسٽينڊون
yaba,يابا
daba,ڏنو
yaba daba doo,تنهنڪري خبردار رھ
popeye,پوپائي
spinach,پالڪ
i need my spinach,مون کي منهنجي پالنا جي ضرورت آهي
sticky toon,چپڙي ٽيون
jinkies,جنکي
scooby doo,اسڪوبي ٻه
johny,جواني
meowww,ڌمڪيون
cat sound,ٻلي جو آواز
kame,گلاب ٿي
toon,ٽون
the mask,پردو
mask,ماسڪ
spiderman,ڪوريئڙي جهڙو ماڻهون
bb8,بي بي 8
droid,ڊائريڊ
force awakens,طاقت بڪي ٿي
rey,ري
yoda,يودا
master of the jedi,جدي جو مالڪ
jedi,جيدي
empire,ايمپائر
watto,واٽ
princess liea,شهزادي ليئو
luke skywalker,لوڪ اسڪائيڊلر
master luke,ماسٽر لوڪ
darth vader,دڙو ودر
dark side,اونداھون رخ
han solo,صرف آهي
finn,پورو
trendy,رجحانين
rhythm,تال
mc donalds,ايم سي ڊونالڊس
happy meal,سٺو کاڌو
aloo tikki,ڪاوڙ جو چرچو
mc burger,ميٽر برگر
veg burger,ويڙهه ڪندڙ شهري
i m loving it,مان ان سان پيار ڪريان پيو
i like it,مونکي هي پسند آهي
huge,تمام وڏو
one bite,هڪ چڪ
fries,پیاز
french fries,فرنچ فرائيز
tomato ketchup,ٽماٽو ڪيچپ
complimentary,مھمان ڪيو
mcdonalds,ميٽرڪونالڊس
mc d,ميٽر ڊي
nom nom nom,نالو نالو نالو
I love food,مونکي پيار آهي کاڌي سان
eat sleep repeat,رات جو سمهائو کائڻ
i'm loving it,مان ان سان پيار ڪري رھيو آھيان
makes you happy,توهان کي خوش ڪري ٿو
rejoice,خوش ٿيو
mc aloo tiki,مالو ٽڪي
chicken burger,ڪڪڙن جو برگر
have a burger,هڪ برگر ٿيو
mc aloo tikki,ايم او الائي سلائي
extra cheese,اضافي پنير
burden,وزن
need a nap,هڪ ننڊ جي ضرورت آهي
drowsy,ڏڪار
overload,اوور لوڊ
projects,منصوبا
cant afford,قابل ناهي
too expensive,تمام مهانگو
exams,امتحان
chill out,آرام ڪريو
mass bunk,وڏي تعداد ۾ جاءِ
easier studies,آسان مطالعو
drop out,ڪرڻ
stressed,دٻاءُ وڌو
depression,ڊپريشن
tommorow,سڀاڻي
worried,پريشان
not ready,تيار ناهي
no preparations,ڪابه تياري ناهي
anxiety,ڏڪڻ
beak,بيڪ
duck shoes,بدڪ جوتن
all about me,منهنجي باري ۾ سڀ ڪجهه
self,نفس
convo,ڪنو
daily convos,روزانو قافلو
conersation,گفتگو
just me,صرف مان
duck face,بدڪ جو منهن
so boreddd,تمام گهڻو بيزار
nothing to do,ڪجهه ڪرڻ لاء ڪونهي
nothing much,گهڻو ڪجهه نه آهي
kurti,ٺاهڻ
can u hear me,ڇا توهان مون کي ٻڌي سگهو ٿا
hellloooo,هيلويلو
where are you,تون ڪٿي آهين
here i am,هتي آئون آهيان
mai aa gaya,مئي اچي چڪو آهي
black outfit,ڪارو لباس
heroic,بہادر
on my way,منهنجي رستي تي
will reach soon,جلد پهچندي
bicycle,سائيڪل
bicycle ride,سائيڪل جي سواري
sneakers,sneakers
lady bird,عورت پکي
summer outfit,اونهارو لباس
kya haal hai,توهان ڪيئن آهيو
how you doing,ڇا حال آ
kya chal raha,ڇا ٿيڻ جاري آهي
kaise ho,ڪهڙي نموني ، ڪئين
relaxed,آرام سان
jeans top,جينز مٿي
task accomplished,ڪم پورو ٿي ويو
work done,ڪم ٿي ويو
work outfit,ڪم جو لباس
working lady,ڪم ڪندڙ عورت
shirts and shirt,شرٽ ۽ قميص
smartness,هوشياري
stilettoes,اسٽيل ٽيٽيون
monday blues,سومر بليو
weekend awaited,هفتي جي آخر جو انتظار هو
friday is best,جمعو بهترين آهي
too much work,تمام گھڻو ڪم
too busy,تمام گهڻو مصروف
office outfit,آفيس جو لباس
jeggings,ميلاپ
sacchi kahani,سچي ڪهاڻي
mahatma gandhi,مهاتما گانڌي
lazy lad,سست ڇوڪرو
in a rush,تڪڙ ۾
red or blue,ڳاڙھو يا نيرو
need help,مدد گهرجي
choose one,ھڪڙو چونڊيو
marketing,مارڪيٽنگ
please come,مهرباني ڪري اچو
aaiye,لالو ھليو آيو
guest honour,مهمان جو اعزاز
dressed up,ڪپڙا پائڻ
pink dress,گلابي لباس
bahot kha liya,گھڻو ڪجھ کائو
over eating,وڌيڪ کائڻ
pot belly,برتن جو پيٽ
zinda hu,مان جيئرو آھيان
i am alive,مان زنده آهيان
i have coffee,مون وٽ ڪافي آهي
coffee is the saviour,ڪافي بچائيندڙ آهي
cafe coffee day,ڪيفي ڪافي ڏينهن
relaxed position,آرامده پوزيشن
summers,گرميون
denims,ڊنڪس
jerk,جرڪ
mock,ٺڳيو
mocking,ٺٺوليون ڪرڻ
making fun,مزو ڏيڻ
owl,چٻرو
april fool,اپريل فول
happy april fool's day,اپريل فول جو ڏينهن مبارڪ
happy april fools day,اپريل فولن جو ڏينهن مبارڪ
dumbo,گونگو
budhdhu,بيوقوف
no brain,دماغ ناهي
chutia,مزو
Deja Chu,چو کي ڇڏي ڏيو
deja vu,اڳيئي ڏٺو ويو آهي
bewakoof,بي پرواهه
april fool day prank,اپريل فول بيوقوف
pranking,ڇڪڻ
prankster,نوڪر
unexpected,اوچتو
umeed,اميد
expectations,اميدون
lots of fun,تمام گھڻو مزو
Khotte De Puttar,خت دي پتر
gadha,گندي
angry girl,ڪاوڙيل ڇوڪري
punjabi cuss words,پنجابي ڪاس لفظ
punjabi gaali,پنجابي بدسلوڪي
costume,لباس
t-shirt,ٽي شرٽ
Gujarati Green Chutney,گجراتي گرين چوٽني
Green Chatni,گرين چمني
Kakori kebab,ڪڪوري کباب
Shami kebab,شامي ڪباب
Kalmi kebab,ڪالمي ڪلاب
Tunde ke kabab,اdayارو Kebab
Sambhali kebab,سمھلي ڪباب
Galawati,گلاوٽي
Bihari kebab,بهاري ڪباب
Boti kebab,گاجر جو ڪيڪ
Seekh Kebab,سِک کباب
Reshmi kebab,ريشم ڪباب
Tikka kebab,دارون کباب
Tangdi kebab,تانگ ڊڪ بابا
Kaleji kebab,لوڻ ڀريل ڪباب
Hariali chicken kebab,هاريلي ڪڪڙ ڪباب
mithi chatni,نيٺ ساس
Pyarvyar,پيار
holiwithcolour,هولي وٿ رنگ
Auto rickshaw,پاڻمرادو رکشا
Electric Auto Rickshaw,بجلي واري رکشا
Roll Over Kebab Zirakpur,ڪبير زيراڪپور مٿان رول
Kababs N Roll,ڪاباب اين رول
Chicken Kathi Kebab rolls,ڪڪڙ ڪاٺي کباب رول
Geela,اُٺ
Romaal,رومانس
Funny Shayari,عجيب شياري
Kya Mazak Hai,ڇا ھڪڙو مذاق آھي
Pampers Pant Style Diapers,پيمپرز پنٿ اسٽائل ٿيپيٽر
SRIM Reusable cotton nappy,ايس آر آءِ ايم ٻيهر ڪپڙن وارو ڪپڙو
Littly Cushioned Cloth Nappies,نن Cڙي ڪپڙن واري ڪپڙن نيپين
LANGOTS,ڊگهو
Huggies Wonder Pants,هگس ونڊر پتلون
Mamy Poko Pants,اسان وٽ پوکو پنٽرس آهن
hag ke hath dhota nai,منھنجا ھٿ ڌوئو
Chori kiya maal wapis hota nai,چوري ڪيل سامان موٽيا وڃن ٿا
Open defecation,کليل بي حرمتي
खुले में शौच यानी बीमारियों को निमंत्रण,کليل بي بنياد مطلب مرض جي دعوت آهي
Vidya Balan,وديا بالن
Nirmal Bharat Abhiyan,نرمل ڀارت ابھیان
jaha soch waha shauchalaya,جتي هڪ ٽوائلٽ آهي
Bad Boy,خراب ڇوڪرو
Chori Chori,چپ چاپ
Ajay Devgan,اجي ديوگن
Rani Mukerji,راڻي مکرجي
Sonali Bendre,سونالي بيندر
Chori Chori Chupke Chupke,چوري چوري چپڙي چپڙي
robber,ريندڙ
thievery,چوري
shoplifting,دڪان سازي
Petsaaf,پيٽررااف
suhaanmosam,شام جو سلام
Wheel,وهيل
Active Wheel,فعال ويل
Ariel Matic Detergent,ايريل ميٽڪ ڊٽڪٽينٽ
Washing Powders,ڌوئڻ وارا پائوڊر
doodh si safedi nirma se aaye,نيرما کي کير جي اڇي ايندي هئي
Rangeen kapda...,رنگين ڪپڙا ۔۔۔
tum husn pari nirma,تون خوبصورت فرشتو
Confident chora,اعتماد وارو چورا
honda,هونڊا
kya baat,ڇا مسئلو آهي
Kar raha hai,ڪري رهيو آهي
Phutaikhane,پوٽيخان
Chappals,چپل
hercules,هيروزس
hera pheri,هيرا پيري
Junaid,جنيد
Hercules Roadeo,هرڪيولس روڊيڊي
Hercules MTB,هرڪيولس ايم ٽي بي
Hercules Roadsters,هرڪيولس روڊ رستا
kitne aadmi the,اتي ڪيترا مرد موجود هئا
gabbar singh,گبر سنگ
SOOWAR KE BACHCHO,ٻير يا گل
ab.. goli kha,هاڻي .. دوا کائو
Khariyat ki maa,خيريت جي ماءُ
ko Dhakka de,ڏانھن ڌڪيو
push,پئو
dhakka mukki,پِٿَ ڪٽڻ
dhakka laga bukka,بڪا وانگر دڪا
Yuva,مسند
Abhishek Bachchan,اشتياق بچن
Kareena Kapoor,ڪرينا ڪپور
A R Rahman's,هڪ آر رحمان جي
Maa Tu Kaha Meri Maa,ماءُ چيو توهان منهنجي ماءُ
pagri,پگهار
goldchain,سون جي کاڻ
blacktshirtpajji,بليڪ شارپجي
yo yo,مان آئون
punjabimunda,پنجابي منڊا
changahai,چانگ بال
Bluetshirtpajji,بلوٽي شارٽ پوجي
pajji,ملڪ
swaadisht,سجيش
guns,بندوقون
redshirtpajji,ڳاڙھو لالڻجي
bandook,شاٽگن
dobandook,dobandook
rum,رم
vodka,ووڊڪا
desidaru,desidaru
icemarke,آئس مار مارڪ
greentshirtpajji,greentshirtpajji
kihaalayaji?,ميوزيم؟
greentshirt,گرينشيرٽ
ki haal,هول ڪير آهي
goldlocket,سونا لاڪٽ
redshirt,ڳاڙھو لالڻ
jhappiyantepappiyan,ڀايون
jaadukijhappi,جادو
tighthug,چوٿون
bearhug,بيهار
gedimaartehai,گڊيمارٿائي
blueshirt,بليو شرٽ
kaake,ڪئين کي
bulletraja,بليجيا
royalenfield,شاهي فيلڊ
motorbike,موٽر سائيڪل
redbike,موٽر سائيڪل
redbullet,redbullet
greenbottle,گرين بائيٽ
skulltshirt,اسڪرپٽ
kitthehai,ڪيٿ
parjai,پيرزادي
kitthehaiparjai,ڪتيپرززئي
parjaiji,پليجي
shaadivaadi,شادي ڪرڻ وارو
redtshirt,ڳاڙھو لالڻ
shaadikarlekaake,شيڊيڪرڪيڪ
balleballeshaadikarle,باٽ بالشاهيار
punjabigroom,پنجابجيوم
dulha,ڪنوار
dulheraja,ڪنوار
hughjackman,هاگمين
logan,لنڪس
x-force,ايڪس فورس
bearcar,بيرڪٽ
middleclaw,وچولو ڪل
brownjacketswag,brownjacketswag واڪ
bluejeans,نيجيجن
blacktshirt,ڪاري شرٽ
alexandra,اليگزيندرا
ororomunroe,اورومرونو
halleberry,ھِلپر
fantastic4,شاندار 4
stormsuit,طوفان جو طوفان
blacksuit,ڪارو سوٽ
platinum hair,پلاٽينم وارن
katherine anne,ڪيٿرين اين
shadowcat,شيڊڪٽيٽ
profxavier,پروفيڪس
mutant,لاچار
telepath,ٽيلي پيٿ
wheelchair,ويل چيئر
greenjacket,گرين جيڪٽ
brownpant,ڳاڙھو
purpleredsuit,purpletsuit
purpleredcostume,purplered ڪاروبار
raven,رهان
blueskin,بلوائي
yelloweyes,پيلو اکيون
supervillain,supervillain
silverdress,چانديءَ جو لباس
archenemy,قديم آثارن
bluecape,بلو بلٽ
redhood,ڳاڙهو hoodر
gambit,دعوى
remy,يادگيري
