bobble,ಬಬಲ್
mannu,ಮನ್ನು
manoj,ಮನೋಜ್
manojounjabi,ಮನೋ ಕ್ಯಾಸಲ್ ದಿನ
tumahre,ನಿಮಗೆ
haathon,ಹಾಥಾನ್
jaadu,ಜಾಡು
haathonmeinjaadu,ಹ್ಯಾಂಡ್ಸ್ ಫ್ರೀ
aadesh,ಆದೇಶ
aadeshdetahun,ಆದೇಶಿಸಲು
mainaadeshdetahun,ಮೈನೆಡೆಶ್‌ಡೇಟೂ
rohan,ರೋಹನ್
rohanmehra,ರೋಹನ್ಮೆಹ್ರಾ
tatti,ಸಂಪರ್ಕಗಳು
tattimai,tattimai
tallihui,ತಲ್ಲುಯಿ
jalebihaitu,ಜಲೇಬಿಹೆತು
rahuldev,ತೃಪ್ತಿದಾಯಕ
abto,ಈಗ
abtoh,abtoh
hadd,ನನಗೆ ಅವಕಾಶ
haddhogai,ifhogai
manveer,ಮನ್ವೀರ್
manveergujjar,ಮನ್ವೀರ್ಗುಜ್ಜರ್
khatrahai,ಅದನ್ನು ಅಪಾಯಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳಿ
mujhetumsekhatrahai,ನಾನು ನಿನ್ನನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸುತ್ತೇನೆ
om,ಬಗ್ಗೆ
swamiom,ಗಂಡ
omswamiji,ಮನೆಯಿಲ್ಲದವರು
devi,ದೇವಿ
devibhakt,ಧರ್ಮನಿಷ್ಠ
bhakt,ಭಕ್ತ
devibhakti,ಭಕ್ತಿ
om swami,ಓಂ ಪತಿ
swami om,ಗಂಡ ಓಂ
om swami ji,ಓಂ ಸ್ವಾಮಿ
sweetsweet,ಸ್ವೀಟ್ಸ್ವೀಟ್
mujhesabsweetkehtehai,ನಾನು ಎಲ್ಲರನ್ನೂ ಪ್ರೀತಿಸುತ್ತೇನೆ
monalisa,ಮೊನಾಲಿಸಾ
jitna,ಎಷ್ಟು
jit,ಜಿಟ್
desperate,ಹತಾಶ
jitnekliyekuchhbhi,ಎಷ್ಟು
kuchbhi,ಏನು
kuchbhikarsaktihu,ಸಮ್ಥಿಂಗ್ಸ್
priyankajagga,ಪ್ರಿಯಂಕಾಗಾಗ
jagga,ಜಗ್ಗ
overact,ಅತಿಯಾಗಿ
overactingkidukaan,ಕಿ ಡುಕಾನ್ ಅನ್ನು ಅತಿಯಾಗಿ ಮೀರಿಸುವುದು
dukaan,ಅಂಗಡಿ
nitibhakaul,ನೈತಿಕತೆ
gotit,Gotti
lopamudra,ಲೋಪಮುದ್ರರ
fyn,Fyn
nevermind,ಪರವಾಗಿಲ್ಲ
chille,ಚಿಲ್
bani j,ಜೆ ಹೀರುವ
gurbani judge,ಗುರ್ಬಾನಿ ನ್ಯಾಯಾಧೀಶರು
vjbani,vjbani
thisyear,ಈ ವರ್ಷ
SantaClause,ಸಾಂತಾ ಷರತ್ತು
Christmastree,ಕ್ರಿಸ್ಮಸ್ ಮರ
sledy,ಹೆಜ್ಜೆಗುರುತುಗಳು
clause,ಷರತ್ತು
jinglebells,ಜಿಂಗಲ್ ಬೆಲ್ಸ್
holly,ಹೋಲಿ
happyholidays,ಹ್ಯಾಪಿಹೋಲಿಡೇಸ್
sorahahu,ಸೊರಹಾಹು
notinterested,ಆಸಕ್ತಿ ಇಲ್ಲ
dunno,ದುನ್ನೊ
dontknow,ಗೊತ್ತಿಲ್ಲ
bahutkam,ಬಹಳ ಕಡಿಮೆ
lotofwork,ಲೋಟೊಫ್ವರ್ಕ್
batterydead,ಬ್ಯಾಟರಿ ಡೀಡ್
notpossible,ಸಾಧ್ಯವಿಲ್ಲ
nahihopayega,ಪಾವತಿಸುವುದಿಲ್ಲ
halatkharab,ನೇಗಿಲು
whichone,ಇದು ಒಂದು
Bulbasaur,ಬಲ್ಬಾಸೌರ್
Squirtle,ಅಳಿಲು
Charmander,ಚಾರ್ಮಾಂಡರ್
wewill,ನಾವು ಮಾಡುತ್ತೇವೆ
saveallpokemons,saveallpokemons
savepokemons,ಸೇವ್‌ಪೋಕೆಮನ್‌ಗಳು
teamrocket,ಟೀಮ್‌ರಾಕೆಟ್
pikachu,ಪಿಕಾಚು
Pokemon,ಪೋಕ್ಮನ್
Pokemonlove,ಪೋಕ್ಮನ್ ಲವ್
Pokemons,ಪೋಕ್ಮನ್ಸ್
KingofPokeworld,ಕಿಂಗ್ಆಫ್ ಪೋಕ್ವರ್ಲ್ಡ್
Pokeworld,ಪೋಕ್ವರ್ಲ್ಡ್
youcannotesacpe,youcannotesacpe
Ichooseyou,ನಾನು ನಿನ್ನನ್ನು ಆರಿಸುತ್ತೇನೆ
Pokeball,ಪೋಕ್ಬಾಲ್
IchooseyouPikachu,ನಾನು ನಿನ್ನನ್ನು ಪಿಕಾಚು ಆಯ್ಕೆ ಮಾಡುತ್ತೇನೆ
catchemall,ಕ್ಯಾಟ್ಕೆಮಾಲ್
catchthemall,ಕ್ಯಾಚ್‌ಥೆಮಾಲ್
bestofluck,ಒಳ್ಳೆಯದಾಗಲಿ
allthebestbuddy,allthebestbuddy
Ihaveballs,Ihaveballs
doyou,doyou
everywhere,ಎಲ್ಲೆಡೆ
Slowpoke,ನಿಧಾನಗತಿಯ
dontbeaaslowpoke,dontbeaaslowpoke
dontbeslow,dontbeslow
getpokemon,getpokemon
somepokemon,somepokemon
Pokemontrainer,ಪೋಕ್ಮನ್ ತರಬೇತುದಾರ
besttrainer,ಬೆಸ್ಟ್ಟ್ರೇನರ್
Mew,ಮ್ಯೂ
chooseyou,ಆಯ್ಕೆಮಾಡಿ
chu's,ಚು ​​’ರು
Ialwayschooseyou,ನಾನು ಯಾವಾಗಲೂ ನಿಮ್ಮನ್ನು ಆರಿಸುತ್ತೇನೆ
iwillfind,ನಾನು ಹುಡುಕುತ್ತೇನೆ
iwillcatch,ಐವಿಲ್‌ಕ್ಯಾಚ್
findyou,findyou
catchyou,ನಿನ್ನನ್ನು ಹಿಡಿಯುವೆ
Pokebattle,ಪೊಕೆಟ್
battle,ಕದನ
getready,ತಯಾರಾಗು
gottacatchemall,ಗೊಟ್ಟಕಾಟ್ಚೆಮಲ್
donttry,ಪ್ರಯತ್ನಿಸಬೇಡಿ
neverchange,ಎಂದಿಗೂ ಬದಲಾಯಿಸಬೇಡಿ
differentthings,ವಿಭಿನ್ನ ವಿಷಯಗಳು
flyingbroom,ಫ್ಲೈಯಿಂಗ್ ಬ್ರೂಮ್
iamsorry,ನನ್ನನ್ನು ಕ್ಷಮಿಸು
iamafraid,ವ್ಯಂಗ್ಯ
youareretarded,ನೀವು ಕೇಳಿದ್ದೀರಿ
retarded,ರಿಟಾರ್ಡ್
dontuse,ಡೋಂಟ್ಯೂಸ್
use,ಬಳಕೆ
reallyneedit,ನಿಜವಾಗಿಯೂ
i'msorry,ನನ್ನನ್ನು ಕ್ಷಮಿಸು
donotwanttolive,donotwanttolive
takethingseasy,takethingseasy
iwillmakeyouhappy,ನಾನು ನಿನ್ನನ್ನು ಸಂತೋಷಪಡಿಸುತ್ತೇನೆ
foreverandever,ಎಂದೆಂದಿಗೂ
knowledge,ಜ್ಞಾನ
importance,ಪ್ರಾಮುಖ್ಯತೆ
scoreisnotasimportant,scoreisnotasimportant
knowledgeisimportant,ಜ್ಞಾನ ಮುಖ್ಯ
dontcry,dontcry
thosethings,ಆ ವಸ್ತುಗಳು
hojaye,ದಯವಿಟ್ಟು ಸೇರಿಕೊಳ್ಳಿ
workput,ತಾಲೀಮು
iloveypu,ನಾನು ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ
iloveyubaby,iloveyubaby
tryout,ಪ್ರಯತ್ನ ಮಾಡು
letstalk,ನಾವು ಮಾತನಡೊಣ
aboutme,AboutMe
narcissist,ನಾರ್ಸಿಸಿಸ್ಟ್
selfobsessed,ಸ್ವಯಂ ಗೀಳು
16kadola,16 ಕಡೋಲಾ
bicep,ಬೈಸ್ಪ್
kaisiho,kaisiho
kaisihobaby,ಕಾಸಿಯೊಬಾಬಿ
kahanchali,ಕಹಂಚಾಲಿ
hottie,ಹಾಟಿ
whereareyougoing,ನೀವು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದೀರಾ
candlelight,ಕ್ಯಾಂಡಲ್ಲೈಟ್
candlelightdinner,ಕ್ಯಾಂಡಲ್ಲೈಟ್ ಡಿನ್ನರ್
tuxedo,ಟುಕ್ಸೆಡೊ
ridepe,ridepe
ridepechalega,ಸವಾರ
gottenaway,ಪಡೆದ
gottenawaywithit,gotnawaywithit
myglasses,ಮೈಗ್ಲಾಸ್
eherearemyglasses,eherearemyglasses
Velma,ವೆಲ್ಮಾ
zoinks,z ೋಂಕ್‌ಗಳು
Shaggy,ಶಾಗ್ಗಿ
whereareyou,ನೀನು ಎಲ್ಲಿದಿಯಾ
whatwedobest,ವಾಟ್ವೆಡೋಬೆಸ್ಟ್
sammich,sammich
sandwich,ಸ್ಯಾಂಡ್‌ವಿಚ್
rockthem,ರಾಕ್‌ಥೆಮ್
sockthem,ಸಾಕ್ಥೆಮ್
scoobyandscrappy,ಸ್ಕೂಬಿ ಮತ್ತು ಸ್ಕ್ರಾಪಿ
scooby,ಸ್ಕೂಬಿ
scrappy,ಸ್ಕ್ರಾಪಿ
Scooby-Doo,ಸ್ಕೂಬಿ-ಡೂ
ScoobyDooDoo,ScoobyDooDoo
Fred,ಫ್ರೆಡ್
splitup,splitup
splitupthegang,splitupthegang
mystery,ರಹಸ್ಯ
solve,ಪರಿಹರಿಸಿ
let'ssolvethismystery,ಪರಿಹಾರವನ್ನು ಪರಿಹರಿಸೋಣ
let'ssolve,ಪರಿಹರಿಸೋಣ
scoobysnack,ಸ್ಕೂಬಿ ಲಘು
whatwillyoudo,ನೀನೇನು ಮಡುವೆ
Daphne,ದಾಫ್ನೆ
badass,ಬ್ಯಾಡಸ್
Raphael,ರಾಫೆಲ್
whattheshell,ವಾಟ್ಶೆಲ್
eth,eth
whatthehell,ಏನು ನರಕ
turlepower,ಟರ್ಲ್‌ಪವರ್
combat,ಯುದ್ಧ
Leonardo,ಲಿಯೊನಾರ್ಡೊ
trustyourinstincts,ಟ್ರಸ್ಟೌರಿನ್ಸ್ಟಿಂಕ್ಟ್ಸ್
instinct,ಪ್ರವೃತ್ತಿ
insctincts,ಪ್ರವೃತ್ತಿಗಳು
gutfeeling,ಗುಟ್ಫೀಲಿಂಗ್
Solinter,ಸಾಲಿಂಟರ್
ninja,ನಿಂಜಾ
ninjatime,ನಿಂಜಟೈಮ್
Gnarly,ಗ್ನಾರ್ಲಿ
cowabunga,ಕೌಬಂಗಾ
Michelangelo,ಮೈಕೆಲ್ಯಾಂಜೆಲೊ
leadtheway,ಮುಂದಾಳತ್ವವಹಿಸು
toots,ಟೂಟ್ಸ್
illdoitmyself,illdoitmyself
doitmyself,doitmyself
victoryshallbemine,ವಿನ್ಶಾಲ್ಬೆಮೈನ್
Stewie,ಸ್ಟೀವೀ
giggity,ಗಿಗ್ಗಿಟಿ
giggitygiggitygiggity,ಗಿಗ್ಗಿಟಿಗಿಗ್ಗಿಟಿಜಿಗ್ಗಿಟಿ
Glenn,ಗ್ಲೆನ್
GlennQuagmire,ಗ್ಲೆನ್ ಕ್ವಾಗ್ಮೈರ್
headexploding,ಹೆಡೆಕ್ಸ್ಪ್ಲೋಡಿಂಗ್
marvelousidea,ಅದ್ಭುತ
PeterGriffin,ಪೀಟರ್‌ಗ್ರಿಫಿನ್
Peter,ಪೀಟರ್
mylifeisruined,mylifeisruined
Meg,ಮತ್ತು
MegGriffin,ಮೆಗ್ ಗ್ರಿಫಿನ್
heusedme,heusedme
comedyu,ಹಾಸ್ಯ
comic,ಕಾಮಿಕ್
fussy,ಗಡಿಬಿಡಿಯಿಲ್ಲದ
fuss,ಗಡಿಬಿಡಿಯಿಲ್ಲ
stopfussing,ಸ್ಟಾಪ್ಫಸ್ಸಿಂಗ್
Lois,ಲೋಯಿಸ್
LoisGriffin,ಲೋಯಿಸ್ ಗ್ರಿಫಿನ್
STFU,ಎಸ್‌ಟಿಎಫ್‌ಯು
evilmonkey,ದುಷ್ಟಮೊಂಕಿ
TheEvilMonkey,Tivilmonkey
nasty,ಅಸಹ್ಯ
thatisnasty,ಅದು
that'snasty,ಅದು ಅಸಹ್ಯಕರ
Cleveland,ಕ್ಲೀವ್ಲ್ಯಾಂಡ್
ClevelandBrown,ಕ್ಲೀವ್ಲ್ಯಾಂಡ್ ಬ್ರೌನ್
didit,didit
blame,ದೂಷಿಸು
Chris,ಕ್ರಿಸ್
ChrisGriffin,ಕ್ರಿಸ್ ಗ್ರಿಫಿನ್
forgiveyou,ನಿಮ್ಮನ್ನು ಕ್ಷಮಿಸಿ
iwontforgiveypu,wontforgiveypu
theone,ಥಿಯೋನ್
youaretheone,ನೀನೆ ಅವನು
keeinmind,ಮನಸ್ಸು ಇಲ್ಲ
dropdead,ಡ್ರಾಪ್‌ಡೀಡ್
thanksabunch,ತುಂಬಾ ಧನ್ಯವಾದಗಳು
whatdoyouthink,whatdoyouthink
aneyeforaneye,aneefeoranee
revenge,ಸೇಡು
avenge,ಪ್ರತೀಕಾರ
fashionsaviour,fashionsaviour
savetheworld,ಸೇವ್ಥೆವರ್ಲ್ಡ್
boringfashion,ನೀರಸ ಫ್ಯಾಷನ್
leavemealone,leavemealone
leaveme,ನನ್ನನ್ನು ಬಿಟ್ಟುಬಿಡು
foreal?,ಮುನ್ಸೂಚನೆ?
real,ನೈಜ
reality,ವಾಸ್ತವ
truth,ಸತ್ಯ
chillkaisemaru,ಚಿಕಾ ಇಸೆಮಾರು
uff,uff
itnigarmi,ಇಟ್ನಿಗಾರ್ಮಿ
coolcool,ಕೂಲ್ ಕೂಲ್
thandathanda,ತಂಪಾದ ಶೀತ
dillikigarmi,ದೆಹಲಿಯ ಶಾಖ
delhikigarmi,ದೆಹಲಿ
pyaartera,ಪ್ಯಾರ್ಟೆರಾ
noAC,noAC
nodate,ಫೀಲ್ಡ್ ಪಾಯಿಂಟ್
AC,ಎಸಿ
airconditioner,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
ACkikasam,ಎಕ್ಕಿಕಾಸಂ
swaeonmyAC,swaeonmyAC
tan,ಕಂದು
tanning,ಟ್ಯಾನಿಂಗ್
antitan,ಆಂಟಿಟನ್
chhatri,ವಿದ್ಯಾರ್ಥಿ
nahichahiye,ನಿದ್ರೆ ಮಾಡಬೇಡಿ
hotseat,ಹಾಟ್ ಸೀಟ್
chubti,ಚುಬ್ಟಿ
jalti,ಸುಡುವುದು
prickly,ಮುಳ್ಳು
sweat4,ಬೆವರು 4
kutti,ಕಬ್
kuttigarmi,ಸ್ಕರ್ವಿ
]hot,] ಬಿಸಿ
heated,ಬಿಸಿಮಾಡಲಾಗುತ್ತದೆ
dog\,ನಾಯಿ \
fuckyourself,fuckyourself
gofuckyourself,gofuckyourself
wolverine,ವೊಲ್ವೆರಿನ್
storm,ಚಂಡಮಾರುತ
stormcoming,ಬಿರುಗಾಳಿ
approachingstorm,ಸಮೀಪಿಸುತ್ತಿರುವ ಬಿರುಗಾಳಿ
approach,ವಿಧಾನ
poof,ಪೂಫ್
iamgone,iamgone
kittypryde,kittypryde
imhere,imhere
iamheretohelp,iamheretohelp
ProfessorX,ಪ್ರೊಫೆಸರ್ ಎಕ್ಸ್
freak,ಫ್ರೀಕ್
circus,ಸರ್ಕಸ್
notacircusfreak,notacircusfreak
circusfreak,ಸರ್ಕಸ್ಫ್ರೀಕ್
Mystique,ಮಿಸ್ಟಿಕ್
dontbelieve,ನಂಬಬೇಡಿ
sight,ದೃಷ್ಟಿ
everythingyousee,ಎಲ್ಲವೂ
toomuch,ಟೂಮಚ್
toomuchiron,ಮತ್ತು ಚಾವಟಿ ಸಿದ್ಧಾಂತ
Magneto,ಮ್ಯಾಗ್ನೆಟೋ
cardtricks,ಕಾರ್ಡ್‌ಟ್ರಿಕ್ಸ್
iheard,ಕೇಳಿದೆ
hear,ಕೇಳಿ
heard,ಕೇಳಿದೆ
openmyeyes,ನನ್ನ ಕಣ್ಣುಗಳನ್ನು ತೆರೆ
eyes,ಕಣ್ಣುಗಳು
dontmakeme,dontmakeme
cyclops,ಸೈಕ್ಲೋಪ್ಸ್
tricks,ತಂತ್ರಗಳು
anymoretricks,ಇನ್ನು ಮುಂದೆ
mastermind,ಮಾಸ್ಟರ್ ಮೈಂಡ್
iamfabulous,iamfabulous
heyeveryone,heyeveryone
witchplease,ಮಾಟಗಾತಿ
hulkhungry,ಹಲ್ಖುಂಗ್ರಿ
needahand,needahand
whareyoulookingat,whareyoulookingat
lookingat,ಅತ್ತ ನೋಡುತ್ತ
sharp,ತೀಕ್ಷ್ಣವಾದ
sharply,ತೀವ್ರವಾಗಿ
dressedsharply,ಧರಿಸಿರುವ
allsizes,allsizes
knowledgeispower,ಜ್ಞಾನ ಶಕ್ತಿ
hermione,ಹರ್ಮಿಯೋನ್
thechosenone,ಥೆಕೊಸೆನೋನ್
chosen,ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
harry,ಹ್ಯಾರಿ
AlbusDumbledore,ಆಲ್ಬಸ್ ಡಂಬಲ್ಡೋರ್
Dumbledore,ಡಂಬಲ್ಡೋರ್
fatherwillhaeraboutthis,ಫಾದರ್ವಿಲ್ಹೇರಬೌತಿಸ್
aboutthis,ಈ ಬಗ್ಗೆ
dobby,ಡಾಬಿ
freeelf,freeelf
elf,ಯಕ್ಷಿಣಿ
sock,ಕಾಲ್ಚೀಲ
letmekissyou,LetMeKissYou
comeout,ಹೊರಗೆ ಬಾ
avada,ತೆರೆದಿರುತ್ತದೆ
kedavra,ಕೆದವ್ರಾ
avadakedavra,ಅವದವದವರ
mustnotlie,mustnotlie
youmusttellies,youmusttellies
Weasley,ವೀಸ್ಲೆ
Ron,ರಾನ್
RonWeasley,ರಾನ್ ವೀಸ್ಲೆ
ronweasleyisourking,ronweasleyisourking
badiya,ಉತ್ತಮ
bahutbadiya,ತುಂಬಾ ಒಳ್ಳೆಯದು
thumbsdown,ಥಂಬ್ಸ್ಡೌನ್
epicfail,ಎಪಿಕ್ಫೈಲ್
muhpechamat,ಮುಹ್ಪೆಚಾಮತ್
muhpe,ಬಾಯಿ
chamat,ಪ್ರಕಾಶ
facepalm,ಫೇಸ್ ಪಾಮ್
yohoney,ಯೋಹೋನಿ
susu,ಹಾಲು
littlefinger,ಕಿರು ಬೆರಳು
abhiaya,ಅಭಯ್
callofnature,ಕ್ಯಾಲೋಫ್ನೇಚರ್
loo,ಲೂ
chub,ಚಬ್
chubbey,ಚುಬ್ಬೆ
shh,shh
shhh,shhh
shantipeace,ಪೀಸ್‌ಮೇಕರ್
peaceout,ಶಾಂತಿ ಕಾಪಾಡಿ
sabchaltahai,ಸಂಪೂರ್ಣವಾಗಿ
sabchalta,ಪಾರದರ್ಶಕತೆ
allok,ಎಲ್ಲ ಸರಿಯಾಗಿದೆ
nahidekha,ನೋಡಲಾಗಿಲ್ಲ
dekha,ಭೇಟಿ
aankhenbandh,ಆಂಕಂಡ್‌ಬಂಧ
eyesclosed,ಕಣ್ಣು ಮುಚ್ಚಿದ
ohhemmgee,ಓಹ್ಹೆಮ್ಗೀ
kyaomg,ಕ್ಯೊಂಗ್
wicketpewicket,ವಿಕೆಟ್‌ಪಿವಿಕೆಟ್
orangearmy,ಕಿತ್ತಳೆ
army,ಸೈನ್ಯ
baigan,ಬದನೆಕಾಯಿ
miladete,ಮ್ಲಾಡೆಟ್
riseaboveall,ರೈಸ್ಬೋವಾಲ್
above,ಮೇಲೆ
riseabove,ರೈಸ್ಬೊವ್
nofikar,ನೋಫಿಕರ್
fikar,ಕಾಫಿ ಹೊಂದಿವೆ
worry,ಚಿಂತೆ
noworry,ಯಾವುದೇ ಚಿಂತೆಯಿಲ್ಲದೆ
wehaveShikhar,wehaveShikhar
Shikhar,ಶಿಖರ
nawab,ನವಾಬ್
nawabi,ನವಾಬಿ
nehra,ನೆಹ್ರಾ
NawabiNehra,ನವಾಬಿನೆಹ್ರಾ
kiraak,ಕ್ರ್ಯಾಕ್
kirak,ಕಿರ್ಕ್
kiraakshot,Kirahsot
panga,ಬ್ಯಾಂಕ್
nakkolagao,nakkantenao
panganakkolagao,ಹ್ಯಾಂಗ್ .ಟ್ ಮಾಡಿ
donotchallenge,donotchallenge
Charminaar,ಚಾರ್ಮಿನಾರ್
Charminaarkepatthe,ಚಾರ್ಮಿನಾರ್ಕೆಪಾಠೆ
patthe,ದಾರಿಯಲ್ಲಿ
biryani,ಬಿರಿಯಾನಿ
biriyani,ಬಿರಿಯಾನಿ
wonthetoss,wonthetoss
optedtowin,optedtowin
kohli,ಕೊಹ್ಲಿ
playhard,ಚೆನ್ನಾಗಿ ಆಡು
harder,ಕಠಿಣ
partyharder,ಪಾರ್ಟಿಹಾರ್ಡರ್
playbold,ಪ್ಲೇಬೋಲ್ಡ್
ChrisGayle,ಕ್ರಿಸ್ ಗೇಲ್
Pitchbakwastha,ಪಿಚ್‌ಬಕ್ವಾಸ್ಥ
oolalalaleeoo,oolalalaleeoo
LaaLaaLaa,ನಾನು ಹೋಗುತ್ತಿದ್ದೇನೆ
deVilliers,ಡಿವಿಲಿಯರ್ಸ್
oneteam,oneteam
rulethemall,ರೂಲೆಥೆಮಾಲ್
GoRCB,ಗೋಆರ್‌ಸಿಬಿ
chasemacha,ವ್ಯರ್ಥ
Gayle,ಗೇಲ್
Gaylestorm,ಗ್ಯಾಲಸ್ಟ್ರೋಮ್
hurricane,ಚಂಡಮಾರುತ
herecomes,ಇಲ್ಲಿಗೆ ಬರುತ್ತದೆ
sabseuparRCB,sabseuparRCB
MC,ಎಂ.ಸಿ.
RCBthebest,ಆರ್ಸಿಬಿಥೆಬೆಸ್ಟ್
Mr360,ಮೆರಾಟ್ 0
360degrees,360 ಡಿಗ್ರೀಗಳು
ABdeVilliers,ಎಬಿಡೆವಿಲಿಯರ್ಸ್
Punjabis,ಪಂಜಾಬಿಗಳು
dontkeepcalm,dontkeepcalm
maxwell,ಮ್ಯಾಕ್ಸ್ವೆಲ್
Yaaraan,ಸ್ವಲ್ಪ
WriddhimanSaha,ವೃದ್ಧಿಮಾನ್‌ಸಹಾ
livepunjabi,ಪಂಜಾಬಿ
playpunjabi,ಪ್ಲೇಪುಂಜಾಬಿ
KillerMiller,ಕಿಲ್ಲರ್ ಮಿಲ್ಲರ್
DavidMiller,ಡೇವಿಡ್ ಮಿಲ್ಲರ್
ChakDePhatte,ಚಕ್ ಡಿಫಟ್ಟೆ
Kamaal,ಅದ್ಭುತ
Lassidakamaal,ಲಸಿಡಕಮಾದಲ್ಲಿ
dhaba,ಧಾಬಾ
givethatman,givethatman
sada,ಈಗ
Patiala,ಪಟಿಯಾಲ
PunjabiPower,ಪಂಜಾಬಿ ಪವರ್
zinta,ಜಿಂಟಾ
Steyn,ಸ್ಟೇನ್
DavidSteyn,DavidSteyn
firefoot,ಅಗ್ನಿಶಾಮಕ
DwayneBravo,ಡ್ವೇನ್ಬ್ರಾವೊ
GujjuChampion,Gujjuchampiyan
champion,ಚಾಂಪಿಯನ್
champions,ಚಾಂಪಿಯನ್
Raina,ರೈನಾ
SureshRaina,ಸುರೇಶ್‌ರೈನಾ
Beholsthelions,ಬೆಹೋಲ್ಸ್ಟೇಲಿಯನ್ಸ್
lions,ಸಿಂಹಗಳು
pakoflions,ಪಕೋಫ್ಲಿಯನ್ಸ್
BrendonMcCullum,ಬ್ರೆಂಡನ್ ಎಂ.ಸಿ.ಕಲ್ಲಮ್
McCullum,ಮೆಕಲಮ್
gamemaarichee,ಗೇಮರಿಚೀ
shikar,ಬಲಿಪಶು
prowl,prowl
shernikleshikaarpe,shernikleshikaarpe
paisawasool,paisawasool
paisavasool,ಹಣ
vasool,ಸಂಗ್ರಹಗಳು
DwayneSmith,ಡ್ವೇಯ್ನ್ಸ್ಮಿತ್
Trustjaadu,Trstajadu
RavindraJadeja,ರವೀಂದ್ರಜಾದೇಜ
Jadeja,ಜಡೇಜಾ
havee,ಹೌದಾ
haveeapni,ನೌಅಪ್
vaariche,ಮೂಲಕ
garvi,ಕುದಿಸಲು
garvigujarat,ಗುಡುಗು ಸಹಿತ
dhokle,ಧೋಕ್ಲೆ
shokla,shokla
dhoklekadum,ಧೋಕ್ಲೆಕಾಡಂ
Zippy,ಜಿಪ್ಪಿ
LegCutter,ಲೆಗ್‌ಕಟರ್
ZaheerKhan,ಜಹೀರ್‌ಖಾನ್
fastbowler,ವೇಗದ ಬೌಲರ್
issbar,ಬಾರ್
isbaar,ಈ ಬಾರಿ
jeetapni,ಗೆಲುವು
devilssound,ಡೆವಿಲ್ಸೌಂಡ್
RishabhPant,ರಿಷಭಪಂತ್
toli,ದೂರದ
Tashankitoli,ತಾ ಯಮಗುಚಿ ಐಟಿಒ
khelo,ಪ್ಲೇ ಮಾಡಿ
frontfoot,ಫ್ರಂಟ್ಫೂಟ್
front,ಮುಂಭಾಗ
foot,ಪಾದ
odd,ಬೆಸ
even,ಸಹ
harayenge,ಸೋಲಿಸುತ್ತದೆ
dillikelaunde,ದೆಹಲಿ ಕೆಲೋಂಡೆ
launde,ಧ್ರುವಗಳು
dilliboyz,ಡೆಲ್ಹಿಬಾಯ್ಸ್
dilseloud,dilseloud
dilseproud,ಡಿಲ್ಸೆಪ್ರೌಡ್
datewiththedevils,datewiththedevils
risewiththegiants,ರೈಸ್ ವಿಥೆಜಿಯಂಟ್ಸ್
giants,ದೈತ್ಯರು
Plessis,ಪ್ಲೆಸಿಸ್
Misalpav,ಅಸಮರ್ಪಕ
Paver,ಪಾವರ್
IrfanPathan,ಇರ್ಫಾನ್ ಪಾಥನ್
KP,ಕೆ.ಪಿ.
kamal,ಕಮಲ್
Pieterson,ಪೀಟರ್ಸನ್
MSD,ಎಂ.ಎಸ್.ಡಿ.
Dhoni,ಧೋನಿ
expert,ತಜ್ಞ
IshantSharma,ಇಶಾಂತ್ಶರ್ಮಾ
fiery,ಉರಿಯುತ್ತಿರುವ
punery,ದಂಡನೆ
lavani,ಲವಾನಿ
nayarang,ನಾಯರಂಗ್
captaincool,ಕ್ಯಾಪ್ಟನ್ ಕೂಲ್
MahindraSinghDhoni,ಮಹೀಂದ್ರಸಿಂಗ್‌ಹಾನಿ
aalire,aalire
baariaali,baariaali
ajinkya,ಅಜಿಂಕ್ಯ
Rahane,ಲಿವಿಂಗ್
drinksonme,ಡ್ರಿಂಕ್ಸೊನ್
mytreat,ನನ್ನ ಉಪಚಾರ
birthdaybump,ಹುಟ್ಟುಹಬ್ಬದ ಬಂಪ್
justanumber,ಜಸ್ಟಾನಂಬರ್
timefortreat,timefortreat
goodies,ಗುಡಿಗಳು
snacker,ಸ್ನ್ಯಾಕರ್
pieceofcake,ಕೇಕಿನ ತುಂಡು
birthdaycake,ಹುಟ್ಟುಹಬ್ಬದ ಕೇಕು
box,ಬಾಕ್ಸ್
smell,ವಾಸನೆ
fragrance,ಸುಗಂಧ
itsmybirthdayt,itsmybirthdayt
mybirthday,ನನ್ನ ಹುಟ್ಟುಹಬ್ಬ
stillsexy,ಸ್ಟಿಲ್ಸೆಕ್ಸಿ
yearolder,ವರ್ಷದ
sexyasever,sexyasever
prsent,ಪ್ರಸ್ತುತ
giftbox,ಉಡುಗೊರೆ ಪೆಟ್ಟಿಗೆ
awaits,ಕಾಯುತ್ತಿದೆ
giftawaits,ಉಡುಗೊರೆಗಳು
bachao,ಉಳಿಸಿ
rescue,ಪಾರುಗಾಣಿಕಾ
babajikagyaan,ಬಾಬಾಜಿ
gyaan,ಗಯಾನ್
fuk,ಫಕ್
