bobble,berbandul
talkin',bicara
talkingtome,berbicara beberapa
yeahbaby,Yeah sayang
youcannpt,Anda bisa
oops,oops
oopsie,oopsi
imsoretro,imsoretro
iamretro,kursi berlengan
notlike,tidak seperti
unlike,tidak seperti
other,lain
notlikeothergirls,tidak seperti gadis lain
phaansi,Menggantung
deathpenalty,hukuman mati
deathbyhanging,kematian tergantung
hanging,gantung
phaansihogi,Phansihogi
ACP,ACP
Pradyuman,Perfusi
lagao,Tarik tinggi
patalagao,Muncul
info,info
information,informasi
kuchtoh,kuchtoh
matlab,matlab
meaning,berarti
matlabsamjhe,Berarti saya
duty,tugas
dutypehle,dutypehle
sentiments,sentimen
baadmen,Nanti
dutyfirst,tugas pertama
Inspector,Inspektur
Abhijeet,Abhijeet
laaash,tendang
corpse,mayat
deadbody,mayat
clue,petunjuk
Daya,Daya
laash,Mayat
ekaur,Lain
banggg,banggg
bangopen,bangopen
darwaza,Pintu
darwazatoddo,Buka pintunya
sach,buku
sachbahar,Sachbahar
episodeend,episodeend
humnevkiya,Humanevakiya
humne,Kita punya
cannotsucceed,cannotsucceed
halfofus,halfofus
progressive,progresif
regressive,regresif
heldback,ditahan
equal,sama
equality,persamaan
equalrights,persamaan hak
rights,hak
notaskingforit,notaskingforit
askingforit,meminta itu
shortclothes,pakaian pendek
nomeansno,nomeansno
skirt,rok
chhotekapde,Pakaian kecil
chhoti,Kecil
sochchhoti,Fleksibilitas
wearwhatyoulike,wearwhatyoulike
monster,raksasa
mirror,cermin
notamonster,notamonster
gentleman,pria
realman,realman
liberate,membebaskan
menforfeminism,menforfeminisme
supportwomen,wanita pendukung
quality,kualitas
goodmen,orang baik
genderequality,kesetaraan gender
equalityofthesexes,persamaan kualitas
realmen,sungguh
gentlemen,Tuan-tuan
respectful,hormat
indianwoman,wanita India
indianwomen,wanita India
dontteachwomen,jangan ajari wanita
whattowear,entah apa lagi
teachboystobehave,teachboystobehave
behavior,tingkah laku
bringingup,membesarkan
cyclechor,cyclechor
mannu,mannu
manoj,manoj
manojounjabi,Hari Puri Mano
tumahre,Untuk anda
haathon,Hathon
jaadu,Jaadu
haathonmeinjaadu,Tangan bebas
aadesh,Pesanan
aadeshdetahun,Untuk memesan
mainaadeshdetahun,Maineadeshdatehoo
rohan,rohan
rohanmehra,rohanmehra
tatti,kontak
tattimai,tattimai
tallihui,Tallui
jalebihaitu,Jalebihetu
rahuldev,memuaskan
abto,Sekarang
abtoh,abtoh
hadd,biarkan aku
haddhogai,ifhogai
manveer,Manveer
manveergujjar,Manveergujjar
khatrahai,Risiko itu
mujhetumsekhatrahai,Aku sangat mencintaimu
om,tentang
swamiom,Suami
omswamiji,tunawisma
devi,devi
devibhakt,Saleh
bhakt,Pemuja
devibhakti,Pengabdian
om swami,Suami om
swami om,Suami Om
om swami ji,Om Swami
sweetsweet,manisan
mujhesabsweetkehtehai,Saya suka semua orang
monalisa,monalisa
jitna,Sebanyak
jit,Jit
desperate,putus asa
jitnekliyekuchhbhi,Sebanyak
kuchbhi,Apa saja
kuchbhikarsaktihu,Sesuatu
priyankajagga,Priyankagaga
jagga,jagga
overact,overact
overactingkidukaan,pembukaan berlebihan
dukaan,Toko
nitibhakaul,Etika
gotit,Gotti
lopamudra,Lopamudra
fyn,fyn
nevermind,lupakan
chille,chille
bani j,menyebalkan j
gurbani judge,hakim gurbani
vjbani,vjbani
thisyear,tahun ini
SantaClause,Santa claus
Christmastree,Pohon Natal
sledy,jejak kaki
clause,ayat
jinglebells,jinglebell
holly,holly
happyholidays,happyholidays
sorahahu,sorahahu
notinterested,tidak tertarik
dunno,tidak tahu
dontknow,tidak tahu
bahutkam,Sangat sedikit
lotofwork,banyak kerjaan
batterydead,batterydead
notpossible,tidak memungkinkan
nahihopayega,Tidak akan membayar
halatkharab,Bajak
whichone,yang mana
Bulbasaur,Bulbasaur
Squirtle,Squirtle
Charmander,Charmander
wewill,kami akan
saveallpokemons,simpan semuapokemon
savepokemons,Savepokemon
teamrocket,kain timbal
pikachu,pikachu
Pokemon,Pokemon
Pokemonlove,Sarung tangan pokemon
Pokemons,Pokemons
KingofPokeworld,KingofPokeworld
Pokeworld,Pokeworld
youcannotesacpe,youcannotesacpe
Ichooseyou,Aku memilihmu
Pokeball,Pokeball
IchooseyouPikachu,IchooseyouPikachu
catchemall,catchemall
catchthemall,tangkap mereka semua
bestofluck,semoga berhasil
allthebestbuddy,allthebestbuddy
Ihaveballs,Ihaveballs
doyou,Apakah kamu
everywhere,dimana mana
Slowpoke,Orang yg lambat
dontbeaaslowpoke,dontbeaaslowpoke
dontbeslow,dontbeslow
getpokemon,getpokemon
somepokemon,somepokemon
Pokemontrainer,Pelatih Pokemon
besttrainer,pelatih terbaik
Mew,Mengeong
chooseyou,pilih kamu
chu's,Chu
Ialwayschooseyou,Aku selalu memilihmu
iwillfind,saya akan menemukan
iwillcatch,iwillcatch
findyou,menemukan Anda
catchyou,menangkap mu
Pokebattle,Pokette
battle,pertarungan
getready,siap-siap
gottacatchemall,gottacatchemall
donttry,jangan coba-coba
neverchange,tidak pernah berubah
differentthings,hal yang berbeda
flyingbroom,sapu terbang
iamsorry,saya menyesal
iamafraid,ironi
youareretarded,kamu terbelakang
retarded,terbelakang
dontuse,jangan digunakan
use,menggunakan
reallyneedit,benar-benar perlu
i'msorry,Maafkan saya
donotwanttolive,tidak ingin bercerita
takethingseasy,menganggap mudah
iwillmakeyouhappy,aku akan membuatmu bahagia
foreverandever,selama-lamanya
knowledge,pengetahuan
importance,pentingnya
scoreisnotasimportant,skor tidak penting
knowledgeisimportant,pengetahuan sangat penting
dontcry,jangan takut
thosethings,thosethings
hojaye,Silakan bergabung
workput,bekerja
iloveypu,aku cinta kamu
iloveyubaby,iloveyubaby
tryout,mencoba
letstalk,letstalk
aboutme,aboutme
narcissist,narsisis
selfobsessed,obsesi diri
16kadola,16kadola
bicep,bicep
kaisiho,kaisiho
kaisihobaby,Kasiobabi
kahanchali,Kahanchali
hottie,seksi
whereareyougoing,kemana kamu pergi
candlelight,cahaya lilin
candlelightdinner,makan malam romantis
tuxedo,tuksedo
ridepe,ridepe
ridepechalega,pengendara
gottenaway,gottenaway
gottenawaywithit,selamat dengan
myglasses,kacamata saya
eherearemyglasses,eherearemyglasses
Velma,Velma
zoinks,zoinks
Shaggy,Shaggy
whereareyou,dimana kamu
whatwedobest,whatwedobest
sammich,sammich
sandwich,sandwich
rockthem,rockthem
sockthem,sockthem
scoobyandscrappy,scoobyandcrappy
scooby,scooby
scrappy,berkelahi
Scooby-Doo,Scooby-Doo
ScoobyDooDoo,ScoobyDooDoo
Fred,Fred
splitup,splitup
splitupthegang,splitupthegang
mystery,Misteri
solve,memecahkan
let'ssolvethismystery,mari kita selesaikan solvisme
let'ssolve,mari kita selesaikan
scoobysnack,scooby camilan
whatwillyoudo,apa yang akan kamu lakukan
Daphne,Daphne
badass,badass
Raphael,Raphael
whattheshell,whatshell
eth,et
whatthehell,apa apaan
turlepower,turlepower
combat,tempur
Leonardo,Leonardo
trustyourinstincts,percaya dengan nalurimu
instinct,naluri
insctincts,insting
gutfeeling,firasat
Solinter,Solinter
ninja,ninja
ninjatime,ninjatime
Gnarly,Degil
cowabunga,cowabunga
Michelangelo,Michelangelo
leadtheway,memimpin
toots,Toots
illdoitmyself,sakit diri sendiri
doitmyself,lakukan sendiri
victoryshallbemine,kemenanganshallbemine
Stewie,Stewie
giggity,tawa
giggitygiggitygiggity,giggity giggity
Glenn,Glenn
GlennQuagmire,GlennQuagmire
headexploding,headexploding
marvelousidea,marvelousidea
PeterGriffin,Petergriffin
Peter,Peter
mylifeisruined,hidupku dimulai
Meg,dan
MegGriffin,Meg Griffin
heusedme,heuseme
comedyu,komedi
comic,komik
fussy,rewel
fuss,kehebohan
stopfussing,stopfussing
Lois,Lois
LoisGriffin,Lois Griffin
STFU,STFU
evilmonkey,iblis jahat
TheEvilMonkey,Tivilmonkey
nasty,menjijikan
thatisnasty,itu menjijikkan
that'snasty,itu jahat
Cleveland,Cleveland
ClevelandBrown,Cleveland Brown
didit,didit
blame,menyalahkan
Chris,Chris
ChrisGriffin,ChrisGriffin
forgiveyou,memaafkanmu
iwontforgiveypu,wontforgiveypu
theone,yang satu
youaretheone,kamu orang
keeinmind,tidak ada pikiran
dropdead,dropdead
thanksabunch,terima kasih, makan siang
whatdoyouthink,Bagaimana menurut anda
aneyeforaneye,aneefeoranee
revenge,balas dendam
avenge,membalas
fashionsaviour,fashionsaviour
savetheworld,menyelamatkan dunia
boringfashion,busana membosankan
leavemealone,tinggalkan aku sendiri
leaveme,tinggalkan aku
foreal?,foreal?
real,nyata
reality,realitas
truth,kebenaran
chillkaisemaru,Chika Isemaru
uff,uff
itnigarmi,itnigarmi
coolcool,keren keren
thandathanda,Dingin dingin
dillikigarmi,Panas Delhi
delhikigarmi,Delhi
pyaartera,Pyartera
noAC,noAC
nodate,Titik bidang
AC,AC
airconditioner,pendingin ruangan
ACkikasam,ACkikasam
swaeonmyAC,swaeonmyAC
tan,berjemur
tanning,penyamakan
antitan,antitan
chhatri,Pelajar
nahichahiye,Jangan tidur
hotseat,Kursi panas
chubti,chubti
jalti,Terbakar
prickly,berduri
sweat4,keringat4
kutti,anak
kuttigarmi,Penyakit kudis
]hot,]panas
heated,dipanaskan
dog\,anjing\
fuckyourself,bercinta dengan dirimu sendiri
gofuckyourself,gofucky dirimu sendiri
wolverine,serigala
storm,badai
stormcoming,badai datang
approachingstorm,mendekati badai
approach,pendekatan
poof,puf
iamgone,iamgone
kittypryde,kittypryde
imhere,di sana
iamheretohelp,iamheretohelp
ProfessorX,Profesor X
freak,aneh
circus,sirkus
notacircusfreak,notacircusfreak
circusfreak,Circusfreak
Mystique,Mistik
dontbelieve,jangan percaya
sight,melihat
everythingyousee,semuanya tidur
toomuch,terlalu banyak
toomuchiron,Dan teori cambuk
Magneto,Dinamo kecil
cardtricks,sulap kartu
iheard,iheard
hear,mendengar
heard,dengar
openmyeyes,Buka mataku
eyes,mata
dontmakeme,jangan main
cyclops,cyclop
tricks,Trik
anymoretricks,anymoretricks
mastermind,dalang
iamfabulous,iamfabulous
heyeveryone,Hai semuanya
witchplease,tolonglah
hulkhungry,Hulkhungri
needahand,butuh pertolongan
whareyoulookingat,whareyoulookingat
lookingat,melihat ke
sharp,tajam
sharply,tajam
dressedsharply,berpakaian rapi
allsizes,allsizes
knowledgeispower,pengetahuan adalah kekuatan
hermione,Hermione
thechosenone,tekonone
chosen,terpilih
harry,Harry
AlbusDumbledore,Albus Dumbledore
Dumbledore,Dumbledore
fatherwillhaeraboutthis,ayahakan lebih baik tentang ini
aboutthis,tentang ini
dobby,dobby
freeelf,freeelf
elf,peri
sock,kaus kaki
letmekissyou,yang LetMeKissYou
comeout,keluar
avada,buka
kedavra,kedavra
avadakedavra,Avadavadavara
mustnotlie,mustnotlie
youmusttellies,terima kasih
Weasley,Weasley
Ron,Ron
RonWeasley,Ron Weasley
ronweasleyisourking,ronweasleyadourking
badiya,Baiklah
bahutbadiya,Sangat bagus
thumbsdown,jempol ke bawah
epicfail,gagal total
muhpechamat,muhpechamat
muhpe,Mulut
chamat,Sparkle
facepalm,facepalm
yohoney,yohoney
susu,susu
littlefinger,jari kecil
abhiaya,Abhay
callofnature,callofnature
loo,toilet
chub,chub
chubbey,chubbey
shh,shh
shhh,ssst
shantipeace,Pembuat perdamaian
peaceout,kedamaian
sabchaltahai,Tentu saja
sabchalta,Transparansi
allok,Allok
nahidekha,Tidak terlihat
dekha,Bertemu
aankhenbandh,Aankhandbandh
eyesclosed,mata tertutup
ohhemmgee,ohmmgee
kyaomg,Kyong
wicketpewicket,gawang gawang
orangearmy,orangearmy
army,tentara
baigan,Brinjal
miladete,Mladet
riseaboveall,risalloveallall
above,atas
riseabove,naik di atas
nofikar,nofikar
fikar,memiliki kopi
worry,khawatir
noworry,tidak khawatir
wehaveShikhar,wehaveShikhar
Shikhar,Puncak
nawab,nawab
nawabi,nawabi
nehra,nehra
NawabiNehra,NawabiNehra
kiraak,retak
kirak,Kirk
kiraakshot,Kirahsot
panga,bank
nakkolagao,nakkantenao
panganakkolagao,Hang out
donotchallenge,jangan menantang
Charminaar,Charminar
Charminaarkepatthe,Charminaarkepatthe
patthe,Di jalan
biryani,Nasi Biryani
biriyani,Biriyani
wonthetoss,wonthetoss
optedtowin,memilih untuk memilih
kohli,Kohli
playhard,bermain dengan serius
harder,lebih sulit
partyharder,pesta lebih keras
playbold,playbold
ChrisGayle,ChrisGayle
Pitchbakwastha,Pitchbakwastha
oolalalaleeoo,oolalalaleeoo
LaaLaaLaa,Saya akan pergi
deVilliers,deVilliers
oneteam,oneteam
rulethemall,memerintah semuanya
GoRCB,GoRCB
chasemacha,terbuang
Gayle,Gayle
Gaylestorm,Gallastrom
hurricane,badai
herecomes,ini dia
sabseuparRCB,sabseuparRCB
MC,MC
RCBthebest,RCBthebest
Mr360,Merat 0
360degrees,360 derajat
ABdeVilliers,AbdeVilliers
Punjabis,Punjab
dontkeepcalm,jangankeepcalm
maxwell,Maxwell
Yaaraan,Sedikit
WriddhimanSaha,WriddhimanSaha
livepunjabi,Punjabi
playpunjabi,playpunjabi
KillerMiller,KillerMiller
DavidMiller,David Miller
ChakDePhatte,Chak De Phatte
Kamaal,Luar biasa
Lassidakamaal,Di Lassidakamaa
dhaba,dhaba
givethatman,Pemberi
sada,sekarang
Patiala,Patiala
PunjabiPower,Kekuatan Punjabi
zinta,zinta
Steyn,Steyn
DavidSteyn,DavidSteyn
firefoot,pemadam kebakaran
DwayneBravo,DwayneBravo
GujjuChampion,Gujjuchampiyan
champion,juara
champions,juara
Raina,Raina
SureshRaina,SureshRaina
Beholsthelions,Beholsthelions
lions,singa
pakoflions,pakoflions
BrendonMcCullum,BrendonMcCullum
McCullum,McCullum
gamemaarichee,gamemaarichee
shikar,Korban
prowl,berkeliaran mencari mangsa
shernikleshikaarpe,shernikleshikaarpe
paisawasool,paisawasool
paisavasool,Uang
vasool,koleksi
DwayneSmith,DwayneSmith
Trustjaadu,Trstajadu
RavindraJadeja,Ravindrajadeja
Jadeja,Jadeja
havee,Howdy
haveeapni,SekarangApp
vaariche,oleh
garvi,Mendidih
garvigujarat,Badai petir
dhokle,Dhokle
shokla,shokla
dhoklekadum,Dhoklekadam
Zippy,Bergairah
LegCutter,LegCutter
ZaheerKhan,ZaheerKhan
fastbowler,bowler cepat
issbar,bar
isbaar,Kali ini
jeetapni,Menang
devilssound,devilssound
RishabhPant,Rishabhpant
toli,jauh
Tashankitoli,Ta Yamaguchi ITO
khelo,Main
frontfoot,kaki depan
front,depan
foot,kaki
odd,aneh
even,bahkan
harayenge,Akan mengalahkan
dillikelaunde,Delhi kelonde
launde,Polandia
dilliboyz,Delhiboy
dilseloud,dilseloud
dilseproud,dilseproud
datewiththedevils,datthiththedils iblis
risewiththegiants,risthithantants
giants,raksasa
Plessis,Plessis
Misalpav,Ketidakpuasan
Paver,Batu untuk melapisi jalan
IrfanPathan,IrfanPathan
KP,KP
kamal,kamal
Pieterson,Pieterson
MSD,MSD
Dhoni,Dhoni
expert,ahli
IshantSharma,IshantSharma
fiery,berapi
punery,hukuman
lavani,lavani
nayarang,nayarang
captaincool,Captaincool
MahindraSinghDhoni,Mahindrasinghadhani
aalire,aalire
baariaali,baariaali
ajinkya,ajinkya
Rahane,Hidup
drinksonme,drinksonme
mytreat,Perlakuanku
birthdaybump,pesta ulang tahun
justanumber,justanumber
timefortreat,timefortreat
goodies,barang
snacker,cemilan
pieceofcake,sepotong kue
birthdaycake,kue ulang tahun
box,kotak
smell,bau
fragrance,keharuman
itsmybirthdayt,itsmybirthdayt
mybirthday,ulang tahunku
stillsexy,stillsexy
yearolder,tahun lebih tua
sexyasever,sexyasever
prsent,hadir
giftbox,kotak hadiah
awaits,menunggu
giftawaits,giftawaits
bachao,Simpan
rescue,menyelamatkan
babajikagyaan,Babaji
gyaan,gyaan
fuk,fuk
fukfuk,Berbulu halus
fukfukfuk,Fluffy fluffy fluffy
swirl,keramaian
thero,thero
therothero,therothero
shaktimaan,shaktimaan
sorryshaktimaan,sorryshaktimaan
Gangadhar,Gangadhar
shaktimaanhai,Shaktimaan
Pahh-Waar,Pahh-Dimana
Pahwar,Pahwar
kayamrahe,Kamera
kayam,cedera
andherakayamrahe,Berkepala hitam
Pandit,Pandit
Vidhyadhar,Sarjana
Mayadhar,Mayadhar
Omkarnath,Omkarnath
Shastri,Shastri
realname,nama asli
Shaktiman,Kuat
ValarMorghulis,Valarmorakulica
Allmenmustdie,Allmenmustdie
AryaStark,Aryster
MassieWilliams,MassieWilliams
Winterishere,Musim dingin di sana
WhiteWalker,WhiteWalker
lannister,tuan
debt,hutang
Tyrion,Tyrion
TyrionLannister,Tyrion Lannister
payshisdebt,payscisdedebt
pays,membayar
payment,pembayaran
worst,terburuk
worstones,badones
SophieTurner,SophieTurner
pure,murni
purestdeath,paling murni
deathbyfire,deathbyfire
Melisandre,Melisandre
DaenerysTargaryen,Daenerys Targaryen
dragon,naga
motherofdragon,motherofdragon
motherofdragons,motherofdragons
dragons,naga
slaves,budak
dragonsarenotslaves,dragonsarenotslaves
JonSnow,JonSnow
night'swatch,night'swatch
Thingsido,Thingsido
forlove,menunangkan
JamieLannister,Jaime Lannister
Hodor,Hodor
Wylis,Wylis
loyalservant,loyalservant
CerseiLannister,Cersei Lannister
Ichooseviolence,Ichooseviolence
violent,kasar
violence,kekerasan
IamPool,IamPool
Deadpool,Kolam kematian
gazillion,trilyun
$$$,$$$
onegazilliondollar,onegazilliondollar
bullets,peluru
kill,membunuh
ihave4bullets,ihave4bullets
12peipletokill,12peipletokill
rollin',berguling
hatin',Hatin '
hatin,Hatin
hating,membenci
rolling,bergulir
theyseemerolling,mereka melihat keluar
theyhating,mereka membenci
smellycat,kucing bau
whatraetheyfeedingyou,apa yang kamu makan kamu
feed,makan
feeding,makanan
might,mungkin
mighty,kuat
whoismighty,Whoismighty
a$$,a $$
ass,pantat
kissmyass,kissmyass
cut,memotong
chimi,Terobsesi
changas,changas
it'stimetocutchimichangas,it'stimetocutchimichangas
chica,chica
chicahhh,Chickahhh
chicachicahhh,Cewek cewek
Sem1,Sem1
semester,semester
nextsem,selanjutnya
marksheet,Marksheet
lite,ringan
BST,BST
aramse,aramse
chalenge,Akan berjalan
Av,dari
lagegi,Akan terlihat
6ya7,Tumbangkan
ghot,Terjadi
ghothaisala,Ghothisala
knotted,kusut
T1,T1
T2,T2
phodenge,Will meledak
phoenix,phoenix
meinhi,Mehi
phoenxmainho,Foxmanho
Pearl,Mutiara
Pearlball,Bola mutiara
koimili,koimili
discomeinjaye,discomeinjaye
litele,LITE
spell,mengeja
spelling,ejaan
Crimemaster,Crimemaster
ShaktiKapoor,Shaktikapur
aankhein,Mata
goliyaa,Tembakan
goliyakhelunga,Goliyakhelonga
mainhoon,mainhoon
idharhai,Ditahan
teragamekardunga,adalah seorang kardinal
humareplan,smokeplan
plankmatabik,Planmatics
galti,Salah
mistake,kesalahan
galtisemistake,galti se kesalahan
AndazApnaApna,Berspekulasi
apnaapna,Keakraban
Aila,Aila
Ailaaaa,Ailaaaa
Ayahu,ayah
kuchleke,rusak
leke,Untuk anda
lekejaunga,yang terbaik
CrimemeasterGogo,CrimemeasterGogo
purush,Laki-laki
mahapurush,Pria hebat
aappurushhinahi,aappurushhinahi
mahapurushho,Pria hebat
OoiMaa,OoiMaa
Ooi,Ya
Ui,Ui
UiMaa,celana pantai
windowshopping,windowshopping
harwish,Harwish
purihogi,Puri Hogi
100%original,100% asli
product,produk
products,produk
fashionhasanewaddress,fashionhasanewressress
newaddress,alamat baru
newwebsite,situs web baru
onlineshopping,belanja online
easyreplacement,penggantian mudah
replacement,penggantian
replace,menggantikan
parcel,paket
easily,dengan mudah
access,mengakses
accessible,dapat diakses
nakkad,Nakkat
ushhar,ushhar
udhaarwaledisco,Borrowedisco
nakkadwaledisco,disko nakkadwale
jaebhalka,online
dilhalka,eksekusi
jaeb,Akan pergi
economic,ekonomis
countlessoptions,banyak pilihan
option,pilihan
shoppingoption,pilihan belanja
chose,memilih
khareedo,Beli
dekhomagarpyarse,Lihat cinta
dekhopyarse,Sampai jumpa
khareedocardse,Beli kartu
outofthebox,keluar dari kotak
revealed,mengungkapkan
notfunny,tidak lucu
badgirls,badgirls
badbitches,penjahat
poorguys,lelaki malang
youpoorguys,Anda orang tua
pussypawer,pussypawer
pussy,vagina
pawer,Kekuasaan
kit,kit
kitfircats,kitfircats
weneed,kita butuh
weneedtotalk,kita perlu bicara
purr,dengung
catsound,catsound
PAWerful,Kuat
paw,mengais
iampawerful,iampawerful
purrrpurr,purrrpurr
catsounds,masalah cat
Whasuup,Apa itu
moonpie,moonpie
mantis,belalang
prayingmantis,belalang sembah
preyingmantis,mangsa preying
wineglass,gelas anggur
yousuck,kamu Payah
knockknock,ketukan
knockknockknock,ketukan ketuk
knockthedoor,ketuk pintunya
goodmorning,Selamat pagi
ordinary,biasa
peeps,mengintip
goodmorningpeople,Selamat pagi semuanya
scissor,menggunting
lizard,kadal
spock,spock
vengeful,dendam
iamavengefulperson,iamavengefulperson
software,perangkat lunak
turnon,berbalik
youturn,giliranmu
softwaretohardware,softwaretohardware
richierich,richierich
cars,mobil
brat,anak nakal
richbrat,Richbro
myparentsraerich,myparentsraerich
iamaniceguy,iamaniceguy
niceguy,orang baik
goodguy,orang baik
newhomo,newhomo
homosexual,homoseksual
lgbtq,lgbtq
imthenewhomo,imthenewhomo
intown,di kota
town,kota
queer,aneh
haveyoumetmymother,haveyoumetmymother
jew,Yahudi
jewishhell,Jewishhell
wrong,salah
idknow,idknow
ifiwerewrong,ifiwerewrong
iamafailure,Kegagalan iama
ireallydontcare,ireallydontcare
care,peduli
Pathan,Pathan
packsapunch,packsapunch
knights,ksatria
cheersfortheknights,cheersfortheknights
korbo,Akan lakukan
lorbo,Saya akan bertarung
jeetbo,Jeetbo
Jeethbo,Jeethbo
KorboLorboJeethbo,Taksidermi
Kallis,Kallis
KingKallis,KingKallis
Go4more,Lebih lanjut
GoKnightRiders,GoKnightRiders
JuhiChawla,JuhiChawla
Gautam,Gautam
gambhir,gambir
GautamGambhir,Gautam Gambhir
AwesomeGautam,AwesomeGautam
RockingRobin,RockingRobin
Robin,Robin
YusufPathan,YusufPathan
PathanPower,Kekuatan membaca
Russel,Russel
MuscleRussel,MuscleRussel
Morne,Mourne
MIghtyMorne,MIghtyMorne
ShahRukhKhan,Sahrukhkan
Dontgossip,Dontgosip
lethimdrive,lethimdrive
gossip,gosip
Impatient,Tidak sabar
patientinhospital,pasien di rumah sakit
brokenlimbs,patah kaki
seatbelts,sabuk pengaman
fastenbelt,fastenbelt
fastenseatbelt,fastenseatbelt
blinddate,blinddate
blind,buta
speedlimit,batas kecepatan
40kmph,40kmph
notsofast,notsofast
darlingnotsofast,darlingnotsofast
goslow,Goslow
highway,jalan raya
runway,landasan pacu
notrunway,notrunway
peeppeep,peeppeep
horn,tanduk
peep,mengintip
dontsleep,jangan tidur
afterwhiskey,setelah wiski
dontdrinkanddrive,dontdrinkanddrive
drivingrisky,mengemudi keras
menatwork,menatwork
construction,konstruksi
underconstruction,dalam masa pembangunan
roadunderconstruction,roadunderconstruction
nana patekar funny,gambar lucu nana patekar
thok de,Hit
ab tak chappan,Lima puluh enam sampai sekarang
give me my change,berikan saya kembalian saya
nana patekar angry,Nana Patekar Marah
nana patekar pissed,nana patekar marah
kaisa kanoon,Hukum apa
nana patekar,Nana Patekar
chai pila de,Chapira
mere ko do,Berikan aku
hinjada scene,adegan hijra
nana patekar dancing,Nana Patekar - Dance With You
konsa teer,jadi teer
bika hai,Telah terjual
adha kanda,Setengah kanda
welcome dialog,dialog selamat datang
nana patekar dialogue,dialog nana patekar
control uday,kontrol uday
welcome funny,selamat datang lucu
machchar aadmi ko,Manusia nyamuk
nana patekar hinjada,nana patekar hinjada
hinjada bana deta hai,hinjada larangan deta hai
achcha hai,Bagus
tendulkar bunn ne ka,kamu adalah kelinci
kaif nahi,Bagaimana kita melarang
nana patekar movie scene,adegan film nana patekar
nana holding bat,nana memegang kelelawar
rdb,rdb
aamir khan,aamir khan
jawani,Pemuda
youth,pemuda
bharat mata ki jai,Bharat mata ki jai
indian sportsman,olahragawan India
female sportsman,olahragawan perempuan
akshay kumar airlift,akshay kumar airlift
patriotic scene,adegan patriotik
airlift,pengangkutan udara
sania mirza,sania mirza
proud indian,India bangga
madhavan,madhavan
jai jawaan,Jay Jawan
army man,pria tentara
swades,swades
rani lakshmi bai,Rani Laxmi Bai
jai hind,saya punya belakang
jhansi ki rani,Ratu Jhansi
brave woman,wanita pemberani
mary kom,Mary akan datang
jai bharat,Jai Bharat
sunny deol dialog,dialog cerah deol
sunny deol,Deol cerah
sunny deol dialogue,dialog cerah deol
hindustan zindabad,Hindustan Zindabad
gadar,jembatan
mahatama gandhi,Mahatma Gandhi
republic day,hari Republik
marching,berbaris
saina nehwal,Saina Nehwal
68th republic day,Hari republik ke-68
vande mataram,Vande mataram
indian proud,India bangga
pagal hai,Gila
welcome dialogue,selamat datang dialog
if you know what i mean,jika kamu tahu maksud saya
i have no idea what i am doing,Saya tidak tahu apa yang saya lakukan
shark,hiu
going nuts,menjadi gila
matlab kuch bhi,Berarti apa saja
brace yourself,persiapkan dirimu
get ready,siap-siap
can you not,tidak bisakah kamu
i am sure you can do it,Saya yakin Anda bisa melakukannya
go for it,lakukan itu
didn't study for the test bt aced it,tidak belajar untuk ujian tetapi melakukannya
my cup of tea,secangkir teh saya
i am such a nerd,saya kutu buku seperti itu
out of mind,keluar dari pikiran
this is spartaa..,ini SPARTA..
sparta,sparta
keep calm and carry on,tetap tenang dan terus berjalan
go easy,pergi dengan mudah
what's going on here?,apa yang terjadi di sini?
kya chal rha hai,Apa yang terjadi
i will find you and kill you,aku akan menemukanmu dan membunuhmu
destroy you,hancurkan kamu
beware,Waspadalah
you are friendzoned,kamu bersahabat
not my type,bukan tipe saya
friends forever,teman selamanya
not intrested,tidak tertarik
i don't want any excuses,saya tidak ingin ada alasan
no excuses,tidak ada alasan
bossy,suka memerintah
mm... girl preach it,mm ... gadis memberitakannya
preachings,khotbah
too preachy,terlalu berkhotbah
you used to,kamu dulu
done that before,melakukan itu sebelumnya
dont't be lame,jangan lumpuh
Aliens,Alien
out of the world,keluar dari dunia
freaks,orang aneh
wierd,aneh
wierdo,wierdo
latthi khaega,Akan memakan tongkat
sarcastic,sarkastik
raja ka beta,raja ke beta
the one,yang satu
bas ho gya,Itu dia
i am done,saya sudah selesai
thappad khaega,Akan menampar
not approved,tidak disetujui
call me,panggil aku
seeker,pencari
vvip,vvip
main raja hu,bermain raja hu
spoiled,manja
kings life,raja hidup
are nacho,adalah nacho
lets dance,Mari Menari
joyfull,penuh sukacita
long drive pe chal,perjalanan panjang pe chal
long drive,perjalanan panjang
king size,ukuran raja
special rides,wahana khusus
lathi,kesalahan
cane,tebu
angry man,pria yang marah
dhamki,Ancamannya
dhamkana,Mengancam
hadkana,lupakan itu
pampered,manja
bhao khana,Perasaan
iklauta,Satu-satunya
spoiled brat,anak manja
wait for me,tunggu aku
don't go,jangan pergi
mat jao,Jangan pergi
hurrey,Hurrey
super happy,Sangat senang
top of the world,atas dunia
good mood,suasana hati yang baik
contempt,penghinaan
dont mess,jangan berantakan
need to talk,perlu bicara
keep in touch,tetap berhubungan
itraana,Irrana
i am the king,saya adalah raja
the vip,vip
elephant ride,naik gajah
rajkumar,rajkumar
stop it,Hentikan
stop that,Hentikan itu
raja,raja
ghamandi,Highbrow
maze karo,Selamat bersenang-senang
naacho,Menari
lets go,Ayo pergi
chandlier,tempat lilin
phoebe,phoebe
joey,joey
ross,Ross
