bobble,बडबड
meinhi,मेही
phoenxmainho,फॉक्समॅनहो
Pearl,मोती
Pearlball,पर्लबॉल
koimili,koimili
discomeinjaye,डिस्कमेइंजये
litele,लाइट
spell,शब्दलेखन
spelling,शब्दलेखन
Crimemaster,क्राइमास्टर
ShaktiKapoor,शक्तीकपूर
aankhein,डोळे
goliyaa,गोळीबार
goliyakhelunga,गोलियाखेलोंगा
mainhoon,मेनहून
idharhai,आयोजित केली आहे
teragamekardunga,मुख्य आहे
humareplan,धुम्रपान
plankmatabik,प्लॅनेटिक्स
galti,चूक
mistake,चूक
galtisemistake,गॅल्टी से चूक
AndazApnaApna,सट्टा
apnaapna,ओळख
Aila,Aila
Ailaaaa,आईलाआ
Ayahu,वडील
kuchleke,तुटलेली
leke,आपल्यासाठी
lekejaunga,सर्वोत्तम
CrimemeasterGogo,क्राइममेस्टरगोगो
purush,नर
mahapurush,महान माणूस
aappurushhinahi,aappurushhinahi
mahapurushho,महान पुरुष
OoiMaa,OoiMaa
Ooi,होय
Ui,Ui
UiMaa,बीच पायघोळ
windowshopping,विंडो शॉपिंग
harwish,हार्विश
purihogi,पुरी होगी
100%original,100% मूळ
product,उत्पादन
products,उत्पादने
fashionhasanewaddress,फॅशनहासनेड्रेस
newaddress,नवीन पत्ता
newwebsite,न्यूवेबसाइट
onlineshopping,ऑनलाईन खरेदी
easyreplacement,Easyre प्लेसमेंट
replacement,बदली
replace,पुनर्स्थित करा
parcel,पार्सल
easily,सहज
access,प्रवेश
accessible,प्रवेश करण्यायोग्य
nakkad,Nakkat
ushhar,उशहर
udhaarwaledisco,उधार घेणारा
nakkadwaledisco,नाक्कडवाले डिस्को
jaebhalka,ऑनलाइन
dilhalka,अंमलबजावणी
jaeb,जाईल
economic,आर्थिक
countlessoptions,असंख्य
option,पर्याय
shoppingoption,शॉपिंग शो
chose,निवडले
khareedo,खरेदी करा
dekhomagarpyarse,प्रेम पहा
dekhopyarse,आपण भेटू
khareedocardse,कार्ड खरेदी करा
outofthebox,आउटफोथ बॉक्स
revealed,प्रकट
notfunny,notfunny
badgirls,बॅडगर्ल्स
badbitches,बॅडबचेस
poorguys,गरीब
youpoorguys,youpoorguys
pussypawer,pussypawer
pussy,मांजर
pawer,शक्ती
kit,किट
kitfircats,Kitfircats
weneed,आम्हाला गरज आहे
weneedtotalk,आपल्याला बोलायची गरज आहे
purr,purr
catsound,कॅटसाऊंड
PAWerful,सामर्थ्यवान
paw,पंजा
iampawerful,iampawerful
purrrpurr,पुरूरपूर
catsounds,मांजरीचा आवाज
Whasuup,व्हेसुप
moonpie,मूनपी
mantis,मांट्या
prayingmantis,प्रार्थना मंत्र
preyingmantis,प्रेयिंगमॅन्टीस
wineglass,दारूचा प्याला
yousuck,yousuck
knockknock,ठक ठक
knockknockknock,नॉक नॉक
knockthedoor,ठोठावले
goodmorning,शुभ प्रभात
ordinary,सामान्य
peeps,डोकावतो
goodmorningpeople,चांगले लोक सकाळी
scissor,कात्री
lizard,सरडे
spock,स्पॉक
vengeful,सूड घेणारा
iamavengefulperson,iamavengefulPress
software,सॉफ्टवेअर
turnon,वळण
youturn,यूटर्न
softwaretohardware,सॉफ्टवेयर
richierich,richierich
cars,मोटारी
brat,ब्रॅट
richbrat,रिचब्रो
myparentsraerich,myparentsraerich
iamaniceguy,iamaniceguy
niceguy,छान व्यक्ती
goodguy,चांगले
newhomo,न्यूहमो
homosexual,समलैंगिक
lgbtq,lgbtq
imthenewhomo,इम्थीनहोमो
intown,इनटाउन
town,शहर
queer,विचित्र
haveyoumetmymother,hasyoumetmy आई
jew,यहूदी
jewishhell,रत्नजडित
wrong,चुकीचे
idknow,आयडकन
ifiwerewrong,ifiwerewrong
iamafailure,iamafailure
ireallydontcare,ireallydontcare
care,काळजी
Pathan,पठाण
packsapunch,पॅक्सपंच
knights,नाइट्स
cheersfortheknights,चीअरफॉरटेकनाइट्स
korbo,करेल
lorbo,मी लढाई करीन
jeetbo,जीतबो
Jeethbo,जीथबो
KorboLorboJeethbo,टॅक्सीडरमी
Kallis,कॅलिस
KingKallis,KingKallis
Go4more,Go4more
GoKnightRiders,GoKनाइटराइडर्स
JuhiChawla,जुहीचावला
Gautam,गौतम
gambhir,गंभीर
GautamGambhir,गौतम गंभीर
AwesomeGautam,अप्रतिम गौतम
RockingRobin,रॉकिंगरोबिन
Robin,रॉबिन
YusufPathan,युसूफ पठाण
PathanPower,वाचन शक्ती
Russel,रसेल
MuscleRussel,स्नायूविक्री
Morne,मॉर्ने
MIghtyMorne,मिग्टीमॉर्न
ShahRukhKhan,Sahrukhkan
Dontgossip,डोंटगोसीप
lethimdrive,lethimdrive
gossip,गप्पाटप्पा
Impatient,अधीर
patientinhospital,रुग्णवाहिका
brokenlimbs,ब्रेकलिम्ब्स
seatbelts,आसन पट्टा
fastenbelt,फास्टनबेल्ट
fastenseatbelt,फास्टनसेटबेल्ट
blinddate,अंध
blind,आंधळा
speedlimit,वेग मर्यादा
40kmph,40 किमी प्रति तास
notsofast,notsofast
darlingnotsofast,darlingnotsofast
goslow,गॉसलो
highway,महामार्ग
runway,धावपट्टी
notrunway,notrunway
peeppeep,peeppeep
horn,हॉर्न
peep,डोकावणे
dontsleep,डोन्सट झोप
afterwhiskey,नंतर व्हिस्की
dontdrinkanddrive,dontdrinkanddrive
drivingrisky,ड्रायव्हिंगस्की
menatwork,मेनटवर्क
construction,बांधकाम
underconstruction,अंडरकंक्शन
roadunderconstruction,रोडंडर कन्स्ट्रक्शन
nana patekar funny,नाना पाटेकर मजेदार छायाचित्रे
thok de,हिट
ab tak chappan,आतापर्यंत पंच्याऐंशी
give me my change,मला माझा बदल द्या
nana patekar angry,नाना पाटेकर संतप्त
nana patekar pissed,nana patekar pissed
kaisa kanoon,काय कायदा
nana patekar,नाना पाटेकर
chai pila de,चपीरा
mere ko do,मला द्या
hinjada scene,हिजरा दृश्य
nana patekar dancing,नाना पाटेकर - तुमच्याबरोबर डान्स करा
konsa teer,खूप अश्रू
bika hai,विकली आहे
adha kanda,अर्धा कांडा
welcome dialog,स्वागत आहे संवाद
nana patekar dialogue,नाना पाटेकर संवाद
control uday,उदय नियंत्रित करा
welcome funny,स्वागत आहे मजेदार
machchar aadmi ko,मच्छर मनुष्य
nana patekar hinjada,नाना पाटेकर हिंजदा
hinjada bana deta hai,हिंजदा बन देटा है
achcha hai,चांगले आहे
tendulkar bunn ne ka,तू ससा आहेस
kaif nahi,आम्ही कसे मना करू
nana patekar movie scene,नाना पाटेकर चित्रपटाचा देखावा
nana holding bat,नाना धरुन बॅट
rdb,आरडीबी
aamir khan,आमिर खान
jawani,तारुण्य
youth,तारुण्य
bharat mata ki jai,भारत माता की जय
indian sportsman,भारतीय खेळाडू
female sportsman,महिला खेळाडू
akshay kumar airlift,अक्षय कुमार विमान
patriotic scene,देशभक्तीचा देखावा
airlift,विमान
sania mirza,सानिया मिर्झा
proud indian,गर्विष्ठ भारतीय
madhavan,माधवन
jai jawaan,जय जवान
army man,सैन्य माणूस
swades,स्वदेस
rani lakshmi bai,राणी लक्ष्मीबाई
jai hind,मी मागे आहे
jhansi ki rani,झाशीची राणी
brave woman,शूर स्त्री
mary kom,मेरी येत आहे
jai bharat,जय भारत
sunny deol dialog,सनी देओल डायलॉग
sunny deol,सनी देओल
sunny deol dialogue,सनी देओल संवाद
hindustan zindabad,हिंदुस्तान जिंदाबाद
gadar,पूल
mahatama gandhi,महात्मा गांधी
republic day,प्रजासत्ताक दिवस
marching,कूच
saina nehwal,सायना नेहवाल
68th republic day,68 वा प्रजासत्ताक दिन
vande mataram,वंदे मातरम्
indian proud,भारतीय अभिमानी
pagal hai,वेडा आहे
welcome dialogue,स्वागत आहे संवाद
if you know what i mean,जर मला माहित असेल तर मी काय म्हणालो आहे
i have no idea what i am doing,मी काय करीत आहे याची मला कल्पना नाही
shark,शार्क
going nuts,काजू जात
matlab kuch bhi,म्हणजे काहीही
brace yourself,स्वतःला ब्रेस कर
get ready,तयार करा
can you not,तूला नाही का शक्य
i am sure you can do it,मला खात्री आहे की आपण हे करू शकता
go for it,त्यासाठी जा
didn't study for the test bt aced it,बीटी aced चाचणीसाठी अभ्यास केला नाही
my cup of tea,माझा चहाचा कप
i am such a nerd,मी एक मूर्ख आहे
out of mind,मनाबाहेर
this is spartaa..,हा स्पार्ट आहे ..
sparta,स्पार्टा
keep calm and carry on,शांत राहा आणि काम सुरु ठेवा
go easy,सहज जा
what's going on here?,इथे काय चालले आहे?
kya chal rha hai,काय चाललंय
i will find you and kill you,मी तुला सापडेल आणि ठार करीन
destroy you,आपण नष्ट
beware,सावध रहा
you are friendzoned,आपण मैत्रीपूर्ण आहात
not my type,माझा प्रकार नाही
friends forever,कायमचे मित्र
not intrested,रस नाही
i don't want any excuses,मला काही सबबी नको आहेत
no excuses,निमित्त नाही
bossy,बढाईखोर
mm... girl preach it,मिमी ... मुलगी उपदेश
preachings,उपदेश
too preachy,खूप उपदेश
you used to,आपण सवय केली
done that before,त्यापूर्वी केले
dont't be lame,पांगळे होऊ नका
Aliens,एलियन
out of the world,जगाच्या बाहेर
freaks,freaks
wierd,वायर्ड
wierdo,वायर्डो
latthi khaega,लाठी खाईल
sarcastic,उपहासात्मक
raja ka beta,बीटा राजा
the one,एक
bas ho gya,तेवढेच
i am done,झाले माझे
thappad khaega,थप्पड मारेल
not approved,मान्यता नाही
call me,मला बोलवा
seeker,साधक
vvip,vvip
main raja hu,राजा हू खेळत आहे
spoiled,खराब झाले
kings life,राजे जीवन
are nacho,नाचो आहेत
lets dance,चल नाचुयात
joyfull,जॉयफुल
long drive pe chal,लाँग ड्राईव्ह पे चल
long drive,लाँग ड्राईव्ह
king size,राजा आकार
special rides,विशेष सवारी
lathi,चुका
cane,ऊस
angry man,चिडलेला माणूस
dhamki,धमकी
dhamkana,धमकी देणे
hadkana,विसरा
pampered,लाड केले
bhao khana,वाटत आहे
iklauta,फक्त
spoiled brat,वाया गेलेला मुलगा
wait for me,माझ्यासाठी थांब
don't go,जाऊ नका
mat jao,जाऊ नका
hurrey,होरे
super happy,खूप आनंदी
top of the world,जगाच्या शिखरावर
good mood,चांगला मूड
contempt,अपमान
dont mess,गोंधळ करू नका
need to talk,बोलणे आवश्यक आहे
keep in touch,संपर्कात रहा
itraana,Irrana
i am the king,मी राजा आहे
the vip,व्हीआयपी
elephant ride,हत्तीची चाल
rajkumar,राजकुमार
stop it,ते थांबवा
stop that,ते थांबव
raja,राजा
ghamandi,हायब्रो
maze karo,मजा करा
naacho,नृत्य
lets go,चल जाऊया
chandlier,झूमर
phoebe,फूबे
joey,जॉय
ross,रॉस
monica,मोनिका
rachael,राचेल
chesse,चेस
anxious,चिंताग्रस्त
person,व्यक्ती
somebody,कुणीतरी
humour,विनोद
comfort,सांत्वन
chhota,लहान
bheem,भीम
chutki,एक चिमूटभर
dholakpur,ढोलकपूर
raju,राजू
palace,राजवाडा
choota,Cuta
chhota bheem,छोटा भीम
dholu,ढोल
bholu,भोळू
chota bheem,छोटा भीम
crown,मुकुट
gaon,गा
belan,छान
ladoos,बाजूला
kalia,कालिया
kaalia,कोबी
ladoo ke bhaiya,लाडूचा भाऊ
baa,ते आहेत
pakde,पकडे
hain,आहेत
vibhuti ji,श्री विभूती
nalle,टेडी बेअर
kanpur,कानपूर
ghuinya ke kisaan,फेरीवाला शेतकरी
tiwari,तिवारी
tiwariji,तिवारीजी
anitaji,अनिताजी
bhabhiji,सासू
daroga,निरीक्षक
nyochavar,त्याग
kachu,कातू
angoori,अंगुरी
bhabhi ji,सासू
haye,बनणे
daiyaa,दिले
gori,ज्वलंत
fair,योग्य
mem,मेम
vibhu,विभू
angoori ji,अंगुरी
tiwari ji,तिवारी जी
bittu,सोडा
gutthi,किंक
taiyaar,तयार
tonty,आजचा दिवस
thoko,थोको
taali,डेली
siddhu,सिद्धू
gayee,गेले
kapil sharma,कपिल धर्म
shagun,शगुन
bittu ki bua,बिट्टू काकू
phool,फुले
gulshan,गुलशन
aap aaye hain,तुम्ही आलात
khile,मोहोर
palak,मेंढपाळ
oooooo,oooooo
babaji ka thullu,बाबाजी की तुळु
comedy nights,विनोद रात्री
ittu,तिथे होते
dadi,पृथ्वी
'sa,'करण्यासाठी
fielding,क्षेत्ररक्षण
jeeto,विन
haaro,तो नाही
banti hai,आपल्याकडे बंदी आहे
win or lose,जिंकणे किंवा पराभूत करणे
broken televison,तुटलेली दूरचित्रवाणी
andha,द
romanchak,थरारक
exciting,रोमांचक
this match,हा सामना
bandh,धरण
wicket fall,विकेट बाद होणे
girwa,गिरवा
manhoos,आजारी
iss baar,या वेळी
this time,यावेळी
jeetoge,आपण जिंकलात
we won,आम्ही जिंकलो
jeet gaye,जिंकले आहेत
mai,अधिक
curious,उत्सुक
jungle,जंगल
mangal,चांगुलपणा
forest,वन
jungle mangal,जंगल मंगळ
sabu,गणित
chaudhary,चौधरी
good girl,चांगली मुलगी
acchi,चांगले
bacchi,बाची
no school,शाळा नाही
bhagta,चालू आहे
pyaara,प्यारा
lovely friend,प्रिय मित्र
badla,बदला
apsara hu,अप्सरा i
i am princess,मी राजकन्या आहे
sab badhiya,सर्व चांगले
all good,सर्व चांगले आहे
daro mat,घाबरू नका
dont fear,घाबरू नका
i am here,मी इथे आहे
mauka mauka,संधी संधी
opportunity,संधी
t20,टी 20
ka badla,चा बदला
wicket se,त्यांना विक
t 20,टी 20
bleed blue,रक्त निळा
virat,प्रचंड
virat kohli,विराट कोहली
world cup T20,विश्वचषक टी २०
we will win,आम्ही जिंकू
jeetaga,एक जेट सह
strom,strom
shaant,शांत
shant,शांत
dobara,वस्तू
mahendra singh dhoni,महेंद्रसिंग धोनी
MS dhoni,एमएस धोनी
ghumake,रोल करा
one two three four,एक दोन तीन चार
char,चार
villian,व्हिलियन
mukesh rishi,मुकेश iषी
mai hoon bhulla,मी विसरलो आहे
maine,मेन
vitamin,व्हिटॅमिन
sax,सॅक्स
khaya,खाल्ले
shakti kapoor,शक्ती कपूर
chupu,दर्शवा
viagra,वायग्रा
calendar,कॅलेंडर
hote,असणे
pote,मित्र
khada,उभे
hatela,दाबा
IBU,मॉम
will you eat,तू खाशील का?
chuttiya,सुट्टी
roll on floor,मजला वर रोल
obvious,स्पष्ट
obviously,स्पष्टपणे
obvio,स्पष्ट
no problem,काही हरकत नाही
np,उदाहरणार्थ,
K,के
theek hai,बरोबर आहे
dont know,माहित नाही
vapas,मागे
BRB,बीआरबी
be right back,लगेच परत ये
ahem,अहेम
talk to you later,तुझ्याशी नंतर बोलू
ttyl,ttyl
only,फक्त
what's up,काय आहे
hii,हे
guffaw,गिफॉ
FYI,एफवायआय
kind information,दयाळू माहिती
toh party,टो पार्टी
shuru,इनपुट
dhamaka,मोठा आवाज
disc,डिस्क
jockey,जॉकी
let's go,चल जाऊया
supreme,सर्वोच्च
unique,अद्वितीय
prohibited,प्रतिबंधीत
pooper,निर्विकार
bring,आणा
ek aur,आणखी एक
one more,आणखी एक
maro,तपकिरी
dum maaro,धिक्कार माझे
maaro dum,माझे स्वतःचे
dhuan,धूर
dia,दिवस
chhod,सोडा
impotency,नपुंसकत्व
powa,मार्ग
complete,पूर्ण
entire,संपूर्ण
excitement,खळबळ
belly,पोट
belly dancer,पोट नृत्यांगना
bachpan,बालपण
junkie,रद्दी
bacche,berries
mann,मॅन
truthful,सत्यवादी
sacchey,sacchey
sacche,दाखवतात
tales,कथा
karli,करळी
small,लहान
my homework,माझे गृहपाठ
little star,लहान तारा
drawing,रेखांकन
painitng,चित्रकला
keh ke,अन्यथा
le li,लेली
jhaant hai,द्रुत आहे
thaant hai,कंटाळा आला आहे
chutzpah,chutzpah
sulphate,सल्फेट
soo,सू
i am waiting,मी वाट पाहत आहे
nobody,कोणीही नाही
cares,काळजी घेतो
concern,चिंता
abe,अबी
what I did,मी काय केले
tu bhai,आपल्याकडे आहे
brotherzoned,भाऊझोन
turn,वळण
cannot,करू शकत नाही
hamesha,नेहमीच
aaja,आजा
maidan,देय द्या
animals,प्राणी
will take bath,अंघोळ करील
nahaunga,nahaunga
no water,पाणी नाही
nahi hai,नाही
anything,काहीही
katti,अर्बुद
movie,चित्रपट
film,चित्रपट
mr.india,mr.india
sharukh,शारुख
king khan,राजा खान
gerua,गुराखी
mohe,धावणे
kajol,काजोल
phata,वेडसर
poster,पोस्टर
aisi,अशा
khushi,आनंदी
bhula,विसरला
yeh jawani hai deewani,हा तरुण वेडा आहे
ho jayega,केले जाईल
phir se,पुन्हा
my love,माझे प्रेम
mera piya,प्याले माझे
zara zara,झारा जारा
touch me,मला स्पर्श
kuch kuch,काहीतरी
happens,घडते
love triangle,प्रेम त्रिकोण
k2h2,कहा
lul,गाढव
pk,pk
jumma,खूप
de de,च्या
na de,च्या मध्ये
dont give,देऊ नका
chamatkar,उत्कृष्ट
karenge,करेल
emotional,भावनिक
atyachaar,छळ
torture,छळ
my hero,माझा हिरो
mera hero,माझा नायक
main tero,मुख्य टेरो
your hero,आपला नायक
all is well,सर्व काही ठिक
khamosh,मूक
khamoshi,शांतता
shatrughan,शत्रुघ्न
udta,फ्लायर
jaaye,जा
bad bad,वाईट वाईट
i am bad,मी वाईट आहे
fear,भीती
darr,खोकला
lagta,दिसते
yenna,येन्ना
rascal,लबाडीचा
salman bhai,सलमान भाई
mera naam,माझे नाव
my name is,माझं नावं आहे
behen ji,बहीण
rishtey,नाती
relation,संबंध
hum tumhare,आम्ही आपले
lagte hain,वाटले
hamara,आमचे
robinhood,रॉबिन हूड
dabang,दबंग
chulbul pandey,चुलबुल पांडे
maji,पाणी
my bae,माझ्या बा
anyone,कोणीही
else,अन्यथा
galat,त्रुटी
condition,अट
tasveer,चित्र
drop dead,मृत ड्रॉप
gorgeous,भव्य
let me,मला द्या
allow,परवानगी द्या
meant,म्हणजे
short,लहान
shy,लाजाळू
dont be,होऊ नका
dangerously,धोकादायकपणे
for you,आपल्यासाठी
girna,पडणे
butterflies,फुलपाखरे
breath,श्वास
breath away,दूर श्वास
narak,नरक
get lost,हरव
ever repeat,पुन्हा पुन्हा
no idea,कल्पना नाही
dear,प्रिय
business,व्यवसाय
move on,पुढे जा
awww,Awww
itta,पराभव
confession,कबुली
my life,माझे आयुष्य
my heart,माझे हृदय
mera dil,माझे हृदय
lots of love,भरपूर प्रेम
war,युद्ध
possesive,possesive
tumsa,अंधार
nahi dekha,पाहिले नाही
u r special,तू खास आहेस
hasi,प्रारंभ करा
phasee,लटकत आहे
feelings,भावना
anytime,कधीही
available,उपलब्ध
hoon na,हं न
major missing,मुख्य गहाळ
heart break,हृदय ब्रेक
ladke,मुले
chichoore,उथळ
totta,खरे
no time,वेळ नाही
do note,लक्षात ठेवा
maaro,माझे
its okay,ठीक आहे
pakka,पॅकेज
too much,खूप जास्त
bahot,अनेक
booti,बूट
hawww,hawww
not possible,अशक्य
ho payega,सक्षम होईल
bhavnao,भावना
my fortune,माझे भविष्य
kismat,भाग्य
chahte,पाहिजे
nachoon,nachoon
dont mind,हरकत नाही
keep trying,प्रयत्न करत राहा
kyun,का
but why,पण का
kisliye,कशासाठी
fed up,कंटाळा आला आहे
gazab,अप्रतिम
leave me alone,मला एकटे सोडा
battery low,बॅटरी कमी
discharge,स्त्राव
zzzzzz,zzzzzz
dizzy,चक्कर येणे
wopping,wopping
market,बाजार
spend,खर्च
baad mein,नंतर
badhiya,छान
phati,फाटलेला
padi,तांदूळ
chalein,चला जाऊया
jhakass,रात्र
bindass,बिंदस
maarte,कलात्मक
khaega,खाईल
how r u,तू कसा आहेस
idk,आयडीके
courtesy,शिष्टाचार
no thanks,नको धन्यवाद
haal,अट
heya,ती आहे
think of,चा विचार कर
khudko,स्वतः
i hate you,मी तुमचा तिरस्कार करतो
dikha,दर्शवित आहे
improve,सुधारणे
tu nahi,tu nahi
sudhar,सुधारा
sudhregi,सुधारेल
absolutely nothing,काहीच नाही
dekh bhai,भाऊ पहा
zyada mat,जास्त मत देऊ नका
mat bol,त्याचा मृत्यू झाला
dont speak,बोलू नका
right now,ताबडतोब
this,हे
chittar,चित्तर
don't angry,रागावू नका
bhaad,व्यर्थ
jaaa,jaaa
not invited,आमंत्रित नाही
aukat,स्थान
reh,हरिण
tel,दूरध्वनी
leva,घेते
karan,करन
lagra,स्टोअर
hao,चांगले
ayi,कोणतीही
shapat,ओथ
happened,घडले
ka ho,मध्ये
siya ram,तो मेंढा
sita,जप्त
chal na,चाल नाही
bhava,भाव
uplift,उत्थान
jaylalitha,जयललिता
punjbai,शेकडो दंड
steady,स्थिर
po,द्वारा
aiyoo,भयंकर!
tamil,तमिळ
gujrat,गुजरात
business man,व्यवसाय माणूस
kai,आणि
zhala,झाळा
bongs,bongs
tomake,आपणास
bhalabasi,एक ब्लँकेट
appolum,अपोल्म
paranjille,परांजिल
thaat,ते
gidda,Giddens
paao,मिळवा
vanakkam,वनाक्कम
homage,आदरांजली
culture,संस्कृती
sat,बसला
sri,श्री
sat sri akal,तो अर्थ प्राप्त होतो
hindu,हिंदु
lord,प्रभु
cheer up,उत्तेजन द्या
chakk de,मध्ये के
phatte,phatte
losing,तोट्याचा
head,डोके
programmed,प्रोग्राम केलेले
bot,बॉट
hot-o-bot,हॉट-ओ-बॉट
download,डाउनलोड
nuts,शेंगदाणे
robotics,रोबोटिक्स
sign in,साइन इन करा
log in,लॉग इन करा
my place,माझी जागा
spark,ठिणगी
electric,विद्युत
between,यांच्यातील
circuit,सर्किट
wire,वायर
ugta,उदय
kharch,खर्च
aaga,आगा
aagyi,अग्निमय
password,संकेतशब्द
login,लॉगिन
aage,आधी
in future,भविष्यात
karna,कारण
ghus,चढणे
pc,पीसी
ghoonsa,मुठी
ghus ja,आत जा
aalsi,आळशी
aish,गिझ
tafri,तफारी
udalo,यशस्वी
atm,एटीएम
zamane,युग
our times,आमच्या वेळा
sangat,खूप
asar,चला
bigadna,निकृष्ट करणे
dekhi,चला पाहूया
grey,राखाडी
friday,शुक्रवार
chutti,सुट्टी
mondays,सोमवार
weekdays,आठवड्याचे दिवस
vegeta,वनस्पती
saiyans,सायन्स
dragon ball z,ड्रॅगन बॉल झेड
I'm the prince of all saiyans,मी सर्व सायन्सचा राजपुत्र आहे
huh,हं
trunks,खोड
the future is here,भविष्यकाळ येथे आहे
I'll cut you into little pieces,मी तुला लहान तुकडे करेन
super saiyan,सुपर सैयान
goku,गोकू
its over 9000,त्याची 9000 पेक्षा जास्त
krillin,क्रिलिन
no one cares about me,कोणालाही माझी काळजी नाही
saiyan,saiyan
kame haame ha,कामे हा हा
spirit bomb,आत्मा बॉम्ब
saiyan god,सायन देव
kame hame ha,होय कामावर
double trouble,दुहेरी समस्या
frieza,सर्दी
you little monkey,तू लहान माकड
school test,शालेय चाचणी
nahiii,नाही
daant,दात
aaj toh,aaj toh
interval,मध्यांतर
fod,व्हा
come here,इकडे ये
how's,कसे आहे
been,केले
kaisa,kaisa
journey,प्रवास
afternoon,दुपारी
congratulate,अभिनंदन
congo,कॉन्गो
pranam,शुभेच्छा
kaisi hai,कसे आहे
aur batao,अजून सांगा
how are you doing,आपण काय करीत आहात
have a,एक
have a good day,आपला दिवस चांगला जावो
badahiya,वडील
shubh ratri,shubh ratri
gd mrng,शुभ प्रभात
gm,ग्रॅम
buttercup,बटरकप
theory,सिद्धांत
big bang theory,मोठा आवाज मोठा सिद्धांत
tv series,टी. व्ही. मालिका
binge,द्वि घातुमान
binge watch,द्वि घातुमान घड्याळ
addiction,व्यसन
had,होते
nice to,छान वाटेल
humble,नम्र
supernatural,अलौकिक
chick,चिक
flick,झटका
moments,क्षण
i did it,मी ते केले
myslef,मी
walter,वॉल्टर
doesnt,नाही
does not,नाही
affect,परिणाम
barney,बार्ने
stinton,स्टिंटन
legend,आख्यायिका
dary,भेटवस्तू
wait for it,त्यासाठी थांबा
how I met your mother,तुझ्या आईला मी कसा भेटलो
himym,हिम
judging,न्यायाधीश
sherlock,शेरलॉक
holmes,होम्स
sherlock holmes,शेरलॉक होम्स
charlie,चार्ली
and a half,आणि अर्धा
do not,करू नका
tempt,परीक्षा
passenger,प्रवासी
sestra,बहीण
level,पातळी
monica clean,मोनिका स्वच्छ
racheal,राचेल
Daenerys Targaryen,डेनिरिस टारगेरिन
thrones,सिंहासने
we are,आम्ही आहोत
series,मालिका
television,दूरदर्शन
saving,बचत
arya,आर्य
stark,पूर्ण
arya stark,आर्य स्टार्क
yigrette,ygritte
jon,जॉन
you know nothing,तुला काहीच माहित नाही
smelly cat,गोंधळलेली मांजर
my mother,माझी आई
tested,चाचणी केली
pop,पॉप
pop talk,पॉप चर्चा
no one,कोणीही नाही
loves me,माझ्यावर प्रेम करते
i am sad,मी दुःखी आहे
feeling bad,वाईट वाटत
be back,परत ये
sticky,चिकट
sticky toons,चिकट toons
who is,कोण आहे
who's your daddy,तुझे वडील कोण आहेत
trail,पायवाट
I can be,मी असू शकतो
irritating,वाटलं
can piss you off,तुला उदास करू शकतो
breakfast,न्याहारी
finish,समाप्त
speaking,बोलत आहे
I am your,मी तुमचा आहे
glorious,तेजस्वी
dont',करू नका
vodafone,व्होडाफोन
zoozoo,चांगले
voda,पाणी
zoo zoo,प्राणीसंग्रहालय
haaalp,हॉलप
awestruck,अस्ताव्यस्त
listen,ऐका
listen up,ऐक
loudspeaker,लाऊडस्पीकर
zoo,प्राणीसंग्रहालय
anime,anime
dnd,dnd
do not disturb,व्यत्यय आणू नका
zoooom,झूम करा
loves you,तुझ्यावर प्रेम आहे
wake me up,मला उठव
coward,भ्याड
you're,आपण आहात
positive,सकारात्मक
fucks,fucks
out of fucks,संभोग बाहेर
solution,उपाय
deal with it,सामोरे
shit happens,गोंधळ होतो
like a boss,बॉस सारखे
i know,मला माहित आहे
almost,जवळजवळ
gave,दिली
gave a fuck,संभोग दिला
F word,फ शब्द
bwahaha,bwahaha
heh heh,हे हे!
impressed,प्रभावित
told,सांगितले
did,केले
dafaq,किंमत
such,अशा
kolaveri,कोलावेरी
kolaveri di,मध्ये कोलाज
why this kolaveri di,हा कोलावेरी का
I hunt,मी शिकार करतो
bakes,बेक्स
katnis,कॅटनिस
everdeen,सदैव
katnis everdeen,कॅटनिस एव्हरडेन
hunger games,भूक खेळ
sharon,शेरॉन
stone,दगड
basic,मूलभूत
instincts,अंतःप्रेरणा
hollywood,हॉलीवूड
hollywood movies,हॉलीवूड चित्रपट
be with you,तुझ्याबरोबर रहा
star wars,स्टार वॉर्स
talk to the,बोलू
claw,नखे
terminator,टर्मिनेटर
terminator 2,टर्मिनेटर 2
hasta,पर्यंत
vista,व्हिस्टा
hasta la vista,भेटू
kill bill,किल बिल
promised,वचन दिले
would,होईल
be nice,चांगले वागा
davra,गोल
aabra ka daabra,अब्रा का डाबरा
hogwards,हॉगवॉर्ट्स
magical,जादूचा
harry potter,हॅरी पॉटर
you',तू '
precious,मौल्यवान
lord of the rings,रिंग्जचा स्वामी
godfather,गॉडफादर
can not,करू शकत नाही
i will break you,मी तुला तोडतो
caribbean,कॅरिबियन
pirates of caribbean,कॅरिबियन चाचे
jahan,कोठे
goal,ध्येय
de dana dan,दिवस दिवस
de dana dan goal,डे डे डॅन गोल
court,कोर्ट
sirf,फक्त
karoonga,करेल
kitni,किती
pareshaani,समस्या
lega,धातूंचे मिश्रण
bhagwaaan,देव
jaane ke liye,जाणे
lash,फटकारले
gujarna,पास करणे
aar,आर
paar,दोन
aar ya paar,स्पाइक ये दाम्पत्य
sab ko,सर्वांना
ungli,बोट
par,द्वारा
nacha,नाचा
doonga,झोप
ye le,रात्रीची वेळ आहे
yellow card,पिवळे कार्ड
seedhe,थेट
penalty,दंड
baaton,गोष्टी
nahin,अजिबात नाही
maante,maante
aaye,आगमन झाले
dipper,डिपर
truck,ट्रक
