bobble,ਬੌਬਲ
phir,ਫਿਰ
dukan,dukan
noreturn,noreturn
noexvhange,ਨਵਾਂ
exchange,ਬਦਲੀ
lena,ਲੀਨਾ
lenahai,ਲੇਨ
lenahaitolo,ਲੈਨਹਾਤੋ
rehnedo,ਰੀਹਨਡੋ
rehne,ਮੁੜ
shopkeeper,ਦੁਕਾਨਦਾਰ
dukandaar,ਦੁਕਾਨਦਾਰ
piece,ਟੁਕੜਾ
imported,ਆਯਾਤ ਕੀਤਾ
importedhai,ਆਯਾਤ
aap,ਤੁਸੀਂ
ap,ਤੁਸੀਂ
aapke,ਤੁਹਾਡਾ
aapkeliye,ਤੁਹਾਡੇ ਲਈ
discount,ਛੂਟ
magnifying,ਵੱਡਦਰਸ਼ੀ
magnifyingglass,ਵੱਡਦਰਸ਼ੀ ਸ਼ੀਸ਼ਾ
lookingglass,ਲੱਕੜ ਦਾ ਗਲਾਸ
betterdeal,ਬਿਹਤਰ
stealdeal,ਚੋਰੀ ਸੌਦਾ
masti ke din,ਮਨੋਰੰਜਨ ਦੇ ਦਿਨ
home work nahi hua,ਘਰ ਦਾ ਕੰਮ ਨਹੀਂ ਕੀਤਾ ਗਿਆ
vacationdays,ਛੁੱਟੀਆਂ ਦੇ ਦਿਨ
lovin',ਲਵਿਨ
lovin,ਲਵਿਨ
begun,ਸ਼ੁਰੂ
summertime,ਗਰਮੀਆਂ ਦੇ ਸਮੇਂ
sea,ਸਮੁੰਦਰ
outing,ਬਾਹਰ ਜਾਣ
slow,ਹੌਲੀ
slowdown,ਰਫ਼ਤਾਰ ਹੌਲੀ
sweat,ਪਸੀਨਾ
pasina,ਕੋਈ ਲਾਭ ਨਹੀਂ ਹੋਇਆ
unbearable,ਅਸਹਿ
scorching,ਝੁਲਸਣ
heat,ਗਰਮੀ
sand,ਰੇਤ
sandandsun,ਸੈਂਡੈਂਡਸਨ
scorch,ਝੁਲਸ
atthebeach,ਸਮੁੰਦਰ ਦੇ ਤੱਟ ਤੇ
dayatthebeach,dayatthebeach
readyforsummer,ਰੈਡੀਫੋਰਸਮਰ
poolchait,ਪੂਲਚੇਟ
bythepool,bythepool
sunglass,ਸਨਗਲਾਸ
summerchill,ਗਰਮੀਆਂ ਦੀ ਗਰਮੀ
keepitcool,ਕੀਪਟਕੂਲ
extreme,ਅੱਤ
very,ਬਹੁਤ
hotter,ਗਰਮ
garmi,ਗਰਮੀ
mocktail,ਮੈਕਟੇਲ
pickupline,ਪਿਕਪਲਾਈਨ
cheesy,ਚੀਸੀ
inlove,inlove
summerlove,ਗਰਮੀਆਂ
iceicebaby,ਆਈਸਿਸਬੇਬੀ
frozen,ਜਮਾ
apetitie,ਭੁੱਖ
bonapetite,ਚੰਗੀ ਭੁੱਖ
let'seat,ਆਉ ਖਾਈਏ
letseat,ਆਉ ਖਾਈਏ
letus,ਸਾਨੂੰ ਕਰਣ
brunch,brunch
explosion,ਧਮਾਕਾ
tasteexplosion,ਸਵਾਦ
nomnom,ਨਾਮਾਤਰ
tasty,ਸਵਾਦ
nom,ਨਾਮ
palatable,ਲਚਕੀਲਾ
cook,ਪਕਾਉ
cooking,ਖਾਣਾ ਪਕਾਉਣਾ
fork,ਕਾਂਟਾ
let'sforkandspoon,ਚਲੋ ਕਾਂਟਾ ਅਤੇ ਚਮਚਾ ਲੈ
grab,ਫੜੋ
bite,ਦੰਦੀ
want,ਚਾਹੁੰਦੇ
wannagrababite,ਵੈਨਗ੍ਰਾੱਰਬਾਈਟ
stayhungry,ਰਹੋ
stayfoolish,ਮਧੁਰ
cookingismylife,ਰਸੋਈ
lovecooking,ਲਵ ਕੁੱਕਿੰਗ
ignore,ਨਜ਼ਰਅੰਦਾਜ਼
ignoring,ਨਜ਼ਰਅੰਦਾਜ਼
whyareyouignoringme,ਤੁਸੀਂ ਮੈਨੂੰ ਕਿਉਂ ਨਜ਼ਰ ਅੰਦਾਜ਼ ਕਰ ਰਹੇ ਹੋ
overtlyattached,ਬਹੁਤ ਜ਼ਿਆਦਾ ਜੁੜੇ
enough,ਕਾਫ਼ੀ
baatmatkaro,ਬਟਮਾਟਕਰੋ
donottalktome,ਮੇਰੇ ਨਾਲ ਗੱਲ ਨਾ ਕਰੋ
enuf,enuf
chipak,ਸਟਿਕਸ
chaep,ਚੇਪ
suspect,ਸ਼ੱਕੀ
shak,ਸ਼ੱਕ
shaq,shaq
otherwoman,ਹੋਰ manਰਤ
suspicion,ਸ਼ੱਕ
bolte,ਕਹਿਣ ਲਈ
kaho,ਕਹੋ
boltenahi,boltenahi
ussi,ਕੀੜਾ
suspicious,ਸ਼ੱਕੀ
jealousy,ਈਰਖਾ
envy,ਈਰਖਾ
jellyfish,ਜੈਲੀਫਿਸ਼
j,ਜੇ
jaoussisebaatkaro,ਜੋਸ਼ੀ ਗੱਲ
talkin,ਟਾਕਿਨ
talkingto,ਨਾਲ ਗੱਲ ਕਰ ਰਹੇ ਹਾਂ
ex,ਸਾਬਕਾ
enquiry,ਪੜਤਾਲ
uthaya,ਉਭਾਰਿਆ
tumahara,ਤੁਹਾਡਾ
phonebusyktyhai,ਫ਼ੋਨਬਸਕਟੀਹੈ
much,ਬਹੁਤ
reply,ਜਵਾਬ
whusuchlatereply,whusuchlatereply
doin,doin
doingwhat,ਕੀ ਕਰ ਰਹੇ ਹੋ
abhikyakarraheho,ਪ੍ਰਤੀਕਰਮਸ਼ੀਲ
recharge,ਰੀਚਾਰਜ
kara,ਤੋਂ
karadu,ਕਰਾਦੂ
talktime,ਟਾਕਟਾਈਮ
nazar,ਨਿਜ਼ਰ
lage,ਟਿਕਾਣਾ
agarbatti,ਅਗਰਬੱਤੀ
kala,ਇਲਾਵਾ
kalatika,ਆਰਟ ਗੈਲਰੀ
tika,ਸੀ
bhej,ਭੇਜੋ
bhejo,ਭੇਜੋ
send,ਭੇਜੋ
message,ਸੁਨੇਹਾ
msg,MSG
text,ਟੈਕਸਟ
lovenot,lovenot
petal,ਪੇਟਲੀ
lovemelovemenot,lovemelovemenot
detective,ਜਾਸੂਸ
detect,ਖੋਜੋ
conflict,ਟਕਰਾਅ
clash,ਟਕਰਾਅ
fightforyou,ਲੜਾਈ
kha,ਖਾ
didueat,didueat
fruits,ਫਲ
khanakhaliya,ਖਾਨਖਾਲੀਆ
callmena,callmena
telephone,ਟੈਲੀਫੋਨ
dial,ਡਾਇਲ ਕਰੋ
ayababy,ayababy
whyareyouignoring,ਤੁਸੀਂ ਕਿਉਂ ਨਜ਼ਰ ਅੰਦਾਜ਼ ਹੋ ਰਹੇ ਹੋ
ignoremar,ਨਜ਼ਰਅੰਦਾਜ਼
da,ਦੇ
phuck,ਫੁਕ
fuq,ਚਾਲੂ
dafuq,dafuq
daphuk,ਡਫਾਕ
daphuck,ਡੈਫਕ
phucktard,ਫੁਕਟਾਰਡ
fucktard,ਬਕਵਾਸ
gali,ਹੋ ਸਕਦਾ ਹੈ
gaali,ਦੁਰਵਿਵਹਾਰ
midfinger,ਮਿਡਫਿੰਗਰ
middlefinger,ਮਿਡਲਫਿੰਗਰ
phucking,ਫਿਕਿੰਗ
fuckin,fuckin
fucking,ਕਪੜੇ
phucku,ਫੁਕੂ
phuckyou,ਫੁਕਯੌ
fucku,ਫੁਕੂ
fuckyou,fuckyou
phuckoff,ਫੁਕੌਫ
fuckoff,fuckoff
fuqoff,onoff
FO,FO
phuckmylife,ਫੁਕਮੀਆਇਲਫ
fuckmylife,fuckmy Life
phuckit,ਫੁਕਿਟ
fuckit,ਚੁਟਕਲਾ
phuckeverything,ਫੁਕਰੇਵਿੰਗ
fuckeverything,ਚੁਦਾਈ
wtf,wtf
watdafuq,ਤੁਹਾਡਾ ਇੰਤਜ਼ਾਰ ਕਰੋ
whatthefuck,ਕੀ
whatthephuck,ਕੀ
handsintheair,ਹੈਂਡਸਿੰਥਅਰ
despair,ਨਿਰਾਸ਼ਾ
ohh,ਓਹ
o,ਇਹ
ohphuck,ਓਫਕ
ohfuck,ਓਫਕ
phucks,ਫਕਸ
given,ਦਿੱਤਾ ਗਿਆ
nophucksgoven,nockcksgoven
nofucksgiven,nofucksgiven
none,ਕੋਈ ਨਹੀਂ
holy,ਪਵਿੱਤਰ
holyphuck,ਹੋਲੀਫੱਕ
holyfuck,ਹੋਲੀਫੱਕ
falling,ਡਿੱਗਣਾ
fallinginlove,ਪਿਆਰ ਵਿੱਚ ਡਿੱਗਣਾ
fallingforyou,ਫਾਲਿੰਗਫੋਰਯੂ
luvu,luvu
loveyou,ਤੁਹਾਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹਾਂ
luvubaby,luvubaby
loveyoubaby,loveyoubaby
babay,ਬੇਬੇ
luvyou,ਲੂਵਿਉ
humesha,ਹਮੇਸ਼ਾ
willloveyouforever,ਤੁਹਾਨੂੰ ਸਦਾ ਲਈ ਪਿਆਰ ਕਰੇਗਾ
always,ਹਮੇਸ਼ਾ
eternal,ਸਦੀਵੀ
true,ਸੱਚ ਹੈ
truelove,ਸੱਚਾ ਪਿਆਰ
tumhara,ਤੁਹਾਡਾ
alwaysyours,ਸਦਾ
i do,ਮੈਂ ਕਰਦਾ ਹਾਂ
donot,ਨਾਂ ਕਰੋ
idonotwanttoloseyou,ਆਈਡੋਨੋਟਵੈਂਟੋਲੋਸਯੁ
alwaysthereforyou,ਤੁਹਾਡੇ ਲਈ ਹਮੇਸ਼ਾ ਉਥੇ
mine,ਮੇਰਾ
youaremine,ਤੂੰ ਮੇਰੀ ਹੈ
you are,ਤੁਸੀ ਹੋੋ
urmine,urmine
where's,ਕਿਥੇ ਹੈ
melt,ਪਿਘਲ
youmeltmyheart,youmeltmyheart
yu,ਨਾਲ
allyouneedislove,ਕੇਵਲ ਪਿਆਰ ਦੀ ਜ਼ਰੂਰਤ ਹੈ
umnrella,ਛਪਾਕੀ
sorrybaby,ਅਫਸੋਸ
sowwi,ਸੋਵੀ
stole,ਚੋਰੀ
stolemyheart,stolemyheart
stealmyheart,ਚਾਪਲੂਸ
xoxoxo,xoxoxo
hugsandkisses,hugsandkisses
iluvyou,iluvyou
iluvu,ਘਟਾਓ
emotion,ਭਾਵਨਾ
thewoman,.ਰਤ
mutitask,ਮਲਟੀਟਾਸਕ
multitasking,ਮਲਟੀਟਾਸਕਿੰਗ
homemaker,ਘਰ ਬਣਾਉਣ ਵਾਲਾ
bossifthehouse,Bossifthehouse
career,ਕੈਰੀਅਰ
iamateacher,ਮੈਂ ਇੱਕ ਟੀਚਰ ਹਾਂ
blackboard,ਬਲੈਕ ਬੋਰਡ
i'm,ਮੈਂ ਹਾਂ
sportsstar,ਸਪੋਰਟਸਸਟਾਰ
sportswoman,ਸਪੋਰਟਸ ਵੂਮੈਨ
tennis,ਟੈਨਿਸ
racket,ਰੈਕੇਟ
I'mawinner,I'mawinner
diva,ਦਿਵਾ
thediva,ਥੀਡਿਵਾ
iamthediva,iamthediva
Iamaboss,Iamaboss
Iamtheboss,Iamtheboss
girlboss,ਕੁੜੀਆਂ
bosslady,Bosslady
ladyboss,ਲੇਡੀਬੌਸ
Iamthemother,Iamthemother
mum,ਮੰਮੀ
toddler,ਟੌਡਲਰ
Iamanexplorer,Iamanexplorer
adventurer,ਸਾਹਸੀ
trek,ਯਾਤਰਾ
trekker,ਖਿੱਚਦਾ ਹੈ
mountain,ਪਹਾੜ
mountains,ਪਹਾੜ
conquer,ਜਿੱਤਣਾ
iamasoldier,iamasoldier
soldier,ਸਿਪਾਹੀ
military,ਫੌਜੀ
force,ਜ਼ੋਰ
armedforce,ਹਥਿਆਰਬੰਦ
rifle,ਰਾਈਫਲ
Iamyourinspiration,ਆਇਯਾਮੀਯੂਰਿਨਸਪੀਰੇਸ਼ਨ
yogapose,ਯੋਗਾ ਪੋਜ਼
sandel,sandel
sandal,ਸੈਂਡਲ
ghora,ਘੋੜਾ
gaddi,ਪੈਡਿੰਗ
gari,ਕਾਰ
sandeldekhihaimeri,ਸੈਂਡਲਡੈਖੈਮੇਰੀ
horse,ਘੋੜਾ
horsecarriage,ਘੋੜਾ ਗੱਡੀ
carriage,ਗੱਡੀ
kangana,ਕੰਗਣਾ
ranaut,ਰਨੋਟ
worldfamous,ਦੁਨਿਆਵੀ
dabba,Dabba
dabbagul,dabbagul
gul,ਗੁਲ
munnabhai,ਮੁੰਨਾਭਾਈ
tensionnahileneka,ਟੈਨਸ਼ਨਹੀਲੇਨੇਕਾ
gateway,ਗੇਟਵੇ
shanapatti,ਸੱਪ ਬੋਰਡ
varun,ਵਰੁਣ
dhawan,ਧਵਨ
thakelelog,ਥੱਕ ਗਏ
rapchik,ਰੈਪਚਿਕ
rapchikmaal,ਰੈਪਚਿਕਮਲ
mal,ਵਾਰ
wah,ਵਾਹ
pili,ਦੂਜਾ
phokat,ਫੋਕਲ
khalipili,ਖਾਲੀ
aweyihi,ਦੋ
thobda,ਥੋੜਾ
shakal,ਸਵੇਰੇ
thobra,ਖੈਰ
shaqal,ਸਵਰ
lookatyourface,lookatyourface
ekdumjhakas,ਇਕ ਪਲਕ
jhakas,ਝਾਕਸ
jhakkas,ਮਜ਼ਾਕ
faadu,ਫਦੂ
amirkhan,Amirakan
kaltti,ਮੈਨੂੰ kalten
kalti,ਦੋਸ਼ੀ
kaltimaarle,ਕਲਟੀਮਾਰਲੇ
fut,ਸੀ
phoot,ਵੰਡੋ
phutle,ਫੁਟਲੀ
katle,ਕੱਟ ਤੇ
ja,ਅਤੇ
chuna,ਚੁਣਿਆ
chunamatlaga,ਚੁਨਮਤਲਾਗਾ
shana,ਸ਼ਾਨਾ
bahutshanahairetu,ਬਹੁਤ ਖੂਬਸੂਰਤ
bohot,ਬਹੁਤ
chunt,ਵਿਰੋਧੀ
youareclever,youareclever
dada,ਛਾਤੀ
dadagiri,ਦਾਦਾਗਿਰੀ
apunksamnedadagirinahi,ਅਪੁਨੁਸਮੇਦਾਦਗੀਰੀਨਾਹੀ
apunkadilbahutbadahai,ਬੇਪ੍ਰਵਾਹ
dilbada,ਚੀਰ
large,ਵੱਡਾ
largehearted,ਵੱਡੇ ਦਿਲ ਵਾਲੇ
don't,ਨਾ ਕਰੋ
dontangryme,dontangryme
anger,ਗੁੱਸਾ
koffee,ਕਾਫੀ
coffeetime,ਕੌਫੀ ਟਾਈਮ
java,ਜਾਵਾ
baggage,ਸਾਮਾਨ
goodbye,ਅਲਵਿਦਾ
farewell,ਵਿਦਾਈ
waitingforyou,ਤੁਹਾਡੇ ਲਈ ਇੰਤਜਾਰ
silent,ਚੁੱਪ
mute,ਚੁੱਪ
silentmodeon,ਚੁੱਪ
khaoge,ਖਾਣਗੇ
kyakhaoge,ਤੁਸੀਂ ਕੀ ਖਾਓਗੇ
khaana,ਖਾਨ
khanaa,ਬਕਸੇ
menu,ਮੀਨੂ
whatwillyoueat,ਕੀ
justchill,justchill
it'smystyle,ਇਹ ਸਟੀਲ ਹੈ
iloveshopping,iloveshopping
shoppingbags,ਸ਼ਾਪਿੰਗ ਬੈਗ
i'mtired,ਮੈਂ ਥੱਕ ਗਿਆ ਹਾਂ
iamtired,ਮੈਂ ਥੱਕ ਚੁੱਕਾ ਹਾਂ
weary,ਥੱਕਿਆ ਹੋਇਆ
i'msad,ਮੈਂ ਦੁਖੀ ਹਾਂ
iamsad,iamsad
upset,ਅਸ਼ਾਂਤ
depressed,ਉਦਾਸ
sorrow,ਦੁੱਖ
sadness,ਉਦਾਸੀ
chaye,ਸ਼ੀ
masalachai,ਮਸਾਲਾਚੈ
masalatea,ਮਾਸੇਟੇਆ
masalachaye,ਮਸਾਲੇਚਾਏ
spice,ਮਸਾਲਾ
spicedtea,ਮਸਾਲੇਦਾਰ
khoke,ਖੋਕੇ
khokekichai,thelove
kadakchai,ਕਰੈਕਲ
kadakchaye,ਕਰੈਕਲ
teaparty,ਚਾਹ
teaandcakes,ਚਾਹਡਕੇਕਸ
cuttingchai,ਕੱਟਣ ਵਾਲੀ
cuttingchaye,ਕੱਟਣ ਵਾਲੀ
chronicles,ਇਤਹਾਸ
chaisuttachronicles,chaisuttachronicles
pakora,ਪਕੌੜਾ
chairainpakora,ਕੁਰਸੀ ਨੂੰ
pakoda,ਪਕੌੜਾ
pakoras,ਪਕੌੜੇ
chaikichuski,ਸਮੁੰਦਰ
chuski,ਚੁਸਕੀ
whenarewemeeting,ਜਦੋਂ ਵੀ
illcookforyou,ਾ ਲ ਫ
kitcen,ਰਸੋਈ
chef,ਸ਼ੈੱਫ
masterchef,ਮਾਸਟਰ ਸ਼ੈੱਫ
roseday,ਗੁਲਾਬ
happyroseday,ਖੁਸ਼ੀ
bemyvalentine,bemyvalentine
askout,askout
valentine,ਵੈਲੇਨਟਾਈਨ
dateme,ਤਾਰੀਖ
pinky,ਗੁਲਾਬੀ
pinkypromise,ਗੁਲਾਬੀ ਵਾਅਦਾ
notsingle,ਨੋਟਸਿੰਗਲ
notsinglethisyear,ਅਣਜਾਣ
vday,vday
s,ਐੱਸ
youlookpretty,youlook ਵਿਆਖਿਆ
lots,ਬਹੁਤ
lotsofkisses,ਲੌਟਸਫਿਕਸਿਸ
kissie,kissie
wuv,wuv
iloveyoutoo,iloveyoutoo
luvu2,le2
loveyoutoo,ਮੈਂ ਵੀ ਤੁਹਾਡੇ ਨਾਲ ਪਿਆਰ ਕਰਦਾ ਹਾਂ
luvyoutoo,luvyoutoo
luvutoo,luvutoo
givemeahug,givemeahug
embrace,ਗਲੇ ਲਗਾਓ
happychocolateday,ਾ ਲ ਫ
chocolates,ਚੌਕਲੇਟ
imcomingbaby,ਆਉਣ ਵਾਲੇ ਬੱਚੇ
arriving,ਪਹੁੰਚਣਾ
reaching,ਪਹੁੰਚ ਰਿਹਾ ਹੈ
whereismygift,ਾ ਲ ਫ
wheresmygift,ਾ ਲ ਫ
happyvalentines,ਮੁਬਾਰਕ
HappyValentine'sDay,ਪ੍ਰੇਮ ਦਿਹਾੜਾ ਮੁਬਾਰਕ
Valentine's,ਵੈਲੇਨਟਾਈਨ ਦੀ
ValentinesDay,ਵੇਲੇਂਟਾਇਨ ਡੇ
happyvalentnes,ਮੁਬਾਰਕ
togetherforever,ਇਕੱਠੇ ਹਮੇਸ਼ਾ ਲਈ
teddy,ਟੇਡੀ
teddyforyou,ਾ ਲ ਫ
teddybear,ਟੇਡੀ - ਬੇਅਰ
stuffedtoy,ਭਰੀ ਖਿਡੌਣਾ
teddyday,ਟੈਡੀ ਡੇਅ
happyteddyday,ਮੁਬਾਰਕ
whos,whos
whosupforpizza,whosupforpizza
topping,ਟੌਪਿੰਗ
base,ਅਧਾਰ
italian,ਇਤਾਲਵੀ
whot,ਵੋਹ
whattoeat,ਕੀ
eatwhat,ਕੀ
cell,ਸੈੱਲ
phoneisonlowbattery,ਫੋਨਿਸਨਲੋਬੈਟਰੀ
lowbattery,ਨੀਚ
batterydrained,ਬੈਟਰੀ ਚਾਲੂ
you'resuchasweetheart,ਤੁਸੀ
let'sketchup,ਆਓ
catchup,ਫੜਨਾ
letuscatchup,ਲੈਸਕੈਚਅਪ
let'sgoout,ਚਲੋ
eatout,ਬਾਹਰ ਖਾਣ
imcookingtonight,imcookingtonight
tonite,ਟੋਨਾਈਟ
supper,ਰਾਤ ਦਾ ਖਾਣਾ
jk,ਜੇਕੇ
loljoking,loljoking
loljk,loljk
ilikethingshot,ilkshotshot
hawt,hawt
liking,ਪਸੰਦ
taco,ਟੈਕੋ
canwetalk,ਕੀ ਅਸੀ ਗੱਲ ਕਰ ਸੱਕਦੇ ਹਾਂ
mexican,ਮੈਕਸੀਕਨ
midnight,ਅੱਧੀ ਰਾਤ
midnyt,ਮਿਡਨੀਟ
midnite,ਮਿਡਨਾਈਟ
midnightsnack,ਦੁਪਹਿਰ
midnightsnacktime,ਦੁਪਹਿਰ
aj,ਅਤੇ
ajto,ਦਾ ਦਰਵਾਜ਼ਾ
aajtoh,ਮੈਜਿਸਟ੍ਰੇਟ
bajaa,ਬਾਜਾ
ajtobajaadungi,ਅਜਤੋਬਾਜਾਦੁੰਗੀ
radio,ਰੇਡੀਓ
udaa,ਜਿਵੇਂ ਕਿ
udaadiyapatang,ਫਲਿਪਪੈਂਟ
udadiyapatang,ਇਹ ਠੀਕ ਹੈ
lapet,ਲੈਪਟ
lapetliya,ਲਾ ਪੈਟਰਿਆ
kaipoche,ਕੈਪੋਚੇ
dheel,ਨਾਚ
dheeldedheel,ਸੰਤੁਲਨ
humdildechukesanam,humdildechukesanam
phat,ਫੈਟ
phatgayi,ਫਟ ਗਿਆ
varundhawan,ਵਰੁਣਧਵਨ
pench,ਪੈਂਚ
twist,ਮਰੋੜ
ajapenchlada,ajapenchlada
atak,ਹਮਲੇ
atakgayi,ਇੱਕ ਸੇਵਾ 'ਤੇ
kanni,ਕੈਨ
kannide,ਕੈਨਾਈਡ
manjha,ਮਾਂਝਾ
kachamanjha,ਕੱਚੇ ਮਾਲ
manjhakachhahai,ਚੂਨਾ ਹੈ
string,ਸਤਰ
kaata,ਕੱਟੋ
kata,ਸ਼ਬਦ
merakyukata,ਖੁਸ਼ ਰਹੋ
patangkat,ਰੈਂਕ
bhaaag,ਹਿੱਸਾ
seahorse,ਸਮੁੰਦਰੀ
kalkikoechlin,kalkikoechlin
cheese,ਪਨੀਰ
cheesebadihaimastmast,ਚੀਜ਼ਬਾਦੀਹੈਮਸਟਮਸਟ
mastmast,mastmast
raveenatandon,ਰੱਬੀਨਿਕ
runninglate,ਚੱਲ ਰਿਹਾ
elephant,ਹਾਥੀ
wakrup,ਵਕਰੂਪ
timetowakeup,ਟਾਈਮ ਟੋਕਅਪ
chicken,ਮੁਰਗੇ ਦਾ ਮੀਟ
ohmygod,ਹਾਏ ਮੇਰੇ ਰੱਬਾ
ohemmgee,ਓਹਮਗੀ
khoonpijaunga,ਖੂਨ ਵਗਣਾ ਹੈ
makkhi,ਮੱਖੀ
tooslow,ਜਾਗੋ
snail,ਘੁੰਮਣਾ
kritisanon,kritisanon
katgayaa,ਛੱਡੋ
platypus,ਪਲੈਟੀਪਸ
tail,ਪੂਛ
hangin,ਹੈਂਗਿਨ
hangon,ਅਵਾਜ਼
bandar,ਸ਼ਹਿਰ
nakalchi,ਨਕਲ ਕਰਨ ਵਾਲਾ
banana,ਕੇਲਾ
bananas,ਕੇਲੇ
bug,ਬੱਗ
bugoff,ਬੱਗਆਫ
sherdaputtar,ਸ਼ੇਰਦਾਪੁੱਤਰ
imstuck,imstuck
knot,ਗੰ
snake,ਸੱਪ
nagin,ਨਾਗਿਨ
ant,ਕੀੜੀ
workinghard,ਵਰਕਹਾਰਡ
collectingfood,ਇਕੱਠਾ ਕਰਨਾ
longtimenosee,ਲੰਬੀ
longtime,ਲੰਬਾ ਸਮਾ
giraffe,ਜਿਰਾਫ
nosee,ਨੱਕ
jungleehumai,ਜੰਗਲਹੂਮੈ
jungleehumain,ਜੰਗਲੂਹੋਇਨ
machhar,ਮੱਛਰ
frog,ਡੱਡੂ
mendak,ਜਾਓ
pond,ਤਲਾਅ
mosquito,ਮੱਛਰ
mortin,ਮਰੇ
subahhogayimamu,ਸੁਬਾਰੁ ਗਾ ਯ ਇਮਾਮ
hen,ਬਹੁਤ
inawhile,inawhile
crocodile,ਮਗਰਮੱਛ
magarmachh,ਮਗਰਮੱਛ
croc,croc
easybro,easybro
tortowise,tortowise
turtle,ਕੱਛੂ
mastani,ਮਸਤਾਨੀ
deewanimastani,ਮੈਡਮ
yoddha,ਯੋਧਾ
warriorprincess,ਯੋਧੇ ਪ੍ਰਕਾਸ਼ਨ
bowarrow,ਕਮਾਨ ਤੀਰ
laoli,ਪੁਰਾਣੀ ਲੀ
vatt,ਪਾਣੀ
peshwa,ਪੇਸ਼ਵਾ
bajirao,ਬਾਜੀਰਾਓ
sazaa,ਸਜ਼ਾ
punish,ਸਜ਼ਾ
punishmeforlove,ਸਜਾ
priyankachopra,ਪ੍ਰਿਯੰਕਾ ਚੋਪੜਾ
kashi,ਬੋਲ
kashibai,ਬੋਲ ਵਾਰ
mohabbatkimaari,ਮੁਹੱਬਤਕੀਮਾਰੀ
aiyashi,ਧੋਖੇਬਾਜ਼
mihabbatkihaiaiyashinahi,ਪਿਆਰ ਇਕ ਪਿਆਰ ਹੈ
bajiraomastani,ਬਾਜੀਰੋਮਸਤਾਨੀ
lovvsworld,lovvsworld
fightforlove,ਲੜਾਈ
pinga,ਪਿੰਗ
girlbonding,ਕੁੜੀਆਂ
mastanikashi,ਮਸਤਾਨਾਸ਼ੀ
pingagapori,ਪਿੰਗਗਾਪੋਰੀ
sandesh,ਸੁਨੇਹਾ
errand,ਕੰਮ
koisandeshnahi,ਕੋਇ ਅਤੇ ਸ਼ ਨਾਹੀ
nomessage,Nomessage
harhar,ਹਰਹਰ
mahadev,ਮਹਾਦੇਵ
shiv,ਸ਼ਿਵ
shivbhakt,ਸ਼ਿਵ ਭਗਤ
harharmahadev,ਹਰਹਰਮਹਾਦੇਵ
guroor,ਗੁਰੂ
lecturer,ਲੈਕਚਰਾਰ
chalbunkmarteai,ਚਲਬੰਕਮਾਰਟੈ
bunkpechal,ਬੰਕਪੇਚਲ
massbunk,ਪੁੰਜ
notesdedeyaar,ਨੋਟਸਡੇਅਰ
canteenchaltehai,ਕੰਟੀਨਚੇਲਥਾਈ
recess,ਛੁੱਟੀ
latenight,ਦੇਰ ਰਾਤ
startstudying,ਸ਼ੁਰੂਆਤ
studying,ਅਧਿਐਨ
decidedtostudy,ਫੈਸਲਾ ਕੀਤਾ
allaboutcollege,allaboutcollege
padhaikabojh,ਅਧਿਐਨ ਕਰ ਰਿਹਾ ਹੈ
padhne,ਪੜ੍ਹੋ
padhnede,ਪੜ੍ਹੋ
kanganaranaut,ਕੰਗਾਨਾਰਨੋਟ
exampressure,ਪੇਸ਼ਕਾਰੀ
tensed,ਪਰੇਸ਼ਾਨ
makingnotes,ਨੋਟਬੰਦੀ
somethingelse,ਕੁਝ ਹੋਰ
letsdo,ਆਓ
letsbunk,ਸਹਾਇਕ
let'sbunk,ਆਓ
classesoff,classesoff
meraassignmentkarde,meraassignmentkarde
proxy,ਪਰਾਕਸੀ
proxylagade,ਪਰਾਕਸੀਲੈਗਡੇ
plaeseproxydede,ਪਲਾਸਪ੍ਰੌਕਸੀਡੇਡ
proxydede,ਪਰਾਕਸੀਡ
readyforcollege,ਰੈਡੀਫੋਰਲਜ
iamraedy,iamraedy
senior,ਸੀਨੀਅਰ
seniorhoon,ਸੀਨੀਅਰਰ
notoragging,ਨੋਟਬੰਦੀ
ragging,ਰੈਗਿੰਗ
againstragging,ਓਵਰਰੇਗਿੰਗ
collegejanahaikya,ਕੋਲਗੇਜਨਾਹੈਕਯਾ
collegejana,collegejana
laziness,ਆਲਸ
lyinginbed,ਝੂਠ ਬੋਲਿਆ
iamready,ਮੈਂ ਤਿਆਰ ਹਾਂ
rag,ਰਾਗ
raggingleli,raggingleli
nothingtowear,ਕੁਝ ਵੀ ਨਹੀਂ
closet,ਅਲਮਾਰੀ
apparel,ਲਿਬਾਸ
freshers,ਫਰੈਸ਼ਰ
fresherskabhai,ਫਰੈਸ਼ਰਕਾਭਾਈ
freshersparty,ਫਰੈਸਰਪਾਰਟੀ
iambroke,ਆਈਮਬਰੋਕ
paisenahihai,ਕੋਈ ਪੈਸਾ ਨਹੀਂ
sosick,ਬਹੁਤ ਬਿਮਾਰ
bukhaar,ਬੁਖਾਰ
notwell,ਠੀਕ ਨਹੀਂ
dawai,ਤਾਰਬੰਦ
bukhar,ਬੁਖਾਰ
medicines,ਦਵਾਈਆਂ
kanaganaranaut,ਕਾਨਾ ਗਾ ਨਾ ਟੀ
yoyo,yoyo
fitness,ਤੰਦਰੁਸਤੀ
fitnessislife,fitnessislife
