colva,കോൾവ
issbar,ബാർ
isbaar,ഇത്തവണ
jeetapni,വിജയിക്കുക
devilssound,പിശാച്
RishabhPant,റിഷാഭ്പന്ത്
toli,ദൂരം
Tashankitoli,ടാ യമഗുച്ചി ഐടിഒ
khelo,പ്ലേ ചെയ്യുക
frontfoot,ഫ്രണ്ട്ഫൂട്ട്
front,മുൻവശത്ത്
foot,കാൽ
odd,വിചിത്രമായത്
even,പോലും
harayenge,തോൽപ്പിക്കും
dillikelaunde,ദില്ലി കെലോൺഡെ
launde,ധ്രുവങ്ങൾ
dilliboyz,ഡെലിബോയ്സ്
dilseloud,ദില്സെലൊഉദ്
dilseproud,dilseproud
datewiththedevils,datewiththedevils
risewiththegiants,ഉയർച്ച
giants,രാക്ഷസന്മാർ
Plessis,പ്ലെസിസ്
Misalpav,തെറ്റാണ്
Paver,പേവർ
IrfanPathan,ഇർഫാൻപാഥൻ
KP,കെ.പി.
kamal,കമൽ
Pieterson,പീറ്റേഴ്‌സൺ
MSD,എം.എസ്.ഡി.
Dhoni,ധോണി
expert,വിദഗ്ദ്ധൻ
IshantSharma,ഇഷാന്ത് ശർമ്മ
fiery,അഗ്നിജ്വാല
punery,ശിക്ഷ
lavani,ലവാനി
nayarang,നായരംഗ്
captaincool,ക്യാപ്റ്റൻ‌കൂൾ
MahindraSinghDhoni,മഹീന്ദ്രസിംഗദാനി
aalire,അഅലിരെ
baariaali,ബഅരിഅഅലി
ajinkya,ajinkya
Rahane,ലിവിംഗ്
drinksonme,ഡ്രിങ്ക്സോൺ
mytreat,എന്റെ ചിലവ്
birthdaybump,ജന്മദിന ബമ്പ്
justanumber,justanumber
timefortreat,തിമെഫൊര്ത്രെഅത്
goodies,ഗുഡികൾ
snacker,ലഘുഭക്ഷണം
pieceofcake,pieceofcake
birthdaycake,പിറന്നാൾ കേക്ക്
box,പെട്ടി
smell,മണം
fragrance,സുഗന്ധം
itsmybirthdayt,itsmybirthdayt
mybirthday,എന്റെ ജന്മദിനം
stillsexy,സ്റ്റിൽസെക്സി
yearolder,വർഷം
sexyasever,sexyasever
prsent,നിലവിലുള്ളത്
giftbox,സമ്മാന പെട്ടി
awaits,കാത്തിരിക്കുന്നു
giftawaits,സമ്മാനം
bachao,സംരക്ഷിക്കുക
rescue,രക്ഷാപ്രവർത്തനം
babajikagyaan,ബാബാജി
gyaan,ഗ്യാൻ
fuk,fuk
fukfuk,ഫ്ലഫി ഫ്ലഫി
fukfukfuk,ഫ്ലഫി ഫ്ലഫി ഫ്ലഫി
swirl,ചുഴലിക്കാറ്റ്
thero,തീറോ
therothero,therothero
shaktimaan,ശക്തിമാൻ
sorryshaktimaan,സൊര്ര്യ്ശക്തിമഅന്
Gangadhar,ഗംഗാധർ
shaktimaanhai,ശക്തിമാൻ
Pahh-Waar,പഹ്-എവിടെ
Pahwar,പഹ്‌വാർ
kayamrahe,ക്യാമറ
kayam,ഹാനി
andherakayamrahe,ഇരുണ്ട തലയുള്ള
Pandit,പണ്ഡിറ്റ്
Vidhyadhar,സ്കോളർ
Mayadhar,മായാധർ
Omkarnath,ഓംകാർനാഥ്
Shastri,ശാസ്ത്രി
realname,യഥാർത്ഥ പേര്
Shaktiman,ശക്തൻ
ValarMorghulis,വലര്മൊരകുലിച
Allmenmustdie,അല്ല്മെന്മുസ്ത്ദിഎ
AryaStark,അരിസ്റ്റർ
MassieWilliams,മാസ്സിവില്ലിയാംസ്
Winterishere,ശീതകാലം
WhiteWalker,വൈറ്റ്വാൾക്കർ
lannister,ലാനിസ്റ്റർ
debt,കടം
Tyrion,ടൈറിയോൺ
TyrionLannister,ടൈറിയോൺ ലാനിസ്റ്റർ
payshisdebt,payscisdedebt
pays,പണമടയ്ക്കുന്നു
payment,പേയ്മെന്റ്
worst,ഏറ്റവും മോശം
worstones,ഏറ്റവും മോശം
SophieTurner,സോഫി ടർണർ
pure,ശുദ്ധം
purestdeath,ശുദ്ധമായത്
deathbyfire,ഡെത്ത്ഫയർ
Melisandre,മെലിസംദ്രെ
DaenerysTargaryen,ഡൈനറിസ് ടാർഗാരിയൻ
dragon,ഡ്രാഗൺ
motherofdragon,motherofdragon
motherofdragons,motherofdragons
dragons,ഡ്രാഗണുകൾ
slaves,അടിമകൾ
dragonsarenotslaves,ഡ്രാഗൺ‌സറനോട്ട്സ്ലേവ്സ്
JonSnow,ജോൺസ്നോ
night'swatch,രാത്രി വാച്ച്
Thingsido,തിങ്‌സിഡോ
forlove,വിവാഹത്തിന്നു
JamieLannister,ജെയിം ലാനിസ്റ്റർ
Hodor,ഹോഡോർ
Wylis,വൈലിസ്
loyalservant,വിശ്വസ്തൻ
CerseiLannister,Cersei Lannister
Ichooseviolence,ഇക്കോസെവയലൻസ്
violent,അക്രമാസക്തൻ
violence,അക്രമം
IamPool,ഇയാംപൂൾ
Deadpool,ഡെഡ് പൂൾ
gazillion,gazillion
$$$,$$$
onegazilliondollar,onegazilliondollar
bullets,ബുള്ളറ്റുകൾ
kill,കൊല്ലുക
ihave4bullets,ihave4 ബുള്ളറ്റുകൾ
12peipletokill,12 പെയ്‌പ്ലെറ്റോകിൽ
rollin',റോളിൻ '
hatin',ഹാറ്റിൻ '
hatin,ഹാറ്റിൻ
hating,വെറുക്കുന്നു
rolling,ഉരുളുന്നു
theyseemerolling,themseemerolling
theyhating,അവർ
smellycat,സ്മെല്ലികാറ്റ്
whatraetheyfeedingyou,whatraetheyfeedingyou
feed,ഫീഡ്
feeding,തീറ്റ
might,ശക്തി
mighty,വീരനായ
whoismighty,ആരാണ്
a$$,a $$
ass,കഴുത
kissmyass,കിസ് മൈ ആസ്
cut,മുറിക്കുക
chimi,നിരീക്ഷിച്ചു
changas,ചംഗാസ്
it'stimetocutchimichangas,it'stimetocutchimichangas
chica,ചിക്ക
chicahhh,ചിക്കാഹ്
chicachicahhh,ചിക്ക് ചിക്ക്
Sem1,സെം 1
semester,സെമസ്റ്റർ
nextsem,nextsem
marksheet,മാർക്ക്ഷീറ്റ്
lite,ലൈറ്റ്
BST,ജിഎസ്ടി
aramse,അരാംസെ
chalenge,നടക്കും
Av,എന്ന
lagegi,നോക്കും
6ya7,ടോപ്പിൾ
ghot,സംഭവിക്കുന്നു
ghothaisala,ഗോതിസാല
knotted,കെട്ടഴിച്ചു
T1,ടി 1
T2,ടി 2
phodenge,പൊട്ടിത്തെറിക്കും
phoenix,ഫീനിക്സ്
meinhi,മെഹി
phoenxmainho,ഫോക്സ്മാൻഹോ
Pearl,മുത്ത്
Pearlball,പേൾബോൾ
koimili,കൊഇമിലി
discomeinjaye,ഡിസ്കോമിൻജയ്
litele,LITE
spell,അക്ഷരത്തെറ്റ്
spelling,അക്ഷരവിന്യാസം
Crimemaster,ക്രൈംമാസ്റ്റർ
ShaktiKapoor,ശക്തികാപൂർ
aankhein,കണ്ണുകൾ
goliyaa,വെടിവയ്പ്പ്
goliyakhelunga,ഗോലിയഖെലോംഗ
mainhoon,മെയിൻ‌ഹൂൺ
idharhai,നടക്കുന്നു
teragamekardunga,ഒരു കർദിനാൾ ആണ്
humareplan,സ്മോക്ക്പ്ലാൻ
plankmatabik,പ്ലാൻമാറ്റിക്സ്
galti,തെറ്റ്
mistake,തെറ്റ്
galtisemistake,galti se തെറ്റ്
AndazApnaApna,Ulate ഹിക്കുക
apnaapna,പരിചയം
Aila,എയ്ല
Ailaaaa,അയിലാ
Ayahu,പിതാവ്
kuchleke,തകർന്നു
leke,നിങ്ങൾക്കായി
lekejaunga,മികച്ചത്
CrimemeasterGogo,ക്രൈംമാസ്റ്റർഗോഗോ
purush,പുരുഷൻ
mahapurush,വലിയ മനുഷ്യൻ
aappurushhinahi,aappurushhinahi
mahapurushho,മഹാന്മാർ
OoiMaa,ഒഒഇമഅ
Ooi,അതെ
Ui,യു
UiMaa,ബീച്ച് ട്രൗസറുകൾ
windowshopping,വിൻ‌ഷോപ്പിംഗ്
harwish,കഠിനമായ
purihogi,പുരി ഹോഗി
100%original,100% യഥാർത്ഥ
product,ഉൽപ്പന്നം
products,ഉൽപ്പന്നങ്ങൾ
fashionhasanewaddress,fashionhasanewaddress
newaddress,newaddress
newwebsite,പുതിയ വെബ്‌സൈറ്റ്
onlineshopping,ഓൺലൈൻ ഷോപ്പിംഗ്
easyreplacement,എളുപ്പമുള്ള സ്ഥലം
replacement,മാറ്റിസ്ഥാപിക്കൽ
replace,മാറ്റിസ്ഥാപിക്കുക
parcel,പാഴ്സൽ
easily,എളുപ്പത്തിൽ
access,പ്രവേശനം
accessible,ആക്‌സസ് ചെയ്യാനാകും
nakkad,നക്കത്
ushhar,ഉഷർ
udhaarwaledisco,ബോറോഡിസ്കോ
nakkadwaledisco,nakkadwale ഡിസ്കോ
jaebhalka,ഓൺ‌ലൈൻ
dilhalka,വധശിക്ഷ
jaeb,പോകും
economic,സാമ്പത്തിക
countlessoptions,എണ്ണമറ്റ ഓപ്ഷനുകൾ
option,ഓപ്ഷൻ
shoppingoption,ഷോപ്പിംഗ് ഓപ്ഷൻ
chose,തിരഞ്ഞെടുത്തു
khareedo,വാങ്ങുക
dekhomagarpyarse,സ്നേഹം കാണുക
dekhopyarse,കാണാം
khareedocardse,കാർഡുകൾ വാങ്ങുക
outofthebox,o ട്ട്‌ഫോക്സ്
revealed,വെളിപ്പെടുത്തി
notfunny,notfunny
badgirls,ബാഡ്‌ഗേർളുകൾ
badbitches,ബാഡ്‌ബിറ്റുകൾ
poorguys,പാവപ്പെട്ടവർ
youpoorguys,youpoorguys
pussypawer,പുസിപവർ
pussy,പുസി
pawer,പവർ
kit,കിറ്റ്
kitfircats,kitfircats
weneed,weneed
weneedtotalk,weneedtotalk
purr,purr
catsound,ക്യാറ്റ്സ ound ണ്ട്
PAWerful,ശക്തൻ
paw,പാവ്
iampawerful,iampawerful
purrrpurr,purrrpurr
catsounds,ക്യാറ്റ്സ ounds ണ്ട്
Whasuup,വാസുപ്
moonpie,മൂൺപി
mantis,മാന്റിസ്
prayingmantis,prayingmantis
preyingmantis,preyingmantis
wineglass,വീഞ്ഞു ഗ്ലാസ്
yousuck,നിങ്ങൾ നുകർന്നു
knockknock,നോക്ക്നോക്ക്
knockknockknock,നോക്ക്നോക്ക്നോക്ക്
knockthedoor,നോക്കത്തൂർ
goodmorning,സുപ്രഭാതം
ordinary,സാധാരണ
peeps,ഒളിഞ്ഞുനോക്കുന്നു
goodmorningpeople,സുപ്രഭാതം ജനങ്ങളെ
scissor,കത്രിക
lizard,പല്ലി
spock,സ്‌പോക്ക്
vengeful,പ്രതികാരം
iamavengefulperson,iamavengefulperson
software,സോഫ്റ്റ്വെയർ
turnon,തിരിയുക
youturn,നിങ്ങൾ മടങ്ങുക
softwaretohardware,സോഫ്റ്റ്‌വെയർ‌ഹാർഡ്‌വെയർ
richierich,രിഛിഎരിഛ്
cars,കാറുകൾ
brat,ബ്രാറ്റ്
richbrat,റിച്ച്ബ്രോ
myparentsraerich,myparentsraerich
iamaniceguy,iamaniceguy
niceguy,നല്ല ആൾ
goodguy,നല്ല ആൾ
newhomo,ന്യൂഹോമോ
homosexual,സ്വവർഗരതി
lgbtq,lgbtq
imthenewhomo,imthenewhomo
intown,നഗരത്തിൽ
town,പട്ടണം
queer,തമാശ
haveyoumetmymother,haveyoumetmymother
jew,ആഭരണം
jewishhell,ആഭരണങ്ങൾ
wrong,തെറ്റാണ്
idknow,idknow
ifiwerewrong,ifiwerewrong
iamafailure,iamafailure
ireallydontcare,ireallydontcare
care,കെയർ
Pathan,പത്താൻ
packsapunch,packsapunch
knights,നൈറ്റ്സ്
cheersfortheknights,cheersfortheknights
korbo,ചെയ്യും
lorbo,ഞാൻ യുദ്ധം ചെയ്യും
jeetbo,ജീത്ബോ
Jeethbo,ജീത്ബോ
KorboLorboJeethbo,ടാക്സിഡെർമി
Kallis,കല്ലിസ്
KingKallis,കിന്ഗ്കല്ലിസ്
Go4more,Go4more
GoKnightRiders,GoKnightRiders
JuhiChawla,ജൂഹിചാവ്‌ല
Gautam,ഗ ut തം
gambhir,ഗംഭീർ
GautamGambhir,ഗ ut തം ഗംഭീർ
AwesomeGautam,ആകർഷണീയമായ ഗ ut തം
RockingRobin,റോക്കിംഗ് റോബിൻ
Robin,റോബിൻ
YusufPathan,യൂസുഫ് പാഥൻ
PathanPower,വായനാശക്തി
Russel,റസ്സൽ
MuscleRussel,മസിൽ റസ്സൽ
Morne,മോർൺ
MIghtyMorne,മിഗ്റ്റിമോർൺ
ShahRukhKhan,സഹ്രുഖ്കന്
Dontgossip,ഡോണ്ട്ഗോസിപ്പ്
lethimdrive,ലെത്തിംഡ്രൈവ്
gossip,ഗോസിപ്പ്
Impatient,അക്ഷമ
patientinhospital,പേഷ്യന്റ് ഹോസ്പിറ്റൽ
brokenlimbs,ബ്രേക്ക്‌ലിംബ്സ്
seatbelts,സീറ്റ് ബെൽറ്റുകൾ
fastenbelt,ഫാസ്റ്റൻ‌ബെൽറ്റ്
fastenseatbelt,fastenseatbelt
blinddate,അന്ധമാക്കുക
blind,അന്ധൻ
speedlimit,വേഗത
40kmph,40 കിലോമീറ്റർ
notsofast,നോസോഫാസ്റ്റ്
darlingnotsofast,darlingnotsofast
goslow,പതുക്കെ പോകുക
highway,ഹൈവേ
runway,റൺവേ
notrunway,നോട്രൺ‌വേ
peeppeep,പെഎപ്പെഎപ്
horn,കൊമ്പ്
peep,ഒളിഞ്ഞുനോക്കുക
dontsleep,ഉറങ്ങുക
afterwhiskey,afterwhiskey
dontdrinkanddrive,dontdrinkanddrive
drivingrisky,ഡ്രൈവിംഗ്റിസ്കി
menatwork,ആളുകൾ പണിയെടുക്കുന്നു
construction,നിർമ്മാണം
underconstruction,പണിപ്പുരയിൽ
roadunderconstruction,റോഡർ‌കൺ‌സ്ട്രക്ഷൻ
nana patekar funny,nana patekar തമാശ ചിത്രങ്ങൾ
thok de,അടിക്കുക
ab tak chappan,ഇതുവരെ അമ്പത്തിയാറ്
give me my change,എന്റെ മാറ്റം തരൂ
nana patekar angry,നാന പട്ടേക്കർ ദേഷ്യം
nana patekar pissed,nana patekar pissed
kaisa kanoon,എന്ത് നിയമം
nana patekar,നാന പട്ടേക്കർ
chai pila de,ചാപ്പിറ
mere ko do,തരൂ
hinjada scene,ഹിജ്‌റ രംഗം
nana patekar dancing,നാന പട്ടേക്കർ - നിങ്ങളോടൊപ്പം നൃത്തം ചെയ്യുക
konsa teer,അതിനാൽ ടിയർ
bika hai,വിറ്റു
adha kanda,പകുതി കാണ്ട
welcome dialog,സ്വാഗത ഡയലോഗ്
nana patekar dialogue,നാന പടേക്കർ ഡയലോഗ്
control uday,ദിവസം നിയന്ത്രിക്കുക
welcome funny,സ്വാഗതം തമാശ
machchar aadmi ko,കൊതുക് മനുഷ്യൻ
nana patekar hinjada,nana patekar hinjada
hinjada bana deta hai,hinjada ban deta hai
achcha hai,നല്ലതാണ്
tendulkar bunn ne ka,നിങ്ങൾ ഒരു ബണ്ണിയാണ്
kaif nahi,ഞങ്ങൾ എങ്ങനെ വിലക്കും
nana patekar movie scene,നാന പടേക്കർ സിനിമാ രംഗം
nana holding bat,നാന ഹോൾഡിംഗ് ബാറ്റ്
rdb,rdb
aamir khan,ആമിർ ഖാൻ
jawani,യുവാക്കൾ
youth,യുവാക്കൾ
bharat mata ki jai,ഭാരത് മാതാ കി ജയ്
indian sportsman,ഇന്ത്യൻ കായികതാരം
female sportsman,വനിതാ കായികതാരം
akshay kumar airlift,അക്ഷയ് കുമാർ എയർലിഫ്റ്റ്
patriotic scene,ദേശസ്നേഹ രംഗം
airlift,എയർലിഫ്റ്റ്
sania mirza,സാനിയ മിർസ
proud indian,അഭിമാനിയായ ഇന്ത്യൻ
madhavan,മാധവൻ
jai jawaan,ജയ് ജവാൻ
army man,സൈനികൻ
swades,സ്വേഡുകൾ
rani lakshmi bai,റാണി ലക്ഷ്മി ഭായ്
jai hind,എനിക്ക് പിന്നിലുണ്ട്
jhansi ki rani,Han ാൻസി രാജ്ഞി
brave woman,ധീരയായ സ്ത്രീ
mary kom,മറിയ വരുന്നു
jai bharat,ജയ് ഭാരത്
sunny deol dialog,സണ്ണി ഡിയോൾ ഡയലോഗ്
sunny deol,സണ്ണി ഡിയോൾ
sunny deol dialogue,സണ്ണി ഡിയോൾ ഡയലോഗ്
hindustan zindabad,ഹിന്ദുസ്ഥാൻ സിന്ദാബാദ്
gadar,പാലം
mahatama gandhi,മഹാത്മാഗാന്ധി
republic day,റിപ്പബ്ലിക് ദിനം
marching,മാർച്ച്
saina nehwal,സൈന നെഹ്‌വാൾ
68th republic day,68-ാമത് റിപ്പബ്ലിക് ദിനം
vande mataram,വന്ദേമാതരം
indian proud,ഇന്ത്യൻ അഭിമാനം
pagal hai,ഭ്രാന്താണ്
welcome dialogue,സ്വാഗത ഡയലോഗ്
if you know what i mean,ഞാൻ ഉദ്ദേശിച്ചത് നിനക്ക് അറിയാമായിരുന്നെങ്കിൽ
i have no idea what i am doing,ഞാൻ എന്താണ് ചെയ്യുന്നതെന്ന് എനിക്ക് അറിയില്ല
shark,സ്രാവ്
going nuts,പരിപ്പ് പോകുന്നു
matlab kuch bhi,എന്തും അർത്ഥമാക്കുന്നു
brace yourself,സ്വയം ബ്രേസ് ചെയ്യുക
get ready,തയ്യാറാകൂ
can you not,നിനക്ക് കഴിയുമോ ഇല്ലയോ
i am sure you can do it,നിങ്ങൾക്ക് ഇത് ചെയ്യാൻ കഴിയുമെന്ന് എനിക്ക് ഉറപ്പുണ്ട്
go for it,അതിനായി ശ്രമിക്കൂ
didn't study for the test bt aced it,ടെസ്റ്റിനായി പഠിച്ചില്ല bt aced
my cup of tea,എന്റെ ചായക്കപ്പ്
i am such a nerd,ഞാൻ അത്തരമൊരു വാശിയാണ്
out of mind,മനസ്സിൽ നിന്ന്
this is spartaa..,ഇതാണ് സ്പാർട്ട ..
sparta,സ്പാർട്ട
keep calm and carry on,സാവധാനം തുടരുക
go easy,എളുപ്പത്തിൽ പോകുക
what's going on here?,എന്താണ് ഇവിടെ നടക്കുന്നത്?
kya chal rha hai,വാട്ട്സ് അപ്പ്
i will find you and kill you,ഞാൻ നിന്നെ കണ്ടെത്തി കൊല്ലും
destroy you,നിങ്ങളെ നശിപ്പിക്കും
beware,സൂക്ഷിക്കുക
you are friendzoned,നിങ്ങൾ ചങ്ങാതിമാരാണ്
not my type,എന്റെ തരമല്ല
friends forever,ശാശ്വതമായ സുഹൃത്തുക്കൾ
not intrested,താൽപ്പര്യമില്ല
i don't want any excuses,എനിക്ക് ഒഴികഴിവുകളൊന്നും ആവശ്യമില്ല
no excuses,ഒഴികഴിവുകളൊന്നുമില്ല
bossy,ബോസി
mm... girl preach it,mm ... പെൺകുട്ടി ഇത് പ്രസംഗിക്കുന്നു
preachings,പ്രസംഗങ്ങൾ
too preachy,വളരെ പ്രസംഗിക്കുക
you used to,നിങ്ങൾ പതിവായിരുന്നു
done that before,മുമ്പ് അത് ചെയ്തു
dont't be lame,മുടന്തനായിരിക്കരുത്
Aliens,ഏലിയൻസ്
out of the world,ലോകത്തിന് പുറത്ത്
freaks,പുള്ളികൾ
wierd,wierd
wierdo,wierdo
latthi khaega,വിറകുകൾ കഴിക്കും
sarcastic,പരിഹാസ്യമായ
raja ka beta,കിംഗ് ടു ബീറ്റ
the one,ഒന്ന്
bas ho gya,അത്രമാത്രം
i am done,ഞാൻ ചെയ്തു
thappad khaega,അടിക്കും
not approved,അംഗീകരിച്ചിട്ടില്ല
call me,എന്നെ വിളിക്കുക
seeker,അന്വേഷകൻ
vvip,vvip
main raja hu,രാജാവ് ഹു കളിക്കുന്നു
spoiled,കേടായി
kings life,രാജാക്കന്മാരുടെ ജീവിതം
are nacho,നാച്ചോ ആണ്
lets dance,നൃത്തം ചെയ്യാൻ അനുവദിക്കുന്നു
joyfull,സന്തോഷകരമായ
long drive pe chal,ലോംഗ് ഡ്രൈവ് പെ ചാൽ
long drive,ലോംഗ് ഡ്രൈവ്
king size,രാജാവിന്റെ വലുപ്പം
special rides,പ്രത്യേക സവാരി
lathi,പിശകുകൾ
cane,ചൂരല് വടി
angry man,കോപിക്കുന്ന മനുഷ്യൻ
dhamki,ഭീഷണി
dhamkana,ഭീഷണിപ്പെടുത്താൻ
hadkana,അത് മറക്കുക
pampered,ഓർമപ്പെടുത്തി
bhao khana,തോന്നുന്നു
iklauta,മാത്രം
spoiled brat,കേടായ ബ്രാറ്റ്
wait for me,എനിക്കായി കാത്തിരിക്കുക
don't go,പോകരുത്
mat jao,പോകരുത്
hurrey,തിടുക്കത്തിൽ
super happy,വളരെ സന്തോഷം
top of the world,ലോകത്തിന്റെ നെറുകയിൽ
good mood,നല്ല മാനസികാവസ്ഥ
contempt,അവഹേളനം
dont mess,കുഴപ്പത്തിലാക്കരുത്
need to talk,സംസാരിക്കണം
keep in touch,ബന്ധം പുലർത്തുക
itraana,ഇര്രന
i am the king,ഞാൻ രാജാവാണ്
the vip,വിഐപി
elephant ride,ആന സവാരി
rajkumar,രാജ്കുമാർ
stop it,ഇത് നിർത്തുക
stop that,അത് നിര്ത്തു
raja,രാജ
ghamandi,ഹൈബ്രോ
maze karo,ആസ്വദിക്കൂ
naacho,നൃത്തം
lets go,നമുക്ക് പോകാം
chandlier,ചാൻഡിലിയർ
phoebe,ഫോബ്
joey,ജോയി
ross,റോസ്
monica,മോണിക്ക
rachael,റാച്ചൽ
chesse,ചെസ്സ്
anxious,ഉത്കണ്ഠാജനകമായ
person,വ്യക്തി
somebody,ഏതോഒരാള്
humour,നർമ്മം
comfort,ആശ്വാസം
chhota,ചെറുത്
bheem,ഭീം
chutki,ഒരു നുള്ള്
dholakpur,ധോളക്പൂർ
raju,രാജു
palace,കൊട്ടാരം
choota,ചുത
chhota bheem,ഛോട്ടാ ഭീം
dholu,ഡ്രം
bholu,ഭോലു
chota bheem,ഛോട്ടാ ഭീം
crown,കിരീടം
gaon,പാടുക
belan,കൊള്ളാം
ladoos,വശം
kalia,കാലിയ
kaalia,മുട്ടക്കോസ്
ladoo ke bhaiya,ലഡൂവിന്റെ സഹോദരൻ
baa,അവർ
pakde,പക്ഡെ
hain,ആണ്
vibhuti ji,ശ്രീ വിഭുതി
nalle,ടെഡി ബെയർ
kanpur,കാൺപൂർ
ghuinya ke kisaan,ഹോക്കർ കർഷകർ
tiwari,തിവാരി
tiwariji,തിവാരിജി
anitaji,അനിതാജി
bhabhiji,സഹോദരി
daroga,ഇൻസ്പെക്ടർ
nyochavar,ത്യാഗം
kachu,കാത്യു
angoori,അംഗൂരി
bhabhi ji,സഹോദരി
haye,ആകാൻ
daiyaa,നൽകി
gori,കത്തുന്ന
fair,ന്യായമായ
mem,മെം
vibhu,വിഭു
angoori ji,അംഗൂരി
tiwari ji,തിവാരി ജി
bittu,വിടുക
gutthi,കിങ്ക്
taiyaar,തയ്യാറാണ്
tonty,ടോണ്ടി
thoko,തോക്കോ
taali,ഡാലി
siddhu,സിദ്ധു
gayee,പോയി
kapil sharma,കപിൽ ശർമ്മ
shagun,ഷാഗൺ
bittu ki bua,ബിറ്റുവിന്റെ അമ്മായി
phool,പൂക്കൾ
gulshan,ഗുൽഷൻ
aap aaye hain,നിങ്ങൾ വന്നിരിക്കുന്നു
khile,ബ്ലൂം
palak,ഇടയൻ
oooooo,oooooo
babaji ka thullu,ബാബാജി കി തുള്ളു
comedy nights,കോമഡി രാത്രികൾ
ittu,ഉണ്ടായിരുന്നു
dadi,ഭൂമി
'sa,'വരെ
fielding,ഫീൽഡിംഗ്
jeeto,വിജയിക്കുക
haaro,അവൻ അങ്ങനെ ചെയ്യുന്നില്ല
banti hai,നിങ്ങൾക്ക് ബന്തി
win or lose,ജയിക്കുക അല്ലെങ്കിൽ തോൽക്കുക
broken televison,തകർന്ന ടെലിവിഷൻ
andha,ദി
romanchak,ത്രില്ലർ
exciting,ആവേശകരമായ
this match,ഈ മത്സരം
bandh,ഡാം
wicket fall,വിക്കറ്റ് വീഴ്ച
girwa,ഗിർവ
manhoos,മോശം
iss baar,ഇത്തവണ
this time,ഇത്തവണ
jeetoge,നിങ്ങൾ വിജയിക്കും
we won,ഞങ്ങൾ വിജയിച്ചു
jeet gaye,വിജയിച്ചു
mai,കൂടുതൽ
curious,കൗതുകകരമായ
jungle,കാട്
mangal,നന്മ
forest,വനം
jungle mangal,ജംഗിൾ മാർസ്
sabu,മെത്ത്
chaudhary,ചൗധരി
good girl,നല്ല പെണ്കുട്ടി
acchi,കൊള്ളാം
bacchi,ബാച്ചി
no school,സ്കൂളില്ല
bhagta,പ്രവർത്തിക്കുന്നു
pyaara,pyaara
lovely friend,നല്ല സുഹൃത്ത്
badla,പ്രതികാരം
apsara hu,അപ്‌സര i
i am princess,ഞാൻ രാജകുമാരിയാണ്
sab badhiya,എല്ലാം നല്ലതാണ്
all good,എല്ലാം നല്ലത്
daro mat,ഭയപ്പെടേണ്ട
dont fear,ഭയപ്പെടേണ്ട
i am here,ഞാൻ ഇവിടെ ഉണ്ട്
mauka mauka,അവസരം
opportunity,അവസരം
t20,t20
ka badla,പ്രതികാരം
wicket se,അവരെ വിക്കറ്റ് ചെയ്യുക
t 20,ടി 20
bleed blue,ബ്ലീഡ് ബ്ലൂ
virat,വമ്പിച്ച
virat kohli,വിരാട് കോഹ്‌ലി
world cup T20,ലോകകപ്പ് ടി 20
we will win,നമ്മൾ വിജയിക്കും
jeetaga,ഒരു ജെറ്റ് ഉപയോഗിച്ച്
strom,സ്ട്രോം
shaant,ശാന്തം
shant,ശാന്തം
dobara,ചരക്ക്
mahendra singh dhoni,മഹേന്ദ്ര സിംഗ് ധോണി
MS dhoni,എം.എസ് ധോണി
ghumake,റോൾ ഓവർ
one two three four,ഒന്ന് രണ്ട് മൂന്ന് നാല്
char,ചാർ
villian,വില്ലിയൻ
mukesh rishi,മുകേഷ് റിഷി
mai hoon bhulla,ഞാൻ മറന്നു
maine,മെയിൻ
vitamin,വിറ്റാമിൻ
sax,സാക്സ്
khaya,കഴിച്ചു
shakti kapoor,ശക്തി കപൂർ
chupu,കാണിക്കുക
viagra,വയാഗ്ര
calendar,കലണ്ടർ
hote,ആകാൻ
pote,ബഡ്ഡി
khada,നിൽക്കുന്നു
hatela,അമർത്തുക
IBU,അമ്മ
will you eat,നിങ്ങൾ ഭക്ഷിക്കുമോ?
chuttiya,അവധി
roll on floor,തറയിൽ ഉരുളുക
obvious,വ്യക്തമാണ്
obviously,സ്പഷ്ടമായി
obvio,വ്യക്തമാണ്
no problem,പ്രശ്നമില്ല
np,ഉദാഹരണത്തിന്,
K,കെ
theek hai,അത് ശരിയാണ്
dont know,അറിയില്ല
vapas,തിരികെ
BRB,BRB
be right back,ഉടൻ മടങ്ങിവരാം
ahem,ahem
talk to you later,പിന്നീട് നിന്നോട് സംസാരിക്കാം
ttyl,നിങ്ങളോട് പിന്നീട് സംസാരിക്കാം
only,മാത്രം
what's up,എന്തുണ്ട് വിശേഷം
hii,ഇത്
guffaw,ഗഫാവ്
FYI,FYI
kind information,ദയയുള്ള വിവരങ്ങൾ
toh party,ടോ പാർട്ടി
shuru,ഇൻപുട്ട്
dhamaka,ബാംഗ്
disc,ഡിസ്ക്
jockey,ജോക്കി
let's go,നമുക്ക് പോകാം
supreme,പരമമായ
unique,അദ്വിതീയമാണ്
prohibited,നിരോധിച്ചിരിക്കുന്നു
pooper,പൂപ്പർ
bring,കൊണ്ടുവരിക
ek aur,മറ്റൊന്ന്
one more,ഒന്ന് കൂടി
maro,തവിട്ടുനിറമുള്ള
dum maaro,നാശം എന്റേത്
maaro dum,എന്റെ സ്വന്തം
dhuan,പുക
dia,ദിവസം
chhod,വിടുക
impotency,ബലഹീനത
powa,വഴി
complete,പൂർത്തിയായി
